S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-07-12,0.0,195.0,195.0,195.0,0.0,11360.0,2215200.0
2,2011-10-17,195.0,195.0,195.0,195.0,0.0,5208.0,1015560.0
3,2012-10-02,195.0,195.0,195.0,195.0,0.0,2000.0,390000.0
4,2013-07-15,195.0,195.0,195.0,195.0,0.0,5326.0,1038570.0
5,2018-06-17,120.0,120.0,120.0,120.0,0.0,44433.0,5331960.0
6,2019-11-25,120.0,120.0,120.0,120.0,0.0,11064.0,1327680.0
7,2019-11-28,120.0,120.0,120.0,120.0,0.0,18232.0,2187840.0
8,2019-12-03,120.0,120.0,120.0,120.0,0.0,19210.0,2305200.0
9,2019-12-08,120.0,120.0,120.0,120.0,0.0,64498.0,7739760.0
10,2020-10-14,120.0,120.0,120.0,120.0,0.0,4209.0,505080.0
11,2020-10-15,120.0,120.0,120.0,120.0,0.0,21692.0,2603040.0
12,2023-01-25,193.0,193.0,193.0,193.0,0.0,3000.0,579000.0
13,2023-05-21,172.0,172.0,172.0,172.0,0.0,3933.0,676476.0
14,2024-05-09,228.0,228.0,228.0,228.0,0.0,23065.0,5258820.0
15,2025-05-05,232.5,232.5,232.5,232.5,1.97,10.0,2325.0
16,2025-09-25,286.0,286.0,286.0,286.0,0.0,6000.0,1716000.0
17,2026-01-05,286.0,286.0,286.0,286.0,0.0,15131.0,4327466.0
