S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-03-24,185.0,188.0,185.0,185.0,0.0,143.0,26560.0
2,2011-03-28,185.0,188.0,188.0,188.0,0.0,900.0,169200.0
3,2011-03-29,188.0,185.0,185.0,185.0,0.0,981.0,181485.0
4,2011-04-06,185.0,188.0,185.0,188.0,0.0,51.0,9483.0
5,2011-04-10,188.0,185.0,185.0,185.0,0.0,30.0,5550.0
6,2011-04-17,185.0,182.0,182.0,182.0,0.0,245.0,44590.0
7,2011-04-20,182.0,184.0,184.0,184.0,0.0,200.0,36800.0
8,2011-04-21,184.0,181.0,172.0,172.0,0.0,513.0,90075.0
9,2011-04-25,172.0,175.0,175.0,175.0,0.0,35.0,6125.0
10,2011-04-27,175.0,175.0,175.0,175.0,0.0,1050.0,183750.0
11,2011-05-04,175.0,172.0,172.0,172.0,0.0,3145.0,540940.0
12,2011-05-10,172.0,170.0,164.0,169.0,0.0,621.0,103697.0
13,2011-05-24,169.0,166.0,166.0,166.0,0.0,140.0,23240.0
14,2011-05-25,166.0,169.0,169.0,169.0,0.0,105.0,17745.0
15,2011-06-02,169.0,166.0,166.0,166.0,0.0,32.0,5312.0
16,2011-06-06,166.0,166.0,166.0,166.0,0.0,100.0,16600.0
17,2011-06-15,166.0,163.0,157.0,157.0,0.0,590.0,95726.0
18,2011-06-16,157.0,154.0,154.0,154.0,0.0,100.0,15400.0
19,2011-06-29,154.0,157.0,157.0,157.0,0.0,87.0,13659.0
20,2011-07-04,157.0,160.0,157.0,160.0,0.0,57.0,9021.0
21,2011-07-27,160.0,163.0,163.0,163.0,0.0,26.0,4238.0
22,2011-07-31,163.0,164.0,164.0,164.0,0.0,70.0,11480.0
23,2011-08-03,164.0,165.0,165.0,165.0,0.0,240.0,39600.0
24,2011-08-07,165.0,162.0,162.0,162.0,0.0,160.0,25920.0
25,2011-09-01,162.0,162.0,162.0,162.0,0.0,840.0,136080.0
26,2011-09-05,162.0,165.0,165.0,165.0,0.0,128.0,21120.0
27,2011-09-06,165.0,181.0,168.0,181.0,0.0,826.0,144772.0
28,2011-09-07,181.0,199.0,184.0,199.0,0.0,664.0,131386.0
29,2011-09-08,199.0,214.0,202.0,214.0,0.0,136.0,28864.0
30,2011-09-12,214.0,220.0,218.0,220.0,0.0,639.0,139522.0
31,2011-09-13,220.0,218.0,206.0,206.0,0.0,1033.0,214778.0
32,2011-09-14,206.0,207.0,197.0,197.0,0.0,377.0,76027.0
33,2011-09-15,197.0,195.0,188.0,195.0,0.0,3503.0,667894.0
34,2011-09-18,195.0,194.0,194.0,194.0,0.0,37.0,7178.0
35,2011-09-20,194.0,195.0,195.0,195.0,0.0,96.0,18720.0
36,2011-09-22,195.0,195.0,195.0,195.0,0.0,211.0,41145.0
37,2011-09-25,195.0,205.0,198.0,205.0,0.0,345.0,69285.0
38,2011-09-26,205.0,205.0,201.0,205.0,0.0,440.0,89000.0
39,2011-09-27,205.0,201.0,201.0,201.0,0.0,181.0,36381.0
40,2011-10-02,201.0,201.0,200.0,200.0,0.0,335.0,67035.0
41,2011-10-12,200.0,204.0,199.0,204.0,0.0,779.0,158211.0
42,2011-10-13,204.0,200.0,200.0,200.0,0.0,308.0,61600.0
43,2011-10-17,200.0,202.0,202.0,202.0,0.0,63.0,12726.0
44,2011-10-18,202.0,221.0,206.0,214.0,0.0,2378.0,509520.0
45,2011-10-19,214.0,215.0,210.0,215.0,0.0,2027.0,430914.0
46,2011-10-20,215.0,220.0,219.0,220.0,0.0,168.0,36879.0
47,2011-10-24,220.0,228.0,224.0,228.0,0.0,315.0,71260.0
48,2011-10-30,228.0,228.0,228.0,228.0,0.0,20.0,4560.0
49,2011-11-02,228.0,243.0,227.0,243.0,0.0,3868.0,895068.0
50,2011-11-03,243.0,256.0,246.0,246.0,0.0,411.0,103571.0
