S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2013-09-19,80.0,80.0,80.0,80.0,0.0,590.0,47200.0
2,2013-09-26,80.0,79.0,78.0,78.0,0.0,3328.0,259594.0
3,2013-09-29,78.0,77.0,77.0,77.0,0.0,100.0,7700.0
4,2013-10-31,80.0,79.0,79.0,79.0,0.0,50.0,3950.0
5,2013-12-22,79.0,81.0,80.0,81.0,0.0,510.0,41300.0
6,2013-12-23,81.0,82.0,82.0,82.0,0.0,96.0,7872.0
7,2013-12-24,82.0,83.0,83.0,83.0,0.0,10.0,830.0
8,2013-12-26,83.0,82.0,81.0,81.0,0.0,1618.0,131886.0
9,2013-12-29,81.0,82.0,82.0,82.0,0.0,86.0,7052.0
10,2014-01-05,82.0,82.0,80.0,82.0,0.0,2786.0,225999.0
11,2014-01-06,82.0,81.0,81.0,81.0,0.0,463.0,37503.0
12,2014-01-08,81.0,82.0,82.0,82.0,0.0,68.0,5576.0
13,2014-01-13,82.0,81.0,81.0,81.0,0.0,20.0,1620.0
14,2014-01-23,81.0,84.0,82.0,84.0,0.0,142.0,11707.0
15,2014-01-27,84.0,84.0,83.0,84.0,0.0,257.0,21381.0
16,2014-02-02,84.0,85.0,85.0,85.0,0.0,10.0,850.0
17,2014-02-03,85.0,86.0,86.0,86.0,0.0,217.0,18662.0
18,2014-02-06,94.0,103.0,95.0,103.0,0.0,758.0,76782.0
19,2014-02-09,103.0,109.0,105.0,109.0,0.0,2099.0,221572.0
20,2014-02-10,109.0,113.0,111.0,113.0,0.0,390.0,43470.0
21,2014-02-11,113.0,113.0,111.0,111.0,0.0,656.0,73816.0
22,2014-02-12,111.0,109.0,107.0,107.0,0.0,171.0,18519.0
23,2014-02-13,107.0,109.0,107.0,107.0,0.0,600.0,64400.0
24,2014-02-16,107.0,105.0,101.0,101.0,0.0,2456.0,250528.0
25,2014-02-17,101.0,104.0,100.0,100.0,0.0,2050.0,209280.0
26,2014-02-18,100.0,102.0,102.0,102.0,0.0,60.0,6120.0
27,2014-02-26,102.0,100.0,100.0,100.0,0.0,611.0,61100.0
28,2014-03-03,100.0,101.0,101.0,101.0,0.0,20.0,2020.0
29,2014-03-05,101.0,100.0,97.0,97.0,0.0,715.0,70116.0
30,2014-03-06,97.0,96.0,96.0,96.0,0.0,41.0,3936.0
31,2014-03-09,96.0,96.0,95.0,96.0,0.0,307.0,29255.0
32,2014-03-24,96.0,95.0,95.0,95.0,0.0,920.0,87400.0
33,2014-03-26,95.0,96.0,96.0,96.0,0.0,21.0,2016.0
34,2014-04-06,96.0,96.0,95.0,96.0,0.0,355.0,34020.0
35,2014-04-10,96.0,97.0,97.0,97.0,0.0,30.0,2910.0
