S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2015-12-10,0.0,399.0,363.0,399.0,0.0,80.0,30810.0
2,2015-12-13,399.0,438.0,406.0,438.0,0.0,650.0,281740.0
3,2015-12-15,438.0,463.0,446.0,463.0,0.0,30.0,13630.0
4,2015-12-17,463.0,481.0,472.0,481.0,0.0,20.0,9530.0
5,2015-12-21,481.0,499.0,490.0,499.0,0.0,30.0,14880.0
6,2015-12-22,499.0,518.0,508.0,518.0,0.0,20.0,10260.0
7,2015-12-23,518.0,558.0,528.0,558.0,0.0,40.0,21720.0
8,2015-12-24,558.0,569.0,569.0,569.0,0.0,10.0,5690.0
9,2015-12-27,569.0,625.0,597.0,625.0,0.0,360.0,224220.0
10,2015-12-29,625.0,687.0,656.0,687.0,0.0,190.0,129680.0
11,2016-01-03,573.0,595.0,584.0,595.0,0.0,20.0,11790.0
12,2016-01-07,595.0,606.0,606.0,606.0,0.0,10.0,6060.0
13,2016-01-11,606.0,630.0,618.0,630.0,0.0,40.0,25080.0
14,2016-01-13,630.0,654.0,642.0,654.0,0.0,20.0,12960.0
15,2016-01-14,654.0,719.0,686.0,719.0,0.0,90.0,64110.0
16,2016-01-17,719.0,733.0,733.0,733.0,0.0,50.0,36650.0
17,2016-02-18,733.0,747.0,747.0,747.0,0.0,10.0,7470.0
18,2016-02-22,747.0,761.0,761.0,761.0,0.0,10.0,7610.0
19,2016-02-25,761.0,806.0,776.0,806.0,0.0,30.0,23730.0
20,2016-03-13,806.0,822.0,822.0,822.0,0.0,10.0,8220.0
21,2016-04-03,822.0,854.0,838.0,854.0,0.0,20.0,16920.0
22,2016-04-10,854.0,871.0,871.0,871.0,0.0,10.0,8710.0
23,2016-04-12,871.0,914.0,914.0,914.0,0.0,10.0,9140.0
24,2016-05-09,914.0,932.0,932.0,932.0,0.0,10.0,9320.0
25,2016-05-10,932.0,978.0,978.0,978.0,0.0,10.0,9780.0
26,2016-05-11,978.0,1066.0,1026.0,1066.0,0.0,30.0,31380.0
27,2016-05-12,1066.0,1108.0,1087.0,1108.0,0.0,20.0,21950.0
28,2016-05-16,1108.0,1163.0,1163.0,1163.0,0.0,20.0,23260.0
29,2016-05-17,1163.0,1221.0,1221.0,1221.0,0.0,10.0,12210.0
30,2016-05-18,1221.0,1333.0,1282.0,1333.0,0.0,30.0,39220.0
31,2016-05-19,1333.0,1386.0,1359.0,1386.0,0.0,20.0,27450.0
32,2016-05-22,1386.0,1469.0,1413.0,1469.0,0.0,30.0,43230.0
33,2016-05-24,1469.0,1615.0,1542.0,1615.0,0.0,210.0,337870.0
34,2016-05-29,1615.0,1647.0,1647.0,1647.0,0.0,20.0,32940.0
35,2016-05-30,1647.0,1712.0,1679.0,1712.0,0.0,20.0,33910.0
36,2016-05-31,1712.0,1780.0,1746.0,1780.0,0.0,20.0,35260.0
37,2016-06-01,1780.0,1958.0,1815.0,1958.0,0.0,60.0,113950.0
38,2016-06-02,1958.0,2076.0,1997.0,2076.0,0.0,30.0,61090.0
39,2016-06-05,2076.0,2159.0,2117.0,2159.0,0.0,24.0,51312.0
40,2016-06-06,2159.0,2374.0,2202.0,2374.0,0.0,130.0,303544.0
41,2016-06-07,2374.0,2611.0,2421.0,2611.0,0.0,182.0,469586.0
42,2016-06-08,2611.0,2872.0,2663.0,2872.0,0.0,264.0,753068.0
43,2016-06-09,2872.0,3159.0,2929.0,3159.0,0.0,2308.0,7284726.0
44,2016-06-12,3159.0,3222.0,3000.0,3060.0,0.0,3620.0,11079210.0
45,2016-06-13,3060.0,3090.0,2951.0,3080.0,0.0,2236.0,6797710.0
46,2016-06-14,3080.0,3200.0,3020.0,3200.0,0.0,2484.0,7695562.0
47,2016-06-15,3200.0,3200.0,3127.0,3199.0,0.0,1360.0,4296746.0
48,2016-06-16,3199.0,3243.0,3150.0,3155.0,0.0,1352.0,4315308.0
49,2016-06-19,3155.0,3180.0,3040.0,3150.0,0.0,1480.0,4643112.0
50,2016-06-20,3150.0,3180.0,3003.0,3150.0,0.0,1500.0,4637170.0
51,2016-06-21,3150.0,3185.0,3150.0,3155.0,0.0,1088.0,3438612.0
52,2016-06-22,3155.0,3210.0,3130.0,3208.0,0.0,1128.0,3580788.0
53,2016-06-23,3208.0,3290.0,3155.0,3171.0,0.0,1228.0,3943408.0
54,2016-06-26,3171.0,3200.0,3068.0,3075.0,0.0,332.0,1036024.0
55,2016-06-27,3075.0,3125.0,3070.0,3080.0,0.0,762.0,2373048.0
56,2016-06-28,3080.0,3160.0,3050.0,3100.0,0.0,760.0,2368312.0
57,2016-06-29,3100.0,3232.0,3050.0,3209.0,0.0,2870.0,9065400.0
58,2016-06-30,3209.0,3273.0,3186.0,3188.0,0.0,736.0,2378896.0
59,2016-07-03,3188.0,3264.0,3200.0,3260.0,0.0,522.0,1696320.0
