Date,Headline,Link,Full Content
2025-12-08,Comprehensive Data Compilation on Lock-In Periods of Hydropower Companies Listed on NEPSE,https://www.sharesansar.com/newsdetail/comprehensive-data-compilation-on-lock-in-periods-of-hydropower-companies-listed-on-nepse-2025-12-08,"A lock-in period refers to a set timeframe during which investors are not allowed to sell or transfer their shares, a rule generally imposed through regulations or contractual terms to maintain stability and curb short-term speculation. In Nepal, companies in sectors such as hydropower, investment, manufacturing & processing, and hotels are subject to a mandatory three-year lock-in period on NEPSE after IPO allotment to the public. For hydropower and manufacturing & processing firms, both promoters and project-affected locals must hold their units throughout this period. In the investment and hotel sectors—where there is no separate IPO reservation for locals—the lock-in requirement applies only to promoter shares. This setup ensures long-term commitment from key stakeholders and limits abrupt sell-offs during the early phase of a company’s market presence.
Regulators highlight that combining the three-year lock-in rule with the provision allowing companies to distribute dividends from their first profitable year creates a balanced approach for both investors and the market. By requiring promoters to stay invested in the initial years, the market is protected from sudden, large-scale disposals of shares during uncertain conditions. This mechanism plays a vital role in preserving market confidence, enhancing resilience, and supporting sustainable growth within Nepal’s capital markets.
The lock-in duration applicable to listed hydropower companies is detailed below:
The Nepal Stock Exchange (NEPSE) currently has 97 listed hydropower companies. Among those companies actively traded, a considerable portion has already completed their lock-in periods.
In 2025 alone, two companies will see their lock-in periods expire. This will be followed by nine companies in 2024, sixteen in 2026, and an additional seven companies in 2028."
2025-11-27,Reminder! Last Trading Day to Secure Dividend of Six Companies,https://www.sharesansar.com/newsdetail/reminder-last-trading-day-to-secure-dividend-of-six-companies-2025-11-27,"Today is the last day to grab the dividend proposed by
Shine Resunga Development Bank Limited (SHINE).
The company has also called its 17th AGM on 26th Mangsir, 2082. The meeting will be held at Hotel Saffron C.K. Pvt. Ltd., Butwal, Rupandehi, starting at 12:30 p.m. that day.
Among the other agendas, the AGM will endorse a 13% dividend for the fiscal year 2081/82. The bank's 319th board meeting, held on 21st Kartik 2082, has proposed a 13% dividend from the paid-up capital. The paid-up capital of the bank stands at Rs. 4.87 Arba. 3% bonus shares worth Rs. 14.62 crore and a 10% cash dividend (including tax) worth Rs. 48.75 crore have been proposed.
The book closure date is from Mangsir 12. Therefore, the shareholders who maintained before that day are entitled to dividend payout and can attend this AGM.
Similarly, Today is the last day to grab the dividend proposed by
Sarbottam Cement Limited (SARBTM).
The company has also called its 7th AGM on 26th Mangsir, 2082. The meeting will be held in the Hotel Siddhartha Vilasa, Bhairahawa, Rupandehi, starting at 11:00 am that day.
Among the other agendas, the AGM will endorse a 20% dividend for FY 2081/82. The meeting of the board of directors has proposed a 20% dividend for the fiscal year 2081/82. A 15% cash dividend worth Rs. 74.63 Crores (including tax) and 5% bonus shares worth Rs. 24.87 crores have been proposed. The company's existing paid-up capital is Rs. 4.97 Arba.
The book closure date is from Mangsir 12. Therefore, the shareholders who maintained their shares before that day are entitled to the dividend payout and can attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Nepal Infrastructure Bank Limited (NIFRA).
The company has also called its 7th AGM on 23rd Mangsir, 2082. The meeting will be held at Anupam Foodland and Banquet, Battisputali, Kathmandu, starting from 9 AM that day.
Among the other agendas, the AGM will endorse a 6.3158% cash dividend for the fiscal year 2081/82. The 170th meeting of the board of directors held on Bhadra 19 decided to distribute the dividend on the paid-up capital of Rs. 21.60 Arba. 6.3158% cash dividend (including tax) worth Rs. 1,36,42,12,800 has been proposed.
The book closure date is from Mangsir 12. Therefore, the shareholders who maintained before that day are entitled to dividend payout and can attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Agricultural Development Bank Limited (ADBL).
The company has also called its 18th AGM on 29th Mangsir, 2082. The meeting will be held in the Agriculture Development Bank Central Training Centre, Bhaktapur, starting at 11 am that day.
Among the other agendas, the AGM will endorse a 13% dividend for FY 2081/82. The meeting of the Board of Directors (BoD) decided to distribute a 13% dividend on the paid-up capital of Rs. 13.85 Arba. 3.25% bonus shares and 9.75% cash dividend (including tax) have been proposed.
The book closure date is from Mangsir 14. Therefore, the shareholders who maintained before that day are entitled to dividend payout and can attend this AGM.
And, Today is the last day to grab the dividend proposed by
Barun Hydropower Company Limited (BARUN).
The company has also called its 22nd AGM on Mangsir 26, 2082. The AGM will be held in the Smart Durbar located at Shankha Park, Kathmandu, starting at 9:30 a.m. that day.
The board of directors meeting held on Mangsir 03 has decided to distribute 4.75% bonus shares worth Rs. 5.09 Crores and 0.25% cash dividend (for tax purposes) worth Rs. 26.79 lakhs from the paid-up capital. Since the company's paid-up capital is Rs. 1.07 Arba.
The book closure date is from Mangsir 14. Therefore, the shareholders who maintained their shares before that day are entitled to the dividend payout and can attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Ngadi Group Power Limited (NGPL).
The company has also called its 12th AGM on 25th Mangsir, 2082. The AGM will be held in the Smart Durbar, Kathmandu, starting at 9:30 AM that day.
The meeting of the board of directors held on Mangsir 02 has decided to distribute the dividend on the paid-up capital of Rs. 3.70 Arba. 4.75% bonus shares and 0.25% cash dividend (for tax purposes) have been proposed.
The book closure date is from Mangsir 14. Therefore, the shareholders who maintained their shares before that day are entitled to the dividend payout and can attend this AGM."
2025-11-19,Ngadi Group Power Limited Proposes 5% Dividend for FY 2081/82; When is the Book Closure Date?,https://www.sharesansar.com/newsdetail/ngadi-group-power-limited-proposes-5-dividend-for-fy-208182-when-is-the-book-closure-date-2025-11-19,"Ngadi Group Power Limited (NGPL)
has proposed a 5% dividend for the fiscal year 2081/82, and has called the 12th AGM on 25th Mangsir, 2082. The AGM will be held in the Smart Durbar, Kathmandu, starting at 9:30 AM that day.
The meeting of the board of directors held on Mangsir 02 has decided to distribute the dividend on the paid-up capital of Rs. 3.70 Arba. 4.75% bonus shares and 0.25% cash dividend (for tax purposes) have been proposed.
Furthermore, there is an agenda to endorse the auditor's report along with the profit and loss statements, financial reports, and cash flow reports, and to appoint an auditor for the fiscal year 2082/83.
Also, the book closure date for the said dividend is Mangsir 14. The dividend will be distributed only after approval by the Electricity Regulatory Commission and endorsement by the company's upcoming 12th AGM.
Dividend History:"
2025-05-07,Butwal Power Company Issues 15-Day Notice to Sell 31 Lakh Shares of Nyadi Hydropower in Secondary Market,https://www.sharesansar.com/newsdetail/butwal-power-company-issues-15-day-notice-to-sell-31-lakh-shares-of-nyadi-hydropower-in-secondary-market-2025-05-07,"Nepal Stock Exchange (NEPSE) has published a 15-day public notice regarding the sale of 31,00,000 shares of Nyadi Hydropower Limited by its promoter, Butwal Power Company Ltd. (BPCL).
BPC currently holds 1,07,51,453 shares in Nyadi Hydropower (NYADI). Out of this holding, the company has decided to offload 31 lakh shares in the secondary market. This decision has been made in accordance with the company’s internal strategic plans and is being executed under the provisions of Section 11 of the Electricity-Related Company Share Public Offering and Regulation Directive, 2078.
The Nepal Stock Exchange (NEPSE) has published this notice to inform the general public and stakeholders about the planned sale, ensuring transparency and regulatory compliance. Further details regarding the timeline and process of the share sale will be disclosed as per applicable rules and in coordination with the concerned regulatory bodies.
Current Trading Price of BPCL and NYADI:"
2025-04-01,Right Shares of Balephi Hydropower and Ngadi Group Power Now Listed in NEPSE,https://www.sharesansar.com/newsdetail/right-shares-of-balephi-hydropower-and-ngadi-group-power-now-listed-in-nepse-2025-04-01,"1,82,79,700 unit right shares of
Balephi Hydropower Limited (BHL)
have been listed in NEPSE.
The company issued 100% right shares, i.e., 1,82,79,700 (1: 1) units of right shares to its existing shareholders from 27th Mangsir to 17th Poush. The paid-up capital was Rs. 1.82 Arba. After adjusting the proposed right share, i.e., 1,82,79,700, the company's paid-up capital increased to Rs. 3.64 Arba. The same right shares are now listed in NEPSE.
As of writing, BHL has an LTP of Rs. 335.27.
Similarly, 18,512,792 unit right shares of
Ngadi Group Power Ltd. (NGPL)
have been listed in NEPSE.
The company issued 100% right shares, i.e., 18,512,792 (1: 1) units of right shares to its existing shareholders from 14th Magh to 29th Magh. The paid-up capital was Rs. 1.85 Arba. After adjusting the proposed right share, i.e., 18,512,792, the company's paid-up capital increased to Rs. 3.7 Arba. The same right shares are now listed in NEPSE.
As of writing, NGPL has an LTP of Rs. 270.01."
2025-03-18,Bids Received in Auction of Ngadi Group Power Limited Ordinary Shares Opened; What is the Cut-Off Rate?,https://www.sharesansar.com/newsdetail/bids-received-in-auction-of-ngadi-group-power-limited-ordinary-shares-opened-what-is-the-cut-off-rate-2025-03-18,"The bids received in the auction of 8,73,061.225 unit ordinary shares of
Ngadi Group Power Limited (NGPL)
opened yesterday on 4th Chaitra, 2081.
The auction application opened on the 20th Falgun, 2081, and concluded on the 28th Falgun, 2081 at the end of banking hours. 8,73,061.225 units of ordinary right shares were auctioned.
This is the unclaimed portion of the rights offering. The company opened a 1: 1 ratio right share issue to its shareholders from 14th Magh to 29th Magh, 2081. The same unsold right shares were auctioned to the general public.
Siddhartha Capital Limited is the auction manager. Bids opened at the head office of the company located at Naxal, Kathmandu, starting today at 7:00 a.m. The general public and institutions were all eligible to bid in the auction.
Rs. 100 was the minimum bid rate for the auction. While the minimum bid quantity for shares was 100 units, there was no upper limit. Although bidders could bid for the entirety of the issue, they were required to abide by the regulatory body rule to not exceed the specified quantity of shares per entity.
According to the auction manager, The tentative cut-off rate is Rs. 267. Once all of the checks get reconciled and cleared, the cut-off price may vary.
The last traded price of the scrip stands at Rs 277.00 per share."
2025-03-12,"Ngadi Group Power Limited Closing Auction of 8,73,061.225 Units of Ordinary Right Shares from Today",https://www.sharesansar.com/newsdetail/ngadi-group-power-limited-closing-auction-of-873061225-units-of-ordinary-right-shares-from-today-2025-03-12,"Ngadi Group Power Limited (NGPL)
is closing the auction of 8,73,061.225 units of ordinary right shares to the general public today, i.e., on the 20th Falgun, 2081. The auction opened on the 28th Falgun, 2081.
Of the total rights shares issued, 17,639,730.8 units (95.83%) were subscribed by eligible shareholders, while 4.71% remained unclaimed. As a result, these 8,73,061.225 ordinary right shares will close today.
This auction includes the unclaimed portion of the rights issuance. NGPL had originally offered a 1:1 rights share issuance to its shareholders from 14th Magh to 29th Magh, 2081.
Both individuals and institutions are eligible to participate in the bidding process.
Siddhartha Capital Limited has been appointed as the issue manager for this auction. The minimum bid rate is Rs. 100 per share, and the minimum bid quantity is 100 units for ordinary right shares. While bidders may place bids for all available shares, they must comply with regulatory limits on the maximum allowable share quantity per entity."
2025-03-04,"Ngadi Group Power Limited Auctioning 8,73,061.225 Units of Ordinary Right Shares From Today",https://www.sharesansar.com/newsdetail/ngadi-group-power-limited-auctioning-873061225-units-of-ordinary-right-shares-from-today-2025-03-04,"Ngadi Group Power Limited (NGPL)
is set to auction 8,73,061.225 units of ordinary right shares. The auction will be open from today, i.e., 20th Falgun, and will continue until 28th Falgun, 2081.
A total of 17,639,730.8 shares were allotted to valid applicants, leaving 8,73,061.225 units (4.71%) unclaimed by eligible investors.
Of the total rights shares issued, 17,639,730.8 units (95.83%) were subscribed by eligible shareholders, while 4.71% remained unclaimed. As a result, these 8,73,061.225 ordinary right shares will now be auctioned to the general public.
This auction includes the unclaimed portion of the rights issuance. NGPL had originally offered a 1:1 rights share issuance to its shareholders from 14th Magh to 29th Magh, 2081.
Both individuals and institutions are eligible to participate in the bidding process.
Siddhartha Capital Limited has been appointed as the issue manager for this auction. The minimum bid rate is Rs. 100 per share, and the minimum bid quantity is 100 units for ordinary right shares. While bidders may place bids for all available shares, they must comply with regulatory limits on the maximum allowable share quantity per entity."
2025-02-11,Ngadi Group Power Limited Closing Issue of 1: 1 Right Shares from Today,https://www.sharesansar.com/newsdetail/ngadi-group-power-limited-closing-issue-of-1-1-right-shares-from-today-2025-02-11,"Ngadi Group Power Limited (NGPL)
is closing the issue of a 1:1 ratio of right share to its shareholders at a par value of Rs. 100 from today i.e. on 29th Magh, 2081. The issue opened on 14th Magh, 2081.
The company will be issuing 100% right shares worth Rs. 1.85 Arba through the issue of 18,512,792 (1: 1) units of right shares to its existing shareholders. The current paid-up capital of Rs. 1.85 Arba. After the adjustment of the proposed right share i.e. 1.85 crore units, the company's paid-up capital will increase to Rs. 3.7 Arba.
According to the CDSC, a total of 46,826 applicants applied for 1,23,70,385 units of right shares, equivalent to Rs. 1.23 Arba. Despite this substantial interest from the applicants, the issue was only subscribed to 66.82% of its total offering.
Siddhartha Capital Limited has been appointed as the issue manager for this right issue.
The book closure date was 18th Mangsir. Thus, shareholders maintained before that day are eligible for the rights offering.
Notice:"
2025-01-27,Deadline Extended for 1:1 Right Offering of Ngadi Group Power Limited,https://www.sharesansar.com/newsdetail/deadline-extended-for-11-right-offering-of-ngadi-group-power-limited-2025-01-27,"Ngadi Group Power Limited (NGPL)
has extended the deadline for its rights offering. The company opened its rights offering on 23rd Poush, 2081. The issue was supposed to close today i.e. on 14th Magh, 2081 but as per the notice, the rights offering will now conclude on 29th Magh, 2081.
The company will be issuing 100% right shares worth Rs. 1.85 Arba through the issue of 18,512,792 (1: 1) units of right shares to its existing shareholders. The current paid-up capital of Rs. 1.85 Arba. After the adjustment of the proposed right share i.e. 1.85 crore units, the company's paid-up capital will increase to Rs. 3.7 Arba.
According to the CDSC, 42,510 applicants applied for 1,09,12,301 units of right shares, equivalent to Rs. 1.02 Arba. This data is as of 5 pm yesterday.
Siddhartha Capital Limited has been appointed as the issue manager for this right issue.
The book closure date was 18th Mangsir. Thus, shareholders maintained before that day are eligible for the rights offering.
Extended Notice:"
