Date,Headline,Link,Full Content
2024-06-13,"Auction Closing Day of Prime Commercial Bank 12,41,011 Units Promoter Shares",https://www.sharesansar.com/newsdetail/auction-closing-day-of-prime-commercial-bank-1241011-units-promoter-shares-2024-06-13,"The existing promoters of
Prime Commercial Bank Limited (PCBL)
are selling 12,41,011 units of promoter shares in an auction to the general public/institutions, which commenced on 25th Jestha, 2081, and concludes today, on 31st Jestha, 2081.
12,41,011 units of promoter shares will be auctioned. Qualified interested promoter shareholders and interested general public/institutions are all eligible to bid in an auction. Rs. 115 is the minimum bid rate.
The minimum bid quantity for promoters’ shares is 2,00,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Nepal SBI Merchant Banking Limited is the auction manager.
As of writing, PCBL has an LTP of Rs. 205.00. Meanwhile, PCBLP has an LTP of Rs. 139.00."
2024-06-07,"12,41,011 Unit Promoter Shares of Prime Commercial Bank in Auction From Today",https://www.sharesansar.com/newsdetail/1241011-unit-promoter-shares-of-prime-commercial-bank-in-auction-from-today-2024-06-07,"The existing promoters of
Prime Commercial Bank Limited (PCBL)
are selling 12,41,011 units of promoter shares in an auction to the general public/institutions from today i.e. 25th Jestha to 31st Jestha, 2081.
12,41,011 units of promoter shares will be auctioned. Qualified interested promoter shareholders and interested general public/institutions are all eligible to bid in an auction. Rs. 115 is the minimum bid rate.
The minimum bid quantity for promoters’ shares is 2,00,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Nepal SBI Merchant Banking Limited is the auction manager.
As of writing, PCBL has an LTP of Rs. 200.00. Meanwhile, PCBLP has an LTP of Rs. 139.00.
Auction Notice:"
2024-02-07,Promoter Shares of Citizens Bank And Prime Commercial Bank In Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-citizens-bank-and-prime-commercial-bank-in-auction-from-today-2024-02-07,"The existing promoter of
Citizens Bank International Limited (CZBIL)
is auctioning 1,06,580 units of shares to the interested promoter shareholders from today.
Tulasi Prasad Pokhrel intends to sell 1,06,580 units of promoter shares to the existing promoter shareholders. The minimum bid rate for the auction is Rs. 105. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 24th Magh.
The shareholders should submit their bids at the central office of the bank located at Narayanhiti Path, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
CZBIL closed at Rs. 167.50 yesterday. Meanwhile, CZBILP has an LTP of Rs. 107.00 as of 8th January 2024.
Auction Notice:
The existing promoters of
Prime Commercial Bank Limited (PCBL)
are selling 41,050 units of promoter shares in an auction to the general public from today i.e. 24th Magh to 4th Falgun, 2080.
41,050 units of promoter shares will be auctioned. Qualified interested promoter shareholders and general public/company/institutions are all eligible to bid in an auction. Rs. 110 is the minimum bid rate.
The minimum bid quantity for promoters’ shares is 5,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
NIC Asia Capital Limited is the auction manager.
As of writing, PCBL has an LTP of Rs. 204.00. Meanwhile, PCBLP has an LTP of Rs. 144.00 as of 9th January 2024.
Auction Notice:"
2023-12-27,"Prudential Capital Management Selling Promoter Shares of PRVU, ICFC, NLIC, NIMB, KBL And PCBL Via Auction From Today",https://www.sharesansar.com/newsdetail/prudential-capital-management-selling-promoter-shares-of-prvu-icfc-nlic-nimb-kbl-and-pcbl-via-auction-from-today-2023-12-27,"Prudential Capital Management Company Limited is selling the promoter shares of these six financial institutions —
Prabhu Bank Limited (PRVU), ICFC Finance Limited (ICFC), Nepal Life Insurance Company Limited (NLIC), Nepal Investment Mega Bank (NIMB), Kumari Bank Limited (KBL), and
Prime Commercial Bank Limited (PCBL)
via auction. The auction, spanning from the 11th Poush to the 19th Poush, 2080, is offered to the qualified interested parties, including promoter shareholders, the general public, and institutions.
The auction includes 68,729 units of promoter shares from Prabhu Bank Limited, with a minimum bid rate set at Rs. 110 per unit. Interested bidders are required to adhere to a minimum bid quantity of 5,000 units. Prudential Capital Management is also selling 92,616 units of promoter shares from ICFC Finance Limited for auction, with a minimum bid rate of Rs. 175 per unit. The minimum bid quantity for ICFC promoter shares is set at 10,000 units.
In the case of Nepal Life Insurance Company Limited, the auction comprises 5,23,112 units of promoter shares, each available at a minimum bid rate of Rs. 325. Bidders are required to comply with a minimum bid quantity of 10,000 units. Prudential Capital Management is also selling 1,09,678 units of promoter shares from Nepal Investment Mega Bank Limited for auction, with a minimum bid rate of Rs. 120 per unit. The minimum bid quantity for NIMB promoter shares is set at 10,000 units.
The auction includes 5,49,626 units of promoter shares from Kumari Bank Limited, with a minimum bid rate set at Rs. 100 per unit. Interested bidders are required to adhere to a minimum bid quantity of 25,000 units. Prudential Capital Management is also selling 49,717 units of promoter shares from Prime Commercial Bank Limited for auction, with a minimum bid rate of Rs. 110 per unit. The minimum bid quantity for PCBL promoter shares is set at 5,000 units.
Bidders are reminded to adhere to the regulations stipulated by both Nepal Rastra Bank and Nepal Insurance Authority, ensuring that the specified quantity of shares per entity is not exceeded. Qualified interested promoter shareholders/general public/institutions, the general public, and institutions are eligible to bid for the auction within the 19th Poush.
NIC Asia Capital Limited is appointed as the auction manager for all six auctions.
PRVU Auction Notice:
ICFC Auction Notice:
NLIC Auction Notice:
NIMB Auction Notice:
KBL Auction Notice:
PCBL Auction Notice:"
2023-12-17,"Prudential Capital Management Selling Promoter Shares of KBL, NLIC and PCBL Via Auction From Today",https://www.sharesansar.com/newsdetail/prudential-capital-management-selling-promoter-shares-of-kbl-nlic-and-pcbl-via-auction-from-today-2023-12-17,"Prudential Capital Management Company Limited
is selling the promoter shares of these three financial institutions —
Kumari Bank Limited (KBL)
,
Prime Commercial Bank Limited (PCBL)
, and
Nepal Life Insurance Company Limited (NLIC)
via auction. The auction, spanning from the 1st to the 6th of Poush, 2080, offers qualified interested parties, including promoter shareholders, the general public, and institutions.
The auction includes 5,49,626 units of promoter shares from Kumari Bank Limited, with a minimum bid rate set at Rs. 110 per unit. Interested bidders are required to adhere to a minimum bid quantity of 50,000 units. Prudential Capital Management is also selling 49,717 units of promoter shares from Prime Commercial Bank Limited for auction, with a minimum bid rate of Rs. 120 per unit. The minimum bid quantity for PCBL promoter shares is set at 10,000 units.
In the case of Nepal Life Insurance Company Limited, the auction comprises 5,23,112 units of promoter shares, each available at a minimum bid rate of Rs. 400. Bidders are required to comply with a minimum bid quantity of 50,000 units.
Bidders are reminded to adhere to the regulations stipulated by both Nepal Rastra Bank and Nepal Insurance Authority, ensuring that the specified quantity of shares per entity is not exceeded. Qualified interested promoter shareholders/general public/institutions, the general public, and institutions are eligible to bid for the auction within the 6th Poush.
NIC Asia Capital Limited is appointed as the auction manager for all three auctions.
KBL Auction Notice:
PCBL Auction Notice:
NLIC Auction Notice:"
2023-07-19,13.50 Lakh Promoter Shares of Prime Commercial Bank in Auction From Today,https://www.sharesansar.com/newsdetail/1350-lakh-promoter-shares-of-prime-commercial-bank-in-auction-from-today-2023-07-19,"The existing promoters of
Prime Commercial Bank Limited (PCBL)
are auctioning 13,50,010 units of shares to qualified general public/institutions from today i.e. 3rd Shrawan to 17th Shrawan, 2080.
13,50,010 unit promoter shares of PCBL will be auctioned. Interested qualified general public/institutions are eligible to bid for the auction. Rs. 120 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 1,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Prabhu Capital Limited is the auction manager. Bids will open at the premises of the auction manager on 18th Shrawan, 2080.
As of writing, PCBL has an LTP of Rs. 200.90.
Auction Notice"
2023-05-17,"351,817 Unit Promoter Shares of Prime Commercial Bank in Auction From Today",https://www.sharesansar.com/newsdetail/351817-unit-promoter-shares-of-prime-commercial-bank-in-auction-from-today-2023-05-17,"The existing promoters of
Prime Commercial Bank Limited (PCBL)
are selling 351,817 units of promoter shares in an auction to the general public from today i.e. 3rd Jestha to 17th Jestha, 2080.
351,817 units of promoter shares will be auctioned. Individual investors, companies, and institutions are all eligible to bid in an auction. Rs. 130 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 10,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Sanima Capital Limited is the auction manager. Bids will open at the premises of the auction manager on 17th Jestha, 2080 at 4 PM.
As of writing, PCBL has an LTP of Rs. 191.
Auction Notice"
2023-04-17,"Promoter Shares of PCBL, EDBL, MLBL, KSBBL and GBIME In Auction From Today",https://www.sharesansar.com/newsdetail/promoter-shares-of-pcbl-edbl-mlbl-ksbbl-and-gbime-in-auction-from-today-2023-04-17,"The existing promoters of
Prime Commercial Bank Limited (PCBL)
are selling 19,15,000 units of promoter shares in an auction to the general public from 4th Baisakh to 13th Baisakh, 2080.
19,15,000 units of promoter shares will be auctioned. Individual investors, companies, and institutions can bid in an auction. Rs. 130 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 100,000 units. Although bidders can bid for the entire issue, they must abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Prabhu Capital Limited is the auction manager. Bids will open at the premises of the auction manager on Baisakh 14, 2080.
As of writing, PCBL has an LTP of Rs. 200.
Auction Notice
Similarly, the existing promoters of
Excel Development Bank Limited (EDBL)
,
Mahalaxmi Bikas Bank Limited (MLBL)
,
Kamana Sewa Bikas Bank Limited (KSBBL)
, and
Global IME Bank Limited (GBIME)
are auctioning their promoter shares to the eligible shareholders from today i.e 4th Baisakh, 2080.
27,718 units of promoter shares of EDBL; 1,85,000 shares of MLBL; 2,44,954 shares of KSBBL, and 5,00,000 shares of GBIME will be auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 4th Baisakh. The shareholders should submit their bids at the central offices of the respective banks. Rs. 135 is the minimum bid rate for GBIME's promoter shares.
If no bids are received from the existing founder shareholders within the mentioned date, then the shares will be later auctioned to the general public.
EDBL Auction Notice
MLBL Auction Notice
KSBBL Auction Notice
GBIME Auction Notice"
2023-03-29,"Prime Commercial Bank Auctioning 9,00,000 Units Promoter Shares to the General Public and Institutions From 21st Chaitra",https://www.sharesansar.com/newsdetail/prime-commercial-bank-auctioning-900000-units-promoter-shares-to-the-general-public-and-institutions-from-21st-chaitra-2023-03-29,"The existing promoters of Prime Commercial Bank Limited is selling 9,00,000 units promoter shares in an auction to the general public from 21st Chaitra to 29th Chaitra, 2079.
9,00,000 units of promoter shares will be auctioned. Individual investors, companies, and institutions are all eligible to bid in an auction. Rs. 130 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 1000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule not to exceed the specified quantity of shares per entity.
Sanima Capital Limited is the auction manager. Bids will open at the premises of the auction manager on Chaitra 2, 2079.
As of writing, PCBL has an LTP of Rs. 199.30.
Auction Notice"
2023-03-16,Bonus Shares of Gurans Laghubitta & Prime Commercial Bank Finally Listed on NEPSE,https://www.sharesansar.com/newsdetail/bonus-shares-of-gurans-laghubitta-prime-commercial-bank-finally-listed-on-nepse-2023-03-16,"39,000 Units Bonus Shares of Gurans Laghubitta Bittiya Sanstha Limited (GLBSL) has been listed in NEPSE.
The 117th meeting of the board of directors held on Mangsir 27 decided to distribute the dividend from the paid-up capital of Rs. 9.75 crores. 4% bonus share and 0.210526% cash dividend have been proposed and distributed by the company. Thus, the bonus shares are worth Rs. 39 lakhs, and the cash dividend is worth slightly over Rs. 2.05 lakhs. The same bonus dividend have been listed on NEPSE.
As of writing, the last trading price of GLBSL as of 16 March 2023 is Rs. 688.50.
Similarly, 74,62,529.12 Units Bonus Shares of Prime Commercial Bank Limited (PCBL) has been listed in NEPSE.
The meeting of the board of directors held on Mangsir 29 decided to distribute the dividend on the paid-up capital of Rs. 18.65 Arba. 4.95% bonus shares worth Rs 92.35 Crore and 4% cash dividend (including bonus shares tax purposes) worth Rs 74.62 Crore have been proposed and distributed by the company. The 4.95% bonus dividends have been listed on NEPSE.
As of writing, PCBL has an LTP of Rs 203.30."
