Date,Headline,Link,Full Content
2018-07-11,Are the risk diversifying mutual funds minimizing their expenses? Are the regulatory policies in support of the mutual funds?,https://www.sharesansar.com/newsdetail/are-the-risk-diversifying-mutual-funds-minimizing-their-expenses-are-the-regulatory-policies-in-support-of-the-mutual-funds,"A Mutual fund’s competitive advantage lies in its ability to diversify the risk by managing its portfolio. Mutual funds collect a pool of fund from small investors and in return, invest in financial instruments compromised of stocks, bonds, debentures, government securities, fixed deposits. The investment decision of a mutual fund is determined by Fund Manager and Fund supervisor. Thus, the efficiency of a mutual fund often depends upon the expertise of these professionals.
While it is equally important for risk diversification of the mutual fund, it is also of essence, these mutual funds attain enough operational profit for their sustenance. In order to attain the targeted operational profit, mutual funds are required to take in charge of their expenses. The major initial expenses that mutual funds come across through are:
Brokerage commission on buy and sell of shares
Application and registration fees
License request and renewal fees
Approval fees for operating schemes and IPO issuance
Some of the major expenses that mutual fund incur are:
Fund manager and depository fee
Fund supervisor fee
These two expenses constitute almost 95% of regular yearly expenses. However, some other regular and normal expenses further include:
Audit fee
Publication expenses
NEPSE listing figure
Fund supervision meeting fees
As we are well known that a good track record of expenses can be beneficial to any financial institute. Such track record can help to minimize the expenses of mutual funds as well. If such expenses are not taken care of, a major chunk of fund revenue is spent on covering all these expenses. So, have the mutual funds in Nepal been able to minimize their expenses?
Nabil Balance Fund 1 and Siddhartha Investment Growth Scheme 1; the mutual fund schemes which have already matured are seen to be one of the most costly mutual fund schemes. The average yearly expense with respect to the fund size is 4.74% and 4.46% of Nabil Balance Fund 1 and Siddhartha Investment Growth Scheme 1 respectively. NMB Sulav Investment Fund 1 and NIBL Sambridhi Fund 1 also incur about 3.34% and 3.06% expenses in average yearly. Similarly, the average yearly expenses of mutual funds such as Siddhartha Equity Oriented Scheme, Nabil Equity Fund, Laxmi Value Fund 1, NIBL Pragati Fund and Global IME Sammunat Scheme 1 have expenses above 2% of the total fund size.  The new schemes such as SANIMA Equity Fund, NMB Hybrid Fund 1, Siddhartha Equity Fund, Laxmi Equity Fund, NIC Asia Growth Fund and Citizen Mutual Fund have average expense percentage above 1% of total fund size. NIC Asia Growth Fund and Citizen Mutual Fund have less expenses but the reason can be the initiation of these scheme in the middle of the fiscal year. So, there is high probability that the expenses of these funds will also increase if proper consideration is not done.
Provided that, mutual funds are still in their infancy, these funds are still not able to attract majority of individual investors. Most of the mutual fund units are subscribed by institutional investors like the commercial banks, insurance companies and other investment companies at the time of first issues. One of the major reason individual investors are not attracted can be attributed to the cost associated with mutual fund investment.
While mutual funds in international market have grabbed a lot of attention, Nepalese mutual funds are still struggling to manage their expenses. One of the responsible authorities for the management of mutual funds is SEBON. So, long term plans to attract individual investors towards mutual funds and appropriate mechanisms to minimize operating costs for mutual funds are expected from the authority. The discount facility on brokerage commission is also expected as the yearly turnover of mutual funds is far higher than the retail investors in capital market.
We often prioritize discussion on investment risk diversification, portfolio diversification and minimization of emotional stress of investors. However, mutual funds are established with the aim of fulfilling all the three objectives. Yet, when it comes to managing the expenses of mutual funds, the policies have somehow failed. Until and unless we bring in the mass individual investors towards mutual fund investments, the future of these schemes and funds seems uncertain.
What are your views on mutual funds? Have you ever applied in any of the shares of mutual funds in primary and secondary market? If yes, which do you prefer? If not, why? Please put forward your views in comment section below."
2018-04-03,"If you had invested Rs 1 lakh in stocks like NTC, NABIL & Chilime 5 years ago, here’s what it’s worth now",https://www.sharesansar.com/newsdetail/if-you-had-invested-rs-1-lakh-in-stocks-like-ntc-nabil-chilime-5-years-ago-heres-what-its-worth-now,"- Suramya Khanal
“The stock market is designed to transfer money from the active to the patient” – Warren Buffet
It is no secret that Warren Buffet, the self-made billionaire investor, has always valued investing over the long-term. His slow and steady approach has proved to be successful in building wealth—making him one of the richest people in the world with net worth of almost $85 billion (Rs 88 kharba). One of the most popular mantras of Buffet is about giving more importance to long-term investment on growing companies, rather than focusing on trading and short-term investments. So what can we learn from the man whose personal net worth is 6 times more than NEPSE’s entire market capitalization of Rs 14.30 kharba?
On several occasions, Warren Buffet has said that if one does not have the patience to hold stocks for 10 years, they shouldn’t hold it for even 10 minutes. Keeping this in mind, ShareSansar analyzed what would have happened if we had invested just Rs 1 lakh in some of the 15 popular stocks from different sectors and let it grow for 5 years. We analyzed 14 different companies (plus 1 mutual fund scheme) for this analysis, and projected the returns. Siddhartha Investment Growth Scheme-1, a mutual fund that matured in December 2017, was also analyzed to see if mutual funds could also provide good returns in Nepali share market.
The below graphic shows what Rs 1 lakh invested in these 15 scrips five fiscal years ago would have grown (or shrunk) to in today’s value. For simplification, we made a
few assumptions
. We assumed that any cash dividends received in the five-year period (FY 2069/70 to FY 2073/74) were not reinvested, and capital gains tax was also not calculated. Since 7.50% capital gains on profit will not matter much in the long-term (due to adjustment of average base prices), this will also not offset the final worth by a big value. Amount invested for right share was also adjusted in the overall value, and any cash flow in these five years were totaled for the whole 5 years. Also, Rs 10 was taken as the per unit cost of SIGS1 since its initial offering (IPO) came in Mangsir, 2069. Finally, we have assumed the prices of 5 fiscal years ago i.e. on Asadh 31, 2069 to fully compound the dividends of all the 5 years.
Companies Analyzed
S.N.
Company
Symbol
Sector
1
Nabil Bank Limited
NABIL
Commercial Bank
2
Nepal Investment Bank Limited
NIB
Commercial Bank
3
Everest Bank Limited
EBL
Commercial Bank
4
Standard Chartered Bank Limited
SCB
Commercial Bank
5
Muktinath Bikas Bank Limited
MNBBL
Development Bank
6
ICFC Finance Limited
ICFC
Finance
7
Nepal Life Insurance Company Limited
NLIC
Life Insurance
8
Shikhar Insurance Company Limited
SICL
Non-life Insurance
9
Soaltee Hotels Limited
SHL
Hotels
10
Oriental Hotels Limited
OHL
Hotels
11
Chilime Hydropower Company Limited
CHCL
Hydropower
12
First Microfinance  Laghubitta Bittiya Sanstha Limited
FMDBL
Microfinance
13
Chhimek Laghubitta Bittiya Sanstha Limited
CBBL
Microfinance
14
Nepal Doorsanchar Company Limited
NTC
Others
15
Siddhartha Investment Growth Scheme – 1
SIGS1
Mutual Fund
These 15 scrips have always been hot stocks for their sectors, including the 4 commercial banks that are considered blue-chips: Everest Bank, Nabil Bank, Standard Chartered Bank and Nepal Investment Bank.
Results:
Annualized Returns:
Scrip
Initial Value (Rs.)
Today's Value (Rs.)
CAGR (%)
FMDBL
100,000.00
2,161,680.31
84.91%
SICL
100,000.00
1,835,367.91
78.96%
CBBL
100,000.00
1,695,398.88
76.14%
MNBBL
100,000.00
1,556,553.28
73.15%
OHL
100,000.00
1,130,287.59
62.42%
NLIC
100,000.00
867,483.08
54.05%
SHL
100,000.00
364,240.20
29.50%
ICFC
100,000.00
342,284.80
27.90%
SIGS1
100,000.00
342,200.00
27.90%
NIB
100,000.00
322,376.11
26.38%
EBL
100,000.00
271,437.43
22.11%
NABIL
100,000.00
249,300.96
20.05%
SCB
100,000.00
200,716.76
14.95%
NTC
100,000.00
189,463.22
13.63%
CHCL
100,000.00
188,248.46
13.49%
TOTAL
1,500,000.00
11,717,038.99
50.85%
It might be surprising to see that the 4 commercial banks (NIB, NABIL, SCB and EBL) were nowhere to be found at the top, although the annualized returns they provided was not bad (14.95% to 26.38%). However, among these scrips, First Microfinance was the clear winner with almost 85% Compounded Annual Growth Rate. In the 5 fiscal years, FMDBL has provided 15% cash dividend for 2 years, 15% bonus share for 3 years, 100% right share once and 50% right share for 2 consecutive years. If one had invested Rs 1 lakh in First Microfinance 5 years ago, it would have grown to Rs 21 lakh as of today.
Oriental Hotels (the operator of Radisson Hotel Chain in Nepal), as a hotel company, had also posted a remarkable growth in this period and distributed dividends for the last 4 years, along with hotcakes such as Muktinath Bikas Bank (MNBBL) and Shikhar Insurance (SICL). Chilime Hydropower (CHCL) and Nepal Doorsanchar (NTC) stood at the bottom of the 15 reviewed scrips, with annualized returns at 13.49% and 13.63% only. Rs 1 lakh invested in Shikhar Insurance five years ago would have yielded Rs 18 lakh today (including all the money reinvested as right share).
And if Rs 15 lakh was invested in these 15 companies five years ago, it would have become Rs 1crore and 17lakhs today
.
Takeaways:
1. Choose mutual funds over fixed deposits
If one does not have time or knowledge for making personal investment decisions, they can always opt for buying mutual funds. Mutual funds invest in many companies from different sectors, are regulated, and are managed by expert fund managers and analysts. SIGS1 provided regular cash dividends during its time, with compounded annual growth of 27.90%. No fixed deposit scheme will ever come close to providing this return.
2. There's almost no correlation between company’s operations and stock performance over the short-term, but 100% correlation in long-term.
Often, there does not seem to be much correlation between how the company is performing and its market performance. When the market is bearish, the prices of every companies start to fall. Using this dip to buy stocks of companies with growth potential will help reach investments goals over broader term. It pays to be patient and to own successful companies.
3. Ride the bear into the bull
Ever since making a high of 1,881 points almost two years ago, market has been in a consolidation phase. Those who had invested at the peak of the bull market in Shrawan 2073 may be at a loss today, however, holding on to the stocks of growing companies will surely lead to a good return. For the last 2 years, NEPSE has been on a downward trend, leading to many moments of panic selling. This has sharply decreased the price of the companies. For example, First Microfinance (FMDBL) had reached over Rs 1600 per kitta last year (2017 April), whereas its price is Rs 500 at the moment. Shikhar Insurance (SICL) can be bought at Rs 950 today, but it had reached Rs 4,300.
What we have to learn is that even when the companies have been devalued by such an extent, the number of shares one possesses has been steadily growing for the past few years. Eventually, this will outweigh all the risks of short-term trading and short-term swings. When the next bull market comes, we can offload the shares bought in bear market and get maximum returns on our investments. So, don’t feel afraid to buy undervalued companies in the bear market. The market may crash, but your share on the good company will only increase. Eventually when the bull arrives (and it will surely arrive), we can ride it. By focusing on long-term value instead of short-term emotions, by being patient when everyone is running to sell their shares, and by choosing companies with good future growth prospects, good returns can be anticipated in the next few years.
This article was first published in ShareSansar on April 3, 2018."
2018-03-06,Siddhartha Investment Growth Scheme 1 refunding to unit holders from Falgun 25 after fund successfully matures,https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-refunding-to-unit-holders-from-falgun-25-after-fund-successfully-matures,"Siddhartha Investment Growth Scheme 1 (SIGS1) has published a notice regarding refund to its unit holders.

As per the notice published by Siddhartha Capital Limited, the scheme manager of SIGS1 has requested unit holders to visit Siddhartha Capital, Naxal, Kathmandu on respective date as published.

Those shareholders who have not yet dematerialize their shares are requested to visit from Falgun 25 to Falgun 28 within office hours and those who have already dematerialize their shares are requested to visit on Falgun 29 and 30, 2074.
Unit holders are bound to carry certificate (in case they have not yet dematerialize), Demat Number, Copy of citizenship or documents describing details of unit holders. Those unit holder who are unable to present herself to collect cheque can transfer authority to his / her nominee with authorized signature attested with the letter.

The fund was matured on Poush 9, 2074.

It had distributed total of 124.5% cash dividend to its unit holders in 5 years.

Its LTP stood at Rs 20.09 as of last trading day."
2018-02-09,"Siddhartha Investment Growth Scheme concludes auction of 49,687 unit promoter shares of Sunrise Bank; Mutual Fund holders to be repaid soon",https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-concludes-auction-of-49687-unit-promoter-shares-of-sunrise-bank-mutual-fund-holders-to-be-repaid-soon,"Siddhartha Investment Growth Scheme-1 (SIGS1) had auctioned its 49,687 unit promoter shares of Sunrise Bank Limited. The auction was open from Poush 20, 2074 to Magh 25, 2074.

Total 10 applicants had applied for the promoter shares of Sunrise Bank Limited. Only two of them received the shares. The cut off price stood Rs 178. Mr Vivek Dugar and Mr Subham Dugar had bid for 30,000 units and 19,687 units of shares.

SIGS1 had recently concluded the auction of 24 different companies. So, the scheme now has liquidated all its investments and will soon be returning money to the investors of the scheme within Falgun, 2074."
2018-02-07,"Siddhartha Investment Growth Scheme 1 closing auction of 49,687 unit promoter shares of Sunrise Bank today",https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-closing-auction-of-49687-unit-promoter-shares-of-sunrise-bank-today,"Siddhartha Investment Growth Scheme 1 (SIGS1) is closing its ­auction for promoter shares of Sunrise Bank Limited (SRBL) today (Magh 24, 2074).

SIGS is selling 49,687 units promoter shares as hold by the mutual fund because the fund matured.

The auction was open from Poush 20, 2074 and the bids will be opened to conclude the auction on Magh 25, 2074.

Siddhartha Capital Limited is the issue manager for this auction.

Interested bidders must bid for minimum of 1000 units of shares.

Interested bidders can collect bid forms from Siddhartha Capital Limited, Naxal, Kathmandu and submit their bids within office hours on Magh 24, 2074.

Interested bidders must attach Good for Payment cheque with the application form.

SRBL had earned Rs 59.42 crore in the second quarter of the FY 2074/75.
Announcement:"
2018-01-17,"Shares of 24 different companies auctioned by Siddhartha Investment Growth Scheme-1 grabbed by LICN, National Life Insurance & Siddhartha Equity Fund",https://www.sharesansar.com/newsdetail/shares-of-24-different-companies-auctioned-by-sigs1-grabbed-by-3-bidders-rs-10-31-crore-worth-shares-sold-at-rs-6-56-crore-only,"Siddhartha Investment Growth Scheme-1 (SIGS1) has successfully concluded the auction of shares of 24 different companies.

As per Mr. Dhruba Timilsina, CEO of Siddhartha Capital, “Out of 17 bidders, only 3 bidders grabbed all the shares. Most of the applications were found to be invalid due to mistake of bid amount, for not bidding all companies and so on"". He further added that SIGS1 will cash all the shares till Magh 24, 2074 and they are in the process to get real costing of the unit holders those who have bought from secondary market from Nepal Stock Exchange (NEPSE). He also said that the unit holders will get refund from Falgun, 2074.
National Life Insurance Company Limited (NLICL) bid for 25% of the total auctioned shares of worth Rs 2.35 crore and was allotted with cent percent as demanded. Similarly, Life Insurance Corporation Nepal (LICN) bid for 50% of the total auctioned shares of worth Rs 4.61 crore and was also allotted with cent percent as demanded. Lastly, Siddhartha Equity Fund  (SEF) bid for 100% of the total auctioned shares of Rs 7.69 crore, but was allotted only with 25% of the shares as demanded by the SEF.

If the closing price of January 16, 2018 was taken into account, Rs 8.71 crore worth shares were allotted for Rs 8.88 crore (
price of MEGA, TDBL and RBBBL were adjusted for their respective right and bonus shares)
.

The application for the auction was open from Poush 26 to Magh 2, 2074. Interested bidders were required to bid for minimum 25% or 50% or 75% or 100% shares of all the companies."
2018-01-16,Siddhartha Investment Growth Scheme 1 closing auction of 24 different companies shares today,https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-closing-auction-of-24-different-companies-shares-today,"Siddhartha Investment Growth Scheme 1 (SIGS1) is ­closing auction of shares from today (Poush 26, 2074).

SIGS is selling shares of 24 different companies as hold by the mutual fund because the fund matured.
The auction was open from Poush 26, 2074. and the bids will be opened to conclude the auction on Magh 3, 2074.

Siddhartha Capital Limited is the issue manager for this auction.

Interested bidders must bid for minimum 25% or 50% or 75% or 100% shares of the unit as published by the company.

Interested bidders can collect bid forms from Siddhartha Capital Limited, Naxal, Kathmandu and submit their bids within office hours on Magh 2, 2074.

Interested bidders must attach Good for Payment cheque with the application form.
Announcement:"
2018-01-10,Siddhartha Investment Growth Scheme 1 auctioning 24 different companies shares from Poush 26,https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-auctioning-24-different-companies-shares-from-poush-26,"Siddhartha Investment Growth Scheme 1 (SIGS1) is ­auctioning shares from Poush 26, 2074.

As per the notice published today, SIGS is selling shares of 24 different companies as hold by the mutual fund because the fund matured.
The auction will last till Magh 2, 2074 and the bids will be opened to conclude the auction on Magh 3, 2074.

Siddhartha Capital Limited is the issue manager for this auction.

Interested bidders must bid for minimum 25% or 50% or 75% or 100% shares of the unit as published by the company.

Interested bidders can collect bid forms from Siddhartha Capital Limited, Naxal, Kathmandu and submit their bids within office hours on Magh 2, 2074.

Interested bidders must attach Good for Payment cheque with the application form.
Announcement:"
2018-01-04,"Siddhartha Investment Growth Scheme 1 auctioning 49,687 unit promoter shares of Sunrise Bank from Poush 20",https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-auctioning-49687-unit-promoter-shares-of-sunrise-bank-from-poush-20,"Siddhartha Investment Growth Scheme 1 (SIGS1) is ­auctioning promoter shares of Sunrise Bank Limited (SRBL) from Poush 20, 2074.

As per the notice published, SIGS is selling 49,687 units promoter shares as hold by the mutual fund because the fund matured.

The auction will last till Magh 24, 2074 and the bids will be opened to conclude the auction on Magh 25, 2074.

Siddhartha Capital Limited is the issue manager for this auction.

Interested bidders must bid for minimum of 1000 units of shares.

Interested bidders can collect bid forms from Siddhartha Capital Limited, Naxal, Kathmandu and submit their bids within office hours on Magh 24, 2074.

Interested bidders must attach Good for Payment cheque with the application form.

SRBL had earned Rs 20.79 crore in the first quarter of the FY 2074/75.
Announcement:"
2017-12-24,Siddhartha Investment Growth Scheme – 1 trading suspended in NEPSE as fund matures,https://www.sharesansar.com/newsdetail/siddhartha-investment-growth-scheme-1-trading-suspended-after-maturity-of-the-tenure,"Siddhartha Investment Growth Scheme – 1 (SIGS1), the first mutual fund scheme managed by Siddhartha Capital, has matured as of Poush 9, 2074. As a result, its trading has been suspended from Nepal Stock Exchange (NEPSE) and all assets under its management will now be liquidated.

The unit holders will be paid back the Net Asset Value (NAV) after completion of the winding up of the fund. SIGS–1 is a 5 years closed-end fund with fund size of Rs 50 crore.

Its LTP stood at Rs 20.09 and latest weekly NAV stood at Rs 21.33 as of Mangsir 22, 2074."
