Date,Headline,Link,Full Content,Sentiment_Score
2026-01-01,Reminder! Last Trading Day to Secure Dividend of Fourteen Companies,https://www.sharesansar.com/newsdetail/reminder-last-trading-day-to-secure-dividend-of-fourteen-companies-2026-01-01,"Today is the last day to claim the proposed dividend from
Swarojgar Laghubitta Bittiya Sanstha Limited (SLBBL).
The company has also called its 17th AGM on 3rd Magh, 2082. The meeting will be held in the Nepal Academy, Kamaladi, Kathmandu, starting at 11:30 AM that day.
Among the other agendas, the AGM will endorse a 15% dividend worth Rs. 11.75 crores for FY 2081/82. The 297th meeting of the board of directors on Poush 04 decided to distribute the dividend on the paid-up capital of Rs. 78.39 Crores. 14.25% bonus shares worth Rs 11.17 crores and a 0.75% cash dividend (for tax) worth Rs 58.79 Lakhs have been proposed.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Similarly, Today is the last day to grab the dividend proposed by
Arun Valley Hydropower Development Company Limited (AHPC).
The company has also called its 28th AGM on 30th Poush, 2082. The meeting will be held in the Hotel Crystal Pashupati, Gaushala, Kathmandu, starting at 11:00 am that day.
Among the other agendas, the AGM will endorse a 5.263% dividend for the fiscal year 2081/82. The dividend percentage decreased from the previous 8.421% to 5.263% dividend for the fiscal year 2081/82. Earlier, 8% bonus shares and 0.421% cash dividend (including for tax purposes) were proposed from the paid-up capital of Rs. 3.84 Arba. The Board of Directors, in their 193rd meeting held on Poush 08, 2082, revised the dividend for the fiscal year 2081/82 to 5.263%, which includes 5% bonus shares and a 0.263% cash dividend.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Samata Gharelu Laghubitta Bittiya Sanstha Limited (SMATA).
The company has also called its 12th AGM on 30th Poush, 2082. The meeting will be held in the Himalaya Drishya Resort, Dhulikhel, Kavrepalanchok, starting at 11:30 am that day.
Among the other agendas, the AGM will endorse a 5.26% dividend for the fiscal year 2081/82. The Board of Directors of the company decided to distribute the dividend on the paid-up capital of Rs. 62.90 Crores. 5% bonus shares worth slightly over Rs. 3.14 crores and 0.2632% cash dividend (including tax) worth Rs 16.55 Lakhs have been proposed.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Mero Microfinance Laghubitta Bittiya Sanstha Limited (MERO).
The company has also called its 13th AGM on 30th Poush, 2082. The meeting will be held in the Hotel Water Tower's Sabha Hall, Bidur-04, Battar, Nuwakot, starting at 9:00 am that day.
Among the other agendas, the AGM will endorse a 5% dividend for the fiscal year 2081/82. The meeting of the board of directors decided to distribute the dividend on the paid-up capital of Rs. 1.41 Crores. 4.75% bonus shares worth slightly over Rs. 6.74 Crores and 0.25% cash dividend (including tax) worth Rs 35.47 Lakhs have been proposed.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Shree Investment Finance Company Limited (SIFC).
The company has also called its 31st AGM on 30th Poush, 2082. The meeting will be held in the Shree Investment and Finance Registered Office, Dillibazar, Kathmandu, starting at 10:30 am that day.
Among the other agendas, the AGM will endorse a 6.4% cash dividend for the fiscal year 2081/82. The 362nd board of directors meeting on Mangsir 9 decided to distribute the dividend on the paid-up capital of Rs. 1 Arba. A 6.4% cash dividend (for tax purposes) has been proposed. Thus, the cash dividend (including for tax purposes) is worth Rs. 6.4 crore.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to grab the dividend proposed by
Api Power Company Limited (API).
The company has also called its 22nd AGM for 29th Poush, 2082. The meeting will be held at 11:00 AM that day in the Karki Banquet, Babarmahal, Kathmandu.
The 4th meeting of the board of directors held on Poush 07 has proposed a 5.2632% dividend for the fiscal year 2081/82. A 5% bonus share and a 0.2632% cash dividend (including tax) have been proposed. The paid-up capital of the company is Rs. 6.07 Arba.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
Global IME Laghubitta Bittiya Sanstha Limited (GILB).
The company has also called its 13th AGM on 29th Poush, 2082. The meeting will be held in the Temple Bell Boutique Hotel & Spa Pvt. Ltd., Lakeside, Pokhara, starting at 10:00 a.m. that day.
Among the other agendas, the AGM will endorse a 5% dividend worth Rs. 3.09 crores for the fiscal year 2081/82. The 212th meeting of the board of directors on Poush 04 decided to distribute the dividend on the paid-up capital of Rs. 61.89 Crores. 4.75% bonus shares worth Rs 2.93 crores and a 0.25% cash dividend (for tax) worth Rs 15.47 Lakhs have been proposed.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
Kalika Power Company Limited (KPCL).
The company has also called its 18th AGM on 28th Poush, 2082. The meeting will be held in the Diyalo Foodland Chitwan Pvt. Ltd., Bharatpur-10, Chitwan, starting at 11 am that day.
Among the other agendas, the AGM will endorse a 7.3684% dividend for the fiscal year 2081/82. 7% bonus shares worth Rs 6.53 crores and 0.3684% cash dividend (including tax) worth Rs 34.40 lakhs have been proposed on the paid-up capital of Rs 93.39 crores.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
Himalayan Laghubitta Bittiya Sanstha Limited (HLBSL).
The company has also called its 14th AGM on 28th Poush, 2082. The AGM will be held on the premises of Bougainvilla Events, Tripureshwor, Kathmandu, at 11:00 AM.
Among the other agendas, the AGM will endorse a 7% dividend for the fiscal year 2081/82. The 248th meeting of the board of directors held on Mangsir 11 has decided the dividend on the paid-up capital of Rs. 31.98 Crores. 6.65% bonus shares worth slightly over Rs. 2.12 crores and 0.35% cash dividend (including tax) worth Rs 11.19 lakhs have been proposed.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
SuryaJyoti Life Insurance Company Limited (SJLIC).
The company has also called its 18th AGM on 30th Poush, 2082. The meeting will be held in the Hotel Harrison Palace, Biratnagar, starting at 10:30 am that day.
Among the other agendas, the AGM will endorse a 13% cash dividend for the fiscal year 2081/82. The 411th board of directors meeting on Poush 04 decided to distribute the dividend on the paid-up capital of Rs. 5.01 Arba. A 13% cash dividend (for tax purposes) has been proposed. Thus, the cash dividend (including for tax purposes) is worth Rs. 65.15 Crores.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
United Idi-Mardi and R.B. Hydropower Limited (UMRH).
The company has also called its 16th AGM on 27th Poush, 2082. The meeting will be held at 11 AM that day in the Aavya Club, Pokhara, Kaski.
Among the other agendas, the AGM will endorse a 5.26% dividend for FY 2081/82. The meeting of the board of directors held on Mangsir 29 has decided to distribute 5% bonus share worth Rs. 2.30 crores and 0.26% cash dividend worth Rs. 11.98 lakhs (including the amount for tax purposes) from the paid-up capital. The paid-up capital of the company is Rs. 46.08 Crores.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
Siddhartha Premier Insurance Limited (SPIL).
The company has also called its 32nd AGM on 29th Poush, 2082. The AGM will be held on the premises of Rani Mahal Banquet, Gyaneshwor, Kathmandu at 11:00 AM.
Among the other agendas, the AGM will endorse a 25% dividend for the fiscal year 2081/82. The 44th meeting of the board of directors held on Mangsir 25 has decided to distribute a 25% cash dividend (including tax). The cash dividend is worth Rs. 70.16 crores. The existing paid-up capital of SPIL is Rs. 2.80 Arba.
The book closure date is on Poush 18. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
Also, Today is the last day to claim the proposed dividend from
Nepal Doorsanchar Company Limited (NTC).
The company has also called its 18th AGM on 30th Poush, 2082. The AGM will be held in Rastriya Sabha Griha, Pradarshani Marg, Kathmandu, starting at 11 am that day.
Among other proposals, the AGM will endorse the dividend for the fiscal year 2081/82. The 1089th meeting of the board of directors held on Poush 08, 2082, decided to distribute a Rs. 30 per share cash dividend to its shareholders on the paid-up capital of Rs. 18 Arba.
The book closure date is on Poush 20. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.
And, Today is the last day to claim the proposed dividend from
Sagarmatha Lumbini Insurance Company Limited (SALICO).
The company has also called its 29th AGM on 29th Poush, 2082. The meeting will be held in the Amritbhog, Kalikasthan, Kathmandu, starting at 10:30 am that day.
Among the other agendas, the AGM will endorse a 15% cash for FY 81/82. The 45th meeting of the board of directors held on Poush 03 has decided to distribute a 15% cash dividend (including tax) worth 39.33 crores from the paid-up capital. The existing paid-up capital of SALICO is Rs. 2.62 Arba.
The book closure date is on Poush 20. Thus, shareholders who maintained their positions before that day are entitled to the dividend payout and can also attend this AGM.",0.8356285095214844
2025-12-24,Arun Valley Hydropower Amended Dividend to 5.263% for Fiscal Year 2081/82; How Much in Bonus Shares and Cash Now?,https://www.sharesansar.com/newsdetail/arun-valley-hydropower-amended-dividend-to-5263-for-fiscal-year-208182-how-much-in-bonus-shares-and-cash-now-2025-12-24,"Arun Valley Hydropower Development Company Limited (AHPC)
has amended the dividend percentage from the previous 8.421% to 5.263% dividend for the fiscal year 2081/82.
Earlier, 8% bonus shares and 0.421% cash dividend (including for tax purposes) were proposed from the paid-up capital of Rs. 3.84 Arba.
The dividend was subject to being distributed only after approval from the Electricity Regulatory Commission and endorsement by the company's upcoming AGM. As per the Electricity Regulatory Commission’s recommendations, the company has amended the dividend to 5.263%.
The Board of Directors, in their 193rd meeting held on Poush 08, 2082, revised the dividend for the fiscal year 2081/82 to 5.263%, which includes 5% bonus shares and a 0.263% cash dividend.",0.8013041019439697
2025-12-08,Comprehensive Data Compilation on Lock-In Periods of Hydropower Companies Listed on NEPSE,https://www.sharesansar.com/newsdetail/comprehensive-data-compilation-on-lock-in-periods-of-hydropower-companies-listed-on-nepse-2025-12-08,"A lock-in period refers to a set timeframe during which investors are not allowed to sell or transfer their shares, a rule generally imposed through regulations or contractual terms to maintain stability and curb short-term speculation. In Nepal, companies in sectors such as hydropower, investment, manufacturing & processing, and hotels are subject to a mandatory three-year lock-in period on NEPSE after IPO allotment to the public. For hydropower and manufacturing & processing firms, both promoters and project-affected locals must hold their units throughout this period. In the investment and hotel sectors—where there is no separate IPO reservation for locals—the lock-in requirement applies only to promoter shares. This setup ensures long-term commitment from key stakeholders and limits abrupt sell-offs during the early phase of a company’s market presence.
Regulators highlight that combining the three-year lock-in rule with the provision allowing companies to distribute dividends from their first profitable year creates a balanced approach for both investors and the market. By requiring promoters to stay invested in the initial years, the market is protected from sudden, large-scale disposals of shares during uncertain conditions. This mechanism plays a vital role in preserving market confidence, enhancing resilience, and supporting sustainable growth within Nepal’s capital markets.
The lock-in duration applicable to listed hydropower companies is detailed below:
The Nepal Stock Exchange (NEPSE) currently has 97 listed hydropower companies. Among those companies actively traded, a considerable portion has already completed their lock-in periods.
In 2025 alone, two companies will see their lock-in periods expire. This will be followed by nine companies in 2024, sixteen in 2026, and an additional seven companies in 2028.",0.912453293800354
2025-09-18,Arun Valley Hydropower Development Company Proposes 8.421% Dividend; How Much in Bonus Shares and Cash?,https://www.sharesansar.com/newsdetail/arun-valley-hydropower-development-company-proposes-8421-dividend-how-much-in-bonus-shares-and-cash-2025-09-18,"Arun Valley Hydropower Development Company Limited (AHPC)
has proposed an 8.421% dividend for the fiscal year 2081/82.
The meeting of the board of directors held on Ashwin 01 has proposed an 8% bonus share and 0.421% cash dividend for the fiscal year 2081/82. The company's existing paid-up capital is Rs. 3.84 Arba. The cash dividend includes the tax amount for the bonus shares.
The dividend will be distributed only after approval by the Electricity Regulatory Commission and endorsement by the company's upcoming 28th AGM.
As of writing, AHPC has an LTP of Rs. 282.24.",0.9128882884979248
2025-08-15,"Arun Valley Hydropower (AHPC) Reports Massive Surge in Q4 Profit; Revenue Soars by 149.29%, EPS Reaches Rs. 11.65",https://www.sharesansar.com/newsdetail/arun-valley-hydropower-ahpc-reports-massive-surge-in-q4-profit-revenue-soars-by-14929-eps-reaches-rs-1165-2025-08-15,"Arun Valley Hydropower Development Company Limited (AHPC)
has reported a remarkable turnaround in its financial performance for the fourth quarter of FY 2081/82, posting a net profit of Rs. 44.81 crore, a sharp rise from just Rs. 4.92 lakh in the corresponding quarter last year.
The company’s paid-up capital stood at Rs. 3.84 arba, up by 3% from the previous year. Other equity surged by 231.74% to Rs. 47.12 crore. Property, plant, and equipment remained nearly stable at around Rs. 2.62 Arba.
Income from power sales soared by 149.29% to Rs. 27.47 crore, while other income rose by 82.70% to Rs. 46.84 crore. Earnings per share (EPS) improved significantly to Rs. 11.65 from just Rs. 0.01 a year ago, and the net worth per share increased by 8.13% to Rs. 112.25.
At the end of Q4, the company’s price-to-earnings (P/E) ratio stood at 25.05 times, with a quarter-end market price of Rs. 291.69.
Report:
Particulars (In Rs '000)
Arun Valley Hydropower Development Company
Q4 2081/82
Q4 2080/81
Difference
Paid Up Capital
3,848,003.00
3,735,925.20
3.00%
Other Equity
471,238.48
142,051.52
231.74%
Property, Plant & Equipment
2,629,219.14
2,631,667.45
-0.09%
Investment
885,102.77
711,267.81
24.44%
Income from Power Sales
274,746.58
110,211.41
149.29%
Other Income
468,462.90
256,404.27
82.70%
Net Profit
448,137.55
492.08
90970.98%
EPS (In Rs.)
11.65
0.01
88318.43%
Net Worth per Share (In Rs.)
112.25
103.80
8.13%
Qtr end PE Ratio (times)
25.05
-
-
Qtr End Market Price
291.69
-
-",-0.9101402163505554
2025-05-07,"Arun Valley Hydropower Reports a Staggering Surge in Net Profit to Rs. 34.18 Crores in Q3; Revenue Soars by 228.25%, While EPS Reaches Rs. 11.85",https://www.sharesansar.com/newsdetail/arun-valley-hydropower-reports-a-staggering-surge-in-net-profit-to-rs-3418-crores-in-q3-revenue-soars-by-22825-while-eps-reaches-rs-1185-2025-05-07,"Arun Valley Hydropower Company Limited (AHPC)
has posted a phenomenal financial performance in the third quarter of fiscal year 2081/82, with net profit skyrocketing by an astounding 5798.91%, reaching Rs. 34.18 crores, compared to just Rs. 57.95 lakhs in the corresponding quarter of the previous fiscal year.
The company’s revenue surged by 228.25%, rising from Rs. 6.01 crores to Rs. 19.74 crores, reflecting significantly improved generation and operational efficiency. This remarkable growth has come alongside a dramatic reduction in finance costs, which dropped by 79.16% to Rs. 3.09 crores, owing to a complete repayment of borrowings. Arun Valley reported zero borrowings in this quarter, compared to Rs. 12.42 crores in Q3 2080/81 — a strong signal of financial self-sufficiency.
The company also saw a 106% increase in its paid-up capital, which now stands at Rs. 3.85 Arba, while other equity rose by an extraordinary 464.22% to Rs. 36.78 crores.
Despite a rise in administrative expenses by 177.41% to Rs. 80.88 lakhs, the explosive growth in revenue and cost management has resulted in a massive leap in profitability. The annualized Earnings Per Share (EPS) jumped to Rs. 11.85, up by an exceptional 2763.55%, while the net worth per share improved by 5.87%, standing at Rs. 109.56.
Report:
Major Highlights:
Particulars (In Rs '000)
Arun Valley Hydropower
Q3 2081/82
Q3 2080/81
Difference
Paid Up Capital
3,848,003.00
1,867,962.60
106.00%
Other Equity
367,881.16
65,202.15
464.22%
Borrowings
0.00
124,220.00
-
Property, Plant and Equipment
2,567,165.71
2,509,913.57
2.28%
Revenue
197,431.61
60,147.54
228.25%
Administrative expenses
8,088.95
2,915.89
177.41%
Finance Cost
30,951.00
148,512.43
-79.16%
Net Profit
341,898.52
5,795.96
5798.91%
Annualized EPS (In Rs.)
11.85
0.41
2763.55%
Net Worth per Share (In Rs.)
109.56
103.49
5.87%
Qtr end PE Ratio (times)
21.09
-
Qtr End Market Price
249.9
-",-0.9176410436630249
2025-02-07,"Arun Valley Hydropower Reports Rs. 19.42 Crore Net Profit in Q2 2081/82, EPS at Rs. 10.09",https://www.sharesansar.com/newsdetail/arun-valley-hydropower-reports-rs-1942-crore-net-profit-in-q2-208182-eps-at-rs-1009-2025-02-07,"Arun Valley Hydropower Development Company Limited (AHPC)
has posted a net profit of Rs. 19.42 crore in the second quarter (Q2) of the fiscal year 2081/82, marking a sharp 734.95% increase from Rs. 2.32 crore in the same period last year. The surge in profitability was primarily driven by a significant rise in revenue despite a decline in finance income.
The company's revenue jumped by 341.25% to Rs. 14.12 crore, reflecting improved operational performance. However, finance income declined by 70.06% to Rs. 2.28 crore, while administrative expenses surged by 406.65% to Rs. 71.79 lakh.
Arun Valley Hydropower’s paid-up capital more than doubled to Rs. 3.85 arba following a rights issue, strengthening its equity base. Other equity also increased by 166.37% to Rs. 22.02 crore. Meanwhile, borrowings declined by 55.74% to Rs. 10.22 crore, reducing financial liabilities.
The company’s annualized earnings per share (EPS) rose to Rs. 10.09 from Rs. 2.49, while the net worth per share improved slightly to Rs. 105.72. At the end of the quarter, Arun Valley Hydropower’s stock was trading at Rs. 501.40, with a price-to-earnings (P/E) ratio of 49.67 times.
Report:
Major Highlights:
Particulars (In Rs '000)
Arun Valley Hydropower
Q2 2081/82
Q2 2080/81
Difference
Paid Up Capital
3,848,003.00
1,867,962.60
106.00%
Other Equity
220,207.16
82,668.14
166.37%
Borrowings
102,252.46
231,007.69
-55.74%
Property, Plant and Equipment
2,595,502.13
2,514,055.07
3.24%
Revenue
141,288.14
32,019.79
341.25%
Administrative expenses
7,179.01
1,416.96
406.65%
Finance Income
22,845.81
76,299.47
-70.06%
Net Profit
194,224.51
23,261.94
734.95%
Annualized EPS (In Rs.)
10.09
2.49
305.31%
Net Worth per Share (In Rs.)
105.72
104.43
1.24%
Qtr end PE Ratio (times)
49.67
-
Qtr End Market Price
501.4
-",-0.12467934936285019
2024-12-11,"Bonus Shares of SWBBL, AHPC and GLBSL Now Listed in NEPSE",https://www.sharesansar.com/newsdetail/bonus-shares-of-swbbl-ahpc-and-glbsl-now-listed-in-nepse-2024-12-11,"20,66,250 unit bonus shares of
Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL)
have been listed in NEPSE.
The company convened its 23rd AGM on 30th Kartik, 2081, and endorsed a 15% dividend from the profits of FY 2080/81 for shareholders. The 439th board of directors meeting held on Ashwin 12 decided to distribute the dividend on the paid-up capital of Rs. 1.45 Arba. 14.25% bonus shares worth Rs 20.66 crores and a 0.75% cash dividend (including tax) worth Rs. 1.08 Crore were proposed. The same bonus shares are now listed in NEPSE.
As of writing, SWBBL has an LTP of Rs. 900.
Similarly, 11,20,778 unit bonus shares of
Arun Valley Hydropower Development Co. Ltd. (AHPC)
have been listed in NEPSE.
The company convened its 27th AGM on 14th Kartik, 2081, and endorsed 3% bonus shares and 0.157% cash dividend (including tax) from the paid-up capital of Rs. 3.73 Arba. The same bonus shares are now listed in NEPSE.
AHPC closed at Rs. 271.
Likewise, 1,44,495 unit bonus shares of
Gurans Laghubitta Bittiya Sanstha Limited (GLBSL)
have been listed in NEPSE.
The company convened its 9th AGM on 29th Ashwin, 2081, and endorsed a 15% dividend from the profits of FY 2080/81 for shareholders. The 142nd meeting of the board of directors held on Bhadra 24 decided to distribute the dividend from the paid-up capital of Rs. 10.14 crores. 14.25% bonus shares worth Rs. 1.44 Crores and 0.75% cash dividend (including tax) worth Rs. 7,60,500 were proposed.
As of writing, GLBSL has an LTP of Rs. 2,260.",0.861964762210846
2024-11-11,Arun Valley Hydropower's Net Profit Surges Over 720% in Q1 2081/82 with Strong Revenue Growth; Annualized EPS Reached to Rs. 12.12,https://www.sharesansar.com/newsdetail/arun-valley-hydropowers-net-profit-surges-over-720-in-q1-208182-with-strong-revenue-growth-annualized-eps-reached-to-rs-1212-2024-11-11,"Arun Valley Hydropower Development Company Limited (AHPC)
has delivered a significant financial performance in the first quarter of fiscal year 2081/82, showing significant growth across various metrics.
The company’s paid-up capital doubled, reaching Rs. 3.73 Arba compared to Rs. 1.87 arba in Q1 2080/81. Reserve and surplus saw a remarkable growth of 231.59%, rising from Rs. 7.70 crores to Rs. 25.53 crores, reflecting strengthened financial resilience.
Arun Valley’s property, plant, and equipment assets increased by 3.83%, totaling Rs. 2.61 Arba this quarter, up from Rs. 2.52 Arba a year earlier, indicating ongoing investments in infrastructure. The company’s investment portfolio also showed substantial growth, increasing by 64.94% to reach Rs. 1.23 Arba from Rs. 74.83 crores in Q1 2080/81.
A key highlight was the surge in revenue from power sales, which rose by 485.57% to Rs. 7.74 crores, a significant increase from Rs. 1.32 crores in the previous year’s first quarter. This strong revenue growth contributed to a significant rise in net profit, which jumped by 720.51% to Rs. 11.32 crores, up from Rs. 1.38 crores last year.
The company's administrative expenses increased by 40.37% to Rs. 11.10 lakhs, while finance expenses dropped sharply by 70.72%, decreasing from Rs. 4.21 crores to Rs. 1.23 crores. This reduction in finance expenses likely played a role in boosting the bottom line.
Annualized Earnings per share (EPS) rose significantly, reaching Rs. 12.12, a 310.26% increase from last year’s Rs. 2.96. The company’s net worth per share also improved slightly, standing at Rs. 106.83 compared to Rs. 104.12 in the same period last year, marking a 2.60% increase.
At the end of the quarter, Arun Valley Hydropower’s price-to-earnings (PE) ratio was recorded at 23.84 times, with a quarter-end market price of Rs. 289 per share.
Report:
Major Highlights:
Particulars (In Rs '000)
Arun Valley Hydropower Development Company
Q1 2081/82
Q1 2080/81
Difference
Paid Up Capital
3,735,925.20
1,867,962.60
100.00%
Reserve and Surplus
255,285.34
76,987.48
231.59%
Property, Plant & Equipment
2,617,184.34
2,520,631.27
3.83%
Investment
1,234,340.33
748,340.93
64.94%
Revenue from Power Sales
77,441.96
13,225.04
485.57%
Administrative Expenses
1,110.38
791.02
40.37%
Finance Expenses
12,314.71
42,052.11
-70.72%
Net Profit
113,233.82
13,800.36
720.51%
EPS (In Rs.)
12.12
2.96
310.26%
Net Worth per Share (In Rs.)
106.83
104.12
2.60%
Qtr end PE Ratio (times)
23.84
-
-
Qtr End Market Price
289
-
-",-0.9400458931922913
2024-10-20,Reminder! Last Day to Grab Dividend Proposed by Arun Valley Hydropower Development Company,https://www.sharesansar.com/newsdetail/reminder-last-day-to-grab-dividend-proposed-by-arun-valley-hydropower-development-company-2024-10-20,"Today is the last day to grab the dividend proposed by
Arun Valley Hydropower Development Company Limited (AHPC).
The company has also called its 27th AGM on 14th Kartik, 2081. The meeting will be held in Hotel Crystal Pashupati, Gaushala, Kathmandu, starting from 11:00 AM that day.
The company will now distribute 3% bonus shares and 0.157% cash dividend (including tax) from the paid-up capital. The paid-up capital of the company is Rs. 3.73 Arba.
Kartik 5 is the book closure date. Thus, shareholders maintained till today are entitled to the dividend payout and can attend the AGM.
As of writing, AHPC has an LTP of Rs. 289.00.",0.929953932762146
