Date,Headline,Link,Full Content,Sentiment_Score
2024-11-10,Promoter Shares Of Machhapuchchhre Bank And Citizens Bank Limited In Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-machhapuchchhre-bank-and-citizens-bank-limited-in-auction-from-today-2024-11-10,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 3,00,258 units of shares to the promoter shareholders from today.
Aajad Shrestha intends to sell 3,00,258 units of promoter shares to the promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from this notice's publication date, i.e. 25th Kartik.
The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
MBL closed at Rs. 251.70. Meanwhile, MBLPO has an LTP of Rs. 113.00.
Auction Notice:
The existing promoter of
Citizens Bank International Limited (CZBIL)
is auctioning 25,000 units of shares to the interested promoter shareholders from today.
Chandra Investment Pvt. Ltd. intends to sell 25,000 units of promoter shares to the existing promoter shareholders. The minimum bid rate for the auction is Rs. 125. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 25th Kartik, 2081.
The shareholders should submit their bids at the central office of the bank located at Narayanhiti Path, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
CZBIL closed at Rs. 232.00. Meanwhile, CZBILP has an LTP of Rs. 102.00.
Auction Notice:",0.9159430265426636
2024-10-18,Promoter Shares Of Machhapuchchhre Bank  And Prabhu Bank In Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-machhapuchchhre-bank-and-prabhu-bank-in-auction-from-today-2024-10-18,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 10,56,917 units of shares to the general public/institutions from today.
Ganesh Bahadur Shrestha intends to sell 10,56,917 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 7 days from this notice's publication date, i.e. 2nd Kartik.
Shareholders are required to submit their bids at Machhapuchchhre Capital Limited, located at Baghdurbar, JDA Complex, Kathmandu. Previously, the shares were auctioned to promoter shareholders as well as the general public and institutions. However, no bids were received from existing promoter shareholders, the general public, or institutions within the designated timeframe. As a result, the shares are now reopened for auction to the general public.
MBL closed at Rs. 266.40. Meanwhile, MBLPO has an LTP of Rs. 113.00.
Auction Notice:
The existing promoter of
Prabhu Bank Limited (PRVU)
is auctioning 2,82,619 units of shares to the general public/institutions from today.
2,82,619 unit promoter shares of PRVU will be auctioned. The general public/institutions are eligible to bid for the auction.
With no bids received from the existing shareholders within the allotted time frame, the shares are now open for auction to the general public as of today, the 2nd Kartik, 2081. Interested individuals are requested to bid for the auction within 15 days from the date of publication of this notice, i.e. 2nd Kartik. The shareholders should submit their bids at the central office of the bank located at Babarmahal, Kathmandu.
PRVU closed at Rs. 265.00. Meanwhile, PRVUPO has an LTP of Rs. 100.00.
Auction notice:",0.9086926579475403
2024-06-16,"Promoter Shares of MBL, KBL, And SALICO in Auction from Today",https://www.sharesansar.com/newsdetail/promoter-shares-of-mbl-kbl-and-salico-in-auction-from-today-2024-06-16,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 10,56,917 units of shares to the general public/institutions from today.
Ganesh Bahadur Shrestha intends to sell 10,56,917 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 7 days from this notice's publication date, i.e. 2nd Ashadh.
The shareholders should submit their bids at the Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
MBL closed at Rs. 178.50. Meanwhile, MBLPO has an LTP of Rs. 113.00.
Auction Notice:
Similarly, The existing promoter of
Kumari Bank Limited (KBL)
is auctioning 27,798 units of shares to the interested promoter shareholders from today.
Radhe Shyam Suwal intends to sell 27,798 unit promoter shares. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 2nd Ashadh.
The shareholders should submit their bids at the central office of the bank located at Tangal, Kathmandu, or at Kumari Capital Limited located at Naxal, Nagpokhari, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be auctioned to the general public.
KBL closed at Rs. 142.00. Meanwhile, KBLPO has an LTP of Rs.104.00.
Auction Notice:
Kumari Bank Limited (KBL)
is selling the promoter shares of S
agarmatha Lumbini Insurance Company Limited (SALICO)
in the auction from today i.e. 2nd Ashad to 9th Ashad, 2081.
64,612 unit promoter shares of SALICO are being auctioned. Promoter shareholders and the general public are eligible to bid in the auction of SALICO. Rs. 275 is the minimum bid rate for SALICO's auction. The minimum bid quantity for promoters’ shares is 5,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by the Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Kumari Capital is the auction manager. As of writing, SALICO has an LTP of Rs. 697.00.
Auction Notice:",0.9265450835227966
2024-04-15,Promoter Shares of Kumari Bank And Machhapuchchhre Bank In Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-kumari-bank-and-machhapuchchhre-bank-in-auction-from-today-2024-04-15,"The existing promoter of
Kumari Bank Limited (KBL)
is auctioning 27,464 units of shares to the interested promoter shareholders from today.
Ranjita Manandhar intends to sell 11,698 units and Chandra Devi Kandel intends to sell 15,766 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 3rd Baishakh, 2081.
The shareholders should submit their bids at the central office of the bank located at Tangal, Kathmandu, or at Kumari Capital Limited located at Naxal, Nagpokhari, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
KBL closed at Rs. 136.90 yesterday. Meanwhile, KBLPO has an LTP of Rs.106.00.
Auction Notice:
Similarly, The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 8,268 units of shares to the interested promoter shareholders from today.
Indu Kumari Karki intends to sell 8,268 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 3rd Baishakh, 2081.
The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
MBL closed at Rs. 174.00 yesterday. Meanwhile, MBLPO has an LTP of Rs. 113.00.
Auction Notice:",0.9091461896896362
2024-02-13,"Promoter Shares of MBL, KBL And NMFBS In Auction From Today",https://www.sharesansar.com/newsdetail/promoter-shares-of-mbl-kbl-and-nmfbs-in-auction-from-today-2024-02-13,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 10,56,917 units of shares to the interested promoter shareholders from today.
Ganesh Bahadur Shrestha intends to sell 10,56,917 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 1st Falgun.
The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
MBL closed at Rs. 183.60 yesterday. Meanwhile, MBLPO has an LTP of Rs. 133.50 as of 8th February 2024.
Auction Notice:
Similarly, The existing promoter of
Kumari Bank Limited (KBL)
is auctioning 3,166 units of shares to the general public from today.
Tula Ram Sijali intends to sell 3,166 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 35 days from this notice's publication date, i.e. 1st Falgun.
The shareholders should submit their bids at the central office of the bank located at Naxal, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
KBL closed at Rs. 149.00 yesterday. Meanwhile, KBLPO has an LTP of Rs. 106.00 as of 28th January, 2024.
Auction Notice:
The existing promoter of
Kumari Bank Limited (KBL)
is auctioning 5,023 units of shares to the interested promoter shareholders from today.
Ratna Kumari Aale Magar intends to sell 5,023 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 1st Falgun.
The shareholders should submit their bids at the central office of the bank located at Tangal, Kathmandu, or at Kumari Capital Limited located at Naxal, Nagpokhari, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
KBL closed at Rs. 149.00 yesterday. Meanwhile, KBLPO has an LTP of Rs. 106.00 as of 28th January, 2024.
Auction Notice:
The existing promoter of
National Laghubitta Bittiya Sanstha Limited (NMFBS)
is auctioning 2,812 units of shares to the interested promoter shareholders from today.
Indra Narayan Prasai intends to sell 2,312 units, and Roji Joshi intends to sell 500 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 1st Falgun.
The shareholders should submit their bids at the central office of the bank located at Banepa-10, Kavrepalanchok. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
NMFBS closed at Rs. 1,101.00 yesterday. Meanwhile, NMFBSP has an LTP of Rs. 631.00 as of 30th January, 2024.
Auction Notice:",0.906680703163147
2024-01-21,Promoter Shares of Machhapuchchhre Bank in Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-machhapuchchhre-bank-in-auction-from-today-2024-01-21,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 59,656 units of shares to the interested promoter shareholders from today.
Deepak Raj Dali intends to sell 59,656 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 7th Magh.
The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
Auction Notice:
Similarly, another promoter of
Machhapuchchhre Bank Limited (MBL)
is selling 62,165 units through auction to the general public from today.
Indu Kumari Karki intends to sell 62,165 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 7 days from this notice's publication date, i.e. 7th Magh.
The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
As of writing, MBL has an LTP of Rs. 204.00. Meanwhile, MBLPO has an LTP of Rs. 136.00 as of May 10, 2023.
Auction Notice:",0.9234844446182251
2024-01-19,1.2 Crore Units Promoter Shares of Machhapuchchhre Bank in Auction from Today,https://www.sharesansar.com/newsdetail/12-crore-units-promoter-shares-of-machhapuchchhre-bank-in-auction-from-today-2024-01-19,"Surendra Mahato is auctioning 1,12,32,492 units of promoter shares of
Machhapuchchhre Bank Limited (MBL)
. The auction is open from today i.e. on 5th Magh to 15th Magh, 2080.
Earlier, the promoter initially attempted to sell 1,12,32,492 units of promoter shares to existing promoter shareholders at a minimum bid rate of Rs. 100. However, as no bids were received during the auction period from 25th Ashwin, 2080, the unsold shares were subsequently made available to the general public, interested promoter shareholders, and institutions from 25th Poush to 2nd Magh at a revised minimum bid rate of Rs. 115.
Again, the same 1,12,32,492 units of previously unsold promoter shares are in the auction from today to qualified interested promoter shareholders including the general public and institutions. These promoter shares constitute approximately 18.95% of the total promoter shares, representing a 51% ownership stake in MBL. With a total of 11.62 Crore units of shares listed on the Nepal Stock Exchange (NEPSE), these shares being auctioned constitute about 9.66% of the total shares. This auction is expected to attract the attention of investors and may have an impact on the ownership structure of MBL.
Qualified interested promoters shareholders including the general public and institutions are eligible to bid in an auction. Rs. 113 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 1,00,000 units. The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu.
MBL closed at Rs. 204.00 yesterday. Meanwhile, MBLPO has an LTP of Rs. 136.00 as of May 10, 2023.
Auction Notice:",0.9194866418838501
2024-01-16,Auction closing day of Machhapuchchhre Bank 1.12 Crore Units Promoter Shares,https://www.sharesansar.com/newsdetail/auction-closing-day-of-machhapuchchhre-bank-112-crore-units-promoter-shares-2024-01-16,"The existing promoter shareholder of
Machhapuchchhre Bank Limited (MBL)
is closing the auction of 1,12,32,492 units of promoter shares from today i.e. 2nd Magh, 2080.
Surendra Mahato, a promoter of MBL is set to sell 1,12,32,492 units of promoter shares, which represents approximately 18.95% of the total promoter shares or 51% ownership. With a total of 11.62 Crore units of shares listed on the Nepal Stock Exchange (NEPSE), these shares being auctioned constitute about 9.66% of the total shares. This auction is expected to attract the attention of investors and may have an impact on the ownership structure of MBL.
Rs. 115 is the minimum bid rate. The general public and institutions can bid for the auction within 2nd Magh. The shareholders should submit bids at Machhapuchchhre Capital Limited located at JDA Office Complex, Kathmandu.
As of writing, MBL has an LTP of Rs. 203.00. Meanwhile, MBLPO has an LTP of Rs. 136.00 as of May 10, 2023.",0.9232012629508972
2024-01-10,Promoter Shares of Machhapuchchhre Bank in Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-machhapuchchhre-bank-in-auction-from-today-2024-01-10,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 1,12,32,492 units of shares to the qualified interested promoter shareholders/general public/institutions from today.
Surendra Mahato, a promoter of MBL is set to sell 1,12,32,492 units of promoter shares, which represents approximately 18.95% of the total promoter shares or 51% ownership. With a total of 11.62 Crore units of shares listed on the Nepal Stock Exchange (NEPSE), these shares being auctioned constitute about 9.66% of the total shares. This auction is expected to attract the attention of investors and may have an impact on the ownership structure of MBL.
Only the qualified interested promoter shareholders/general public/institutions are eligible to bid for the auction from today i.e. 25th Poush to 2nd Magh, 2080. Rs. 115 is the minimum bid rate. The minimum bid quantity for promoters’ shares is 10,00,000 units. The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu.
MBL closed at Rs. 197.80 yesterday. Meanwhile, MBLPO has an LTP of Rs. 136.00 as of May 10, 2023.
Auction Notice:",0.9259915947914124
2023-10-12,Almost 19% Promoter Shares of Machhapuchchhre Bank in Auction From Today,https://www.sharesansar.com/newsdetail/almost-19-promoter-shares-of-machhapuchchhre-bank-in-auction-from-today-2023-10-12,"The existing promoter of
Machhapuchchhre Bank Limited (MBL)
is auctioning 1,12,32,492 units of shares to the promoter shareholders from today.
Surendra Mahato, a promoter of MBL is set to sell 1,12,32,492 units of promoter shares, which represents approximately 18.95% of the total promoter shares or 51% ownership.  With a total of 11.62 Crore units of shares listed on the Nepal Stock Exchange (NEPSE), these shares being auctioned constitute about 9.66% of the total shares. This auction is expected to attract the attention of investors and may have an impact on the ownership structure of MBL.
Only promoter shareholders are eligible to bid for the auction within 35 days from the date of publication of this notice i.e. 25th Ashwin, 2080. The shareholders should submit their bids at Machhapuchchhre Capital Limited located at Baghdurbar, JDA Complex, Kathmandu.
Also, MBL has endorsed a 14% dividend (13.30% bonus shares and 0.70% cash dividend) from the paid-up capital of Rs. 11.62 Arba through its 25th AGM for the fiscal year 2079/80. The bank published its fourth-quarter report with almost a 10 percent increase in Net Profits totaling Rs. 1.85 Arba while the distributable profits per share stood at Rs. 15.29 as of the end of FY.
MBL closed at Rs.205.00 yesterday. Meanwhile, MBLPO has an LTP of Rs. 136 as of June 10, 2023.
Notice
:",0.29431459307670593
