Date,Headline,Link,Full Content,Sentiment_Score
2022-12-27,"10,39,504 Promoter Shares of Nepal Credit & Commerce Bank in Auction from Today",https://www.sharesansar.com/newsdetail/1039504-promoter-shares-of-nepal-credit-commerce-bank-in-auction-from-today-2022-12-27,"The existing promoters of
Nepal Credit & Commerce Bank Limited (NCCB)
are auctioning 10,39,504 units of shares to promoter shareholders from today i.e 12th Poush, 2079
10,39,504 units of promoter shares of NCCB is being auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 12th Poush. The shareholders should submit their bids at the central office of the bank located at Bagbazar, Kathmandu.
If no bids are received from the existing founder shareholders within the mentioned date, then the shares will be later auctioned to the general public.
NCCB and Kumari Bank Limited (KBL) signed a Memorandum of Understanding (MoU) for the merger at a swap ratio of 1:1. The total paid-up capital of NCCB after the adjustment of 3.3663% bonus shares  for FY 2078/79 stands Rs. 11.5 Arba, whereas KBL endorsed 12.50% cash dividend (including tax) from its paid-up capital of Rs. 14.71 Arba. The total paid up capital after the joint transaction will be Rs 26.22 arba of the company.
Auction Notice",0.9010224342346191
2022-07-31,"Auction Open From Today; Re-Auctioning of 26,31,136 unit Promoter Shares of NCCB to the General Public",https://www.sharesansar.com/newsdetail/auction-open-from-today-re-auctioning-of-2631136-unit-promoter-shares-of-nccb-to-the-general-public-2022-07-31,"The existing promoters of
Nepal Credit & Commerce Bank Limited (NCCB)
are re-auctioning 26,31,136 unit promoter shares to the general public from today i.e 15th Shrawan and will conclude on 22nd Shrawan, 2079.
26,31,136 unit promoter shares will be auctioned. The company had auctioned 26,33,136 unit promoter shares from Ashad 29 to Shrawan 11. Since only 2000 units were sold in the auction, therefore the company is re-auctioning the remaining shares to the general public from today.
Rs. 131 is the minimum bid rate for the auction. While the minimum bid quantity for shares is 1000 units, there is no upper limit for both shares. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity. Individuals, institutions, and companies are all eligible to bid for the auction.
Sunrise Capital Limited is appointed the auction manager. Bids will open at the premises of auction manager on Shrawan 23, starting from 11 am that day. As of writing, the LTP of NCCB is Rs. 207.20.
Auction Notice",0.9333516359329224
2022-07-27,"Reminder: Last Day of Auction of NCCB's 26,33,136 Unit Promoter Shares",https://www.sharesansar.com/newsdetail/reminder-last-day-of-auction-of-nccbs-2633136-unit-promoter-shares-2022-07-27,"Nepal Credit & Commerce Bank Limited (NCCB)
is closing the auction of 26,33,136 promoter shares to the general public today. The auction opened on 29th Ashad and is closing today i.e 11th Shrawan, 2079.
26,33,136 unit promoter shares are being auctioned. The general public, companies, and institutions are all eligible to bid in the auction. Rs. 131 is the minimum bid rate for the auction. While the minimum bid quantity is 1000 units, there is no upper limit. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital Limited is appointed the auction manager. Bids will open at the premises of auction manager on Shrawan 12, starting from 11 am that day.
Click here for Auction Notice:",0.9291085004806519
2022-06-21,"Reminder: Last Day of Auction of Nepal Credit & Commerce Bank's 8,80,000 Promoter Shares",https://www.sharesansar.com/newsdetail/reminder-last-day-of-auction-of-nepal-credit-commerce-banks-880000-promoter-shares-2022-06-21,"Nepal Credit & Commerce Bank Limited (NCCB)
is closing the auction of its 8,80,000 units promoter shares to its shareholders today.
Sunrise Capital is auctioning the promoter shares of Nepal Credit & Commerce Bank Limited (NCCB). The auction opened on 24th Jestha and will close today i.e 7th Ashad, 2079
Existing promoters, individuals, and institutions are all eligible to bid for the auction.
8,80,000 units promoter share are being auctioned. Rs. 141 is the minimum bid rate for the auction. While the minimum bid quantity for shares is 1000 units, there is no upper limit for both shares. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital is the auction manager. Bids will be opened at the premises of the auction manager, Kamalpokhari, Kathmandu on 8th Ashad, starting at 1 pm that day.
Notice",0.9305017590522766
2022-06-15,"26,34,136 Promoter Shares of Nepal Credit & Commerce Bank in Auction From Today",https://www.sharesansar.com/newsdetail/2634136-promoter-shares-of-nepal-credit-commerce-bank-in-auction-from-today-2022-06-15,"The existing promoter of
Nepal Credit & Commerce Bank Limited (NCCB)
is auctioning the company's promoter shares. 26,34,136 shares are being auctioned from today, i.e. 1st Ashad to 15th Ashad, 2079.
The existing promoters, general public, and institutions are all eligible to bid for the auction.
Rs. 142 is the minimum bid rate for the auction. The minimum bid quantity for promoters’ shares is 1,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital is the auction manager. Bids will be opened at the premises of the auction manager, Kamalpokhari, Kathmandu on 16th Ashad, starting at 11 am that day.
Auction Notice",0.9301958680152893
2022-06-07,"8,80,000 Promoter Shares of Nepal Credit & Commerce Bank in Auction From Today",https://www.sharesansar.com/newsdetail/880000-promoter-shares-of-nepal-credit-commerce-bank-in-auction-from-today-2022-06-07,"The existing promoter of
Nepal Credit & Commerce Bank Limited (NCCB)
is auctioning the company's promoter shares. 8,80,000 shares are being auctioned from today, i.e. 24th Jestha to 7th Ashad, 2079.
The existing promoters, general public, and institutions are all eligible to bid for the auction.
Rs. 141 is the minimum bid rate for the auction. The minimum bid quantity for promoters’ shares is 1,000 units. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital is the auction manager. Bids will be opened at the premises of the auction manager, Kamalpokhari, Kathmandu on 8th Ashad, starting at 1 pm that day.
Auction Notice",0.9293238520622253
2022-06-01,"Six Promoters of NCC Bank Auctioning 1,92,626 Units Promoter Shares",https://www.sharesansar.com/newsdetail/six-promoters-of-ncc-bank-auctioning-192626-units-promoter-shares-2022-06-01,"Six promoters of
Nepal Credit & Commerce Bank Limited (NCCB)
are auctioning a portion of the commercial bank's promoter shares.
The promoters are willing to sell a total of 1,92,626 promoter shares. The auction is first open to existing promoters for 35 days from the day of the official notice i.e Jestha 18 (today). If not bought by existing promoters, the public and other institutions/ companies will then be eligible to bid for the shares.
NCCB has a total of 5,68,12,359 promoter shares, amounting to 51% of the company's shareholding.
Notice",0.9209406971931458
2022-04-07,"Six Promoters of NCC Bank Auctioning 26,63,066 Promoter Shares",https://www.sharesansar.com/newsdetail/ncc-bank-auctioning-2663066-promoter-shares-2022-04-07,"Six promoters of
Nepal Credit & Commerce Bank Limited (NCCB)
are auctioning a portion of the commercial bank's promoter shares.
The promoters are willing to auction away a total of 26,63,066 promoter shares. The auction is first open to existing promoters for 35 days from the day of the official notice. If not bought by existing promoters, the public and other institutions/ companies will then be eligible to bid for the shares.
NCCB has a total of 5,68,12,359 promoter shares, amounting to 51% of the company's shareholding.
Notice",0.9268933534622192
2021-02-28,Auctioned Promoter Shares of Nepal Credit and Commerce Bank (NCCB) Allotted; Who Got the Shares?,https://www.sharesansar.com/newsdetail/auctioned-promoter-shares-of-nepal-credit-and-commerce-bank-nccb-allotted-who-got-the-shares-2021-02-28,"Nepal Credit and Commerce Bank Limited (NCCB)
has allotted the promoter shares that it had auctioned.
The company had auctioned its 25,00,000 units promoter shares from 2nd Falgun. The auction concluded on 9th Falgun, 2077, at the end of banking hours.
Those who bid from Rs. 142 to Rs. 315.5 have been allotted the shares they demanded. A total of 104 bidders had bid on that range. Meanwhile, a bidder bidding at Rs. 141.50 has been allotted partially.
Bidders who weren't allotted will be refunded tomorrow, i.e. Falgun 17 via Connect IPS.
Announcement",0.8482667207717896
2021-02-21,Last Day to Bid for Auction of Promoter Shares of Nepal Credit and Commerce Bank (NCCB),https://www.sharesansar.com/newsdetail/last-day-to-bid-for-auction-of-promoter-shares-of-nepal-credit-and-commerce-bank-nccb-2021-02-21,"Today is the last day to bid for the promoter shares of
Nepal Credit and Commerce Bank Limited (NCCB).
The company has been auctioning its 25,00,000 units promoter shares from 2nd Falgun. The auction will conclude today, i.e. on 9th Falgun, 2077, at the end of banking hours.
The auction is open for individuals, companies, and institutions. The minimum bid rate is Rs. 140 and the minimum bid quantity is 1000 units. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital is appointed the auction manager for the auction. Bids will be opened at the premises of the auction manager on Falgun 10, starting at 1 pm that day.
Auction notice",0.9243818521499634
2021-02-07,Nepal Credit and Commerce Bank (NCCB) Auctioning Promoter Shares from 2nd Falgun,https://www.sharesansar.com/newsdetail/nepal-credit-and-commerce-bank-nccb-auctioning-promoter-shares-from-2nd-falgun-2021-02-07,"Nepal Credit and Commerce Bank Limited (NCCB)
is auctioning its 25,00,000 units promoter shares.
The auction will open on 2nd Falgun and conclude on 9th Falgun, 2077. The auction is open for individuals, companies, and institutions. The minimum bid rate is Rs. 140 and the minimum bid quantity is 1000 units. Although bidders can bid for the entirety of the issue, they are required to abide by Nepal Rastra Bank's rule to not exceed the specified quantity of shares per entity.
Sunrise Capital is appointed the auction manager for the auction. Bids will be opened at the premises of the auction manager on Falgun 10, starting at 1 pm that day.
Auction notice",0.9261966347694397
2020-10-30,When is the Bid Opening for the auction of National Microfinance and Nepal Credit & Commerce Bank's promoter shares?,https://www.sharesansar.com/newsdetail/when-is-the-bid-opening-for-the-auction-of-national-microfinance-and-nepal-credit-commerce-banks-promoter-shares-2020-10-30,"National Microfinance Laghubitta Bittiya Sanstha Limited had auctioned its 1,10,000 units promoter share to the general public from 2nd Ashwin to 6th Kartik, 2077.
The minimum bid rate for the auction was set at Rs. 725 while the minimum bid quantity was 1,000 units.
Similarly, Nepal Insurance Company Limited had also auctioned its 5,00,000 units promoter shares of Nepal Credit & Commerce Bank Limited from 2nd Ashwin to 6th Kartik, 2077. The minimum bid rate was set at Rs. 110 while the minimum bid quantity was 1,000 units.
NIBL Ace Capital was the auction manager for both the auctions. Both auctions accepted bids from individual investors and financial institutions.
Issuing a new notice today, the auction manager has notified about the bid opening date for bids received in both the auctions. While the bids of National Microfinance's auction will be opened from 11 am on Kartik 16, the bids of Nepal Insurance's auction will be opened from 11:30 am the same day. Both the bid openings will be streamed live via NIBL Ace Capital's Facebook page.
Notice 1
Notice 2",0.8848530054092407
2019-01-15,Nepal Credit and Commerce Bank allots 79.10 Lakh units of auctioned promoter and ordinary right shares; non-allottees to get refund form today,https://www.sharesansar.com/newsdetail/nepal-credit-and-commerce-bank-allots-7910-lakh-units-of-auctioned-promoter-and-ordinary-right-shares-non-allottees-to-get-refund-form-today,"Nepal Credit and Commerce Bank Limited (NCCB) had allotted its unsold promoter and ordinary right shares after the conclusion of the auction and is refunding money to the non-allottee, directly to their bank accounts. The bank was auctioning more than 79 Lakh units of unsold promoter and ordinary right shares.
The issue manager for the purpose of auction was Sunrise Capital Limited. As per the notice published, a total of 123 applications were received for unsold promoter right shares. 35 applicants who placed their bids within the rage of Rs.113 to Rs.101.10 have been fully allotted shares. 5 applicants who placed their bids at Rs.101 per share, have been partially allotted shares. Total of 40 applicants have been allotted 6,516,795 units of shares as the issue is fully subscribed.
Similarly, 5,027 applicants were received for unsold ordinary right shares. Out of the total applicants, 136 applicants who placed their bids within the range of Rs.221 to Rs.201.01 have been fully allotted shares, while 64 applicants who placed their bids at Rs.201 per share, have been partially allotted shares. Total of 200 applicants have been allotted 1,394,198 units of shares as the issue is fully subscribed.
Currently, the paid up capital of the bank is Rs 4.67 arba. After the adjustment of the right shares, the paid-up capital of the bank will rise to Rs 7.01 arba. The bank will likely distribute bonus shares for the remaining Rs 99 crore to meet the minimum capital requirement of Rs 8 arba.
The LTP of NCCB is Rs 218. Similarly, the promoter shares of NCC Bank (NCCBPO) was last traded on December 30, 2018, at Rs 130.",0.8882220387458801
2018-03-15,Only 1 application received for auction of 70 lakh unit promoter shares of NCCB; Re-auction to occur in the near future,https://www.sharesansar.com/newsdetail/only-1-application-received-for-auction-of-70-lakh-unit-promoter-shares-of-nccb-re-auction-to-occur-in-the-near-future,"The bid opening for the 70 lakh unit promoters share of Nepal Credit and Commercial Bank today. The auction was closed on Falgun 30, 2074. All the 70 lakh unit shares belong to NB Group for which the auction was open from Magh 18, 2074.

As per the information received, only 1 applicant had applied for 3,000 units at Rs 211 each. So, they will be re-auctioning the unsold shares in the near future.

There were also few reports suggesting the interest of a big corporate house interested in purchasing the significant amount of promoter shares of the bank. But it backed out after the shares of the bank went unsold in the previous auction at a much lower price.

CBIL Capital Markets Limited was the issue manager for this auction.

The investors have shown less interest in the auction of the shares. The reason might be the bearish trend of the market.",0.7087840437889099
