Date,Headline,Link,Full Content,Sentiment_Score
2020-08-10,NEPSE delists NIDC Development Bank after company acquired by Rastriya Banijya Bank,https://www.sharesansar.com/newsdetail/nepse-delists-nidc-development-bank-after-company-acquired-by-rastriya-banijya-bank,"Nepal Stock Exchange has delisted NIDC Development Bank. Its trading was halted in the secondary market from Bhadra 12, 2074, after Rastriya Banijya Bank had approved of acquiring it.
While their combined transaction had already commenced from Baisakh 19, 2075, NEPSE has officially delisted NICD Development Bank today.",0.14912310242652893
2018-06-15,Rastriya Banijya Bank convenes AGM after acquisition of NIDC Development Bank,https://www.sharesansar.com/newsdetail/rastriya-banijya-bank-convenes-agm-after-acquisition-of-nidc-development-bank,"Rastriya Banijya Bank has successfully endorsed the final decision to acquire NIDC Development Bank by conducting joint AGM on Jestha 31, 2075. The AGM which was chaired by the bank’s chairperson Mr. Mahendra Maan Gurung has also endorsed all the financial reports of the financial year 2073-74.
The bank is serving its customers through widest network of 192 branches located at 69 districts including 135 ATM outlets and 93 branchless banking locations.",0.7408887147903442
2018-05-02,Rastriya Banijya Bank and NIDC Development Bank start joint transaction after merger from today,https://www.sharesansar.com/newsdetail/rastriya-banijya-bank-and-nidc-development-bank-start-joint-transaction-after-merger-from-today,"Rastriya Banijya Bank and NIDC Development Bank has started joint transaction from today in the name of Rastriya Banijya Bank. Finance Minister, Dr. Yubraj Khatiwada, made an appereance at the program and highlighted on the issues in Banks and financial sectors. He also mentioned that after the merger of Rastriya Banjiya Bank and NIDC, the bank will be financially stronger and competitive.
The companies were given final approval for joint transaction by Nepal Rastra Bank on Chaitra 22 and by the Office of Company Registrar on Baisakh 3. After this all the assets and liabilities of NIDC Development has been taken over by Rastriya Banijya Bank.
After the merger the bank possess a network of 191 branches with a paid-up capital Rs. 9 arba 47 lakh, 95 thousand 700.
The special general meeting of NIDC Development Bank conducted on Magh 19 and SGM of  Rastriya Banijya Bank held on Magh 20 had passed the proposal for acquisition with the swap ratio of 1:1. The transaction of the shares of NIDC Development Bank was halted in the secondary market after he process for acquisition had started.",0.7743632197380066
2018-05-01,NIDC Development Bank reports net profit of Rs 4.19 crore; EPS stands at Rs 13.43,https://www.sharesansar.com/newsdetail/nidc-development-bank-reports-net-profit-of-rs-419-crore-eps-stands-at-rs-1343,"NIDC Development Bank Limited (NIDC), which is starting joint operation from Baisakh 17, 2075, after merger with Rastriya Banijya Bank, has published unaudited financial report for the third quarter yesterday. It states that its net profit has significantly declined to Rs 4.19 crore in third quarter of fiscal year 2074/75 from Rs 19.84 crore reported in the corresponding quarter of the previous fiscal year 2073/74.
In this period, it has extended loans of Rs 2.92 arba, up slightly from Rs 2.84 arba. It has collected deposits of Rs 1.02 arba in the third quarter of the current fiscal year. It has paid-up capital of Rs 41.58 crore with reserve of Rs 3.32 arba in Q3.
NIDC’s net interest income has significantly decreased from Rs 21.52 crore in the corresponding quarter last year to Rs 16.74 in the third quarter of fiscal year 2074/75. Its operating profit has also reduced to Rs 1.44 crore in Q3, from Rs 14.56 crore in corresponding quarter.
The development bank’s non-performing loan (NPL) has risen to 13.9 percent in the current quarter. Currently, Net worth per share of the bank stands at Rs 900.29 with EPS at Rs 13.43.
Particulars (In Rs '000)
NIDC
Q3 2074/75
Q3 2073/74
Difference
Paid Up Capital
415,823
415,823
0.00%
Reserve & Surplus
3,327,783
3,250,528
2.38%
Deposits
1,027,060
1,271,949
-19.25%
Loans & Advances
2,923,023
2,842,144
2.85%
Net Interest Income
167,443
215,179
-22.18%
Provision for possible losses
81,550
20,319
301.35%
Operating Profit
14,436
145,624
-90.09%
Net Profit
41,894
198,394
-78.88%
NPL (%)
13.9
7.48
85.83%
Annualized EPS (In Rs.)
13.43
63.62
-78.88%
Net Worth per Share (In Rs.)
900.29
-",0.016663921996951103
2018-04-18,Merger between Rastriya Banijya Bank and NIDC receives final approval from Office of Company Registrar; Joint transaction to commence from Baisakh 19,https://www.sharesansar.com/newsdetail/merger-between-rastriya-banijya-bank-and-nidc-receives-final-approval-from-office-of-company-registrar-joint-transaction-to-commence-from-baisakh-19,"Rastriya Banijya Bank has received final approval from the Office of Company Registrar to acquire NIDC Development Bank. The bank had already received approval from Nepal Rastra Bank for the same purpose on Chaitra 22, 2074.
Along with the final approval from the company registrar the joint transaction will soon take place on the
pre decided date i.e. Baisakh 19.
The swap ratio for the acquisition has been maintained at 1:1 i.e. the shareholders of NIDC development bank will receive 1 share of Rastriya Banijya Bank in exchange of 1 share of NIDC Development Bank. Similarly, in case the shareholders do not want the shares of Rastriya Banijya bank, they will be receiving Rs 4,484.30 for 1 unit share of NIDC bank.",0.9209603071212769
2018-02-25,NIDC Development Bank 50th AGM today; to merge with Rastriya Banijya Bank in the share swap ratio of 1:1 ratio,https://www.sharesansar.com/newsdetail/nidc-development-bank-50th-agm-today-to-merge-with-rastriya-banijya-bank-in-the-share-swap-ratio-of-11-ratio,"NIDC Development Bank Limited is convening its 50
th
AGM today  (Falgun 13, 2074). The AGM is being held at its central office, Durbarmarg, Kathmandu at 9:00 AM.

The agenda of the meeting includes endorsement of the BOD’s annual report and the endorsement of financial highlights of fiscal year 2073/74.

NIDC Development Bank Limited has earned Rs 7.78 crore till the end of second quarter of the ongoing FY 2074/75. It’s paid up capital stands at Rs 41.58 crore. It is currently in the merger process with Rastriya Banijya Bank (RBB).

It had approved merger with Rastriya Banijya Bank (RBB) in its 49
th
AGM last year. RBB had also endorsed merger with NIDC Development Bank by convening SGM on Magh 20, 2074.

Cabinet meeting of the ministers held on Magh 14, 2073 had signed a strategic agreement to merge both the government-owned banks.
Notice of AGM",0.7285958528518677
2018-02-15,"NIDC Development Bank to merge with Rastriya Banijya Bank; Shareholders willing to offload their shares will receive Rs 4,484.30 per kitta",https://www.sharesansar.com/newsdetail/nidc-development-bank-to-merge-with-rastriya-banijya-bank-shareholders-willing-to-offload-their-shares-will-receive-rs-4484-30,"NIDC Development Bank has published a notice regarding the merger with Rastriya Banijya Bank on Falgun 3, 2074.

As per the notice, the swap ratio for the acquisition has been maintained at 1:1 i.e. the shareholders of NIDC development bank will receive 1 share of Rastriya Banijya Bank in exchange of 1 share of NIDC Development Bank. Similarly, in case the shareholders donot want the shares of Rastriya Banijya bank, they will be receiving Rs 4,484.30 for 1 unit share of NIDC bank.

NIDC Development Bank Limited has earned Rs 7.78 crore till the second quarter of the FY 2074/75. Its paid up capital stands at Rs 41.58 crore.

Cabinet meeting of the ministers held on Magh 14, 2073 had signed a strategic agreement to merge both the government-owned banks.
Notice",0.8614974617958069
2018-02-05,NIDC Development Bank announces 50th AGM on Falgun 13; to merge with RBB in 1:1 ratio,https://www.sharesansar.com/newsdetail/nidc-development-bank-announces-50th-agm-on-falgun-13-to-merge-with-rbb-in-11-ratio,"NIDC Development Bank Limited is convening its 50
th
AGM at its central office in Durbarmarg, Kathmandu on Falgun 13, 2074.

The agenda of the meeting includes endorsement of the BOD’s annual report and the endorsement of financial highlights of fiscal year 2073/74.

NIDC Development Bank Limited has earned Rs 7.78 crore till the second quarter of the FY 2074/75. It’s paid up capital stands at Rs 41.58 crore. It is currently in the merger process with Rastriya Banijya Bank (RBB).

It had approved merger with Rastriya Banijya Bank (RBB) in its 49
th
AGM last year. RBB had also endorsed merger with NIDC Development Bank by convening SGM on Magh 20, 2074.

Cabinet meeting of the ministers held on Magh 14, 2073 had signed a strategic agreement to merge both the government-owned banks.
Notice of AGM",0.7497802972793579
2018-02-01,NIDC Development Bank’s profit diminish harshly by 42.06%; EPS at Rs 37.43,https://www.sharesansar.com/newsdetail/nidc-development-banks-profit-diminish-harshly-by-42-06-eps-at-rs-37-43,"NIDC Development Bank Limited (NIDC)
has posted massive decrease in profit of 42.06 percent for the fiscal year 2074/75.

According to the unaudited financial report published by the bank today, its net profit has decreased to Rs 7.78 crore in the second quarter from Rs 13.43 crore in the corresponding quarter of the previous fiscal year 2073/74.

However, NIDC’s net interest income has increased to Rs 13.88 crore in Q2 from Rs 12.98 crore in the corresponding quarter of the previous fiscal year.

The bank collected Rs 1.07 arba in Q2 down from Rs 1.42 arba in the corresponding period last year as deposits.

Likewise, it has extended loans and advances of Rs 2.89 arba in Q2 whereas in the same period last year the figure stood at Rs 2.56 arba.

Its non-performing loan has increased to 9.36 percent from 8.97 percent of last year.

NIDC Development Bank’s annualized earning per share (EPS) stands at Rs 37.43, net worth per share at Rs 900.06 and the P/E ratio at Rs 4.01 times.

Its paid-up capital remains at Rs 41.58 crore and has reserve of Rs 3.32 arba. It is currently in merger process with Rastriya Banijya Bank.
Major Highlights:
Particulars (In Rs '000)
NIDC
Q2 2074/75
Q2 2073/74
Difference
Paid Up Capital
415,823
415,823
0.00%
Reserve & Surplus
3,326,820
3,142,038
5.88%
Deposits
1,078,617
1,422,171
-24.16%
Borrowings
-
-
-
Loans & Advances
2,892,586
2,564,485
12.79%
Net Interest Income
138,855
129,887
6.90%
Provision for possible losses
22,480
19,424
15.73%
Operating Profit
82,134
76,190
7.80%
Net Profit
77,831
134,332
-42.06%
NPL (%)
9.36
8.97
4.35%
Annualized EPS (In Rs.)
37.43
64.61
-42.06%
Net Worth per Share (In Rs.)
900.06
855.62
5.19%
P/E Ratio (In times)
4.01
-
-
Q2 Report",0.03418998047709465
2017-11-06,"Meager profit growth of Jyoti Bikas Bank by 3.86% in Q1; Decline in profit of Shangri-La,NIDC & Lumbini Bikas Bank by 7.38%, 8.56% & 51.68% respectively",https://www.sharesansar.com/newsdetail/meager-profit-growth-of-jyoti-bikas-bank-by-3-86-in-q1-decline-in-profit-of-shangri-lanidc-lumbini-bikas-bank-by-7-38-8-56-51-68-respectively,"Jyoti Bikas Bank Limited (JBBL)
has registered a net profit growth of 3.86% in the first quarter of the current fiscal year 2074/75.

As per the unaudited quarterly report published today the development bank has earned net profit of Rs 4.52 crore in Q1 from Rs 4.35 crore in the corresponding quarter.

The net interest income of the company reached to Rs 12.89 crore in the Q1 rising from Rs 8.84 crore in the previous fiscal year corresponding quarter. The paid up capital of the company remains at Rs 2.20 crore in the Q1 with Rs 51.14 crore in reserve.

JBBL’s operating profit increased to Rs 7.11 crore in Q1 from Rs 3.98 crore in the corresponding quarter of the previous fiscal year. The bank has mobilized Rs 11.30 arba in deposits with Rs 9.98 arba loan flow in Q1.

The development bank's NPL stands at 0.82% in Q1. Its EPS stands at Rs 8.21 and net worth per share stands at Rs 123.18.

Recently, Jyoti Bikas Bank and Raptibheri Bikas Bank have started joint transaction on Kartik 8, 2074 after completion of acquisition by Jyoti Bikas Bank.
Click here for announcement
Meanwhile,
Shangrila Development Bank Limited (SADBL)
has posted 7.38 percent decline in net profit in the first quarter of the fiscal year 2074/75. The development bank stated that its net profit rose to Rs 4.10 crore in the Q1, down from Rs 4.43 crore in the corresponding quarter of the previous fiscal year.

Publishing the unaudited financial report today, Its net interest income has risen from Rs 14.12 crore in corresponding quarter to Rs 14.62 crore in the current quarter.

The development bank has collected deposits of Rs 13.80 arba and has extended loans of  Rs 12.08 arba in Q1. Its non-performing loan (NPL) stands at 0.98 percent in Q1.

Shangri-La Development Bank has paid up capital of Rs. 1.35 arba with reserve and surplus of  Rs. 61.76  crore in Q1.

SADBL’s earning per share (EPS) stand at Rs 12.09, net worth per share at Rs. 145.49 and PE ratio at 32.01.

Shangri-la Development bank is in the process of acquiring Cosmos Development Bank Limited. The bank will also be issuing 80% right shares and the bank is seeking approval from securities Board of Nepal (SEBON) for approval.
Click Here For Announcement
Similarly,
NIDC Development Bank Limited
(NIDC) has reported net profit declined by 8.56 percent in the first quarter of the ongoing fiscal year 2074/75.

Publishing the unaudited quarterly report today, the development bank has reported net profit of Rs 1.92 crore in Q1 decreasing from 2.10 crore in the corresponding quarter of the previous fiscal year.

The net interest income of the company has reached Rs 6.66 crore in the Q1 and it has extended Rs 2.93 arba in loan and advances. Likewise it has collected Rs 1.10 arba in deposits.

The company’s paid up capital remains at Rs 41.58 crore with reserve Rs 3.26 arba in the first quarter.

Recently, NIDC Development Bank has signed an agreement following the merger process with Rastriya Banijya Bank. Trading of NIDC Development Bank has been suspended from today in Nepal Stock Exchange Limited (NEPSE) for the merger process

Its NPL has declined from 15.72% in corresponding quarter to 9.62 % in the Q1 of ongoing fiscal year 74/75. Its  earnings per share (EPS) is at Rs 18.48 and net worth per share stood at Rs 885.96.
Click Here For Announcement
Also,
Lumbini Bikas Bank Limited (LBBL)
has posted net profit of Rs 1.61 crore for the first quarter of fiscal year 2074/2075. The net profit of the development bank has decreased by 51.68% in Q1.

As per the unaudited report for the Q1 published today, The bank has collected total deposits of Rs 18.45 arba whereas its loan and advances stood at Rs 15.90 arba. Its net interest income has declined to Rs 10.78 crore in this quarter from Rs 12.006 crore in the corresponding quarter.

LBBL has paid up capital of Rs 200.08 crore and reserve & surplus stand at Rs 83.38 crore.

The company’s non-performing loan (NPL) stood at 3.16% and CD ratio stands at 75.01%. Its earning per share (EPS) remains at Rs 3.22 and networth per share at Rs 141.51.
Click Here For Announcement",-0.39506885409355164
