Date,Headline,Link,Full Content,Sentiment_Score
2024-11-14,Promoter Shares of Shangrila Development Bank And Deprosc Laghubitta Bittiya Sanstha in Auction,https://www.sharesansar.com/newsdetail/promoter-shares-of-shangrila-development-bank-and-deprosc-laghubitta-bittiya-sanstha-in-auction-2024-11-14,"The existing promoter of
Shangrila Development Bank Limited (SADBL)
is auctioning 1,09,093 units of shares to the general public/institutions from today.
1,09,093 units of promoter shares of SADBL will be auctioned. Interested individuals are requested to bid for the auction within 15 days from the date of publication of this notice, i.e. 29th Kartik.
The shareholders should submit their bids at the central office of the bank located at Baluwatar, Kathmandu. No bids were received from existing founder shareholders within the specified timeframe, the shares are auctioned to the general public.
SADBL closed at Rs. 446.80. Meanwhile, SADBLP has an LTP of Rs.164.
Notice:
The existing promoters of
Deprosc Laghubitta Bittiya Sanstha Limited (DDBL)
are auctioning 25,000 unit shares to other persons/institutions from 30th Kartik to 7th Mangsir, 2081.
The minimum bid rate is Rs. 250 for the promoter shares of Deprosc Laghubitta Bittiya Sanstha Limited. While the minimum bid quantity is 25,000 units, bidders can bid for the entirety of the shares.
Global IME Capital Limited has been appointed as the issue manager for this auction.
Notice:",0.9284058809280396
2024-08-23,"Promoter Shares of NIMB, SADBL, And PROFL in Auction From Today",https://www.sharesansar.com/newsdetail/promoter-shares-of-nimb-sadbl-and-profl-in-auction-from-today-2024-08-23,"The existing promoter of
Nepal Investment Mega Bank Limited (NIMB)
is auctioning 1,58,664 units of shares to existing promoter shareholders from today i.e. 7th Bhadra, 2081.
1,58,664 unit promoter shares of NIMB will be auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 7th Bhadra.
All interested shareholders are required to submit their bids at the central office of the bank, conveniently situated in Lazimpat, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
As of writing, NIMB has an LTP of Rs. 278.00. Meanwhile, NIMBPO closed at Rs. 199.90.
Auction Notice:
The existing promoter of
Shangrila Development Bank Limited (SADBL)
is auctioning 1,39,683 units of shares to the interested promoter shareholders from today.
1,39,683 units of promoter shares of SADBL will be auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 7th Bhadra.
The shareholders should submit their bids at the central office of the bank located at Baluwatar, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be auctioned to the general public.
SADBL closed at Rs. 480. Meanwhile, SADBLP has an LTP of Rs.167.
Notice:
The existing promoters of
Progressive Finance Limited (PROFL)
are selling its 1,22,536 units of promoter share in an auction from 7th Bhadra, 2081.
1,22,536 unit promoter shares of PROFL are being auctioned to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 7th Bhadra.
The shareholders should submit their bids at the central office of the company located at Tinkune, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
PROFL closed at Rs. 747.00. Meanwhile, PROFLP has an LTP of Rs. 134.00.
Auction Notice:",0.9173657894134521
2024-05-22,"7,642 Promoter Shares of Shangrila Development Bank in Auction from Today",https://www.sharesansar.com/newsdetail/7642-promoter-shares-of-shangrila-development-bank-in-auction-from-today-2024-05-22,"The existing promoter of
Shangrila Development Bank Limited (SADBL)
is auctioning 7,642 units of shares to the interested promoter shareholders from today.
7,642 units of promoter shares of SADBL will be auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 9th Jestha.
The shareholders should submit their bids at the central office of the bank located at Baluwatar, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be auctioned to the general public.
SADBL closed at Rs. 319. Meanwhile, SADBLP has an LTP of Rs.173.
Noti
ce",0.9291352033615112
2024-05-03,Promoter Shares of United Ajod Insurance Limited And Shangri-la Development Bank in Auction from Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-united-ajod-insurance-limited-and-shangri-la-development-bank-in-auction-from-today-2024-05-03,"Nepal Reinsurance Company Limited (NRIC)
is auctioning 20,73,446 units of promoter shares of
United Ajod Insurance Limited (UAIL)
. The auction is open from today.
20,73,446 units of promoter shares of United Ajod Insurance Limited are being auctioned. Interested shareholders are requested to bid for the auction within 35 days from this notice's publication date, i.e. 21st Baishakh, 2081. Rs. 281 is the minimum bid rate, while the minimum bid quantity for promoter shares is 5,000 units.
The shareholders should submit their bids at the corporate office of the institution located at CTC Mall, Sundhara, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will be auctioned to the general public later.
UAIL closed at Rs. 543.30.
Auction Notice:
Similarly, The existing promoter of
Shangri-la Development Bank (SADBL)
is auctioning 25,000 units of shares to the general public/institutions from today i.e. 21st Baishakh, 2081.
Arjun Bhattarai intends to sell 25,000 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 15 days from this notice's publication date, i.e. 21st Baishakh, 2081.
The shareholders should submit their bids at the Company's central office located at Baluwatar, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
As of writing, SADBL has an LTP of Rs. 315.00. Meanwhile, SADBLP has an LTP of Rs. 173.00.
Auction Notice:",0.9254053831100464
2024-04-12,Promoter Shares Of Nepal Investment Mega Bank And Shangrila Development Bank In Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-nepal-investment-mega-bank-and-shangrila-development-bank-in-auction-from-today-2024-04-12,"The existing promoter of
Nepal Investment Mega Bank Limited (NIMB)
is auctioning 3,08,920 units of shares to existing promoter shareholders from today i.e. 30th Chaitra, 2080.
3,08,920 unit promoter shares of NIMB will be auctioned. Only existing promoters are eligible to bid for the auction within 35 days from the date of publication of this notice, i.e. 30th Chaitra.
All interested shareholders are required to submit their bids at the central office of the bank, conveniently situated in Lazimpat, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
As of writing, NIMB has an LTP of Rs. 156.20. Meanwhile, NIMBPO closed at Rs. 137.00.
Auction Notice:
Similarly, The existing promoter of
Shangrila Development Bank Limited (SADBL)
is auctioning 42,982 units of shares to the general public/institutions from today.
Madhu Sudan Sharma intends to sell 14,000 units and Prem Raj Panta intends to sell 28,982 promoter shares to the general public/institutions. Interested individuals are requested to bid for the auction within 15 days from this notice's publication date, i.e. 30th Chaitra.
The shareholders should submit their bids at the Company's central office located at Baluwatar, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
As of writing, SADBL has an LTP of Rs. 298.00. Meanwhile, SADBLP has an LTP of Rs. 173.00.
Auction Notice:",0.9229399561882019
2024-03-29,"Promoter Shares of SANIMA, SADBL And KLBSL in Auction from Today",https://www.sharesansar.com/newsdetail/promoter-shares-of-sanima-sadbl-and-klbsl-in-auction-from-today-2024-03-29,"The existing promoter of
Sanima Bank Limited (SANIMA)
is auctioning 68,000 units of shares to existing promoter shareholders from today i.e. 16th Chaitra, 2080.
Dilip Shrestha intends to sell 68,000 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 16th Chaitra. The shareholders should submit their bids at the central office of the bank located at Naxal, Kathmandu.
If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
SANIMA closed at Rs. 236.60 yesterday. Meanwhile, SNMAPO has an LTP of Rs.149.90.
Auction notice:
Similarly, The existing promoter of
Shangrila Development Bank Limited (SADBL)
is auctioning 25,000 units of shares to promoter shareholders from today.
Arjun Bhattarai intends to sell 25,000 units of promoter shares to the existing promoter shareholders. Interested individuals are requested to bid for the auction within 35 days from the date of publication of this notice, i.e. 16th Chaitra.
The shareholders should submit their bids at the central office of the bank located at Baluwatar, Kathmandu. If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
SADBL closed at Rs. 298.90 yesterday. Meanwhile, SADBLP has an LTP of Rs.173.00.
Auction Notice:
Additionally, The existing promoter of
Kisan Laghubitta Bittiya Sanstha Limited (KLBSL)
is auctioning 13,994 units of shares to the interested promoter shareholders from today.
13,994 units of promoter shares are being auctioned to the existing promoter shareholders. Interested investors should submit their bids at the company's central office in Lamki Chuha, Kailali within 35 days from the date of publication of the notice.
If no bids are received from existing founder shareholders within the specified timeframe, the shares will later be open for auction to the general public.
KLBSL closed at Rs. 884.00 yesterday. Meanwhile, KLBSLP has an LTP of Rs. 446.00.
Auction Notice:",0.921398937702179
2024-01-22,Promoter Shares of Shangri-la Development Bank in Auction From Today,https://www.sharesansar.com/newsdetail/promoter-shares-of-shangri-la-development-bank-in-auction-from-today-2024-01-22,"The existing promoter of
Shangri-la Development Bank (SADBL)
is auctioning 1,76,040 units of shares to the general public/institutions from today i.e. 8th Magh, 2080.
Nawaraj Bajagain intends to sell 5,030 units and Iman Bahadur Gurung intends to sell 1,71,010 units of promoter shares to the general public. Interested individuals are requested to bid for the auction within 15 days from this notice's publication date, i.e. 8th Magh.
The shareholders should submit their bids at the Company's central office located at Baluwatar, Kathmandu. Earlier the shares were auctioned to promoter shareholders, but no bids were received from existing promoter shareholders within the specified timeframe, the shares are open for auction to the general public.
As of writing, SADBL has an LTP of Rs. 310.90. Meanwhile, SADBLP has an LTP of Rs. 160.00 as of 18th October, 2023.
Auction Notice:",0.9254680871963501
2018-03-20,Shangrila Development Bank announces auction for its unsold right shares; Auction opens for 9 lakh unit right shares from Chaitra 13,https://www.sharesansar.com/newsdetail/shangrila-development-bank-announces-auction-for-its-unsold-right-shares-auction-opens-for-9-lakh-unit-right-shares-from-chaitra-13,"Shangri-la Development Bank Limited (SADBL) has announced auction for its unsold 9,01,997.50 unit right shares. The auction will start from Chaitra 13 and end on Chaitra 20, 2074.

The right share issue was open from Poush 17, 2074 to Magh 29, 2074. The bank had issued 1,08,67,798.50 unit right shares in the ratio 10:8 in the par value of Rs 100 each. 11,732 shareholders were allotted 99,65,801 unit right shares on Chaitra 04, 2074.

3,52,772.50 unit right shares from the promoters group and 5,09,225 unit right shares from the ordinary shares group are available in the auction. Bidders must quote a minimum price of Rs 100 per unit, which means that the lowest bid amount must be more than Rs 100.Interested bidders must bid for a minimum of 100 units of shares.

Prabhu Capital Limited has been appointed as the issue manager for the auction. Interested bidders can collect bid forms from Prabhu Capital Limited or from the designated branches of Shangrila Development Bank.

The bank has urged the bidders to deposit the bid amount in the A/c Number 13511600631816000005 of Prabhu Bank Limited in the name of Prabhu Capital Limited or A/C no 02500800186243000001 of Shangrila Development Bank in the name of Prabhu Capital Limited. The bidders can also apply using Good for Payment Cheque.

The current paid up capital of SADBL is Rs 1.35 arba. After the issuance of right share, the paid up capital will reach Rs 2.44 arba.
Notice",0.9271722435951233
2018-03-14,Shangri-La Development Bank completes its orientation program for 55 new employees,https://www.sharesansar.com/newsdetail/shangri-la-development-bank-completes-its-orientation-program-for-55-new-employees,"Recently Shangri-La Development completed its 10 days’ orientation program for the newly appointed employees. The orientation program was aimed at socializing the employees and informing them regarding various works performed by the bank and its rules and regulations.

According to the press release, the training was attended by 50 employees, where they learnt about computer system, credit and customer service, teller management, identifying fake notes, signature verification etc.
On the same notice, the deputy CEO of the bank, Mr. Dinesh Thakali mentioned that the bank will also establish a learning center in the near future for employee development. The bank will soon be inaugurating 22 new branches in different parts of the country and after that the bank will have a network of 58 branches altogether.",0.7269101738929749
2017-12-05,Book closure for 80% right shares of Shangri-la Development Bank on Mangsir 27; only 5 trading days left,https://www.sharesansar.com/newsdetail/book-closure-for-80-right-shares-of-shangri-la-development-bank-on-mangsir-27-only-5-trading-days-left,"Shangri-la Development Bank Limited (SADBL) has published notice regarding book closure date for upcoming 80% right share issue.

As per the notice published by the development bank today, the book closure date has been set from Mangsir 27 to Poush 4, 2074. Thus only those shareholders holding their shares till Mangsir 26, 2074 i.e. one day ahead of the book closure date are eligible for right shares.

SADBL will be issuing 80% right shares to its shareholders at Rs 100. Prabhu Capital Limited has been assigned as issue manager for the right share issue.

The development bank ‘s 12
th
AGM held on Jestha 19, 2074 had endorsed 1:0.8 right shares to their shareholders.

After 80% right issue, its paid up capital will reach Rs 2.44 arba from existing capital of Rs 1.35 arba. As per NRB’s monetary policy, SADBL should increase its paid up capital to a minimum of Rs 2.50 arba by the end of FY 2073/74. After the issuance of 80% right share, the bank should issue a further Rs 6 crore capital increment (around 2.5%).

It had earned Rs 4.10 crore in the first quarter of the FY 2074/75.
Click here to see announcement:",0.8775187730789185
