Date,Headline,Link,Full Content,Sentiment_Score
2018-08-21,The finance industry and the individual companies: ICFC and Janaki Finance leading in the industry. Industry average profit at Rs 6.11 crores,https://www.sharesansar.com/newsdetail/the-finance-industry-and-the-individual-companies-icfc-and-janaki-finance-leading-in-the-industry-industry-average-profit-at-rs-611-crores,"The outreach of banking and financial services in Nepal is still lagging behind. Majority of the population are still restrained from the access of these services. Finance companies are therefore licensed by the central bank with an objective to provide different banking and financial services to the general public. NEPSE currently has 20 listed companies so far.
Synergy finance has been acquired by Best Finance Limited and have started joint transaction. However, the companies have published the fourth quarter report separately. So post SYFL acquisition, the total listed has been limited to 20 companies from 21. If problematic institutions such as Nepal Finance, Nepal Share Markets and Finance Limited, Capital Merchant Banking and Finance, Crystal Finance will come into operation, the number will increase.
The green box denotes national level finance companies while the orange box indicates finance companies operating in 1 to 3 districts. Thus, to facilitate the enthusiasts in the secondary market, the article has been prepared accumulating the analysis of all the finance companies which respect to their performance in 4
th
quarter reports that can be useful for investment purpose. The industry average includes all the 21 finance companies. However, the performance of three companies operating in 1 to 3 districts have not been compared with the industry average.
Financial overview:
Paid up capital:
Among the national level finance companies, ICFC Finance Company (ICFC) has the highest paid up capital (Rs 88.22 crores), followed by Gurkhas Finance Limited (GUFL) (Rs 86.80 crore). The top positions of the finance companies is in consistent with the third quarter report of FY 2074/75. However, this quarter, Pokhara Finance Limited (PFL) is third in terms of paid up capital with Rs 81.65 crores.
Among the finance companies operating in 1 to 3 districts, Janaki Finance Limited (JFL) has the highest paid up capital of Rs 40.34 crores It is further followed by Srijana Finance Company (SFFIL) with a paid up 40.07 crores. Finally, Multipurpose Finance Company (MPFL) is seen in the third position with Rs 4.15 crore.
The national level finance companies are required to meet the paid up capital of Rs 80 crores while the finance companies operating in 1 to 3 districts are required to meet the paid up capital of Rs 40 crores. The problematic finance companies which have started their operation will have to meet the paid-up capital requirement by mid-July 2019. Those are HATH, BFC, CEFL, LFC, WMBF among the 21 companies mentioned above in the table. There are other problematic companies as well but are yet to come into operation.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of paid up capital:
Reserve and surplus:
In context of reserves and surplus, Pokhara Finance Limited (PFL) has highest reserve of Rs 35.75 crores, followed by Gurkhas Finance Limited (GUFL) with a reserve of Rs 33.37 crores. In the third place stands ICFC Finance Limited (ICFC) with reserve worth Rs 28.31 crores. The industry average reserve is around Rs 9.72 crores and 10 companies are above the average.
Among finance companies having their presence in 1 to 3 districts, Janaki Finance Limited (JFL) has a reserve worth Rs 28.05 crores, Srijana Finance (SFFIL) with reserve of Rs 20.08 crores and Multipurpose Finance Company (MPFL) with a reserve of Rs 2.13 crores.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of reserves and surplus:
Net profit:
Among the finance companies, the fourth quarter report shows that ICFC Finance (ICFC) has earned the highest net profit of Rs 9.85 crores. It is further followed by Manjushree Finance Company (MFIL) with net profit of Rs 9.70 crores. Shree Investment Finance Limited (SIFC), is in the third position with net profit of Rs 9.21 crores. The industry average net profit of finance companies stands at Rs 6.11 crores with 8 companies above industry average.
Among the 1 to 3 districts finance companies, Janaki Finance Limited (JFL) has a net profit of Rs 13.39 crores.  Srijana Finance Company (SFFIL) has a net profit of Rs 12.22 crores and and Multipurpose Finance Company with a net profit of 0.65 crores.
Find the descending order of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of net profit:
Deposit collection:
The national level finance companies have been trying their best to attract the deposit clients. As of the fourth quarter of FY 2074/75, ICFC Finance (ICFC) has established itself in the top list in deposit collection. It has a deposit worth Rs 887.86 crores. Similarly, the company is followed by Manjushree Finance Limited (MFIL) and United Finance (UFL) with the collected deposit of Rs 607.40 crore and Rs 599.47 crore respectively. The industry average of deposit lies at Rs 2.95 arba with 11 companies standing above the par.
Among the finance company operating in 1 to 3 districts, Srijana Finance (SFFIL) has a deposit of Rs 540.93 crores, Janaki Finance (JFL) has deposits of Rs 165.16 crores and Multipurpose Finance (MPFL) has deposits of Rs 18.97crores.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of deposit collection:
Loans and advances:
As shown by the figures, the positions in loans and advances are almost similar to deposit. The top three positions are occupied by ICFC Finance (ICFC), United Finance Limited (UFL) and Manjushree Finance Limited (MFIL) with credit disbursement worth Rs 698.68 crores, 522.20 crores and Rs 518.90 crores. The industry average stands at Rs 2.50 arba with 9 companies that have disbursed credit above the industry average.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of loans and advances:
Annualized EPS
With an industry average of Rs 13.27 in terms of EPS, only four finance companies have been able to deliver an EPS that is above industry average.
The finance company that has won the race of annualized EPS is Lalitpur Finance Company (LFC). The company’s annualized EPS stands at Rs 32.70. However, LFC’s reserves and surplus is negative. World Merchant Banking & Finance Limited (WMBF) has the second highest EPS that accounts to Rs 22.85. Net worth and reserves of WMBF are negative. Finally, Hathway Finance Company Limited (HATH) has an EPS of Rs 18.89 per share. It also has a negative reserve and surplus.
Among the finance companies operating in 1 to 3 districts, Janaki Finance has the highest EPS of Rs 33.19 followed by Srijana Finance (SFFIL) with an EPS of Rs 30.49. In the third position, we have Multipurpose Finance Company (MPFL) with an EPS of 15.61.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of EPS:
Net worth:
The industry net worth average of Rs 106.79 of the finance companies, 11 companies have net worth above average. Analyzing the net worth per share, Pokhara Finance Limited (PFL) has the highest net worth of Rs 143.79 followed by Gurkhas Finance Limited (GUFL) with net worth Rs 138.44. In the third place, we have ICFC Finance Limited (ICFC) with net worth per share of Rs 132.09.
Among finance companies operating in 1 to 3 districts, Janaki Finance Limited (JFL) has a net worth of Rs 169.53, Multipurpose Finance Limited (MPFL) has a net worth of Rs 151.25 and Srijana Finance (SFFIL) has the net worth per share of Rs 150.12.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of net worth:
P/E Ratio:
As per the general rule of thumb in finance, lower the P/E ratio, better the company. Considering it, the finance companies with the least P/E ratio are World Merchant Banking & Finance Limited (WMBF) with P/E ratio of 4.16 times. Lalitpur Finance Company (LFC) with P/E ratio of 4.62 times and Hathway Finance Company (HATH) with P/E ratio of 6.62 times.  (Please note that all three companies have a negative reserve and net worth.)
Janaki Finance (JFL) has a P/E ratio of 5.66 times, Shrijana Finance (SFFIL) has a P/E ratio of 9.44 times, and Multipurpose Finance (MPFL) has a P/E ratio of 12.04 times.
Find the descending of both national level (green colored) and 1 to 3 districts level (orange colored) finance companies in terms of P/E ratio:
In a nutshell:
Given the study on these finance companies, what strengths and opportunities do you think they have in the highly dominated banking industry? Which finance company would you prefer investing in? Please write in the comment section below.
Disclaimer: The sources of provided information are quarterly reports, website and spokesperson. Any misinterpretation from the sources might be not adjusted in the analysis.",0.8558846712112427
2018-08-12,Deadline to apply for the 25% right shares of Synergy Finance extends; Applications can be made till Bhadra 11 for applicants outside valley & till Bhadra 12 for applicants in Kathmandu valley,https://www.sharesansar.com/newsdetail/deadline-to-apply-for-the-25-right-shares-of-synergy-finance-extends-applications-can-be-made-till-bhadra-11-for-applicants-outside-valley-till-bhadra-12-for-applicants-in-kathmandu-valley,"The deadline for applying for the 25% right shares of Synergy Finance has been extended. The applications can be placed till Bhadra 11 for the applicants outside Kathmandu valley and till Bhadra 12 for applicants inside valley.
The finance company is issuing 11,86,022.47 unit right shares to its shareholders at par value of Rs 100.
Prabhu Capital has been appointed as the issue manager for the right issuance.
For the purpose of the right share issuance, the shareholders register book had closed on Jestha 30, 2075 i.e. the shareholders holding shares of the company till Jestha 29 are eligible to receive the right shares. Since its trading was suspended since Ashwin 26, 2074 due to acquisition by Best Finance Company Limited (BFC), shareholders with shares traded until Ashwin 25, 2074 are eligible to apply for the right shares.
After the adjustment of 25% right shares, the paid-up capital of the company will reach Rs 59.30 crore from the existing Rs 47.44 crore. Its acquisition has completed in a swap ratio of 1:1 after which the paid-up capital of the merged entity will reach Rs 88 crore. Synergy Finance has already been acquired by Best Finance and the joint transaction in the name of Best Finance Company has also started.",0.9153957366943359
2018-07-27,Synergy Finance reports decrease in profit by 52.72%; Net worth per share stands at Rs 71.81,https://www.sharesansar.com/newsdetail/synergy-finance-reports-decrease-in-profit-by-5272-net-worth-per-share-stands-at-rs-7181,"Synergy Finance Limited (SYFL)
has reported significant fall in net profit
at Rs 5.22 crore along with significant fall in EPS at Rs 11.02 for the fourth quarter of the fiscal year 2074/75.
Unaudited financial report of SYFL is circulated today; has reported extremely decreased of net profit to Rs 5.22 crore in last quarter of fiscal year 2074/75 from Rs 11.06 crore reported in the corresponding quarter of the previous fiscal year 2073/74 with extremely decreased Earning per Share (EPS) at Rs 11.02.
It’s extended loans of Rs 1.71 arba from Rs 1.67 arba. Its deposits collection has increased to Rs 2.02 arba in the last quarter of the FY 2074/75. It has paid up capital of Rs 47.44 crore with diminished reserve at Rs 13.37 crore in Q4.
Net Interest income is the primary source of income for finance company. SYFL’s net interest income has immensely fallen from Rs 12.91 crore in the corresponding quarter last year to Rs 10.52 crore in the fourth quarter of fiscal year 2074/75. Its operating loss has increased to (Rs 21.23) crore in Q4, from (Rs 16.65) crore in corresponding quarter.
The finance company’s non-performing loan (NPL) has decreased to 11.02 percent in the fourth quarter. Currently, Net worth per share stands at Rs 71.81 and P/E ratio at 14.06 times.
Major Highlights:
Particulars (In Rs '000)
SYFL
Q4 2074/75
Q4 2073/74
Difference
Paid Up Capital
474,409
474,409
0.00%
Reserve & Surplus
(133,716)
(186,006)
-28.11%
Deposits
2,025,153
1,864,578
8.61%
Borrowings
-
-
-
Loans & Advances
1,710,136
1,678,114
1.91%
Net Interest Income
105,259
129,110
-18.47%
Provision for possible losses
217,564
195,918
11.05%
Operating Profit
(212,236)
(166,582)
27.41%
Net Profit
52,290
110,606
-52.72%
NPL (%)
18.33
23.44
-21.80%
Annualized EPS (In Rs.)
11.02
23.31
-52.72%
Net Worth per Share (In Rs.)
71.81
60.79
18.13%
P/E Ratio (In times)
14.06
-",0.020153004676103592
2018-07-18,Nepal Rastra Bank provides approval to the joint transaction for the merged entity of Best Finance and Synergy Finance; Transaction to be commenced in the name of Best Finance,https://www.sharesansar.com/newsdetail/nepal-rastra-bank-provides-approval-to-the-joint-transaction-for-the-merged-entity-of-best-finance-and-synergy-finance-transaction-to-be-commenced-in-the-name-of-best-finance,"Nepal Rastra Bank has given approval for the commencement of joint transaction to Best Finance Limited (BFC) and Synergy Finance Limited (SYFL).
The joint transaction will be commenced from Shrawan 17, 2075 in the name of Best Finance Limited.
The AGM of both the finance companies had approved the acquisition process at a share swap ratio of 1:1. The main office of the joint entity will be located at the then corporate office of Synergy Finance at Kamaladi, Kathmandu.
After the merger, the paid up capital of new entity is 89.05 crore thereby meeting the Rastra Bank’s instruction to hike paid up capital to Rs 80 crore for all national level finance companies.",0.7381752729415894
2018-07-09,Synergy Finance to issue 25% right shares from today; Paid up capital to reach Rs 59.30 crore after adjustment of right shares,https://www.sharesansar.com/newsdetail/synergy-finance-to-issue-25-right-shares-from-today-paid-up-capital-to-reach-rs-5930-crore-after-adjustment-of-right-shares,"Synergy Finance is issuing 25% right shares to its shareholders from Ashadh 25, 2075 i.e. today. The issue will last till Shrawan 27, 2075. The finance company is issuing 11,86,022.47 unit right shares to its shareholders at par value of Rs 100.
Prabhu Capital has been appointed as the issue manager for the right issuance.
For the purpose of the right share issuance, the shareholders register book had closed on Jestha 30, 2075 i.e. the shareholders holding shares of the company till Jestha 29 are eligible to receive the right shares. Since its trading has been suspended since Ashwin 26, 2074 due to acquisition by Best Finance Company Limited (BFC), shareholders with shares traded until Ashwin 25, 2074 are eligible to apply for the right shares.
After the adjustment of 25% right shares, the paid-up capital of the company will reach rs 59.30 crore from the existing Rs 47.44 crore. Its acquisition will complete in a swap ratio of 1:1 after which the paid-up capital of the merged entity will reach Rs 88 crore.
Its LTP stands at Rs 145.",0.8722583055496216
2018-06-22,Synergy Finance to issue 25% right shares from Ashadh 27; Finance company to issue right shares worth Rs 11.86 crore,https://www.sharesansar.com/newsdetail/synergy-finance-to-issue-25-right-shares-from-ashadh-27-finance-company-to-issue-right-shares-worth-rs-1186-crore,"Synergy Finance is issuing 25% right shares to its shareholders from Ashadh 25, 2075. The issue will last till Shrawan 27, 2075. The finance company is issuing 11,86,022.47 unit right shares to its shareholders at par value of Rs 100.
Prabhu Capital has been appointed as the issue manager for the right issuance.
For the purpose of the right share issuance, the shareholders register book had been closed on Jestha 30, 2075 i.e. the shareholders holding shares of the company till Jestha 29 are eligible to receive the right shares. Since its trading has been suspended since Ashwin 26, 2074 due to acquisiton by Best Finance Company Limited (BFC), shareholders with shares traded until Ashwin 25, 2074 are eligible to apply for the right shares.
After the adjustment of 25% right shares, the paid-up capital of the company will reach rs 59.30 crore from the existing Rs 47.44 crore. Its acquisition will complete in a swap ratio of 1:1 after which the paid-up capital of the merged entity will reach Rs 88 crore.",0.8650292754173279
2018-06-19,How well are the finance companies of Nepal performing?,https://www.sharesansar.com/newsdetail/how-well-are-the-finance-companies-of-nepal-performing,,-0.29330024123191833
2018-06-12,Last day to register for 25% right shares of Synergy Finance; trading halted due to ongoing acquisition by Best Finance,https://www.sharesansar.com/newsdetail/last-day-to-register-for-25-right-shares-of-synergy-finance-trading-halted-due-to-ongoing-acquisition-by-best-finance,"Synergy Finance Limited (SYFL) is going to issue 25% right share to its shareholders, for which the book closure has been set for tomorrow i.e. 30th Jestha, 2075. Since its trading has been suspended since Ashwin 26, 2074 due to acquisiton by Best Finance Company Limited (BFC), shareholders with shares traded until Ashwin 25, 2074 are eligible to apply for the right shares. For those shareholders who have not yet received the shares in their demat accounts, the finance company has urged them to register the shares by today by contacting their respective brokers.
Synergy Finance has earned net profit of Rs 2.57 crore in the 3rd quarter of FY 2074/75. After 25% right share issue, its paid-up capital will reach Rs 59.30 crore from existing Rs 47.44 crore. Its acquisition by Best Finance will complete in a share swap ratio of 1:1, after which the paid-up capital of the merged entity will reach around Rs 88 crore.",0.7739205360412598
2018-06-05,Book Closure for 100:25 right shares of Synergy Finance on Jestha 30,https://www.sharesansar.com/newsdetail/book-closure-for-10025-right-shares-of-synergy-finance-on-jestha-30,"Synergy Finance Limited (SYFL) is going to issue 25% right share to its shareholders, for which the company has announced Jestha 30th, 2075 as the book closure date. This means that the shareholders with shares until Jestha 29, 2075 will be eligible for the rights distribution.
Synergy Finance has earned net profit of Rs 2.57 crore in the 3rd quarter of FY 2074/75. After 25% right share issue, its paid-up capital will reach Rs 59.30 crore from existing Rs 47.44 crore. Its trading in NEPSE has been suspended since Ashoj 25
th
, 2074 due to ongoing acquisition by Best Finance Company Limited. The acquisition will complete in a share swap ratio of 1:1.",0.4571289122104645
2018-06-01,Synergy Finance Limited urges its major shareholders to provide call in advance amount for its upcoming 1:0.25 right share,https://www.sharesansar.com/newsdetail/synergy-finance-limited-urges-its-major-shareholders-to-provide-call-in-advance-amount-for-its-upcoming-1025-right-share,"Synergy Finance Limited has published a notice urging its major shareholders to deposit calls in advance amount for its upcoming 1:0.25 ratio right share. Its SGM conducted on Mangsir 5, 2073 had decided to issue right shares in the ratio of 1:0.25. Shareholders holding more than 1% of the paid-up capital i.e. 47,440 shares of Synergy Finance are requested to deposit amount equivalent to the right shares.
Further, those major shareholders who want to renounce their right will also have to deposit the amount and inform of the same to the company. The finance has
urged to deposit amount in account number 100-00013-7
maintained in the name of Synergy-Right Share at Synergy Finance Limited.
Synergy Finance has earned net profit of Rs 2.57 crore in the third quarter of FY 2074/75. After 25% right share issue, its paid-up capital will reach Rs 59.30 crore from existing Rs 47.44 crore. Its trading in NEPSE has been suspended since October 12, 2017 due to ongoing acquisition by Best Finance Company Limited. The acquisition will complete in a share swap ratio of 1:1.",0.6694572567939758
