Date,Headline,Link,Full Content,Sentiment_Score
2022-08-10,Mega Bank Nepal Urges Shareholders to Claim Due Dividend,https://www.sharesansar.com/newsdetail/mega-bank-nepal-urges-shareholders-to-claim-due-dividend-2022-08-10,"Mega Bank Nepal Limited (MEGA)
has published a very important notice to the shareholders of former (Paschimanchal Development Bank Limited, Gandaki Bikas Bank Limited and Tourism Development Bank Limited) to collect uncollected due dividend passed by various general meetings.
Investors who have not claimed the dividend yet have to contact the share registrar of this bank, Mega Capital Markets Limited located at Kamaladi, Kathmandu or the bank's share department for more information.
Notice",0.8761569857597351
2018-05-27,The trading of Mega Bank’s shares to start from tomorrow after being frozen for 491 days; tentative price of opening stands at Rs. 312,https://www.sharesansar.com/newsdetail/the-trading-of-mega-banks-shares-to-start-from-tomorrow-after-being-frozen-for-491-days-tentative-price-of-opening-stands-at-rs-312,"The trading of Mega Bank Nepal Limited (MEGA) and Tourism Development Bank Limited (TDBL) had been halted on NEPSE from Magh 06, 2073 when both banks signed an agreement for merger on with a swap ratio of 100:95 (MEGA: TDBL). After the merger, the bank will have around Rs 10.5 billion paid up capital, 2.33 billion reserves, 1000 employees, 102 branches and 22 extension counters spread around all the provinces after the merger.
The last trading price of Mega and Tourism Bank were Rs 458 and Rs 427 respectively in Magh 2073 at a time when NEPSE was in a bearish mood with the index hovering at 1,470.
After the trading had halted at NEPSE, Mega Bank has already capitalized its 13.25% bonus shares and 65% right shares. On the other end, Tourism Development Bank has also capitalized 19.80% bonus shares and 100% right shares. Shareholders of both the institutions have already received the allotted right and bonus shares in their respective demat accounts. However, the shareholders hadn’t been able to trade the allotted shares.
So after starting the joint transaction of Mega and Toursim as Mega from Baisakh 30
th
, 2075; the traders will finally be able to trade their shares in secondary market from tomorrow i.e Jestha 14
th
, 2075. All the TBL shares have been dematerialized as Mega in investors’ demat accounts.
The LTP of Mega was Rs 458, so after adjusting 65% right shares, the trading will tentatively open at Rs 312 in NEPSE. If we were to adjust the 13.25% bonus too, the price will stand at Rs 279.88. However given the current market trend, the price is likely to fall below that too.",0.2702729403972626
2018-05-04,Mega Bank and Tourism Development Bank merger finally complete; to start joint transaction from Baisakh 30,https://www.sharesansar.com/newsdetail/mega-bank-and-tourism-development-bank-merger-finally-complete-to-start-joint-transaction-from-baisakh-30,"Mega Bank Nepal Limited (MEGA) and Tourism Development Bank Limited (TDBL) are all set to start their joint transaction in the name of Mega Bank Limited from Baisakh 30, 2075.
The acquisition of the development bank by Mega Bank had received final approval from Nepal Rastra Bank on Baisakh 09, 2075 and from the Office of Company Registrar on Baisakh 12, 2075.
For this the banks will be interrupting many of its services like Extended Banking Services on Baisakh 28 and Holiday Counter facility on Baisakh 29. Along with these, the ATM of Tourism Development Bank will be out of function after the banking hours of Baisakh 28 till Baisakh 30.
The merger has been finalized at Rs. 100 per share of Mega Bank and Rs. 95 per share for Tourism Development Bank.
It will have around Rs 10.5 billion paid up capital, 2.33 billion reserves, 1000 employees, 102 branches and 22 extension counters spread around all the provinces after the merger.",0.8211288452148438
2018-04-27,Tourism Development Bank earns Rs 21.24 crore and EPS of Rs 12.25 in the Q3; Shangrila Development Bank garners Rs 25.06 crore net profit and EPS of Rs 14.19,https://www.sharesansar.com/newsdetail/tourism-development-bank-earns-rs-2124-crore-and-eps-of-rs-1225-in-the-q3-shangrila-development-bank-garners-rs-2506-crore-net-profit-and-eps-of-rs-1419,"Tourism Development Bank Limited (TDBL) posted a rise in net profit by 5.72 percent in third quarter of the fiscal year 2074/75.
According to the published unaudited report today, the development bank has increased its net profit from Rs 20.09 crore to Rs 21.24 crore.
The paid capital is at Rs 2.31 arba with Rs 44.22 core in its reserve.
The bank collected deposits of Rs 13.72 arba and floated loans of Rs 12.41 arba.
The development bank’s earning per share (EPS) has declined to Rs 12.25 while its net worth per share is at Rs 119.13.
The bank has already signed a MoU with Mega Bank Limited for the merger and is soon supposed to start joint transactions.
Major Highlights:
Particulars (In Rs '000)
TDBL
Q3 2074/75
Q3 2073/74
Difference
Paid Up Capital
2,312,213
1,112,022
107.93%
Reserve & Surplus
442,299
541,611
-18.34%
Deposits
13,724,688
11,061,655
24.07%
Borrowings
340,000
199,400
70.51%
Loans & Advances
12,410,704
9,879,294
25.62%
Net Interest Income
505,307
389,632
29.69%
Provision for possible losses
98,666
38,162
158.55%
Operating Profit
302,664
296,704
2.01%
Net Profit
212,472
200,968
5.72%
NPL (%)
1.4
1.17
19.66%
Annualized EPS (In Rs.)
12.25
24.10
-49.15%
Net Worth per Share (In Rs.)
119.13
148.71
-19.89%
Shangrila Development Bank Limited (SADBL)
has earned Rs 25.06 crore in the third quarter of the current fiscal year 2074/75. The bank has posted profit growth of 2.36 percent in the third quarter. In the previous year corresponding quarter, the net profit figure was Rs 24.49 crore.
Publishing the unaudited financial report today, its net interest income rose to Rs 55.12 crore from Rs 51.99 crore in corresponding quarter of the previous fiscal year.
The development bank has collected deposits of Rs 14.75 arba in the Q3 up from Rs 11.78 arba in the corresponding quarter. Likewise, it has extended loans and advances of Rs 14 arba in Q3 whereas in the same period last year the figure stood at Rs 10.81 arba.
SADBL’s Earning per Share (EPS) stand at Rs 14.19 and its net worth per share at Rs. 134.88.
Major Highlights:
Particulars (In Rs '000)
SADBL
Q3 2074/75
Q3 2073/74
Difference
Paid Up Capital
2,355,055
1,073,456
119.39%
Reserve & Surplus
821,492
622,027
32.07%
Deposits
14,757,769
11,787,026
25.20%
Borrowings
2,000
-
-
Loans & Advances
14,000,093
10,810,793
29.50%
Net Interest Income
551,291
519,916
6.03%
Provision for possible losses
54,852
34,842
57.43%
Operating Profit
393,819
380,444
3.52%
Net Profit
250,685
244,904
2.36%
NPL (%)
0.7
0.69
1.45%
Annualized EPS (In Rs.)
14.19
30.42
-53.34%
Net Worth per Share (In Rs.)
134.88
157.95
-14.60%",-0.056386709213256836
2018-04-20,Mega Bank and Tourism Bank’s merger finally approved; approx. 450 days of frozen shares finally to be traded again,https://www.sharesansar.com/newsdetail/mega-bank-and-tourism-banks-merger-finally-approved-approx-450-days-of-frozen-shares-finally-to-be-traded-again,"Mega Bank and Tourism Development Bank had signed the MoU for the Merger, and on account of the same the trading of shares of both the institutions was halted from Magh 9, 2073. The last trading price of Mega and tourism Bank were Rs 458 and Rs 427 respectively in Magh 2073 at a time when NEPSE was in a bearish mood with the index hovering at 1,470. As of now, it has been almost 450 days.
After the trading had halted at NEPSE, Mega Bank had capitalized its 13.25% bonus shares and 65% right shares. On the other end, Tourism Development Bank has also capitalized 19.80% bonus shares and 100% right shares. Shareholders of both the institutions have already received the allotted right and bonus shares in their respective demat accounts even after completion of the tedious process of auctioning the unsubscribed right shares. However, the shareholders hadn’t been able to trade the allotted shares.
Finally on a Board Meeting held at Nepal Rastra Bank (NRB) on Baisakh 07, 2074 the approval was granted to finalize the merger process. The official letter of approval from NRB is expected to come with a day or two and after that the bank will release a 21 days’ notice for formal merger.
The merger has been finalized at Rs. 100 per share of Mega Bank and Rs. 95 per share for Tourism Development Bank.",0.2805919647216797
2018-04-05,Tourism Development Bank announces 15% bonus shares for its shareholders; Bank still in the process of being merged with Mega Bank,https://www.sharesansar.com/newsdetail/tourism-development-bank-announces-15-bonus-shares-for-its-shareholders-bank-still-in-the-process-of-being-merged-with-mega-bank,"The 212th board meeting of Tourism Development Bank Limited has announced 15% bonus shares for its shareholders.
As per the notice published in NEPSE, the development bank has announced 15% bonus share worth Rs 30.15 crore from the net profit of FY 2073/74.
The decision is yet to be approved by Nepal Rastra Bank and the Annual General Meeting of the development bank.
Tourism Development Bank is currently in process of acquisition with Mega Bank and hence the transaction of the bank in the secondary market is halted for the period.
Mega Bank had also recently announced bonus shares for its shareholders. (
see here)
Notice",0.7779715061187744
2018-03-09,A mega mystery of Mega Bank; When will crores of frozen shares be liquid again?,https://www.sharesansar.com/newsdetail/a-mega-mystery-of-mega-bank-when-will-crores-of-frozen-shares-be-liquid-again,"After Nepal Rastra Bank started using Carrot-and-Stick mechanism to reduce the number of banking and financial institutions with an aim to bring stability in the financial sector, dozens of them have undergone merger and acquisition thereby reducing their number. In this process, there are examples of big successful mergers/acquisitions that include examples of then NIC Bank with Bank of Asia, then Grand Bank with Prabhu Bank, Bank of Kathmandu with Lumbini Bank, then four institutions including 3 development Banks with Kumari Bank, four other development banks with Nepal Credit and Commercial Bank and many more. However, they say “Even the bright Moon has scars” and the mysterious case of Mega Bank is one such example.

It is no mystery that Mega Bank has undergone the process of merger with Tourism Development Bank in a swap ratio of 100:95 in order to make one of the strongest capital bases the financial industry has seen so far in the country. The SGM of Mega held on Poush 4, 2074 endorsed the decision forwarded by the board (
controversies kept aside
). On the other hand, AGM of Tourism Bank had already cleared the way for that merger by endorsing the proposal on Mangsir 4, 2074.

Even after discounting the controversy that had surrounded the entire merger process, the biggest of concerns in the financial sector was at the offing as the MOU for merger halted the trading of shares of both the institutions from Magh 9, 2073. The last trading price of Mega and tourism Bank were Rs 458 and Rs 427 respectively in Magh 2073 at a time when NEPSE was in a bearish mood with the index hovering at 1,470. Till this date of publication of this article, tentatively more than 400 days have already passed by (from Magh 9, 2073 to Falgun 25, 2074) and the days had slipped in a way there is no turning back.

After the trading had halted at NEPSE, Mega Bank had capitalized its 13.25% bonus shares and 65% right shares. On the other end, Tourism Development Bank has also capitalized 19.80% bonus shares and 100% right shares. Shareholders of both the institutions have already received the allotted right and bonus shares in their respective demat accounts even after completion of the tedious process of auctioning the unsubscribed right shares. But what use has these shares offered to the public investors as the trading has remained frozen due to ongoing merger process? In these 400 plus days, the benchmark index at NEPSE had even climbed up to more than 1700 marks. The shareholders of other banks and financial institutions had pocketed handsome returns out of their stock holdings but those holding MEGA and TDBL shares in their demat accounts were reduced to become a mute spectators.
Almost 1.50 lakh shareholders affected
When analyzing the share structure of these financial institutions, it has been found that Mega Bank alone has over 1.44 lakh public shareholders and 1,219 promoter shareholders (highest promoter shareholding number by any commercial banks), leave alone the shareholding of Tourism Development Bank. Now the issue is what on earth is making this merger process a mega mysterious one that has already engulfed 400 plus non-returnable days of the shareholders? Let it not be forgotten as well that Mega Bank is the same institution which had kept its shareholders
in a similar situation for 15 months
during its merger bid earlier with Pashimanchal Development Bank forcing the millions of its shares to freeze then.

Authorities with Mega Bank,however, had appeared unnaturally optimistic all these months that the joint transaction of two institutions would begin soon and the shareholders wouldn’t need to stay idol for long. However, a different side of the story has propped up recently as Sharesansar has found differing opinions from the different parties involved with the entire process.

“We can’t still predict when the joint transaction would actually begin; leave alone the trading of the shares in NEPSE as our final merger documents are being reviewed by Nepal Rastra Bank.”, airs the Mega official. “The delay is definitely a matter of serious concern, however, the Central Bank also should have understood the magnitude of situation and increased its pace of work”, adds the official.

Nepal Rastra Bank, however, has a different story to tell in which the related official came heavily on Mega. “The problem is not with our review and assessment system. There are other cases of big mergers as well”, the official defends the workings of Rastra Bank. “The present delay is because few issues regarding respectful adjustment of board members in the merged entity, adjustment of employees and other vital internal issues have been dragging this merger process for this long”, the official divulged after repeated follow-ups and requests.

Now, lakhs of shareholders of both financial institutions are asking the single question “When can we start trading our shares? When will our supposedly liquid shares be liquid in real again?”. Unfortunately the management team alone doesn’t have all the authorities to sort out the thorny issues regarding the mergers and acquisitions which provides ample opportunities to lakhs of general shareholders to raise their fingers towards Board members of both the concerned banks, towards Nepal Rastra Bank and SEBON for not having showed enough sensitivity towards their genuine concerns.",0.2183990180492401
2018-03-04,"Tourism Development Bank inaugurates new branch at Chabahil, Kathmandu",https://www.sharesansar.com/newsdetail/tourism-development-bank-inaugurates-new-branch-at-chabahil-kathmandu,"According to the expansion plan of Tourism Development Bank, a new branch has started its operation at Chabahil-7, Kathmandu. The official inauguration held on Falgun 20, 2074 was made auspicious with the presence of various dignitaries.
The bank is providing its services through a network of 36 branches, 5 extension counters and 20 ATM booths.",0.71213698387146
2018-01-29,"Jyoti Bikas Bank, Mahalaxmi Bikas Bank and Shangrila Development Bank report profit increment of 5.22%, 42.57% and 23.53%; Tourism Development Bank’s profit decline by 22.83%",https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-mahalaxmi-bikas-bank-and-shangrila-development-bank-report-profit-increment-of-5-22-42-57-and-23-53-tourism-development-banks-profit-decline-by-22-83,"Jyoti Bikas Bank Limited (JBBL)
has posted increase in profit of 5.22 percent for the fiscal year 2074/75.

According to the unaudited financial report published by the bank today, its net profit has increased to Rs 14.25 crore in the second quarter from Rs 13.54 crore in the corresponding quarter of the previous fiscal year 2073/74.

JBBL’s net interest income has increased to Rs 34.15 crore in Q2 from Rs 22.59 crore in the corresponding quarter of the previous fiscal year.

The bank collected Rs 13.45 arba in Q2 from Rs 9.12 arba in the corresponding period last year as deposits.

Likewise, it has extended loans and advances of Rs 12.43 arba in Q2 whereas in the same period last year the figure stood at Rs 8.01 arba.

Its non-performing loan has increased to 1.42 percent from 1.19 percent of last year.

Jyoti Bikas Bank’s annualized earning per share (EPS) stands at Rs 10.99, net worth per share at Rs 113.26 and the P/E ratio at Rs 14.29 times.

Its paid-up capital remains at Rs 2.59 arba and has reserve of Rs 34.403 crore.
Major Highlights:
Particulars (In Rs '000)
JBBL
Q2 2074/75
Q2 2073/74
Difference
Paid Up Capital
2,593,609
1,101,941
135.37%
Reserve & Surplus
344,037
282,868
21.62%
Deposits
13,458,299
9,129,062
47.42%
Borrowings
465,000
-
-
Loans & Advances
12,430,872
8,017,620
55.04%
Net Interest Income
341,564
225,916
51.19%
Provision for possible losses
42,206
19,179
120.06%
Operating Profit
219,494
148,216
48.09%
Net Profit
142,508
135,432
5.22%
NPL (%)
1.42
1.19
19.33%
Annualized EPS (In Rs.)
10.99
24.58
-55.29%
Net Worth per Share (In Rs.)
113.26
125.67
-9.87%
P/E Ratio (In times)
14.29
11.39
-
Likewise, Mahalaxmi Bikas Bank Limited (MBBL)
has posted significant increase in profit of 42.57 percent for the fiscal year 2074/75.

According to the unaudited financial report published by the bank today, its net profit has increased to Rs 20.54 crore in the second quarter from Rs 14.41 crore in the corresponding quarter of the previous fiscal year 2073/74.

MBBL’s net interest income has increased outstandingly by 89.67% to Rs 45.43 crore in Q2 from Rs 23.95 crore in the corresponding quarter of the previous fiscal year.

The bank collected an outstanding amount of Rs 25.12 arba in Q2 from Rs 12.06 arba in the corresponding period last year as deposits.

Likewise, it has extended loans and advances of Rs 20.82 arba in Q2 whereas in the same period last year the figure stood at Rs 10.08 arba.

Its non-performing loan has decreased to 3.39 percent from 3.78 percent of last year.

Mahalaxmi Bikas Bank’s annualized earning per share (EPS) stands at Rs 15.60, net worth per share at Rs 149.55.

Its paid-up capital remains at Rs 2.63 arba and has reserve of Rs 1.305 arba.
Major Highlights:
Particulars (In Rs '000)
MBBL
Q2 2074/75
Q2 2073/74
Difference
Paid Up Capital
2,633,797
1,386,233
90.00%
Reserve & Surplus
1,305,083
242,567
438.03%
Deposits
25,129,714
12,060,900
108.36%
Borrowings
-
-
-
Loans & Advances
20,824,436
10,089,506
106.40%
Net Interest Income
454,334
239,535
89.67%
Provision for possible losses
254,527
70,038
263.41%
Operating Profit
38,080
113,168
-66.35%
Net Profit
205,440
144,101
42.57%
NPL (%)
3.39
3.78
-10.32%
Annualized EPS (In Rs.)
15.60
20.79
-24.96%
Net Worth per Share (In Rs.)
149.55
117.50
27.28%
Similarly, Shangrila Development Bank (SADBL)
has posted profit increment of 23.53 percent for the second quarter of the fiscal year 2074/75.

According to the unaudited financial report published by the development bank today, its net profit has increased to Rs 16.01 crore in the second quarter up from Rs 12.96 crore in the corresponding quarter of the previous fiscal year 2073/74.

Shangrila Development Bank’s net interest income has also increased to Rs 35.61 crore in Q2, up from Rs 33.11 crore in the corresponding quarter of the previous fiscal year.

The bank’s deposits collection reached Rs 14.07 arba in Q2 from Rs 12.04 arba in the corresponding period last year.

Likewise, it has extended loans and advances of Rs 12.96 arba in Q2 whereas in the same period last year the figure stood at Rs 10.57 arba.

Its non-performing loan has increased to 0.85 percent in Q2 from 0.68 percent last year.

Shangrila Development Bank annualized earning per share (EPS) stand at Rs 23.58, net worth per share at Rs 153.89.

Its paid up capital remains at Rs 1.35 arba and has reserve of Rs 73.21 crore. It has currently floated 80% right share which ends in Magh 21. After 80% right issue, its paid up capital will reach Rs 2.44 arba from existing capital of Rs 1.35 arba. As per NRB’s monetary policy, SADBL should increase its paid up capital to a minimum of Rs 2.50 arba by the end of FY 2073/74. After the issuance of 80% right share, the bank should issue a further Rs 6 crore capital increment.
Major Highlights:
Particulars (In Rs '000)
SADBL
Q2 2074/75
Q2 2073/74
Difference
Paid Up Capital
1,358,475
1,073,456
26.55%
Reserve & Surplus
732,122
617,968
18.47%
Deposits
14,707,817
12,048,509
22.07%
Borrowings
-
-
-
Loans & Advances
12,966,351
10,570,697
22.66%
Net Interest Income
356,117
331,175
7.53%
Provision for possible losses
21,951
52,331
-58.05%
Operating Profit
251,711
199,903
25.92%
Net Profit
160,182
129,673
23.53%
NPL (%)
0.85
0.68
25.00%
Annualized EPS (In Rs.)
23.58
24.16
-2.39%
Net Worth per Share (In Rs.)
153.89
157.57
-2.33%
However, Tourism Development Bank Limited (TDBL)
has posted decrease in profit of 22.83 percent for the fiscal year 2074/75.

According to the unaudited financial report published by the bank today, its net profit has decreased to Rs 11.29 crore in the second quarter from Rs 14.63 crore in the corresponding quarter of the previous fiscal year 2073/74.

Its net interest income has increased to Rs 30.58 crore in Q2 from Rs 26.84 crore in the corresponding quarter of the previous fiscal year.

The bank collected Rs 13.10 arba in Q2 from Rs 10.74 arba in the corresponding period last year as deposits.

Likewise, it has extended loans and advances of Rs 11.54 arba in Q2 whereas in the same period last year the figure stood at Rs 9.24 arba.

Its borrowing has significantly decreased by 76.27% to Rs 14.00 crore in Q2 of current fiscal year from Rs 59.00 crore in the corresponding quarter of last fiscal year.

Its non-performing loan has increased to 2.13 percent from 1.3 percent of last year.

Tourism Development Bank’s annualized earning per share (EPS) stands at Rs 11.24, net worth per share at Rs 132.29 and the P/E ratio at 38.00 times.

Its paid-up capital remains at Rs 2.01 arba and has reserve of Rs 64.91 crore. It is currently in the process of merging with Mega Bank Limited.
Major Highlights:
Particulars (In Rs '000)
TDBL
Q2 2074/75
Q2 2073/74
Difference
Paid Up Capital
2,010,620
919,771
118.60%
Reserve & Surplus
649,158
486,902
33.32%
Deposits
13,100,917
10,741,384
21.97%
Borrowings
140,000
590,000
-76.27%
Loans & Advances
11,545,653
9,241,797
24.93%
Net Interest Income
305,869
268,474
13.93%
Provision for possible losses
87,279
49,520
76.25%
Operating Profit
152,951
188,194
-18.73%
Net Profit
112,955
146,381
-22.83%
NPL (%)
2.13
1.3
63.85%
Annualized EPS (In Rs.)
11.24
31.83
-64.70%
Net Worth per Share (In Rs.)
132.29
152.94
-13.50%
Price Earning Ratio
38.00
13.51
181.27%",-0.6860506534576416
2018-01-09,"NEPSE lists 3.37 crore unit right shares of Excel Development Bank & bonus share of Nabil, Sanima Bank & 2 other companies",https://www.sharesansar.com/newsdetail/nepse-lists-3-37-crore-unit-right-shares-of-excel-development-bank-bonus-share-of-nabil-sanima-bank-2-other-companies,"Nepal Stock Exchange (NEPSE) has listed 3.37 crore unit shares of Nabil Bank Limited (NABIL), Sanima Bank Limited (SANIMA), Tourism Development Bank Limited (TDBL), Ngadi Group Power Limited (NGPL) and Excel Development Bank Limited (EDBL).
Listing of bonus shares of NABIL
1,85,77,140 units Bonus Shares of Nabil Bank has been listed. This includes 30% bonus shares from the net profit of FY 2073/74.
Listing of bonus shares of SANIMA
1,10,36,214.4 units Bonus Shares of Sanima Bank Ltd. has been listed. This includes 15% bonus shares from the net profit of FY 2073/74.
Listing of bonus shares of TDBL
17,10,775 units Bonus Shares of Tourism Development Bank Ltd. has been listed.
Listing of bonus shares of NGPL
486868 units Bonus Shares of Ngadi Group Power Ltd. has been listed. This includes 10% bonus shares from the net profit of FY 2073/74.
Listing of right shares of EDBL
19,22,812.5 units Rights Shares of Excel Development Bank Ltd. has been listed. This includes 50% right shares issued from Ashwin 18 to Kartik 28, 2074.",0.9251970648765564
