Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-25,760.0,745.0,745.0,745.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-04-27,745.0,775.0,759.0,775.0,70.0,0.0,0.0,0.0,0.0,2.39316239316247,0.47863247863249403,0.0,,0.0,Neutral
2011-06-12,775.0,775.0,775.0,775.0,20.0,0.0,0.0,0.0,0.0,4.24087466822516,1.2310809165510275,0.0,,0.0,Neutral
2011-07-03,775.0,805.0,790.0,805.0,100.0,0.0,0.0,0.0,0.0,8.033345827681842,2.5915338987771905,0.0,,0.0,Neutral
2011-07-04,805.0,853.0,821.0,853.0,150.0,790.6,0.0,0.0,0.0,14.742166869105972,5.021660492842948,0.0,,0.0,Neutral
2011-07-05,853.0,887.0,870.0,887.0,100.0,819.0,0.0,0.0,0.0,22.54261450134311,8.525851294542981,0.0,,0.0,Neutral
2011-07-06,887.0,958.0,904.0,958.0,200.0,855.6,0.0,0.0,0.0,34.060998093536455,13.632880654341676,0.0,,0.0,Neutral
2011-07-11,958.0,989.0,970.0,989.0,150.0,898.4,0.0,0.0,0.0,45.170147653305776,19.940334054134496,0.0,,0.0,Neutral
2011-11-17,989.0,989.0,989.0,989.0,30.0,935.2,0.0,0.0,0.0,53.35913779097905,26.624094801503407,0.0,,0.0,Neutral
2011-12-07,989.0,1000.0,1000.0,1000.0,100.0,964.6,877.6,0.0,0.0,60.04442479011345,33.30816079922542,100.48018046692921,,0.0,Neutral
2011-12-11,1000.0,1000.0,1000.0,1000.0,20.0,987.2,903.1,0.0,0.0,64.5979183103459,39.566112301449515,95.31404233724777,,0.0,Neutral
2012-09-11,1000.0,1018.0,1018.0,1018.0,30.0,999.2,927.4,0.0,0.0,68.86520903633595,45.425931648426804,89.8457938173327,,0.0,Neutral
2012-12-02,1018.0,1038.0,1018.0,1038.0,100.0,1009.0,953.7,0.0,0.0,73.01918086967476,50.9445814926764,77.98867439143532,,0.0,Neutral
2012-12-04,1038.0,1058.0,1018.0,1058.0,120.0,1022.8,979.0,0.0,0.0,77.03703138445962,56.16307147103305,64.20972581228536,,0.0,Neutral
2012-12-13,1058.0,1079.0,1079.0,1079.0,50.0,1038.6,1001.6,0.0,99.99999999580838,80.98221875206082,61.12690092723861,53.87475186846674,,0.0,Neutral
2012-12-16,1079.0,1100.0,1100.0,1100.0,100.0,1058.6,1022.9,0.0,99.9999999956923,84.82551690329171,65.86662412244924,44.8886276120005,,0.0,Neutral
2012-12-27,1100.0,1144.0,1100.0,1144.0,100.0,1083.8,1041.5,0.0,99.99999999620596,90.37994688612741,70.76928867518487,52.83990495407342,,0.0,Neutral
2013-01-08,1144.0,1166.0,1166.0,1166.0,101.0,1109.4,1059.2,0.0,99.99999999612189,95.4567231189917,75.70677556394624,62.128540587684085,,0.0,Neutral
2013-01-20,1166.0,1189.0,1189.0,1189.0,10.0,1135.6,1079.2,0.0,99.99999999583333,100.1811862858342,80.60165770832384,68.84733513764718,,0.0,Neutral
2013-02-07,1189.0,1190.0,1190.0,1190.0,40.0,1157.8,1098.2,987.9,99.99999999537954,102.82079490617116,85.0454851478933,70.75277772324918,,0.0,Neutral
2013-03-06,1190.0,1213.0,1213.0,1213.0,10.0,1180.4,1119.5,1011.3,99.9999999945098,105.55187522231915,89.14676316277848,69.96229143061404,,0.0,Neutral
2013-03-20,1213.0,1237.0,1237.0,1237.0,28.0,1199.0,1141.4,1034.4,99.99999999435484,108.40327005437462,92.9980645410977,68.92862653176475,,0.0,Neutral
2013-03-27,1237.0,1286.0,1261.0,1286.0,20.0,1223.0,1166.2,1059.95,99.99999999528619,113.31073586234538,97.06059880534724,72.13228588272113,,0.0,Neutral
2013-05-09,1286.0,1290.0,1290.0,1290.0,20.0,1243.2,1189.4,1084.2,99.99999999517242,116.18341436303672,100.88516191688514,70.76125744752918,,0.0,Neutral
2013-06-04,1290.0,1290.0,1290.0,1290.0,20.0,1263.2,1210.5,1106.05,99.99999999517242,117.11006088793101,104.13014171109432,65.44251081844413,,0.0,Neutral
2013-06-16,1290.0,1305.0,1305.0,1305.0,700.0,1281.6,1231.0,1126.95,99.99999999512195,117.69805960814233,106.84372529050393,58.74804961301521,,0.0,Neutral
2013-06-19,1305.0,1315.0,1315.0,1315.0,202.0,1297.2,1248.1,1144.8,99.99999999494585,117.61517473528056,108.99801517945926,55.40246685241825,,0.0,Neutral
2013-07-02,1315.0,1315.0,1315.0,1315.0,486.0,1303.0,1263.0,1161.1,99.99999999455252,116.20989257295014,110.44039065815744,50.706124986150165,,0.0,Neutral
2013-07-15,1315.0,1315.0,1315.0,1315.0,500.0,1308.0,1275.6,1177.4,99.99999999406779,113.78455876972293,111.10922428047056,45.680533174549126,,0.0,Neutral
2013-07-18,1315.0,1341.0,1341.0,1341.0,10.0,1318.2,1290.7,1194.45,99.99999999419087,112.66175241369342,111.41972990711514,38.65818872574773,,0.0,Neutral
2013-08-04,1341.0,1394.0,1367.0,1394.0,38.0,1336.0,1308.8,1214.15,99.9999999944,114.72608643773083,112.0810012132383,40.562160801526055,,0.0,Neutral
2013-09-22,1394.0,1367.0,1263.0,1263.0,400.0,1325.6,1311.4,1226.4,63.50974930114446,104.58587991596255,110.58197695378315,36.028383872225135,,0.0,Neutral
2013-09-26,1263.0,1238.0,1144.0,1144.0,50.0,1291.4,1297.2,1231.7,45.05494505355875,85.95653429445247,105.65688842191703,64.15571335084299,,0.0,Neutral
2013-10-01,1144.0,1126.0,1126.0,1126.0,10.0,1253.6,1280.8,1235.1,43.22033898176888,68.94543405771992,98.31459754907762,84.07113390192582,,0.0,Neutral
2013-10-06,1126.0,1238.0,1148.0,1238.0,1490.0,1233.0,1275.6,1243.05,52.2281639915665,63.76641895420903,91.4049618301039,85.04142781282799,,0.0,Neutral
2013-10-07,1238.0,1361.0,1262.0,1361.0,450.0,1226.4,1281.2,1256.1,59.39393939267953,68.79406901323364,86.88278326672985,88.94667566081992,,0.0,Neutral
2013-10-08,1361.0,1415.0,1388.0,1415.0,310.0,1256.8,1291.2,1269.65,59.69924811904392,76.2568253955094,84.75759169248576,98.29863794693291,,0.0,Neutral
2013-10-24,1415.0,1471.0,1443.0,1471.0,400.0,1322.2,1306.8,1284.9,62.62203626098088,85.70192711500749,84.94645877699011,113.67184738926724,,0.0,Neutral
2013-10-27,1471.0,1618.0,1500.0,1618.0,500.0,1420.6,1337.1,1306.35,68.98148148036373,103.85177117313265,88.72752125621864,150.51352836945316,,0.0,Neutral
2013-10-28,1618.0,1650.0,1650.0,1650.0,50.0,1503.0,1368.0,1329.35,69.5800227003699,119.44094505145699,94.8702060152663,180.1949561508928,,0.0,Neutral
2013-10-29,1650.0,1683.0,1683.0,1683.0,100.0,1567.4,1396.9,1352.85,70.3539822997954,132.9260135310392,102.48136751842088,206.1361200760312,,0.0,Neutral
2013-10-30,1683.0,1716.0,1716.0,1716.0,10.0,1627.6,1442.2,1376.8,71.39807897438679,144.6088903907571,110.90687209288814,222.56175173046532,,0.0,Neutral
2013-11-07,1716.0,1750.0,1716.0,1750.0,2010.0,1683.4,1502.8,1400.0,72.39958805250917,154.8264276410689,119.6907832025243,214.7084845396969,,0.0,Neutral
2013-11-11,1750.0,1750.0,1750.0,1750.0,50.0,1709.8,1565.2,1423.0,71.6402116391503,161.06721690964855,127.96606994394915,181.0738339278573,,0.0,Neutral
2013-11-14,1750.0,1750.0,1750.0,1750.0,100.0,1729.8,1616.4,1446.0,69.9551569495747,164.12120033193014,135.19709602154535,147.56030782173204,,0.0,Neutral
2013-11-24,1750.0,1785.0,1785.0,1785.0,100.0,1750.2,1658.8,1470.0,82.788944722162,167.4356181091373,141.64480043906374,125.24890773531216,,0.0,Neutral
2013-11-25,1785.0,1785.0,1751.0,1751.0,2000.0,1757.2,1692.4,1491.8,92.68635724149422,165.41203524957996,146.398247401167,93.66512454246451,,0.0,Neutral
2014-01-06,1751.0,1716.0,1716.0,1716.0,2000.0,1750.4,1716.9,1511.85,90.52197802023721,159.14954685249563,148.94850729143275,52.16948874155629,,0.0,Neutral
2014-01-08,1716.0,1720.0,1720.0,1720.0,101.0,1744.4,1727.1,1532.1,88.87096773992872,152.74845711856915,149.70849725686003,38.991309573057805,,0.0,Neutral
2014-01-09,1720.0,1750.0,1725.0,1750.0,100.0,1744.4,1737.1,1552.55,86.90702087055655,148.38579755929868,149.44395731734775,28.407549857189263,,0.0,Neutral
2014-01-29,1750.0,1715.0,1715.0,1715.0,20.0,1730.4,1740.3,1568.6,79.5275590529264,140.48473041104626,147.65211193608746,22.90584593018956,,0.0,Neutral
