Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2007-12-04,570.0,,0.0,Neutral
2007-12-11,598.0,,0.0,Neutral
2007-12-12,627.0,,0.0,Neutral
2007-12-19,658.0,,0.0,Neutral
2007-12-27,378.0,,0.0,Neutral
2008-01-06,730.0,,0.0,Neutral
2008-01-07,730.0,,0.0,Neutral
2008-01-20,744.0,,0.0,Neutral
2008-01-21,760.0,,0.0,Neutral
2008-02-05,775.0,,0.0,Neutral
2008-02-07,790.0,,0.0,Neutral
2008-02-10,775.0,,0.0,Neutral
2008-02-14,770.0,,0.0,Neutral
2008-02-18,750.0,,0.0,Neutral
2008-02-20,760.0,,0.0,Neutral
2008-02-21,750.0,,0.0,Neutral
2008-02-24,749.0,,0.0,Neutral
2008-02-25,731.0,,0.0,Neutral
2008-02-26,720.0,,0.0,Neutral
2008-02-28,720.0,,0.0,Neutral
2008-03-02,706.0,,0.0,Neutral
2008-03-03,710.0,,0.0,Neutral
2008-03-04,720.0,,0.0,Neutral
2008-03-13,706.0,,0.0,Neutral
2008-03-17,679.0,,0.0,Neutral
2008-03-20,666.0,,0.0,Neutral
2008-03-25,630.0,,0.0,Neutral
2008-03-26,630.0,,0.0,Neutral
2008-03-30,630.0,,0.0,Neutral
2008-03-31,630.0,,0.0,Neutral
2008-04-01,580.0,,0.0,Neutral
2008-04-27,580.0,,0.0,Neutral
2008-04-29,558.0,,0.0,Neutral
2008-04-30,569.0,,0.0,Neutral
2008-05-06,558.0,,0.0,Neutral
2008-05-08,591.0,,0.0,Neutral
2008-05-11,639.0,,0.0,Neutral
2008-05-12,615.0,,0.0,Neutral
2008-05-15,651.0,,0.0,Neutral
2008-05-18,664.0,,0.0,Neutral
2008-05-21,651.0,,0.0,Neutral
2008-05-22,664.0,,0.0,Neutral
2008-05-25,680.0,,0.0,Neutral
2008-06-04,693.0,,0.0,Neutral
2008-06-05,693.0,,0.0,Neutral
2008-06-11,680.0,,0.0,Neutral
2008-06-17,693.0,,0.0,Neutral
2008-06-18,725.0,,0.0,Neutral
2008-06-30,797.0,,0.0,Neutral
2008-07-02,828.0,,0.0,Neutral
2008-07-03,844.0,,0.0,Neutral
2008-07-06,840.0,,0.0,Neutral
2008-07-07,856.0,,0.0,Neutral
2008-07-10,823.0,,0.0,Neutral
2008-07-17,850.0,,0.0,Neutral
2008-07-22,817.0,,0.0,Neutral
2008-07-23,812.0,,0.0,Neutral
2008-07-27,816.0,,0.0,Neutral
2008-07-30,821.0,,0.0,Neutral
2008-07-31,840.0,,0.0,Neutral
2008-08-05,856.0,,0.0,Neutral
2008-08-10,856.0,,0.0,Neutral
2008-08-11,873.0,,0.0,Neutral
2008-08-12,874.0,,0.0,Neutral
2008-08-13,908.0,,0.0,Neutral
2008-08-19,926.0,,0.0,Neutral
2008-08-25,918.0,,0.0,Neutral
2008-08-31,938.0,,0.0,Neutral
2008-09-03,956.0,,0.0,Neutral
2008-09-08,977.0,,0.0,Neutral
2008-09-09,980.0,,0.0,Neutral
2008-09-10,984.0,,0.0,Neutral
2008-09-11,1023.0,,0.0,Neutral
2008-09-15,1043.0,,0.0,Neutral
2008-09-16,1064.0,,0.0,Neutral
2008-09-18,1100.0,,0.0,Neutral
2008-09-23,1110.0,,0.0,Neutral
2008-09-24,1154.0,,0.0,Neutral
2008-10-01,1177.0,,0.0,Neutral
2008-10-27,1160.0,,0.0,Neutral
2008-11-03,1145.0,,0.0,Neutral
2008-11-06,1130.0,,0.0,Neutral
2008-11-09,1130.0,,0.0,Neutral
2008-11-11,1130.0,,0.0,Neutral
2008-11-16,1186.0,,0.0,Neutral
2008-11-17,1165.0,,0.0,Neutral
2008-11-19,1140.0,,0.0,Neutral
2008-11-20,1120.0,,0.0,Neutral
2008-12-03,1093.0,,0.0,Neutral
2008-12-04,1177.0,,0.0,Neutral
2008-12-07,1225.0,,0.0,Neutral
2008-12-08,1347.0,,0.0,Neutral
2008-12-10,1380.0,,0.0,Neutral
2008-12-11,1380.0,,0.0,Neutral
2008-12-16,1305.0,,0.0,Neutral
2008-12-17,1215.0,,0.0,Neutral
2008-12-18,1200.0,,0.0,Neutral
2008-12-21,1180.0,,0.0,Neutral
2008-12-22,1190.0,,0.0,Neutral
2008-12-23,1210.0,,0.0,Neutral
2008-12-24,1200.0,,0.0,Neutral
2008-12-28,1226.0,,0.0,Neutral
2009-01-05,1250.0,,0.0,Neutral
2009-01-18,1274.0,,0.0,Neutral
2009-01-20,1249.0,,0.0,Neutral
2009-01-25,1154.0,,0.0,Neutral
2009-01-26,1060.0,,0.0,Neutral
2009-01-28,1060.0,,0.0,Neutral
2009-02-01,960.0,,0.0,Neutral
2009-02-02,979.0,,0.0,Neutral
2009-02-03,882.0,,0.0,Neutral
2009-02-04,866.0,,0.0,Neutral
2009-02-05,786.0,,0.0,Neutral
2009-02-16,825.0,,0.0,Neutral
2009-02-22,799.0,,0.0,Neutral
2009-03-01,878.0,,0.0,Neutral
2009-03-02,912.0,,0.0,Neutral
2009-03-03,1003.0,,0.0,Neutral
2009-03-04,1103.0,,0.0,Neutral
2009-03-05,1110.0,,0.0,Neutral
2009-03-08,1099.0,,0.0,Neutral
2009-03-09,1069.0,,0.0,Neutral
2009-03-12,1090.0,,0.0,Neutral
2009-03-15,1100.0,,0.0,Neutral
2009-03-16,1057.0,,0.0,Neutral
2009-03-17,980.0,,0.0,Neutral
2009-03-18,981.0,,0.0,Neutral
2009-03-19,940.0,,0.0,Neutral
2009-03-24,950.0,,0.0,Neutral
2009-03-25,931.0,,0.0,Neutral
2009-03-30,995.0,,0.0,Neutral
2009-04-01,1050.0,,0.0,Neutral
2009-04-02,1012.0,,0.0,Neutral
2009-04-05,1010.0,,0.0,Neutral
2009-04-07,1000.0,,0.0,Neutral
2009-04-12,1000.0,,0.0,Neutral
2009-04-13,1045.0,,0.0,Neutral
2009-04-16,1060.0,,0.0,Neutral
2009-04-21,1060.0,,0.0,Neutral
2009-04-22,1055.0,,0.0,Neutral
2009-04-23,1054.0,,0.0,Neutral
2009-04-29,1035.0,,0.0,Neutral
2009-05-13,1015.0,,0.0,Neutral
2009-05-14,1035.0,,0.0,Neutral
2009-05-17,1050.0,,0.0,Neutral
2009-05-18,1091.0,,0.0,Neutral
2009-05-19,1115.0,,0.0,Neutral
2009-05-20,1145.0,,0.0,Neutral
2009-05-21,1140.0,,0.0,Neutral
2009-05-24,1181.0,,0.0,Neutral
2009-05-25,1256.0,,0.0,Neutral
2009-06-07,300.0,,0.0,Neutral
2009-06-08,300.0,,0.0,Neutral
2009-07-29,306.0,,0.0,Neutral
2009-08-09,1000.0,,0.0,Neutral
