Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2016-11-17,650.0,650.0,650.0,650.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2016-12-06,650.0,650.0,650.0,650.0,83786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2017-09-04,600.0,600.0,600.0,600.0,12567.0,0.0,0.0,0.0,0.0,-3.9886039886040408,-0.7977207977208082,0.0,,0.0,Neutral
2018-01-04,425.0,425.0,425.0,425.0,11500.0,0.0,0.0,0.0,0.0,-21.028238407155868,-4.84382431960782,0.0,,0.0,Neutral
2018-01-07,425.0,417.0,401.0,401.0,17250.0,545.2,0.0,0.0,0.0,-36.05327120337563,-11.085713696361381,0.0,,0.0,Neutral
2018-01-08,401.0,393.0,380.0,380.0,17250.0,491.2,0.0,0.0,0.0,-49.08937073085963,-18.68644510326103,0.0,,0.0,Neutral
2018-01-09,380.0,373.0,360.0,360.0,34500.0,433.2,0.0,0.0,0.0,-60.33885758879319,-27.01692760036746,0.0,,0.0,Neutral
2018-01-10,360.0,360.0,360.0,360.0,2300.0,385.2,0.0,0.0,0.0,-68.46493580980905,-35.30652924225578,0.0,,0.0,Neutral
2018-03-27,360.0,360.0,360.0,360.0,10000.0,372.2,0.0,0.0,0.0,-74.0512941218891,-43.05548221818244,0.0,,0.0,Neutral
2018-07-11,314.0,314.0,308.0,308.0,6678.0,353.6,449.4,0.0,0.0,-81.73232933366819,-50.790851641279595,131.1853650374157,,0.0,Neutral
2018-10-04,240.0,240.0,240.0,240.0,30000.0,325.6,408.4,0.0,0.0,-92.24331328211434,-59.08134396944655,125.46996099111182,,0.0,Neutral
2019-09-29,132.0,132.0,132.0,132.0,17110.0,280.0,356.6,0.0,0.0,-108.04259343224032,-68.87359386200531,121.5082987563676,,0.0,Neutral
2020-07-14,275.0,275.0,275.0,275.0,500.0,263.0,324.1,0.0,0.0,-107.78228479279784,-76.65533204816381,88.0220300707601,,0.0,Neutral
2021-01-28,295.0,295.0,295.0,295.0,150000.0,250.0,311.1,0.0,0.0,-104.75460953633666,-82.27518754579839,80.76502268240199,,0.0,Neutral
2021-07-14,447.0,447.0,447.0,447.0,25300.0,277.8,315.7,0.0,37.815126049784624,-89.06335844325349,-83.6328217252894,87.48466532293922,,0.0,Neutral
2021-09-27,447.0,447.0,447.0,447.0,1500.0,319.2,322.4,0.0,37.815126049784624,-75.75467615159857,-82.05719261055124,95.18309840629395,,0.0,Neutral
2021-10-03,447.0,447.0,447.0,447.0,77500.0,382.2,331.1,0.0,40.22988505675196,-64.46434471338921,-78.53862303111885,102.68230400393034,,0.0,Neutral
2021-10-25,447.0,447.0,447.0,447.0,4000.0,416.6,339.8,0.0,51.80921052512282,-54.88400703714666,-73.80769983232442,108.90036220733568,,0.0,Neutral
2021-11-18,447.0,447.0,447.0,447.0,8000.0,447.0,348.5,0.0,53.938356163090525,-46.75258570063585,-68.3966770059867,114.04701759459662,,0.0,Neutral
2022-01-09,447.0,447.0,447.0,447.0,18000.0,447.0,362.4,405.9,55.950266428448835,-39.849020998803894,-62.68714580455015,116.99496665336603,,0.0,Neutral
2022-01-16,447.0,447.0,447.0,447.0,14054.0,447.0,383.1,395.75,58.01104972226123,-33.986125337838075,-56.946941711207735,111.09600452861581,,0.0,Neutral
2023-05-21,292.0,292.0,292.0,292.0,24620.0,416.0,399.1,377.85,45.12893982717507,-41.37005465944219,-53.83156430085463,77.29373986437855,,0.0,Neutral
2023-05-22,292.0,292.0,292.0,292.0,19000.0,385.0,400.8,362.45,45.12893982717507,-46.68373085546324,-52.40199761177636,74.39354810734596,,0.0,Neutral
2023-05-23,292.0,292.0,292.0,292.0,65000.0,354.0,400.5,355.8,48.761609906063995,-50.31485914744019,-51.98456991890913,74.87211318864543,,0.0,Neutral
2023-09-17,349.0,349.0,349.0,349.0,15400.0,334.4,390.7,353.2,58.58267716406275,-48.039362975656445,-51.1955285302586,74.5222561834159,,0.0,Neutral
2024-05-05,300.0,300.0,300.0,300.0,150000.0,305.0,376.0,349.2,64.5833333317636,-49.61794161057628,-50.88001114632214,76.65072297984763,,0.0,Neutral
2024-07-08,370.0,370.0,370.0,370.0,9000.0,320.6,368.3,349.7,59.44333995858408,-44.70522753126187,-49.645054423310086,72.47995891585795,,0.0,Neutral
2025-02-16,370.0,370.0,370.0,370.0,71915.0,336.2,360.6,350.2,57.76397515360518,-40.34677373657098,-47.78539828596227,67.07905783476699,,0.0,Neutral
2025-03-16,370.0,370.0,370.0,370.0,140000.0,351.8,352.9,350.7,38.36858005880012,-36.47223844173823,-45.522766317117465,60.11738517267711,,0.0,Neutral
2025-08-12,280.5,280.5,280.5,280.5,30000.0,338.1,336.25,349.325,30.20214030815022,-40.160596960695614,-44.4503324458331,53.89457301064761,,0.0,Neutral
