Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-04-27,0.0,329.0,329.0,329.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-05-05,329.0,323.0,317.0,317.0,20.0,0.0,0.0,0.0,0.0,-0.9572649572649539,-0.19145299145299077,0.0,,0.0,Neutral
2011-05-15,317.0,311.0,305.0,305.0,20.0,0.0,0.0,0.0,0.0,-2.6536148245550635,-0.6838853580734053,0.0,,0.0,Neutral
2011-05-18,305.0,299.0,299.0,299.0,120.0,0.0,0.0,0.0,0.0,-4.431055719730409,-1.4333194304048062,0.0,,0.0,Neutral
2011-06-21,299.0,294.0,289.0,289.0,30.0,307.8,0.0,0.0,0.0,-6.570862053902147,-2.4608279551042744,0.0,,0.0,Neutral
2011-06-23,289.0,284.0,261.0,261.0,360.0,294.2,0.0,0.0,0.0,-10.406085112824144,-4.049879386648248,0.0,,0.0,Neutral
2011-07-06,261.0,248.0,248.0,248.0,10.0,280.4,0.0,0.0,0.0,-14.32933867622097,-6.105771244562793,0.0,,0.0,Neutral
2011-07-10,248.0,236.0,236.0,236.0,10.0,266.6,0.0,0.0,0.0,-18.197080485990796,-8.524033092848395,0.0,,0.0,Neutral
2011-07-11,236.0,232.0,232.0,232.0,20.0,253.2,0.0,0.0,0.0,-21.339076713178088,-11.087041816914333,0.0,,0.0,Neutral
2011-07-19,232.0,221.0,221.0,221.0,10.0,239.6,273.7,0.0,0.0,-24.435067185040793,-13.756646890539626,38.79590470941775,,0.0,Neutral
2011-07-21,221.0,210.0,210.0,210.0,10.0,229.4,261.8,0.0,0.0,-27.459731319006835,-16.49726377623307,38.19482222035395,,0.0,Neutral
2011-08-22,210.0,206.0,189.0,189.0,160.0,217.6,249.0,0.0,0.0,-31.191764685287865,-19.43616395804403,39.078269039340924,,0.0,Neutral
2011-08-29,189.0,186.0,183.0,183.0,170.0,207.0,236.8,0.0,0.0,-34.23889322370982,-22.39670981117719,38.69481733887485,,0.0,Neutral
2011-09-12,183.0,180.0,180.0,180.0,20.0,196.6,224.9,0.0,0.0,-36.47537406465341,-25.212442661872434,35.61663157072052,,0.0,Neutral
2011-09-13,180.0,177.0,174.0,174.0,80.0,187.2,213.4,0.0,0.0,-38.2905613438582,-27.82806639826959,30.86961828940124,,0.0,Neutral
2011-09-14,174.0,166.0,166.0,166.0,10.0,178.4,203.9,0.0,0.0,-39.914533584330826,-30.24535983548184,29.164095124732526,,0.0,Neutral
2011-10-13,166.0,158.0,152.0,152.0,30.0,171.0,194.3,0.0,0.0,-41.84881914499363,-32.5660516973842,28.833044314543827,,0.0,Neutral
2011-10-17,152.0,145.0,141.0,141.0,30.0,162.6,184.8,0.0,0.0,-43.764868297706755,-34.80581501744871,29.214912478238148,,0.0,Neutral
2011-10-18,141.0,139.0,129.0,129.0,270.0,152.4,174.5,0.0,0.0,-45.72456642820609,-36.98956529960019,28.880020006148882,,0.0,Neutral
2011-10-20,129.0,127.0,119.0,119.0,290.0,141.4,164.3,219.0,0.0,-47.53658557400237,-39.09896935448063,28.643595367124565,,0.0,Neutral
2011-10-23,119.0,114.0,108.0,108.0,1130.0,129.8,154.1,207.95,0.0,-49.29202410049234,-41.137580303682974,28.722619812421243,,0.0,Neutral
2011-10-24,108.0,104.0,99.0,102.0,12310.0,119.8,145.4,197.2,0.0,-50.58426768562845,-43.026917780072075,30.119023150752415,,0.0,Neutral
2011-10-25,102.0,103.0,100.0,101.0,11240.0,111.8,137.2,187.0,0.0,-51.10002242970228,-44.641538709998116,29.906521028030067,,0.0,Neutral
2011-10-30,101.0,107.0,100.0,105.0,13420.0,107.0,129.7,177.3,3.2258064512487152,-50.60267902486319,-45.83376677297113,27.268418851606917,,0.0,Neutral
2011-10-31,105.0,108.0,101.0,106.0,9880.0,104.4,122.9,168.15,4.385964911742079,-49.55658172449225,-46.578329763275356,23.163429030358383,,0.0,Neutral
2011-11-02,106.0,116.0,108.0,116.0,2440.0,106.0,117.9,160.9,14.563106794137056,-47.37452165469173,-46.73756814155864,17.540112757777838,,0.0,Neutral
2011-11-03,116.0,114.0,105.0,108.0,5160.0,107.2,113.5,153.9,14.285714283809526,-45.76322648143275,-46.54269980953347,12.955050495206057,,0.0,Neutral
2011-11-06,108.0,109.0,107.0,108.0,14960.0,108.6,110.2,147.5,14.705882350922721,-43.97929748265227,-46.03001934415723,8.664102184685504,,0.0,Neutral
2011-11-08,108.0,109.0,106.0,108.0,11430.0,109.2,108.1,141.3,15.624999997721346,-42.08044373736669,-45.240104222799125,5.606543795721111,,0.0,Neutral
2011-11-09,108.0,109.0,106.0,107.0,6420.0,109.4,106.9,135.6,16.85393258161848,-40.19296067496498,-44.2306755132323,4.094712037087868,,0.0,Neutral
2011-11-10,107.0,108.0,106.0,107.0,21310.0,107.6,106.8,130.45,19.999999996266666,-38.256123965961166,-43.03576520377808,4.07703596037953,,0.0,Neutral
2011-11-13,107.0,107.0,103.0,104.0,8140.0,106.8,107.0,126.2,22.388059696814437,-36.54200832254267,-41.737013827531,3.8586123009308015,,0.0,Neutral
2011-11-14,104.0,105.0,102.0,104.0,7960.0,106.0,107.3,122.25,27.27272726578512,-34.78260708257042,-40.34613247853889,3.4334951418189705,,0.0,Neutral
2011-11-15,104.0,105.0,103.0,104.0,14980.0,105.2,107.2,118.45,33.33333332296296,-33.007775830938954,-38.87846114901891,3.521363372332596,,0.0,Neutral
2011-11-16,104.0,105.0,103.0,103.0,6740.0,104.4,106.9,114.9,42.85714284,-31.320853615775377,-37.366939642370205,3.754996671104465,2011-11-16,0.884533166885376,Strongly Positive
2011-11-17,103.0,104.0,102.0,104.0,4240.0,103.8,105.7,111.8,53.333333308444445,-29.562486027077142,-35.80604891931159,2.057506581602849,,0.0,Neutral
2011-11-20,104.0,105.0,102.0,104.0,5770.0,103.8,105.3,109.4,55.172413766468495,-27.84795317522436,-34.21442977049415,1.946506842755665,,0.0,Neutral
2011-11-21,104.0,104.0,103.0,103.0,1560.0,103.6,104.8,107.5,46.15384612899408,-26.267074693855676,-32.62495875516645,1.81352940116632,,0.0,Neutral
2011-11-22,103.0,105.0,103.0,104.0,7740.0,103.6,104.4,106.25,46.15384612899408,-24.649382724762177,-31.029843549085598,1.4298407059705152,,0.0,Neutral
2011-11-23,104.0,105.0,103.0,104.0,3910.0,103.8,104.1,105.5,12.499999989062502,-23.10105559541813,-29.444085958352108,1.1005049346172637,,0.0,Neutral
2011-11-24,104.0,104.0,103.0,103.0,8410.0,103.6,103.7,105.25,22.222222187654324,-21.70449097162532,-27.896166961006752,0.483045891545709,,0.0,Neutral
2011-11-27,103.0,104.0,102.0,103.0,10440.0,103.4,103.6,105.3,22.222222187654324,-20.362971782367396,-26.389527925278884,0.5163977794999959,,0.0,Neutral
2011-11-28,103.0,104.0,101.0,101.0,4330.0,103.0,103.3,105.3,18.181818158677686,-19.239411485571395,-24.959504637337385,0.9486832980536113,,0.0,Neutral
2011-12-01,102.0,102.0,100.0,102.0,3700.0,102.6,103.1,105.15,27.27272723801653,-18.06010456944267,-23.579624623758445,0.9944289260147154,,0.0,Neutral
2011-12-04,102.0,102.0,100.0,101.0,2900.0,102.0,102.9,104.9,24.999999970833343,-17.010105081655837,-22.265720715337924,1.1972189997403322,,0.0,Neutral
2011-12-05,101.0,102.0,101.0,101.0,4590.0,101.6,102.6,104.15,33.33333328148147,-15.993608558954989,-21.01129828406134,1.2649110640696961,,0.0,Neutral
2011-12-06,101.0,102.0,100.0,101.0,3680.0,101.2,102.3,103.8,33.33333328148147,-15.014944804030335,-19.81202758805514,1.2516655570369517,,0.0,Neutral
2011-12-07,101.0,101.0,99.0,99.0,4510.0,100.8,101.9,103.35,27.27272723801653,-14.236619129328346,-18.69694589630978,1.595131481869266,,0.0,Neutral
2011-12-08,99.0,101.0,98.0,99.0,3820.0,100.2,101.4,102.9,29.99999995799999,-13.464579137703382,-17.650472544588503,1.6465452046989653,,0.0,Neutral
2011-12-11,99.0,100.0,98.0,98.0,4360.0,99.6,100.8,102.45,19.999999971999998,-12.786034082866678,-16.677584852244138,1.686548085424949,,0.0,Neutral
2011-12-12,98.0,102.0,98.0,99.0,13560.0,99.2,100.4,102.05,27.27272723801653,-12.028928594514667,-15.747853600698244,1.5776212754951844,,0.0,Neutral
2011-12-13,99.0,104.0,98.0,104.0,3870.0,99.8,100.5,102.05,53.333333283555554,-10.899812572648969,-14.77824539508839,1.7795130420069463,,0.0,Neutral
2011-12-14,104.0,102.0,98.0,102.0,10250.0,100.4,100.6,101.95,43.74999996171875,-10.050507284034538,-13.832697772877621,1.8378731669470316,,0.0,Neutral
2011-12-15,102.0,101.0,97.0,97.0,2010.0,100.0,100.1,101.6,33.333333311111105,-9.669421860943075,-13.000042590490713,2.0789954839365157,,0.0,Neutral
2011-12-18,97.0,102.0,97.0,100.0,3130.0,100.4,100.0,101.45,43.47826084310019,-9.021341579478886,-12.20430238828835,2.0548046676578386,,0.0,Neutral
2011-12-19,100.0,100.0,98.0,100.0,2030.0,100.6,99.9,101.25,43.47826084310019,-8.410779061756472,-11.445597722981976,2.0248456731331976,,0.0,Neutral
2011-12-20,100.0,101.0,99.0,101.0,1970.0,100.0,99.9,101.1,49.99999996818182,-7.7567967010137835,-10.707837518588338,2.0248456731331976,,0.0,Neutral
2011-12-21,101.0,100.0,98.0,99.0,6430.0,99.4,99.9,100.9,43.47826084310019,-7.315564974494421,-10.029383009769555,2.0248456731331976,,0.0,Neutral
2011-12-22,99.0,102.0,99.0,100.0,2500.0,100.0,100.0,100.7,47.826086927410216,-6.806730260275614,-9.384852459870768,2.0000000000015543,,0.0,Neutral
2011-12-26,100.0,100.0,99.0,100.0,370.0,100.0,100.2,100.5,47.826086927410216,-6.330501008277679,-8.77398216955215,1.8737959096756784,,0.0,Neutral
2011-12-27,100.0,100.0,99.0,100.0,4720.0,100.0,100.3,100.35,47.826086927410216,-5.885244460321701,-8.19623462770606,1.8287822299143832,,0.0,Neutral
2011-12-28,100.0,100.0,98.0,99.0,1510.0,99.6,99.8,100.15,49.99999996818182,-5.549100504398126,-7.666807803044474,1.316561177211135,,0.0,Neutral
2011-12-29,99.0,100.0,98.0,98.0,960.0,99.4,99.4,100.0,47.826086927410216,-5.302274322356581,-7.193901106906896,1.1737877907799434,,0.0,Neutral
2012-01-01,98.0,101.0,98.0,99.0,7160.0,99.2,99.6,99.85,52.173913011720224,-4.968695127624827,-6.7488599110504826,0.8432740427152804,,0.0,Neutral
2012-01-02,99.0,102.0,99.0,102.0,4490.0,99.6,99.8,99.9,55.99999996864,-4.411404361067184,-6.281368801053824,1.135292424397843,,0.0,Neutral
2012-01-03,102.0,103.0,99.0,99.0,1940.0,99.4,99.7,99.8,39.130434758790166,-4.163824366059728,-5.8578599140550045,1.1595018087311024,,0.0,Neutral
2012-01-04,99.0,100.0,97.0,99.0,2780.0,99.4,99.5,99.7,42.85714282857143,-3.9224004455717107,-5.470768020358346,1.080123449737547,,0.0,Neutral
2012-01-05,99.0,99.0,97.0,99.0,3430.0,99.6,99.5,99.7,56.24999995078125,-3.68855093014011,-5.114324602314699,1.080123449737547,,0.0,Neutral
2012-01-08,99.0,99.0,97.0,97.0,6780.0,99.2,99.2,99.6,39.999999962666664,-3.6228448889314393,-4.8160286596380475,1.3165611772111574,,0.0,Neutral
2012-01-09,97.0,99.0,97.0,98.0,4240.0,98.4,99.0,99.6,43.74999996171875,-3.4503077354040244,-4.542884474791243,1.333333333335699,,0.0,Neutral
2012-01-10,99.0,99.0,97.0,97.0,2230.0,98.0,98.7,99.5,37.4999999671875,-3.3555813873651488,-4.305423857306024,1.418136492414406,,0.0,Neutral
2012-01-11,97.0,97.0,97.0,97.0,550.0,97.6,98.5,99.15,42.857142814285716,-3.2431253438889343,-4.092964154622606,1.5092308563583334,,0.0,Neutral
2012-01-12,97.0,98.0,96.0,97.0,2330.0,97.2,98.4,98.9,38.461538420118345,-3.1180600637421634,-3.8979833364465173,1.5776212754952386,,0.0,Neutral
2012-01-16,97.0,98.0,96.0,97.0,3690.0,97.2,98.2,98.9,38.461538420118345,-2.9845409973737134,-3.7152948686319567,1.6193277068674412,,0.0,Neutral
2012-01-17,97.0,97.0,96.0,97.0,1890.0,97.0,97.7,98.75,38.461538420118345,-2.8459201790237927,-3.5414199307103242,0.9486832980538679,,0.0,Neutral
2012-01-18,97.0,97.0,95.0,96.0,6870.0,96.8,97.4,98.55,38.461538420118345,-2.78465406574081,-3.3900667577164216,0.9660917830825951,,0.0,Neutral
2012-01-19,96.0,98.0,96.0,98.0,1890.0,97.0,97.3,98.4,49.99999995,-2.5453754406246105,-3.2211284942980596,0.8232726023524393,,0.0,Neutral
2012-01-22,98.0,98.0,95.0,97.0,3840.0,97.0,97.1,98.3,42.857142814285716,-2.408671384586299,-3.0586370723557077,0.5676462122031717,,0.0,Neutral
2012-01-23,97.0,97.0,95.0,96.0,5240.0,96.8,97.0,98.1,24.999999970833343,-2.353889900401441,-2.917687637964854,0.6666666666714609,,0.0,Neutral
2012-01-25,96.0,97.0,96.0,96.0,1960.0,96.6,96.8,97.9,33.33333328148147,-2.284144978029815,-2.790979105977846,0.6324555320387383,,0.0,Neutral
2012-01-26,96.0,97.0,94.0,95.0,3330.0,96.4,96.6,97.65,29.99999995799999,-2.2832434579035663,-2.6894319763629904,0.8432740427153702,,0.0,Neutral
2012-01-29,95.0,96.0,94.0,94.0,3900.0,95.6,96.3,97.4,27.27272723801653,-2.3362893500222697,-2.618803451094846,1.1595018087311786,,0.0,Neutral
2012-01-31,94.0,95.0,94.0,94.0,2780.0,95.0,96.0,97.2,33.33333328148147,-2.3512251418529075,-2.5652877892464585,1.333333333335752,,0.0,Neutral
2012-02-01,94.0,99.0,94.0,94.0,1300.0,94.6,95.7,96.95,24.999999956250008,-2.336132384548108,-2.5194567083067887,1.4181364924144557,,0.0,Neutral
2012-02-02,94.0,95.0,94.0,95.0,3180.0,94.4,95.5,96.6,37.499999934375,-2.217912903644944,-2.4591479473744196,1.3540064007750496,,0.0,Neutral
2012-02-05,95.0,95.0,90.0,91.0,2700.0,93.6,95.0,96.2,24.999999970833343,-2.419103761585248,-2.451139110216585,1.9436506316167683,,0.0,Neutral
2012-02-06,91.0,90.0,89.0,90.0,1900.0,92.8,94.2,95.75,23.07692305207101,-2.6289358723751093,-2.48669846264829,2.2010098692307034,,0.0,Neutral
2012-02-07,90.0,91.0,88.0,89.0,900.0,91.8,93.4,95.25,21.428571407142854,-2.8431469463857013,-2.5579881593957725,2.5033311140704533,,0.0,Neutral
2012-02-08,89.0,90.0,88.0,88.0,2510.0,90.6,92.6,94.8,19.999999981333332,-3.058347680195851,-2.6580600635557885,2.8362729848255137,,0.0,Neutral
2012-02-09,88.0,90.0,88.0,90.0,1300.0,89.6,92.0,94.4,31.249999972656255,-3.0325551191616853,-2.7329590746769683,2.666666666667906,,0.0,Neutral
2012-02-12,90.0,90.0,87.0,89.0,1480.0,89.2,91.4,94.0,19.999999981333332,-3.0575603192726817,-2.797879323596111,2.590581230364673,,0.0,Neutral
2012-02-13,89.0,91.0,86.0,91.0,3980.0,89.4,91.1,93.7,31.249999972656255,-2.8827631362340185,-2.8148560861236924,2.4244128727971277,,0.0,Neutral
2012-02-14,91.0,95.0,89.0,90.0,3110.0,89.6,90.7,93.35,31.249999972656255,-2.7927338545230214,-2.8104316398035585,2.2135943621193706,,0.0,Neutral
2012-02-15,90.0,90.0,86.0,90.0,4880.0,90.0,90.3,93.0,31.249999972656255,-2.6903720656665655,-2.78641972497616,1.8885620632304745,,0.0,Neutral
2012-02-16,90.0,90.0,86.0,87.0,4010.0,89.4,89.5,92.5,27.77777775617284,-2.81883081154065,-2.792901942289058,1.2692955176466307,2012-02-16,0.8926523327827454,Strongly Positive
