Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2015-01-08,0.0,0.0,0.0,0.0,646000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2017-01-01,100.0,100.0,100.0,100.0,55674.0,0.0,0.0,0.0,0.0,7.9772079772079785,1.5954415954415957,0.0,,0.0,Neutral
2017-01-02,100.0,100.0,100.0,100.0,70588.0,0.0,0.0,0.0,0.0,14.136248894083657,4.103603055170009,0.0,,0.0,Neutral
2017-03-29,100.0,200.0,200.0,200.0,195500.0,0.0,0.0,0.0,0.0,26.77781942560638,8.638446329257285,0.0,,0.0,Neutral
2018-12-12,250.0,250.0,250.0,250.0,195000.0,130.0,0.0,0.0,0.0,40.36562745542498,14.983882554490824,0.0,,0.0,Neutral
2018-12-16,250.0,250.0,250.0,250.0,105000.0,180.0,0.0,0.0,0.0,50.551338846816456,22.09737381295595,0.0,,0.0,Neutral
2019-04-30,248.0,248.0,248.0,248.0,1000.0,209.6,0.0,0.0,0.0,57.79596926631899,29.23709290362856,0.0,,0.0,Neutral
2019-06-26,248.0,248.0,248.0,248.0,97200.0,239.2,0.0,0.0,0.0,62.81331823582876,35.9523379700686,0.0,,0.0,Neutral
2019-07-18,248.0,248.0,248.0,248.0,25000.0,248.8,0.0,0.0,0.0,66.02846836025003,41.96756404810489,0.0,,0.0,Neutral
2020-09-22,316.0,316.0,316.0,316.0,20000.0,262.0,196.0,0.0,0.0,73.2195008695801,48.217951412399934,97.30136461301842,,0.0,Neutral
2020-09-27,310.0,310.0,304.0,304.0,76129.0,272.8,226.4,0.0,0.0,77.06182547524233,53.986726224968415,73.94772928675137,,0.0,Neutral
2022-05-04,296.0,296.0,296.0,296.0,20000.0,282.4,246.0,0.0,0.0,78.55581967654189,58.90054491528311,61.68017869984201,,0.0,Neutral
2022-06-26,296.0,296.0,296.0,296.0,1000.0,292.0,265.6,0.0,0.0,78.83110493765645,62.88665691975778,35.87385305948238,,0.0,Neutral
2024-02-20,310.0,310.0,310.0,310.0,3108.0,304.4,276.6,0.0,0.0,79.2652332198669,66.16237217977961,29.889425852260477,,0.0,Neutral
2024-07-01,511.11,511.11,511.11,511.11,100.0,343.422,302.711,0.0,96.03682152844569,94.74501767778258,71.8789012793802,78.53515623945465,,0.0,Neutral
2024-12-22,310.0,310.0,310.0,310.0,1000.0,344.622,308.711,0.0,66.0007314606016,89.75037566985006,75.45319615747418,76.32140874107488,,0.0,Neutral
2025-04-24,340.0,340.0,340.0,340.0,80000.0,353.422,317.911,0.0,67.48710325996791,87.20756069873659,77.80406906572667,73.68958383350765,,0.0,Neutral
2025-05-26,340.0,340.0,340.0,340.0,14000.0,362.22200000000004,327.111,0.0,61.940909554660074,84.22150839146832,79.087556930875,69.62228960613113,,0.0,Neutral
