Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2017-07-25,184.0,2017-07-25,0.9211636185646056,Strongly Positive
2017-07-26,202.0,,0.0,Neutral
2017-07-27,222.0,,0.0,Neutral
2017-07-30,220.0,,0.0,Neutral
2017-07-31,217.0,,0.0,Neutral
2017-08-01,220.0,,0.0,Neutral
2017-08-02,220.0,,0.0,Neutral
2017-08-03,215.0,,0.0,Neutral
2017-08-06,214.0,,0.0,Neutral
2017-08-07,227.0,2017-08-07,-0.807389497756958,Strongly Negative
2017-08-09,228.0,,0.0,Neutral
2017-08-10,226.0,,0.0,Neutral
2017-08-13,222.0,,0.0,Neutral
2017-08-15,219.0,,0.0,Neutral
2017-08-16,215.0,,0.0,Neutral
2017-08-17,222.0,,0.0,Neutral
2017-08-20,218.0,,0.0,Neutral
2017-08-21,217.0,,0.0,Neutral
2017-08-22,216.0,,0.0,Neutral
2017-08-23,217.0,,0.0,Neutral
2017-08-24,217.0,,0.0,Neutral
2017-08-27,216.0,,0.0,Neutral
2017-08-28,216.0,,0.0,Neutral
2017-08-30,212.0,,0.0,Neutral
2017-08-31,211.0,,0.0,Neutral
2017-09-04,208.0,,0.0,Neutral
2017-09-06,210.0,,0.0,Neutral
2017-09-07,209.0,,0.0,Neutral
2017-09-10,204.0,,0.0,Neutral
2017-09-11,203.0,,0.0,Neutral
2017-09-12,201.0,,0.0,Neutral
2017-09-13,200.0,,0.0,Neutral
2017-09-14,208.0,,0.0,Neutral
2017-09-17,208.0,,0.0,Neutral
2017-09-18,209.0,,0.0,Neutral
2017-09-20,212.0,,0.0,Neutral
2017-09-24,207.0,,0.0,Neutral
2017-09-25,212.0,,0.0,Neutral
2017-09-26,212.0,,0.0,Neutral
2017-10-03,213.0,,0.0,Neutral
2017-10-04,208.0,,0.0,Neutral
2017-10-08,204.0,,0.0,Neutral
2017-10-09,205.0,,0.0,Neutral
2017-10-10,209.0,,0.0,Neutral
2017-10-11,208.0,,0.0,Neutral
2017-10-12,208.0,,0.0,Neutral
2017-10-15,212.0,,0.0,Neutral
2017-10-16,217.0,,0.0,Neutral
2017-10-17,215.0,,0.0,Neutral
2017-10-18,218.0,,0.0,Neutral
2017-10-22,216.0,,0.0,Neutral
2017-10-23,214.0,,0.0,Neutral
2017-10-24,214.0,,0.0,Neutral
2017-10-25,212.0,,0.0,Neutral
2017-10-29,213.0,,0.0,Neutral
2017-10-30,208.0,,0.0,Neutral
2017-10-31,212.0,,0.0,Neutral
2017-11-01,206.0,,0.0,Neutral
2017-11-02,210.0,,0.0,Neutral
2017-11-05,205.0,,0.0,Neutral
2017-11-06,201.0,2017-11-06,-0.3950688540935516,Negative
2017-11-07,201.0,,0.0,Neutral
2017-11-08,197.0,,0.0,Neutral
2017-11-09,198.0,,0.0,Neutral
2017-11-12,201.0,2017-11-12,0.4762317538261413,Positive
2017-11-13,200.0,,0.0,Neutral
2017-11-14,200.0,2017-11-14,0.0584709346294403,Slightly Positive
2017-11-15,201.0,,0.0,Neutral
2017-11-16,197.0,,0.0,Neutral
2017-11-19,197.0,,0.0,Neutral
2017-11-20,194.0,,0.0,Neutral
2017-11-21,201.0,,0.0,Neutral
2017-11-22,198.0,,0.0,Neutral
2017-11-23,198.0,,0.0,Neutral
2017-11-26,199.0,,0.0,Neutral
2017-11-27,201.0,,0.0,Neutral
2017-11-28,196.0,2017-11-28,-0.6386938691139221,Strongly Negative
2017-11-29,199.0,,0.0,Neutral
2017-11-30,198.0,,0.0,Neutral
2017-12-04,198.0,,0.0,Neutral
2017-12-05,199.0,,0.0,Neutral
2017-12-06,198.0,,0.0,Neutral
2017-12-10,198.0,,0.0,Neutral
2017-12-11,197.0,,0.0,Neutral
2017-12-12,194.0,,0.0,Neutral
2017-12-13,196.0,,0.0,Neutral
2017-12-14,195.0,,0.0,Neutral
2017-12-17,193.0,,0.0,Neutral
2017-12-18,192.0,,0.0,Neutral
2017-12-19,191.0,,0.0,Neutral
2017-12-20,193.0,2017-12-20,-0.4273262023925781,Negative
2017-12-21,188.0,,0.0,Neutral
2017-12-24,190.0,,0.0,Neutral
2017-12-26,182.0,,0.0,Neutral
2017-12-27,179.0,,0.0,Neutral
2017-12-28,177.0,2017-12-28,-0.300603300333023,Negative
2017-12-31,173.0,,0.0,Neutral
2018-01-01,180.0,,0.0,Neutral
2018-01-02,180.0,,0.0,Neutral
2018-01-03,176.0,,0.0,Neutral
2018-01-04,174.0,2018-01-04,0.9020997285842896,Strongly Positive
2018-01-07,167.0,2018-01-07,0.9037213921546936,Strongly Positive
2018-01-08,169.0,,0.0,Neutral
2018-01-09,167.0,,0.0,Neutral
2018-01-10,167.0,,0.0,Neutral
2018-01-14,167.0,,0.0,Neutral
2018-01-16,161.0,,0.0,Neutral
2018-01-17,163.0,,0.0,Neutral
2018-01-21,161.0,,0.0,Neutral
2018-01-22,162.0,,0.0,Neutral
2018-01-23,165.0,2018-01-23,-0.913020133972168,Strongly Negative
2018-01-24,170.0,,0.0,Neutral
2018-01-25,170.0,2018-01-25,0.8949316740036011,Strongly Positive
2018-01-28,171.0,,0.0,Neutral
2018-01-29,169.0,,0.0,Neutral
2018-01-31,164.0,,0.0,Neutral
2018-02-01,165.0,,0.0,Neutral
2018-02-04,167.0,,0.0,Neutral
2018-02-05,164.0,,0.0,Neutral
2018-02-06,165.0,,0.0,Neutral
2018-02-07,166.0,,0.0,Neutral
2018-02-08,164.0,,0.0,Neutral
2018-02-11,163.0,2018-02-11,0.8819554448127747,Strongly Positive
2018-02-12,165.0,,0.0,Neutral
2018-02-14,164.0,,0.0,Neutral
2018-02-15,174.0,,0.0,Neutral
2018-02-18,169.0,,0.0,Neutral
2018-02-20,166.0,2018-02-20,0.8959336280822754,Strongly Positive
2018-02-21,163.0,,0.0,Neutral
2018-02-22,164.0,,0.0,Neutral
2018-02-25,162.0,2018-02-25,0.8929284811019897,Strongly Positive
2018-02-26,163.0,2018-02-26,-0.4689283967018127,Negative
2018-02-27,164.0,,0.0,Neutral
2018-02-28,160.0,2018-02-28,0.798144519329071,Strongly Positive
2018-03-04,152.0,,0.0,Neutral
2018-03-05,153.0,,0.0,Neutral
2018-03-06,157.0,2018-03-06,0.8134442567825317,Strongly Positive
2018-03-07,160.0,2018-03-07,0.9115568995475768,Strongly Positive
2018-03-11,154.0,,0.0,Neutral
2018-03-12,155.0,,0.0,Neutral
2018-03-13,157.0,,0.0,Neutral
2018-03-14,157.0,,0.0,Neutral
2018-03-15,156.0,,0.0,Neutral
2018-03-18,154.0,,0.0,Neutral
2018-03-19,154.0,,0.0,Neutral
2018-03-20,153.0,,0.0,Neutral
2018-03-21,152.0,,0.0,Neutral
2018-03-22,150.0,,0.0,Neutral
2018-03-26,143.0,,0.0,Neutral
2018-03-27,142.0,2018-03-27,0.7799715995788574,Strongly Positive
2018-03-28,145.0,,0.0,Neutral
2018-03-29,146.0,,0.0,Neutral
2018-04-01,145.0,,0.0,Neutral
2018-04-02,145.0,,0.0,Neutral
2018-04-03,148.0,,0.0,Neutral
2018-04-04,156.0,,0.0,Neutral
2018-04-05,159.0,,0.0,Neutral
2018-04-08,160.0,,0.0,Neutral
2018-04-09,153.0,,0.0,Neutral
2018-04-10,154.0,2018-04-10,0.7686885595321655,Strongly Positive
2018-04-11,154.0,,0.0,Neutral
2018-04-12,155.0,,0.0,Neutral
2018-04-15,150.0,2018-04-15,0.5545382499694824,Positive
2018-04-16,152.0,,0.0,Neutral
2018-04-17,157.0,,0.0,Neutral
2018-04-18,169.0,,0.0,Neutral
2018-04-19,172.0,,0.0,Neutral
2018-04-22,179.0,2018-04-22,0.7511602640151978,Strongly Positive
2018-04-23,175.0,,0.0,Neutral
2018-04-24,169.0,2018-04-24,0.0267640780657529,Neutral
2018-04-25,164.0,,0.0,Neutral
2018-04-26,159.0,,0.0,Neutral
2018-04-29,162.0,2018-04-29,0.7163733243942261,Strongly Positive
2018-05-02,165.0,,0.0,Neutral
2018-05-03,166.0,,0.0,Neutral
2018-05-06,162.0,2018-05-06,0.890631914138794,Strongly Positive
2018-05-07,162.0,,0.0,Neutral
2018-05-08,168.0,,0.0,Neutral
2018-05-09,163.0,,0.0,Neutral
2018-05-10,163.0,,0.0,Neutral
2018-05-14,162.0,,0.0,Neutral
2018-05-15,160.0,,0.0,Neutral
2018-05-16,161.0,,0.0,Neutral
2018-05-17,161.0,,0.0,Neutral
2018-05-20,163.0,,0.0,Neutral
2018-05-21,160.0,,0.0,Neutral
2018-05-22,158.0,,0.0,Neutral
2018-05-23,159.0,2018-05-23,0.8073546886444092,Strongly Positive
2018-05-24,157.0,,0.0,Neutral
2018-05-27,155.0,,0.0,Neutral
2018-05-28,160.0,2018-05-28,0.8878153562545776,Strongly Positive
2018-05-29,157.0,,0.0,Neutral
2018-05-30,158.0,,0.0,Neutral
2018-05-31,158.0,,0.0,Neutral
2018-06-03,153.0,,0.0,Neutral
2018-06-04,150.0,,0.0,Neutral
2018-06-06,150.0,,0.0,Neutral
2018-06-07,149.0,,0.0,Neutral
2018-06-10,150.0,,0.0,Neutral
2018-06-11,150.0,,0.0,Neutral
2018-06-12,150.0,,0.0,Neutral
2018-06-13,150.0,,0.0,Neutral
2018-06-14,150.0,,0.0,Neutral
2018-06-17,148.0,,0.0,Neutral
2018-06-18,148.0,,0.0,Neutral
2018-06-19,146.0,,0.0,Neutral
2018-06-20,147.0,,0.0,Neutral
2018-06-21,146.0,,0.0,Neutral
2018-06-24,148.0,,0.0,Neutral
2018-06-25,145.0,2018-06-25,0.6193391680717468,Strongly Positive
2018-06-26,144.0,,0.0,Neutral
2018-06-27,144.0,,0.0,Neutral
2018-06-28,143.0,,0.0,Neutral
2018-07-01,142.0,,0.0,Neutral
2018-07-02,142.0,,0.0,Neutral
2018-07-03,145.0,,0.0,Neutral
2018-07-04,147.0,,0.0,Neutral
2018-07-05,151.0,,0.0,Neutral
2018-07-08,147.0,,0.0,Neutral
2018-07-09,145.0,2018-07-09,0.529290497303009,Positive
2018-07-10,145.0,2018-07-10,0.5859246253967285,Positive
2018-07-11,146.0,,0.0,Neutral
2018-07-12,145.0,,0.0,Neutral
2018-07-15,143.0,,0.0,Neutral
2018-07-16,146.0,,0.0,Neutral
2018-07-17,148.0,,0.0,Neutral
2018-07-18,144.0,2018-07-18,0.9188326001167296,Strongly Positive
2018-07-19,147.0,,0.0,Neutral
2018-07-22,148.0,,0.0,Neutral
2018-07-23,148.0,,0.0,Neutral
2018-07-24,147.0,2018-07-24,0.3823971450328827,Positive
2018-07-25,144.0,,0.0,Neutral
2018-07-26,144.0,,0.0,Neutral
2018-07-29,145.0,,0.0,Neutral
2018-07-30,143.0,,0.0,Neutral
2018-07-31,148.0,2018-07-31,0.5142749547958374,Positive
2018-08-01,155.0,,0.0,Neutral
2018-08-02,155.0,,0.0,Neutral
2018-08-05,155.0,,0.0,Neutral
2018-08-06,154.0,2018-08-06,0.8822060227394104,Strongly Positive
2018-08-07,154.0,,0.0,Neutral
2018-08-08,153.0,,0.0,Neutral
2018-08-09,153.0,,0.0,Neutral
2018-08-12,150.0,,0.0,Neutral
2018-08-13,154.0,,0.0,Neutral
2018-08-14,155.0,,0.0,Neutral
2018-08-15,161.0,,0.0,Neutral
2018-08-16,158.0,2018-08-16,0.911135733127594,Strongly Positive
2018-08-19,151.0,2018-08-19,0.7158892750740051,Strongly Positive
2018-08-20,150.0,,0.0,Neutral
2018-08-21,147.0,,0.0,Neutral
2018-08-22,149.0,2018-08-22,0.8453623056411743,Strongly Positive
2018-08-23,150.0,2018-08-23,0.9204823970794678,Strongly Positive
2018-08-26,150.0,,0.0,Neutral
2018-08-28,149.0,,0.0,Neutral
2018-08-29,147.0,,0.0,Neutral
2018-08-30,149.0,,0.0,Neutral
2018-09-02,148.0,,0.0,Neutral
2018-09-03,149.0,,0.0,Neutral
2018-09-04,157.0,,0.0,Neutral
2018-09-05,156.0,,0.0,Neutral
2018-09-06,156.0,,0.0,Neutral
2018-09-09,153.0,,0.0,Neutral
