Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2011-03-20,620.0,,0.0,Neutral
2011-03-24,630.0,,0.0,Neutral
2011-03-29,618.0,,0.0,Neutral
2011-03-30,606.0,,0.0,Neutral
2011-03-31,600.0,,0.0,Neutral
2011-04-19,588.0,,0.0,Neutral
2011-04-20,556.0,,0.0,Neutral
2011-04-21,554.0,,0.0,Neutral
2011-04-25,550.0,,0.0,Neutral
2011-05-02,545.0,,0.0,Neutral
2011-05-03,535.0,,0.0,Neutral
2011-05-05,525.0,,0.0,Neutral
2011-05-08,520.0,,0.0,Neutral
2011-05-10,520.0,,0.0,Neutral
2011-05-11,500.0,,0.0,Neutral
2011-05-15,510.0,,0.0,Neutral
2011-05-19,500.0,,0.0,Neutral
2011-05-22,492.0,,0.0,Neutral
2011-05-23,490.0,,0.0,Neutral
2011-05-30,490.0,,0.0,Neutral
2011-06-02,484.0,,0.0,Neutral
2011-06-06,475.0,,0.0,Neutral
2011-06-13,466.0,,0.0,Neutral
2011-06-15,448.0,,0.0,Neutral
2011-06-16,448.0,,0.0,Neutral
2011-06-21,480.0,,0.0,Neutral
2011-06-30,480.0,,0.0,Neutral
2011-07-03,453.0,,0.0,Neutral
2011-07-04,430.0,,0.0,Neutral
2011-07-05,430.0,,0.0,Neutral
2011-07-10,428.0,,0.0,Neutral
2011-07-11,415.0,,0.0,Neutral
2011-07-17,439.0,,0.0,Neutral
2011-07-19,431.0,,0.0,Neutral
2011-07-20,466.0,,0.0,Neutral
2011-07-24,475.0,,0.0,Neutral
2011-07-25,484.0,,0.0,Neutral
2011-07-26,486.0,,0.0,Neutral
2011-07-28,481.0,,0.0,Neutral
2011-08-01,499.0,,0.0,Neutral
2011-08-02,528.0,,0.0,Neutral
2011-08-03,538.0,,0.0,Neutral
2011-08-04,548.0,,0.0,Neutral
2011-08-07,550.0,,0.0,Neutral
2011-08-09,561.0,,0.0,Neutral
2011-08-10,562.0,,0.0,Neutral
2011-08-17,565.0,,0.0,Neutral
2011-08-22,543.0,,0.0,Neutral
2011-08-23,543.0,,0.0,Neutral
2011-08-28,545.0,,0.0,Neutral
2011-08-30,545.0,,0.0,Neutral
2011-09-01,545.0,,0.0,Neutral
2011-09-06,525.0,,0.0,Neutral
2011-09-29,535.0,,0.0,Neutral
2011-10-09,535.0,,0.0,Neutral
2011-10-12,550.0,,0.0,Neutral
2011-10-13,560.0,,0.0,Neutral
2011-10-17,560.0,,0.0,Neutral
2011-10-18,560.0,,0.0,Neutral
2011-10-19,559.0,,0.0,Neutral
2011-10-23,565.0,,0.0,Neutral
2011-10-24,576.0,,0.0,Neutral
2011-10-30,576.0,,0.0,Neutral
2011-10-31,593.0,,0.0,Neutral
2011-11-10,600.0,,0.0,Neutral
2011-11-17,580.0,,0.0,Neutral
2011-11-23,580.0,,0.0,Neutral
2011-12-07,548.0,,0.0,Neutral
