Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2016-12-11,200.0,196.0,196.0,196.0,32957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,Neutral
2016-12-12,196.0,193.0,192.0,193.0,56522.0,0.0,0.0,0.0,0.0,-0.23931623931625268,-0.04786324786325054,0.0,,0,Neutral
2017-08-27,110.0,110.0,110.0,110.0,58619.0,0.0,0.0,0.0,0.0,-7.045170087905149,-1.4473246158716302,0.0,,0,Neutral
2017-10-24,110.0,110.0,110.0,110.0,3000.0,0.0,0.0,0.0,0.0,-12.29710492554139,-3.6172806778055824,0.0,,0,Neutral
2017-10-25,110.0,108.0,108.0,108.0,1000.0,143.4,0.0,0.0,0.0,-16.43127489889696,-6.180079522023858,0.0,,0,Neutral
2018-04-08,108.0,108.0,108.0,108.0,11450.0,125.8,0.0,0.0,0.0,-19.48304596179497,-8.84067280997808,0.0,,0,Neutral
2018-08-19,108.0,108.0,108.0,108.0,4806.0,108.8,0.0,0.0,0.0,-21.652005672478055,-11.402939382478076,0.0,,0,Neutral
2019-08-28,100.0,100.0,100.0,100.0,48000.0,106.8,0.0,0.0,0.0,-23.742763215919496,-13.87090414916636,0.0,,0,Neutral
2019-09-24,100.0,100.0,100.0,100.0,554.0,104.8,0.0,0.0,0.0,-25.110248320143768,-16.118772983361843,0.0,,0,Neutral
2020-12-28,217.0,217.0,217.0,217.0,1000.0,126.6,135.0,0.0,0.0,-16.562149774220956,-16.207448341533667,46.78081278093022,,0,Neutral
2021-10-04,217.0,217.0,217.0,217.0,5900.0,148.4,137.1,0.0,0.0,-9.676179121156395,-14.901194497458214,50.17181590406223,,0,Neutral
2021-12-22,217.0,217.0,217.0,217.0,3000.0,170.2,139.5,0.0,0.0,-4.170918021220842,-12.75513920221074,53.59985489200922,,0,Neutral
2023-12-06,285.0,285.0,285.0,285.0,19437.0,207.2,157.0,0.0,0.0,5.614353986092965,-9.08124056455,69.19698130859628,,0,Neutral
2024-04-09,273.0,273.0,273.0,273.0,18494.0,241.8,173.3,0.0,0.0,12.259631439275097,-4.813066163784981,75.78045775645445,,0,Neutral
2024-06-09,273.0,273.0,273.0,273.0,61544.0,253.0,189.8,0.0,63.13993173759741,17.326334498728073,-0.3851860312823705,77.91562387893998,,0,Neutral
2024-06-23,267.6,267.6,267.6,267.6,61545.0,263.12,205.76,0.0,62.62694651023433,20.667753311704303,3.8254018373149643,75.61009926663971,,0,Neutral
