Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2015-08-27,414.0,,0.0,Neutral
2015-09-01,434.0,,0.0,Neutral
2015-09-22,477.0,,0.0,Neutral
2015-09-23,504.0,,0.0,Neutral
2015-09-24,529.0,,0.0,Neutral
2015-10-01,540.0,,0.0,Neutral
2015-10-06,550.0,,0.0,Neutral
2015-11-03,572.0,,0.0,Neutral
2015-11-05,594.0,,0.0,Neutral
2015-11-08,605.0,,0.0,Neutral
2015-11-10,635.0,,0.0,Neutral
2015-11-26,685.0,,0.0,Neutral
2015-11-29,719.0,,0.0,Neutral
2015-12-02,733.0,,0.0,Neutral
2015-12-07,806.0,,0.0,Neutral
2015-12-08,854.0,,0.0,Neutral
2015-12-10,905.0,,0.0,Neutral
2015-12-16,995.0,,0.0,Neutral
2015-12-17,1094.0,,0.0,Neutral
2015-12-20,1203.0,,0.0,Neutral
2015-12-21,1323.0,,0.0,Neutral
2015-12-22,1455.0,,0.0,Neutral
2015-12-23,1600.0,,0.0,Neutral
2015-12-24,1760.0,,0.0,Neutral
2015-12-27,1936.0,,0.0,Neutral
2015-12-28,2129.0,,0.0,Neutral
2015-12-29,2300.0,2015-12-29,0.0788799226284027,Slightly Positive
2015-12-31,2307.0,,0.0,Neutral
2016-01-03,2280.0,2016-01-03,0.2890769243240356,Positive
2016-01-04,2225.0,,0.0,Neutral
2016-01-05,2230.0,,0.0,Neutral
2016-01-06,2205.0,,0.0,Neutral
2016-01-07,2320.0,,0.0,Neutral
2016-01-10,2325.0,,0.0,Neutral
2016-01-11,2420.0,,0.0,Neutral
2016-01-12,2470.0,,0.0,Neutral
2016-01-13,2428.0,,0.0,Neutral
2016-01-14,2503.0,,0.0,Neutral
2016-01-26,2553.0,,0.0,Neutral
2016-01-28,2604.0,,0.0,Neutral
2016-01-31,2864.0,,0.0,Neutral
2016-02-01,3150.0,,0.0,Neutral
2016-02-02,3213.0,,0.0,Neutral
2016-02-03,3150.0,,0.0,Neutral
2016-02-04,3100.0,,0.0,Neutral
2016-02-08,3038.0,,0.0,Neutral
2016-02-11,2978.0,,0.0,Neutral
2016-02-17,2691.0,,0.0,Neutral
2016-02-18,2704.0,,0.0,Neutral
2016-02-21,2650.0,,0.0,Neutral
2016-02-22,2640.0,,0.0,Neutral
2016-02-23,2700.0,,0.0,Neutral
2016-02-25,2650.0,,0.0,Neutral
2016-02-28,2600.0,,0.0,Neutral
2016-02-29,2650.0,,0.0,Neutral
2016-03-01,2650.0,,0.0,Neutral
2016-03-02,2700.0,,0.0,Neutral
2016-03-03,2760.0,,0.0,Neutral
2016-03-06,2750.0,,0.0,Neutral
2016-03-10,2850.0,,0.0,Neutral
