Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2015-04-22,285.0,,0.0,Neutral
2015-05-28,285.0,,0.0,Neutral
2015-06-15,285.0,,0.0,Neutral
2015-06-16,280.0,,0.0,Neutral
2015-07-08,280.0,,0.0,Neutral
2015-07-14,280.0,,0.0,Neutral
2015-09-29,280.0,,0.0,Neutral
2015-09-30,280.0,,0.0,Neutral
2015-10-05,280.0,,0.0,Neutral
2015-10-15,280.0,,0.0,Neutral
2015-11-18,280.0,,0.0,Neutral
2015-11-26,280.0,,0.0,Neutral
2015-12-20,285.0,,0.0,Neutral
2015-12-27,285.0,,0.0,Neutral
2015-12-28,285.0,,0.0,Neutral
2016-05-04,490.0,,0.0,Neutral
2016-05-12,481.0,,0.0,Neutral
2016-05-18,481.0,,0.0,Neutral
2016-05-30,481.0,,0.0,Neutral
2016-08-15,481.0,,0.0,Neutral
2016-08-17,490.0,,0.0,Neutral
2016-08-21,490.0,,0.0,Neutral
2016-09-05,499.0,,0.0,Neutral
2016-09-11,500.0,,0.0,Neutral
2016-09-14,500.0,,0.0,Neutral
2016-11-03,500.0,,0.0,Neutral
2016-11-07,500.0,,0.0,Neutral
2016-11-08,500.0,,0.0,Neutral
2017-02-08,500.0,,0.0,Neutral
2017-04-16,500.0,,0.0,Neutral
2017-05-18,500.0,,0.0,Neutral
2017-06-18,500.0,,0.0,Neutral
2017-06-19,500.0,,0.0,Neutral
2017-06-21,490.0,,0.0,Neutral
2017-06-27,490.0,,0.0,Neutral
2017-06-28,490.0,,0.0,Neutral
2017-07-02,490.0,,0.0,Neutral
2017-07-12,481.0,,0.0,Neutral
2017-07-17,472.0,,0.0,Neutral
2017-07-26,463.0,,0.0,Neutral
2017-08-03,463.0,,0.0,Neutral
2017-08-15,463.0,,0.0,Neutral
2017-10-31,463.0,,0.0,Neutral
2017-11-01,463.0,,0.0,Neutral
2017-11-22,463.0,,0.0,Neutral
2017-11-23,463.0,,0.0,Neutral
2017-12-05,463.0,,0.0,Neutral
2018-03-29,217.0,,0.0,Neutral
2018-04-02,217.0,,0.0,Neutral
2018-04-17,217.0,,0.0,Neutral
2018-04-19,217.0,,0.0,Neutral
2018-06-11,217.0,,0.0,Neutral
2018-06-14,217.0,,0.0,Neutral
2018-07-03,217.0,,0.0,Neutral
2018-07-09,217.0,,0.0,Neutral
2018-08-26,217.0,,0.0,Neutral
2018-08-28,215.0,,0.0,Neutral
2018-09-03,213.0,,0.0,Neutral
2018-09-10,209.0,,0.0,Neutral
2018-09-12,211.0,,0.0,Neutral
2018-09-13,211.0,,0.0,Neutral
2018-10-01,211.0,,0.0,Neutral
2018-10-31,220.0,,0.0,Neutral
2018-12-02,220.0,,0.0,Neutral
2018-12-03,220.0,,0.0,Neutral
2018-12-17,220.0,,0.0,Neutral
2018-12-18,220.0,,0.0,Neutral
2019-02-14,216.0,,0.0,Neutral
2019-03-17,212.0,,0.0,Neutral
2019-03-24,212.0,,0.0,Neutral
2019-03-25,208.0,,0.0,Neutral
2019-03-27,208.0,,0.0,Neutral
2019-04-02,204.0,,0.0,Neutral
