Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2017-12-26,160.0,160.0,160.0,160.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2018-01-01,160.0,160.0,160.0,160.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2019-06-13,118.0,118.0,118.0,118.0,8000.0,0.0,0.0,0.0,0.0,-3.3504273504273385,-0.6700854700854677,0.0,,0.0,Neutral
2021-02-25,118.0,118.0,118.0,118.0,1400.0,0.0,0.0,0.0,0.0,-5.937224535515128,-1.7235132831713997,0.0,,0.0,Neutral
2021-03-01,118.0,118.0,118.0,118.0,1500.0,134.8,0.0,0.0,0.0,-7.896256808327308,-2.958061988202582,0.0,,0.0,Neutral
2021-03-07,118.0,118.0,118.0,118.0,200.0,126.4,0.0,0.0,0.0,-9.34112532054965,-4.234674654671996,0.0,,0.0,Neutral
2022-06-15,133.0,133.0,133.0,133.0,5650.0,121.0,0.0,0.0,0.0,-9.170112042996777,-5.221762132336952,0.0,,0.0,Neutral
2022-06-16,130.4,130.4,130.4,130.4,73450.0,123.47999999999999,0.0,0.0,0.0,-9.139031987444014,-6.005216103358364,0.0,,0.0,Neutral
2023-02-27,181.0,181.0,181.0,181.0,10000.0,136.07999999999998,0.0,0.0,0.0,-4.97406576742469,-5.79898603617163,0.0,,0.0,Neutral
2023-12-05,150.0,150.0,150.0,150.0,40113.0,142.48,138.64000000000001,0.0,0.0,-4.127165557809263,-5.464621940499157,22.70502636471101,,0.0,Neutral
2024-03-14,202.0,202.0,202.0,202.0,56000.0,159.28,142.84,0.0,0.0,0.7315416213231742,-4.2253892281346905,29.854283147016307,,0.0,Neutral
2025-06-23,321.0,321.0,321.0,321.0,5000.0,196.88,158.94,0.0,0.0,14.02276187139762,-0.5757590082282285,64.01034985757295,,0.0,Neutral
