Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2013-09-01,100.0,0.0,0.0,220.0,2914012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,Neutral
2014-01-26,100.0,0.0,0.0,100.0,2767500.0,0.0,0.0,0.0,0.0,-9.572649572649567,-1.9145299145299135,0.0,,0,Neutral
2014-05-22,220.0,0.0,0.0,220.0,694331.0,0.0,0.0,0.0,0.0,-7.390849100250847,-3.0097937516741,0.0,,0,Neutral
2019-03-26,120.0,120.0,120.0,120.0,131929.0,0.0,0.0,0.0,0.0,-13.574443042385724,-5.1227236098164255,0.0,,0,Neutral
2019-09-03,118.0,118.0,118.0,118.0,485000.0,155.6,0.0,0.0,0.0,-18.423988802834543,-7.782976648420049,0.0,,0,Neutral
2019-10-01,125.0,125.0,125.0,125.0,561000.0,136.6,0.0,0.0,0.0,-21.455125922242246,-10.517406503184489,0.0,,0,Neutral
2019-12-11,116.0,116.0,114.0,114.0,561428.0,139.4,0.0,0.0,0.0,-24.46293846967285,-13.306512896482161,0.0,,0,Neutral
2020-07-27,116.0,116.0,116.0,116.0,105118.0,118.6,0.0,0.0,0.0,-26.381162676694828,-15.921442852524695,0.0,,0,Neutral
2020-07-28,116.0,116.0,116.0,116.0,105118.0,117.8,0.0,0.0,0.0,-27.58340485966997,-18.253835253953753,0.0,,0,Neutral
2020-07-29,116.0,116.0,116.0,116.0,105018.0,117.4,136.5,0.0,0.0,-28.210991699782454,-20.245266543119495,44.46034437813344,,0,Neutral
