Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2013-07-14,504.0,,0.0,Neutral
2013-07-15,554.0,2013-07-15,0.7904866337776184,Strongly Positive
2013-07-16,554.0,,0.0,Neutral
2013-07-17,609.0,,0.0,Neutral
2013-07-18,669.0,,0.0,Neutral
2013-07-21,735.0,,0.0,Neutral
2013-07-22,748.0,,0.0,Neutral
2013-07-23,737.0,,0.0,Neutral
2013-07-24,710.0,2013-07-24,-0.2175934910774231,Negative
2013-07-25,697.0,,0.0,Neutral
2013-07-28,700.0,,0.0,Neutral
2013-07-29,713.0,,0.0,Neutral
2013-07-30,733.0,,0.0,Neutral
2013-07-31,732.0,,0.0,Neutral
2013-08-01,726.0,,0.0,Neutral
2013-08-04,710.0,2013-08-04,0.9211567640304564,Strongly Positive
2013-08-05,702.0,,0.0,Neutral
2013-08-06,700.0,,0.0,Neutral
2013-08-07,690.0,,0.0,Neutral
2013-08-08,670.0,,0.0,Neutral
2013-08-11,663.0,,0.0,Neutral
2013-08-12,657.0,,0.0,Neutral
2013-08-13,658.0,,0.0,Neutral
2013-08-14,628.0,2013-08-14,0.8907943367958069,Strongly Positive
2013-08-15,614.0,,0.0,Neutral
2013-08-18,638.0,,0.0,Neutral
2013-08-19,640.0,,0.0,Neutral
2013-08-20,647.0,,0.0,Neutral
2013-08-25,644.0,,0.0,Neutral
2013-08-26,631.0,,0.0,Neutral
2013-08-27,640.0,,0.0,Neutral
2013-08-29,638.0,,0.0,Neutral
2013-09-01,635.0,,0.0,Neutral
2013-09-02,635.0,,0.0,Neutral
2013-09-03,630.0,,0.0,Neutral
2013-09-04,625.0,,0.0,Neutral
2013-09-05,625.0,,0.0,Neutral
2013-09-08,621.0,,0.0,Neutral
2013-09-09,633.0,,0.0,Neutral
2013-09-10,620.0,,0.0,Neutral
2013-09-11,625.0,,0.0,Neutral
2013-09-12,622.0,,0.0,Neutral
2013-09-15,618.0,,0.0,Neutral
2013-09-16,615.0,,0.0,Neutral
2013-09-17,611.0,,0.0,Neutral
2013-09-19,610.0,,0.0,Neutral
2013-09-22,594.0,,0.0,Neutral
2013-09-23,596.0,,0.0,Neutral
2013-09-24,603.0,,0.0,Neutral
2013-09-25,598.0,,0.0,Neutral
2013-09-26,594.0,,0.0,Neutral
2013-09-29,593.0,,0.0,Neutral
