Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-08-15,120.0,124.0,122.0,124.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-08-15,0.8700137734413147,Strongly Positive
2011-09-05,124.0,126.0,126.0,126.0,50.0,0.0,0.0,0.0,0.0,0.15954415954416845,0.031908831908833694,0.0,,0.0,Neutral
2011-09-06,126.0,130.0,128.0,130.0,150.0,0.0,0.0,0.0,0.0,0.6018132969699934,0.14588972492106564,0.0,,0.0,Neutral
2011-09-22,130.0,132.0,132.0,132.0,50.0,0.0,0.0,0.0,0.0,1.1010063442754756,0.33691304879194767,0.0,,0.0,Neutral
2011-11-16,132.0,136.0,134.0,136.0,140.0,129.6,0.0,0.0,0.0,1.7986532463606721,0.6292610883056926,0.0,,0.0,Neutral
2011-12-05,136.0,140.0,138.0,140.0,100.0,132.8,0.0,0.0,0.0,2.6438335457566495,1.032175579795884,0.0,,0.0,Neutral
2011-12-21,140.0,138.0,138.0,138.0,10.0,135.2,0.0,0.0,0.0,3.116338526243453,1.449008169085398,0.0,,0.0,Neutral
2012-07-16,138.0,140.0,140.0,140.0,30.0,137.2,0.0,0.0,0.0,3.6105650662118194,1.8813195485106824,0.0,,0.0,Neutral
2013-12-29,140.0,140.0,140.0,140.0,228.0,138.8,0.0,0.0,0.0,3.9566335511874797,2.296382349046042,0.0,,0.0,Neutral
2014-04-09,140.0,142.0,142.0,142.0,20.0,140.0,134.8,0.0,0.0,4.342224147095067,2.705550708655847,6.408327915038892,,0.0,Neutral
2014-04-28,142.0,144.0,144.0,144.0,1500.0,140.8,136.8,0.0,0.0,4.754385165004464,3.1153175999255707,5.750362307426088,,0.0,Neutral
2014-09-09,144.0,146.0,146.0,146.0,10.0,142.4,138.8,0.0,0.0,5.182666473451945,3.528787374630846,5.006662228138289,,0.0,Neutral
2015-03-11,146.0,148.0,148.0,148.0,74.0,144.0,140.6,0.0,0.0,5.618696940486842,3.9467692878020455,4.718756898449694,,0.0,Neutral
2015-07-22,148.0,150.0,150.0,150.0,37.0,146.0,142.4,0.0,0.0,6.055829677445956,4.368581365730828,4.501851470969086,,0.0,Neutral
