Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-11-10,0.0,324.0,318.0,318.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-11-21,318.0,312.0,289.0,289.0,60.0,0.0,0.0,0.0,0.0,-2.3133903133903004,-0.4626780626780601,0.0,,0.0,Neutral
2011-11-22,289.0,284.0,264.0,264.0,130.0,0.0,0.0,0.0,0.0,-6.093814173586225,-1.5889052848596932,0.0,,0.0,Neutral
2011-11-28,264.0,259.0,254.0,254.0,220.0,0.0,0.0,0.0,0.0,-9.783960341277236,-3.227916296143202,0.0,,0.0,Neutral
2012-01-09,254.0,249.0,249.0,249.0,180.0,274.8,0.0,0.0,0.0,-12.96246277646219,-5.174825592207,0.0,,0.0,Neutral
2012-02-26,249.0,237.0,237.0,237.0,190.0,258.6,0.0,0.0,0.0,-16.262287045892435,-7.392317882944088,0.0,,0.0,Neutral
2012-03-13,237.0,233.0,214.0,214.0,190.0,243.6,0.0,0.0,0.0,-20.49705207697434,-10.01326472175014,0.0,,0.0,Neutral
2012-03-14,214.0,204.0,196.0,196.0,30.0,230.0,0.0,0.0,0.0,-25.0172007243807,-13.014051922276254,0.0,,0.0,Neutral
2012-03-15,196.0,193.0,190.0,190.0,20.0,217.2,0.0,0.0,0.0,-28.752163901415514,-16.161674318104108,0.0,,0.0,Neutral
2012-04-03,190.0,190.0,190.0,190.0,140.0,205.4,240.1,0.0,0.0,-31.35075711531553,-19.199490877546395,43.40878047379611,,0.0,Neutral
2012-04-19,190.0,187.0,187.0,187.0,70.0,195.4,227.0,0.0,0.0,-33.268734623467225,-22.013339626730563,36.5057073163453,,0.0,Neutral
2012-04-29,187.0,178.0,178.0,178.0,30.0,188.2,215.9,0.0,0.0,-35.110241393404124,-24.632719980065275,32.17814993646051,,0.0,Neutral
2012-06-04,178.0,170.0,170.0,170.0,40.0,183.0,206.5,0.0,0.0,-36.79107727989705,-27.064391440031635,30.237026602789136,,0.0,Neutral
2012-06-10,170.0,170.0,170.0,170.0,180.0,179.0,198.1,0.0,0.0,-37.68869995700808,-29.189253143426924,27.07787124408252,,0.0,Neutral
2012-06-11,170.0,162.0,162.0,162.0,370.0,173.4,189.4,0.0,0.0,-38.60064137118897,-31.071530788979334,22.495431634988563,,0.0,Neutral
2012-06-12,162.0,154.0,154.0,154.0,10.0,166.8,181.1,0.0,0.0,-39.51340867436562,-32.7599063660566,17.804181780943715,,0.0,Neutral
2012-06-17,154.0,147.0,147.0,147.0,20.0,160.6,174.4,0.0,0.0,-40.33664905520922,-34.275254903887124,16.614585292580827,,0.0,Neutral
2012-06-21,147.0,140.0,140.0,140.0,10.0,154.6,168.8,0.0,0.0,-41.080365603674096,-35.636277043844515,17.912131208888642,,0.0,Neutral
2012-06-28,140.0,134.0,128.0,128.0,80.0,146.2,162.6,0.0,0.0,-42.15216215185967,-36.93945406544755,20.326228266836743,,0.0,Neutral
2012-07-03,128.0,122.0,118.0,118.0,50.0,137.4,155.4,197.75,0.0,-43.309243069647664,-38.21341186628757,22.207105969836604,,0.0,Neutral
2012-07-04,118.0,113.0,107.0,107.0,130.0,128.0,147.4,187.2,0.0,-44.59972819817506,-39.49067513266507,23.90350973764678,,0.0,Neutral
2012-07-05,107.0,102.0,102.0,102.0,500.0,119.0,139.8,177.85,0.0,-45.5013934333669,-40.69281879280544,25.14314574148935,,0.0,Neutral
2012-07-08,102.0,102.0,102.0,102.0,450.0,111.4,133.0,169.75,0.0,-45.68929191184063,-41.692113416612486,25.263060428661813,,0.0,Neutral
2012-07-11,102.0,102.0,102.0,102.0,200.0,106.2,126.2,162.15,0.0,-45.3158301281737,-42.41685675892473,23.270391296905757,,0.0,Neutral
2012-07-12,102.0,102.0,102.0,102.0,20.0,103.0,120.2,154.8,0.0,-44.50681214805661,-42.83484783675111,20.59557665562618,,0.0,Neutral
2012-07-15,102.0,102.0,102.0,102.0,440.0,102.0,115.0,148.05,0.0,-43.36576601379899,-42.94103147216069,17.435595774162586,,0.0,Neutral
2012-07-16,102.0,102.0,102.0,102.0,260.0,102.0,110.5,142.45,0.0,-41.97758723608948,-42.74834262494645,13.656500283747524,,0.0,Neutral
2012-07-17,102.0,97.0,96.0,96.0,60.0,100.8,106.1,137.45,0.0,-40.890238196732,-42.37672173930357,9.573690801125332,,0.0,Neutral
2012-07-24,96.0,92.0,92.0,92.0,10.0,98.8,102.5,132.55,0.0,-39.8914292548225,-41.87966324240736,6.786424357167171,,0.0,Neutral
2012-07-26,92.0,88.0,83.0,84.0,410.0,95.2,99.1,127.25,0.0,-39.292460092302846,-41.36222261238646,6.674162452655816,,0.0,Neutral
2012-07-29,84.0,82.0,78.0,80.0,1620.0,90.8,96.4,121.9,0.0,-38.694493254519045,-40.82867674081298,8.369255907453223,,0.0,Neutral
2012-07-30,80.0,79.0,77.0,78.0,1820.0,86.0,94.0,116.9,0.0,-37.94458199124661,-40.25185779089971,9.888264649460691,,0.0,Neutral
2012-07-31,78.0,78.0,74.0,74.0,1170.0,81.6,91.2,112.1,0.0,-37.243716107016084,-39.65022945412299,11.242775458043988,,0.0,Neutral
2012-08-01,74.0,76.0,72.0,73.0,1140.0,77.8,88.3,107.25,0.0,-36.34994692584385,-38.99017294846716,11.870130580578977,,0.0,Neutral
2012-08-05,73.0,75.0,73.0,74.0,980.0,75.8,85.5,102.85,2.85714285600001,-35.15568392719503,-38.223275144212735,11.578236288638772,,0.0,Neutral
2012-08-06,74.0,75.0,74.0,75.0,50.0,74.8,82.8,98.9,6.4516129003121705,-33.73960113421154,-37.326540342212496,10.390166291044228,,0.0,Neutral
2012-08-07,75.0,75.0,73.0,74.0,500.0,74.0,80.0,95.25,6.249999997265618,-32.32540975926193,-36.32631422562238,8.178562764256638,,0.0,Neutral
2012-08-08,74.0,73.0,71.0,71.0,970.0,73.4,77.5,91.8,5.714285711999992,-31.08836056510755,-35.27872349351942,6.363961030678643,,0.0,Neutral
2012-08-12,71.0,72.0,68.0,71.0,760.0,73.0,75.4,88.95,5.714285711999992,-29.764879167236074,-34.17595462826276,4.11501316320249,,0.0,Neutral
2012-08-13,71.0,71.0,69.0,70.0,160.0,72.2,74.0,86.55,5.5555555533950525,-28.468534719704465,-33.0344706465511,3.12694383988172,,0.0,Neutral
2012-08-14,70.0,71.0,69.0,69.0,490.0,71.0,72.9,84.65,5.405405403360106,-27.208224571698736,-31.869221431580627,2.685351208149055,,0.0,Neutral
2012-08-15,69.0,70.0,70.0,70.0,320.0,70.2,72.1,83.05,9.374999995898435,-25.830964774011065,-30.661570100066715,2.131770260708442,,0.0,Neutral
