Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2014-08-28,150.0,,0.0,Neutral
2014-08-31,166.0,,0.0,Neutral
2014-09-01,172.0,,0.0,Neutral
2014-09-03,175.0,,0.0,Neutral
2014-09-17,178.0,,0.0,Neutral
2014-09-22,178.0,,0.0,Neutral
2014-10-13,178.0,,0.0,Neutral
2014-10-14,178.0,,0.0,Neutral
2014-11-10,161.0,,0.0,Neutral
2014-11-11,147.0,,0.0,Neutral
2014-11-12,145.0,,0.0,Neutral
2014-11-17,147.0,,0.0,Neutral
2014-12-01,141.0,,0.0,Neutral
2014-12-02,140.0,,0.0,Neutral
2014-12-03,136.0,,0.0,Neutral
2014-12-04,138.0,,0.0,Neutral
2014-12-07,139.0,,0.0,Neutral
2014-12-08,141.0,,0.0,Neutral
2014-12-09,147.0,,0.0,Neutral
2014-12-10,147.0,,0.0,Neutral
2014-12-15,145.0,,0.0,Neutral
2014-12-16,143.0,,0.0,Neutral
2014-12-22,143.0,,0.0,Neutral
2014-12-23,140.0,,0.0,Neutral
2015-01-05,138.0,,0.0,Neutral
2015-01-06,134.0,,0.0,Neutral
2015-01-12,132.0,,0.0,Neutral
2015-01-14,130.0,,0.0,Neutral
2015-01-18,132.0,,0.0,Neutral
2015-01-19,134.0,,0.0,Neutral
2015-01-22,136.0,,0.0,Neutral
2015-01-25,138.0,,0.0,Neutral
2015-01-26,146.0,,0.0,Neutral
2015-01-27,150.0,,0.0,Neutral
2015-01-29,161.0,,0.0,Neutral
2015-02-02,164.0,,0.0,Neutral
2015-02-03,161.0,,0.0,Neutral
2015-02-04,157.0,,0.0,Neutral
2015-02-08,154.0,,0.0,Neutral
2015-02-09,151.0,,0.0,Neutral
2015-02-10,147.0,,0.0,Neutral
2015-02-18,149.0,,0.0,Neutral
2015-02-23,150.0,,0.0,Neutral
2015-02-25,153.0,,0.0,Neutral
2015-03-01,156.0,,0.0,Neutral
2015-03-04,156.0,,0.0,Neutral
2015-03-09,165.0,,0.0,Neutral
2015-03-10,163.0,,0.0,Neutral
2015-03-11,166.0,,0.0,Neutral
2015-03-15,182.0,,0.0,Neutral
2015-03-16,179.0,,0.0,Neutral
2015-03-17,180.0,,0.0,Neutral
2015-03-18,177.0,,0.0,Neutral
2015-03-19,174.0,,0.0,Neutral
2015-03-25,171.0,,0.0,Neutral
2015-04-01,165.0,,0.0,Neutral
2015-04-08,162.0,,0.0,Neutral
2015-06-07,162.0,,0.0,Neutral
2015-06-08,162.0,,0.0,Neutral
2015-06-09,165.0,,0.0,Neutral
2015-06-18,168.0,,0.0,Neutral
2015-06-23,171.0,,0.0,Neutral
2015-07-26,183.0,,0.0,Neutral
2015-07-27,180.0,,0.0,Neutral
2015-07-28,180.0,,0.0,Neutral
2015-07-29,182.0,,0.0,Neutral
2015-08-16,182.0,,0.0,Neutral
2015-08-20,176.0,,0.0,Neutral
2015-08-24,176.0,,0.0,Neutral
2015-08-25,159.0,,0.0,Neutral
2015-08-26,166.0,,0.0,Neutral
2015-08-27,171.0,,0.0,Neutral
2015-08-31,172.0,,0.0,Neutral
2015-09-01,172.0,,0.0,Neutral
2015-09-02,166.0,,0.0,Neutral
2015-09-06,161.0,,0.0,Neutral
2015-09-07,161.0,,0.0,Neutral
2015-09-08,164.0,,0.0,Neutral
2015-09-09,171.0,,0.0,Neutral
2015-09-14,171.0,,0.0,Neutral
2015-09-15,174.0,,0.0,Neutral
2015-09-17,190.0,,0.0,Neutral
2015-09-22,188.0,,0.0,Neutral
2015-09-23,189.0,,0.0,Neutral
2015-09-24,183.0,,0.0,Neutral
2015-10-01,183.0,,0.0,Neutral
2015-10-06,180.0,,0.0,Neutral
2015-10-08,174.0,2015-10-08,0.7120530605316162,Strongly Positive
2015-10-15,168.0,,0.0,Neutral
