Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-11-16,0.0,314.0,314.0,314.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-11-20,314.0,308.0,308.0,308.0,50.0,0.0,0.0,0.0,0.0,-0.47863247863250535,-0.09572649572650108,0.0,,0.0,Neutral
2011-11-28,308.0,293.0,293.0,293.0,110.0,0.0,0.0,0.0,0.0,-2.044756130226233,-0.48553242262644747,0.0,,0.0,Neutral
2011-12-01,293.0,288.0,273.0,273.0,180.0,0.0,0.0,0.0,0.0,-4.843915616458048,-1.3572090613927676,0.0,2011-12-01,0.916470229625702,Strongly Positive
2012-01-18,273.0,268.0,263.0,263.0,180.0,290.2,0.0,0.0,0.0,-7.77950876816152,-2.641669002746518,0.0,,0.0,Neutral
2012-04-01,263.0,258.0,258.0,258.0,170.0,279.0,0.0,0.0,0.0,-10.389679940941562,-4.191271190385526,0.0,,0.0,Neutral
2012-04-30,258.0,253.0,248.0,248.0,270.0,267.0,0.0,0.0,0.0,-13.11400573225427,-5.975818098759275,0.0,,0.0,Neutral
2012-05-07,248.0,244.0,244.0,244.0,20.0,257.2,0.0,0.0,0.0,-15.418089976362523,-7.864272474279924,0.0,,0.0,Neutral
2012-05-20,244.0,232.0,232.0,232.0,1240.0,249.0,0.0,0.0,0.0,-18.00484441289899,-9.892386862003738,0.0,,0.0,Neutral
2012-05-29,232.0,225.0,225.0,225.0,1240.0,241.4,265.8,0.0,0.0,-20.384725018015615,-11.990854493206115,30.84657373374084,,0.0,Neutral
2012-07-10,225.0,214.0,214.0,214.0,50.0,232.6,255.8,0.0,0.0,-22.894492158571154,-14.171582026279124,29.67153518104512,,0.0,Neutral
2012-07-12,214.0,204.0,204.0,204.0,50.0,223.8,245.4,0.0,0.0,-25.397648839535492,-16.416795388930396,27.488179277645823,,0.0,Neutral
2012-07-16,204.0,200.0,200.0,200.0,70.0,215.0,236.1,0.0,0.0,-27.388467904797807,-18.61112989210388,25.234236003229082,,0.0,Neutral
2012-07-17,200.0,196.0,196.0,196.0,270.0,207.8,228.4,0.0,0.0,-28.95519545843868,-20.679943005370838,24.459490319028774,,0.0,Neutral
2012-07-26,196.0,193.0,193.0,193.0,20.0,201.4,221.4,0.0,0.0,-30.092031057918632,-22.562360615880397,23.453026338714583,,0.0,Neutral
2012-08-12,193.0,190.0,190.0,190.0,500.0,196.6,214.6,0.0,0.0,-30.879101330355468,-24.22570875877541,21.433100050570683,,0.0,Neutral
2012-08-19,190.0,181.0,181.0,181.0,1320.0,192.0,207.9,0.0,0.0,-31.861801955992803,-25.752927398218894,20.27286089551458,,0.0,Neutral
2012-08-26,181.0,172.0,172.0,172.0,110.0,186.4,200.7,0.0,0.0,-32.986575358346926,-27.199656990244502,18.756036065461277,,0.0,Neutral
2012-09-09,172.0,169.0,155.0,155.0,60.0,178.2,193.0,0.0,0.0,-34.8480180484153,-28.729329201878663,20.226495275037298,,0.0,Neutral
2012-09-25,155.0,152.0,147.0,147.0,30.0,169.0,185.2,225.5,0.0,-36.54746154578035,-30.292955670659,21.51381984781965,,0.0,Neutral
2012-09-26,147.0,145.0,143.0,143.0,70.0,159.6,178.1,216.95,0.0,-37.78152740216859,-31.79067001696092,22.639444437627834,,0.0,Neutral
2012-10-02,137.0,135.0,124.0,124.0,200.0,148.2,170.1,207.75,0.0,-39.833498914698765,-33.39923579650849,26.30779352207236,,0.0,Neutral
2012-10-03,124.0,122.0,112.0,112.0,4850.0,136.2,161.3,198.7,0.0,-41.94449085283841,-35.108286807774476,29.694930356693547,,0.0,Neutral
2012-10-04,112.0,113.0,106.0,111.0,4670.0,127.4,152.8,190.6,0.0,-43.20017409949665,-36.72666426611892,30.80331872452114,,0.0,Neutral
2012-10-07,111.0,113.0,106.0,112.0,3980.0,120.4,144.7,183.05,0.9615384614090203,-43.611889758850026,-38.10370936466514,29.68744590638329,,0.0,Neutral
2012-10-08,112.0,114.0,110.0,114.0,2710.0,114.6,137.1,175.85,3.124999999544258,-43.27791325539354,-39.13855014281082,26.34155989644058,,0.0,Neutral
2012-10-09,114.0,113.0,111.0,112.0,2770.0,112.2,130.2,169.05,3.1914893612268003,-42.68259931957556,-39.84735997816377,22.290007726432773,,0.0,Neutral
2012-10-10,112.0,114.0,112.0,112.0,390.0,112.2,124.2,162.45,3.333333332814803,-41.72977387903924,-40.22384275833887,17.30638931467505,,0.0,Neutral
2012-10-11,112.0,114.0,114.0,114.0,50.0,112.8,120.1,156.55,5.6179775272061505,-40.34816108227676,-40.24870642312645,13.674388062684056,,0.0,Neutral
2012-10-14,114.0,113.0,111.0,111.0,2020.0,112.6,116.5,150.85,5.6179775272061505,-39.0452090496876,-40.00800694843868,10.069204977994827,,0.0,Neutral
