Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-20,555.0,560.0,560.0,560.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-03-24,570.0,565.0,560.0,561.0,640.0,0.0,0.0,0.0,0.0,0.07977207977216949,0.0159544159544339,0.0,,0.0,Neutral
2011-03-25,561.0,561.0,543.0,543.0,961.0,0.0,0.0,0.0,0.0,-1.2945349469564462,-0.24614345662774215,0.0,,0.0,Neutral
2011-03-27,543.0,540.0,535.0,535.0,245.0,0.0,0.0,0.0,0.0,-2.9946953246277417,-0.7958538302277421,0.0,,0.0,Neutral
2011-03-28,535.0,539.0,510.0,510.0,687.0,541.8,0.0,0.0,0.0,-6.286904220813085,-1.894063908344811,0.0,,0.0,Neutral
2011-03-29,510.0,510.0,491.0,491.0,311.0,528.0,0.0,0.0,0.0,-10.31029404864114,-3.5773099364040766,0.0,,0.0,Neutral
2011-03-30,491.0,510.0,500.0,505.0,532.0,516.8,0.0,0.0,0.0,-12.228217200943732,-5.307491389312007,0.0,,0.0,Neutral
2011-03-31,505.0,530.0,505.0,530.0,318.0,514.2,0.0,0.0,0.0,-11.597208648463493,-6.565434841142305,0.0,,0.0,Neutral
2011-04-04,530.0,539.0,529.0,530.0,872.0,513.2,0.0,0.0,0.0,-10.97066680650937,-7.446481234215719,0.0,,0.0,Neutral
2011-04-05,530.0,534.0,530.0,530.0,207.0,517.2,529.5,0.0,0.0,-10.354764602055184,-8.028137907783613,22.604080260971536,,0.0,Neutral
2011-04-06,530.0,531.0,520.0,520.0,876.0,523.0,525.5,0.0,0.0,-10.5519379221887,-8.53289791066463,19.99583289921507,,0.0,Neutral
2011-04-07,520.0,531.0,521.0,531.0,20.0,528.2,522.5,0.0,0.0,-9.7086755613567,-8.768053440803044,15.911211979816782,,0.0,Neutral
2011-04-10,531.0,535.0,535.0,535.0,66.0,529.2,521.7,0.0,0.0,-8.618271426102524,-8.73809703786294,14.937276265177019,,0.0,Neutral
2011-04-11,535.0,531.0,526.0,527.0,500.0,528.6,520.9,0.0,0.0,-8.303928910719833,-8.651263412434318,14.348441649802119,,0.0,Neutral
2011-04-13,527.0,525.0,525.0,525.0,267.0,527.6,522.4,0.0,37.93103447909632,-8.122561653246521,-8.545523060596759,13.858010118499802,,0.0,Neutral
2011-04-17,525.0,540.0,530.0,535.0,156.0,530.6,526.8,0.0,41.55844155466352,-7.090179196214876,-8.254454287720382,8.866917289690965,,0.0,Neutral
2011-04-18,535.0,535.0,535.0,535.0,153.0,531.4,529.8,0.0,47.05882352456747,-6.200532778925435,-7.843669985961393,4.825856285560815,,0.0,Neutral
2011-04-19,535.0,536.0,535.0,535.0,73.0,531.4,530.3,0.0,49.99999999453125,-5.432855012913251,-7.3615069913517654,5.100108931298329,,0.0,Neutral
2011-04-20,535.0,535.0,525.0,530.0,766.0,532.0,530.3,0.0,59.259259251577504,-5.16834559495021,-6.922874712071455,5.100108931298329,,0.0,Neutral
2011-04-21,530.0,525.0,505.0,509.0,981.0,528.8,528.2,528.85,58.18181817441322,-6.577424021390016,-6.853784573935168,8.456424250894061,,0.0,Neutral
2011-04-25,509.0,500.0,485.0,485.0,581.0,518.8,524.7,525.1,41.66666666180556,-9.52097636094959,-7.387222931338053,16.05580545749379,,0.0,Neutral
2011-04-27,485.0,499.0,490.0,499.0,255.0,511.6,521.5,522.0,35.7798165091659,-10.601868064468249,-8.030151957964092,17.759191673296606,,0.0,Neutral
2011-04-28,499.0,501.0,482.0,485.0,840.0,501.6,516.5,519.1,31.707317069561768,-12.444710646262479,-8.91306369562377,20.381091454799165,,0.0,Neutral
2011-05-02,485.0,480.0,478.0,478.0,134.0,491.2,511.6,516.25,29.999999996769233,-14.305117675915938,-9.991474491682204,23.262750386735323,,0.0,Neutral
2011-05-03,478.0,495.0,475.0,486.0,613.0,486.6,507.7,515.05,36.718749995983885,-14.961503608824898,-10.985480315110744,24.02336825306188,,0.0,Neutral
2011-05-04,486.0,495.0,486.0,495.0,211.0,488.6,503.7,515.25,35.714285710317455,-14.587315908296773,-11.705847433747952,22.236356616036613,,0.0,Neutral
2011-05-05,495.0,502.0,488.0,488.0,838.0,486.4,499.0,514.4,31.7829457329848,-14.686316246535,-12.30194119630536,19.708993998792646,,0.0,Neutral
2011-05-08,488.0,490.0,480.0,480.0,1262.0,485.4,493.5,511.9,31.7829457329848,-15.234691824966262,-12.888491322037542,15.841226102939293,,0.0,Neutral
2011-05-09,480.0,489.0,489.0,489.0,86.0,487.6,489.4,509.85,36.764705878568336,-14.772767371315922,-13.265346531893218,9.299940262651704,2011-05-09,0.8956767320632935,Strongly Positive
2011-05-10,489.0,495.0,486.0,495.0,619.0,489.4,488.0,508.1,34.848484844788786,-13.76387764413903,-13.365052754342381,6.716480559870084,,0.0,Neutral
2011-05-12,495.0,501.0,497.0,497.0,121.0,489.8,489.2,506.95,35.82089551864557,-12.657039508668333,-13.223450105207572,7.177124153246368,,0.0,Neutral
2011-05-16,497.0,506.0,497.0,506.0,52.0,493.4,489.9,505.7,39.86013985623747,-10.927670148870277,-12.764294113940114,8.464960458003125,,0.0,Neutral
2011-05-18,506.0,510.0,510.0,510.0,138.0,499.4,492.4,504.45,42.957746474637965,-9.129130962146803,-12.037261483581453,10.340857475728649,,0.0,Neutral
2011-05-19,510.0,510.0,500.0,500.0,1365.0,501.6,494.6,503.1,46.5648854912068,-8.413704180957211,-11.312550023056605,9.215928240461299,,0.0,Neutral
2011-05-22,500.0,495.0,491.0,492.0,117.0,501.0,495.2,501.45,53.0434782544121,-8.395478592492907,-10.729135736943867,8.778762251403395,,0.0,Neutral
2011-05-23,492.0,501.0,491.0,491.0,496.0,499.8,494.8,499.25,46.07843136622453,-8.365296395348594,-10.256367868624812,8.879439421745221,,0.0,Neutral
2011-05-24,491.0,500.0,500.0,500.0,156.0,498.6,496.0,497.5,57.73195875455415,-7.528369643792757,-9.710768223658402,8.666666666666561,,0.0,Neutral
2011-05-25,500.0,507.0,475.0,507.0,4677.0,498.0,498.7,496.1,64.94845359887341,-6.228459856747122,-9.014306550276146,7.211872926716634,,0.0,Neutral
2011-05-30,507.0,500.0,497.0,500.0,252.0,498.0,499.8,494.6,57.29166665831163,-5.697436976791209,-8.35093263557916,6.356099432828034,,0.0,Neutral
2011-05-31,500.0,500.0,475.0,475.0,3319.0,494.6,497.8,492.9,41.07142856629464,-7.210767347460546,-8.122899577955437,10.086294331087645,,0.0,Neutral
2011-06-01,475.0,493.0,475.0,484.0,1360.0,493.2,496.5,492.85,48.245614029162816,-7.596302340464092,-8.017580130457167,10.99747445754898,,0.0,Neutral
2011-06-02,484.0,490.0,481.0,481.0,140.0,489.4,494.0,491.95,50.45871558984934,-8.051108362441653,-8.024285776854065,11.430952132988095,,0.0,Neutral
2011-06-05,481.0,490.0,485.0,490.0,372.0,486.0,492.0,492.2,50.45871558984934,-7.5977386262423465,-7.938976346731722,9.977753031397123,,0.0,Neutral
2011-06-06,490.0,485.0,482.0,482.0,208.0,482.4,490.2,492.4,44.144144138576415,-7.794127139177419,-7.910006505220862,9.997777530809284,,0.0,Neutral
2011-06-07,482.0,474.0,463.0,470.0,311.0,481.4,488.0,491.6,38.84297520211734,-8.816435778779805,-8.091292359932652,11.81336343111291,,0.0,Neutral
2011-06-08,470.0,479.0,470.0,479.0,459.0,480.4,486.8,490.8,38.84297520211734,-8.79896892059054,-8.23282767206423,12.08120670941261,,0.0,Neutral
2011-06-09,479.0,470.0,461.0,461.0,68.0,476.4,482.9,489.45,31.85185184854869,-10.120908345990983,-8.610443806849581,13.551957628164201,,0.0,Neutral
2011-06-13,461.0,454.0,454.0,454.0,17.0,469.2,477.6,488.15,32.57575757230258,-11.599682444569794,-9.208291534393624,13.442883288607243,,0.0,Neutral
2011-06-15,454.0,454.0,409.0,409.0,616.0,454.6,468.5,484.15,25.443786980140757,-16.21581961645279,-10.609797150805457,23.57611785967617,,0.0,Neutral
2011-06-16,409.0,401.0,400.0,400.0,714.0,440.6,461.0,479.4,24.29378530881293,-20.365604356629376,-12.560958591970241,31.78049716414158,,0.0,Neutral
2011-06-23,400.0,436.0,420.0,436.0,500.0,432.0,456.2,476.35,34.313725487841225,-20.512978676065416,-14.151362608789277,31.54467731118325,,0.0,Neutral
2011-06-26,436.0,479.0,444.0,479.0,1755.0,435.6,456.0,475.0,44.16666666409028,-16.9644773174918,-14.713985550529781,31.375857668667113,,0.0,Neutral
2011-06-27,479.0,471.0,453.0,455.0,529.0,435.8,452.5,472.25,41.245136184523616,-15.905514973110826,-14.952291435045991,29.02585054740022,,0.0,Neutral
2011-06-29,455.0,455.0,440.0,440.0,673.0,442.0,448.3,469.25,42.91497975465259,-16.091165387363787,-15.180066225509552,27.26841885160711,,0.0,Neutral
2011-06-30,440.0,456.0,448.0,456.0,204.0,453.2,446.9,467.45,44.488188973925844,-14.77688961064041,-15.099430902535726,26.375283042188787,,0.0,Neutral
2011-07-03,456.0,490.0,465.0,490.0,1756.0,464.0,448.0,467.4,51.578947365887345,-10.866538052117676,-14.252852332452116,28.039654459751063,,0.0,Neutral
2011-07-04,490.0,500.0,487.0,500.0,2397.0,468.2,451.9,467.4,51.74825174571862,-6.881316311940395,-12.778545128349773,32.41895878785904,,0.0,Neutral
2011-07-05,500.0,520.0,500.0,511.0,1960.0,479.4,457.6,467.6,55.01730103539709,-2.8030791501270187,-10.783451932705223,37.449818275779386,,0.0,Neutral
2011-07-06,511.0,540.0,510.0,522.0,3733.0,495.8,468.9,468.7,59.02777777490837,1.3015577048564069,-8.366450005192897,38.196713063939065,,0.0,Neutral
2011-07-10,522.0,525.0,515.0,516.0,962.0,507.8,480.5,470.75,56.49122806740043,4.023976235628595,-5.888364757028599,32.07023542164912,,0.0,Neutral
2011-07-11,516.0,517.0,506.0,516.0,2446.0,513.0,488.5,472.35,60.29962546500302,6.111067947935794,-3.4884782160357206,29.620750984552753,,0.0,Neutral
2011-07-12,516.0,530.0,516.0,530.0,640.0,519.0,493.6,474.8,63.86861313542277,8.793421079254188,-1.032098356977739,32.09084327689463,,0.0,Neutral
2011-07-13,530.0,561.0,540.0,540.0,1400.0,524.8,502.1,477.3,77.40585773605153,11.592490671264272,1.4928194486706632,31.98767123613562,,0.0,Neutral
2011-07-14,540.0,579.0,550.0,565.0,1858.0,533.4,514.6,481.45,82.35294117194925,15.647687751371734,4.323793109210878,29.33787843575419,,0.0,Neutral
2011-07-17,565.0,587.0,576.0,587.0,717.0,547.6,527.7,487.3,81.32780082515109,20.40150098790747,7.539334684950196,29.51101489274762,,0.0,Neutral
2011-07-18,587.0,645.0,598.0,609.0,2197.0,566.2,539.6,493.8,79.54545454039257,25.648488555131678,11.161165458986492,35.91718870463569,,0.0,Neutral
2011-07-19,609.0,630.0,612.0,615.0,4001.0,583.2,551.1,501.5,89.60396038982942,29.9457182610181,14.918076019392814,40.0068049767087,,0.0,Neutral
2011-07-20,615.0,620.0,615.0,620.0,1024.0,599.2,562.0,509.8,96.8749999929362,33.37009232390892,18.608479280296038,42.63019274332789,,0.0,Neutral
2011-07-21,620.0,632.0,605.0,605.0,3322.0,607.2,570.3,519.6,89.0052355955703,34.47613932675608,21.78201128958805,42.05300887636344,2011-07-21,0.8961108922958374,Strongly Positive
2011-07-24,605.0,610.0,572.0,572.0,922.0,604.2,575.9,528.2,71.57894736314681,32.317331259735965,23.889075283617633,37.50096295059855,,0.0,Neutral
2011-07-26,572.0,570.0,565.0,565.0,690.0,595.4,580.8,534.65,67.37967913934057,29.69926418432442,25.05111306375899,31.530584799171063,,0.0,Neutral
2011-07-27,565.0,595.0,557.0,595.0,3366.0,591.4,587.3,540.45,70.38834950977943,29.702781271288814,25.981446705264958,26.132355423878938,,0.0,Neutral
2011-07-28,595.0,602.0,588.0,588.0,250.0,585.0,592.1,547.1,66.33663365876875,28.808639031488383,26.546885170509647,20.21797879775816,,0.0,Neutral
2011-07-31,588.0,588.0,579.0,579.0,401.0,579.8,593.5,554.05,65.36585365407257,27.061847942966892,26.649877725001097,18.548734607931788,,0.0,Neutral
2011-08-01,579.0,568.0,568.0,568.0,156.0,579.0,591.6,559.65,62.03703703301612,24.507389421271,26.22138006425508,20.18910597327014,,0.0,Neutral
2011-08-02,568.0,565.0,557.0,557.0,461.0,577.4,586.4,563.0,56.338028165311115,21.349253663004674,25.246954784005002,21.838803386020686,,0.0,Neutral
2011-08-03,557.0,553.0,548.0,548.0,756.0,568.0,579.7,565.4,51.8867924494037,17.91368571948533,23.78030097110107,22.360928225613794,,0.0,Neutral
