Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-20,1779.0,1770.0,1770.0,1770.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-03-24,1785.0,1760.0,1700.0,1700.0,1140.0,0.0,0.0,0.0,0.0,-5.584045584045725,-1.1168091168091452,0.0,,0.0,Neutral
2011-03-25,1700.0,1734.0,1676.0,1734.0,1252.0,0.0,0.0,0.0,0.0,-7.183123513607825,-2.3300719961688814,0.0,,0.0,Neutral
2011-03-27,1734.0,1714.0,1690.0,1690.0,157.0,0.0,0.0,0.0,0.0,-11.86407489986209,-4.236872576907523,0.0,,0.0,Neutral
2011-03-28,1690.0,1680.0,1627.0,1627.0,270.0,1704.2,0.0,0.0,0.0,-20.42192484749853,-7.473883031025725,0.0,,0.0,Neutral
2011-03-29,1627.0,1625.0,1568.0,1570.0,1150.0,1664.2,0.0,0.0,0.0,-31.441073098809056,-12.267321044582392,0.0,,0.0,Neutral
2011-03-30,1570.0,1581.0,1521.0,1581.0,743.0,1640.4,0.0,0.0,0.0,-38.838513203410685,-17.58155947634805,0.0,,0.0,Neutral
2011-03-31,1581.0,1683.0,1552.0,1622.0,1040.0,1618.0,0.0,0.0,0.0,-40.92096897535339,-22.24944137614912,0.0,,0.0,Neutral
2011-04-04,1622.0,1645.0,1625.0,1630.0,504.0,1606.0,0.0,0.0,0.0,-41.44801017587429,-26.089155136094156,0.0,,0.0,Neutral
2011-04-05,1630.0,1626.0,1570.0,1601.0,969.0,1600.8,1652.5,0.0,0.0,-43.70198251046031,-29.61172061096739,67.30403653075601,,0.0,Neutral
2011-04-06,1601.0,1610.0,1585.0,1610.0,328.0,1608.8,1636.5,0.0,0.0,-44.251938242566894,-32.53976413728729,53.96346500694299,,0.0,Neutral
2011-04-07,1610.0,1661.0,1630.0,1635.0,263.0,1619.6,1630.0,0.0,0.0,-42.18421765384596,-34.46865484059903,49.16638417997949,,0.0,Neutral
2011-04-10,1635.0,1635.0,1620.0,1625.0,325.0,1620.2,1619.1,0.0,0.0,-40.88119761819485,-35.751163396118194,32.95940263752099,,0.0,Neutral
2011-04-11,1625.0,1646.0,1605.0,1640.0,1891.0,1622.2,1614.1,0.0,0.0,-38.19784918435744,-36.24050055376604,23.421025691554302,,0.0,Neutral
2011-04-13,1640.0,1730.0,1610.0,1730.0,233.0,1648.0,1624.4,0.0,46.047430828765485,-28.480720363723094,-34.68854451575746,43.64299612894509,,0.0,Neutral
2011-04-17,1730.0,1696.0,1695.0,1696.0,284.0,1665.2,1637.0,0.0,49.5744680836297,-23.255269346260548,-32.40188948185808,44.37466744789327,,0.0,Neutral
2011-04-18,1696.0,1695.0,1653.0,1655.0,274.0,1669.2,1644.4,0.0,41.71907756690971,-22.166892972507412,-30.354890179987947,39.9477436436932,,0.0,Neutral
