Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2013-06-19,0.0,153.0,153.0,153.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2013-06-20,153.0,168.0,156.0,168.0,314.0,0.0,0.0,0.0,0.0,1.1965811965812065,0.23931623931624132,0.0,,0.0,Neutral
2013-06-23,168.0,184.0,171.0,184.0,1886.0,0.0,0.0,0.0,0.0,3.396790610465871,0.8708111135461674,0.0,,0.0,Neutral
2013-06-24,184.0,202.0,187.0,202.0,1552.0,0.0,0.0,0.0,0.0,6.517788976210596,2.0002066860790535,0.0,,0.0,Neutral
2013-06-25,202.0,222.0,192.0,212.0,2375.0,183.8,0.0,0.0,0.0,9.686459616310202,3.537457272125283,0.0,,0.0,Neutral
2013-06-26,212.0,222.0,222.0,222.0,10.0,197.6,0.0,0.0,0.0,12.856370122185297,5.4012398421372865,0.0,,0.0,Neutral
2013-06-27,222.0,218.0,200.0,200.0,1314.0,204.0,0.0,0.0,0.0,13.438421143914354,7.0086761024927,0.0,,0.0,Neutral
2013-06-30,200.0,196.0,182.0,182.0,438.0,203.6,0.0,0.0,0.0,12.305402187788502,8.06802131955186,0.0,,0.0,Neutral
2013-07-01,182.0,182.0,179.0,180.0,275.0,199.2,0.0,0.0,0.0,11.117932610336226,8.678003577708735,0.0,,0.0,Neutral
2013-07-02,180.0,189.0,183.0,185.0,212.0,193.8,188.8,0.0,0.0,10.45973926492104,9.034350715151197,20.59018104717769,,0.0,Neutral
2013-07-03,185.0,186.0,180.0,186.0,195.0,186.6,192.1,0.0,0.0,9.904633489853097,9.208407270091577,16.441478711546047,,0.0,Neutral
2013-07-04,186.0,186.0,183.0,186.0,356.0,183.8,193.9,0.0,0.0,9.356848241696127,9.238095464412488,14.363920851293418,,0.0,Neutral
2013-07-07,186.0,204.0,189.0,204.0,477.0,188.2,195.9,0.0,0.0,10.256938451924185,9.441864061914828,14.22400162479679,,0.0,Neutral
2013-07-08,204.0,208.0,200.0,204.0,247.0,193.0,196.1,0.0,0.0,10.84524914709516,9.722541078950895,14.33294573119332,,0.0,Neutral
2013-07-09,204.0,212.0,206.0,212.0,441.0,198.4,196.1,0.0,70.62937062245587,11.820760385225185,10.142184940205754,14.33294573119332,,0.0,Neutral
2013-07-10,212.0,215.0,210.0,212.0,505.0,203.6,195.1,0.0,67.18749999265137,12.450340296749005,10.603816011514404,12.564942410444122,,0.0,Neutral
2013-07-11,212.0,233.0,208.0,233.0,887.0,213.0,198.4,0.0,68.42105262437673,14.476930366498436,11.378438882511212,17.398595090153417,,0.0,Neutral
2013-07-14,233.0,236.0,232.0,232.0,404.0,218.6,203.4,0.0,62.93103447516349,15.819963265971637,12.266743759203298,19.24808792812648,,0.0,Neutral
2013-07-15,232.0,244.0,232.0,239.0,386.0,225.6,209.3,0.0,61.94690264719241,17.25031709586125,13.26345842653489,20.29258211487361,,0.0,Neutral
2013-07-16,239.0,247.0,235.0,247.0,666.0,232.6,215.5,202.15,61.261261253534606,18.812556511348987,14.37327804349771,21.479964825131542,,0.0,Neutral
2013-07-17,247.0,268.0,249.0,268.0,1245.0,243.8,223.7,207.9,80.90909089879338,21.497358828197235,15.798094200437616,24.417889616699735,,0.0,Neutral
2013-07-21,268.0,280.0,250.0,280.0,188.0,253.2,233.1,213.5,97.1153846023114,24.31311723794221,17.501098807938533,26.312016688620083,,0.0,Neutral
2013-07-22,280.0,285.0,270.0,285.0,743.0,263.8,241.2,218.55,99.06542054778583,26.640983601839878,19.329075766718802,28.716236212676304,,0.0,Neutral
2013-07-23,285.0,300.0,285.0,300.0,192.0,276.0,250.8,223.45,99.1452991334356,29.357790768975235,21.334818767170088,30.864578763077624,,0.0,Neutral
2013-07-24,300.0,294.0,290.0,290.0,118.0,284.6,258.6,227.35,91.26984125970017,30.354060876913422,23.138667189118756,29.80753074122191,,0.0,Neutral
2013-07-25,290.0,300.0,290.0,295.0,584.0,290.0,266.9,231.0,91.60305342532486,31.18755955547573,24.748445662390154,26.79324127047303,,0.0,Neutral
2013-07-28,295.0,300.0,295.0,296.0,90.0,293.2,273.2,235.8,90.35087718188673,31.564943881352434,26.111745306182613,25.30173467922269,,0.0,Neutral
2013-07-29,296.0,306.0,298.0,304.0,1607.0,297.0,280.4,241.9,90.9836065469363,32.139077539730465,27.317211752892185,22.346762131856625,,0.0,Neutral
2013-07-30,304.0,310.0,298.0,305.0,950.0,298.0,287.0,248.15,90.4347825976862,32.302412143420014,28.31425183099775,18.104634152000497,,0.0,Neutral
2013-07-31,305.0,307.0,307.0,307.0,18.0,301.4,293.0,254.25,90.59829058744978,32.221806352653516,29.095762735328904,12.42756792153842,,0.0,Neutral
2013-08-01,307.0,310.0,304.0,304.0,108.0,303.2,296.6,260.15,85.85858584644424,31.552137355868865,29.5870376594369,9.167575712501732,,0.0,Neutral
2013-08-04,304.0,305.0,301.0,301.0,106.0,304.2,298.7,265.9,84.15841582991864,30.428583157751348,29.75534675909979,7.118832613412496,,0.0,Neutral
2013-08-05,301.0,307.0,301.0,301.0,170.0,303.6,300.3,270.75,82.97872339189678,29.201541171673455,29.644585641614526,5.250396810401521,,0.0,Neutral
2013-08-06,301.0,300.0,295.0,300.0,530.0,302.6,300.3,275.55,80.45977010199498,27.82763031452788,29.281194576197198,5.250396810401521,,0.0,Neutral
2013-08-07,300.0,300.0,298.0,298.0,30.0,300.8,301.1,279.85,72.05882351457612,26.274536277567393,28.67986291647124,3.9567101935273756,,0.0,Neutral
2013-08-08,298.0,303.0,300.0,303.0,277.0,300.6,301.9,284.4,68.85245900059124,25.157160194164476,27.97532237200989,3.3482997343605727,,0.0,Neutral
2013-08-11,303.0,298.0,298.0,298.0,48.0,300.0,302.1,287.65,60.65573769099704,23.596171408658904,27.0994921793397,2.9981475762371814,,0.0,Neutral
2013-08-12,298.0,309.0,296.0,296.0,476.0,299.0,301.3,290.85,45.83333331996528,21.944728099118493,26.068539363295457,3.4657049948198058,,0.0,Neutral
2013-08-13,296.0,310.0,300.0,305.0,236.0,300.0,301.3,294.15,65.95744678886373,21.118728604759326,25.078577211588232,3.4657049948198058,,0.0,Neutral
