Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2012-08-22,0.0,180.0,177.0,179.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2012-10-31,179.0,171.0,165.0,165.0,40.0,0.0,0.0,0.0,0.0,-1.1168091168091223,-0.22336182336182447,0.0,,0.0,Neutral
2012-11-01,165.0,162.0,153.0,153.0,80.0,0.0,0.0,0.0,0.0,-2.936339802436663,-0.7659574191767923,0.0,,0.0,Neutral
2012-11-04,153.0,150.0,143.0,143.0,80.0,0.0,0.0,0.0,0.0,-5.126156267786598,-1.6379971888987535,0.0,,0.0,Neutral
2012-11-25,143.0,136.0,134.0,134.0,40.0,154.8,0.0,0.0,0.0,-7.501355421348109,-2.8106688353886247,0.0,,0.0,Neutral
2012-11-28,134.0,128.0,124.0,124.0,60.0,143.8,0.0,0.0,0.0,-10.074501704949341,-4.263435409300769,0.0,,0.0,Neutral
2012-12-02,124.0,122.0,122.0,122.0,10.0,135.2,0.0,0.0,0.0,-12.135234528796985,-5.837795233200012,0.0,,0.0,Neutral
2012-12-04,122.0,120.0,120.0,120.0,20.0,128.6,0.0,0.0,0.0,-13.771019681056003,-7.424440122771211,0.0,,0.0,Neutral
2012-12-05,120.0,118.0,110.0,110.0,2000.0,122.0,0.0,0.0,0.0,-15.693403835320993,-9.078232865281167,0.0,,0.0,Neutral
2012-12-06,110.0,111.0,102.0,108.0,9975.0,116.8,135.8,0.0,0.0,-17.180247217319817,-10.698635735688898,23.77580469487603,,0.0,Neutral
2012-12-09,108.0,109.0,102.0,108.0,4489.0,113.6,128.7,0.0,0.0,-18.149366707862242,-12.188781930123566,19.692356103038794,,0.0,Neutral
2012-12-10,108.0,106.0,103.0,104.0,5930.0,110.0,122.6,0.0,0.0,-19.020906289251755,-13.555206801949204,16.365274889907056,,0.0,Neutral
