Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2013-03-03,171.0,2013-03-03,0.8457295894622803,Strongly Positive
2013-03-04,168.0,2013-03-04,0.4041742086410522,Positive
2013-03-05,167.0,,0.0,Neutral
2013-03-06,170.0,,0.0,Neutral
2013-03-07,168.0,,0.0,Neutral
2013-03-11,170.0,,0.0,Neutral
2013-03-13,170.0,,0.0,Neutral
2013-03-14,170.0,,0.0,Neutral
2013-03-17,170.0,,0.0,Neutral
2013-03-18,166.0,,0.0,Neutral
2013-03-19,164.0,,0.0,Neutral
2013-03-20,162.0,,0.0,Neutral
2013-03-21,162.0,2013-03-21,0.5555247068405151,Positive
2013-03-24,158.0,,0.0,Neutral
2013-03-25,160.0,,0.0,Neutral
2013-03-27,160.0,,0.0,Neutral
2013-03-28,159.0,,0.0,Neutral
2013-03-31,156.0,,0.0,Neutral
2013-04-01,158.0,,0.0,Neutral
2013-04-02,158.0,,0.0,Neutral
2013-04-03,157.0,,0.0,Neutral
2013-04-04,158.0,,0.0,Neutral
2013-04-07,159.0,,0.0,Neutral
2013-04-08,159.0,,0.0,Neutral
2013-04-09,160.0,2013-04-09,0.600966215133667,Strongly Positive
2013-04-11,161.0,,0.0,Neutral
2013-04-15,164.0,,0.0,Neutral
2013-04-16,161.0,,0.0,Neutral
2013-04-17,160.0,,0.0,Neutral
2013-04-18,157.0,,0.0,Neutral
2013-04-21,155.0,,0.0,Neutral
2013-04-22,157.0,,0.0,Neutral
2013-04-23,156.0,,0.0,Neutral
2013-04-25,156.0,,0.0,Neutral
2013-04-28,154.0,,0.0,Neutral
2013-04-29,155.0,,0.0,Neutral
2013-04-30,153.0,2013-04-30,-0.7902999520301819,Strongly Negative
2013-05-02,151.0,,0.0,Neutral
2013-05-05,151.0,,0.0,Neutral
2013-05-06,148.0,,0.0,Neutral
2013-05-07,152.0,,0.0,Neutral
2013-05-08,152.0,,0.0,Neutral
2013-05-09,151.0,,0.0,Neutral
2013-05-12,149.0,,0.0,Neutral
2013-05-13,152.0,,0.0,Neutral
2013-05-14,153.0,,0.0,Neutral
2013-05-15,153.0,,0.0,Neutral
2013-05-16,153.0,,0.0,Neutral
2013-05-19,150.0,,0.0,Neutral
2013-05-20,152.0,,0.0,Neutral
2013-05-21,152.0,,0.0,Neutral
2013-05-22,151.0,,0.0,Neutral
2013-05-23,150.0,,0.0,Neutral
2013-05-26,151.0,,0.0,Neutral
2013-05-27,153.0,,0.0,Neutral
2013-05-28,150.0,,0.0,Neutral
2013-05-30,150.0,,0.0,Neutral
2013-06-02,149.0,,0.0,Neutral
2013-06-03,149.0,,0.0,Neutral
2013-06-04,149.0,,0.0,Neutral
2013-06-05,150.0,,0.0,Neutral
2013-06-06,155.0,,0.0,Neutral
2013-06-09,150.0,,0.0,Neutral
2013-06-10,151.0,,0.0,Neutral
2013-06-11,149.0,,0.0,Neutral
2013-06-12,149.0,,0.0,Neutral
2013-06-13,149.0,,0.0,Neutral
2013-06-16,149.0,,0.0,Neutral
2013-06-17,148.0,,0.0,Neutral
2013-06-18,147.0,,0.0,Neutral
2013-06-19,145.0,,0.0,Neutral
2013-06-20,147.0,,0.0,Neutral
2013-06-23,145.0,,0.0,Neutral
2013-06-24,145.0,,0.0,Neutral
2013-06-25,148.0,,0.0,Neutral
2013-06-26,149.0,,0.0,Neutral
2013-06-27,147.0,,0.0,Neutral
2013-06-30,146.0,,0.0,Neutral
2013-07-01,144.0,,0.0,Neutral
2013-07-02,143.0,,0.0,Neutral
2013-07-03,144.0,,0.0,Neutral
2013-07-04,144.0,,0.0,Neutral
2013-07-07,148.0,,0.0,Neutral
2013-07-08,149.0,,0.0,Neutral
2013-07-09,149.0,,0.0,Neutral
2013-07-10,151.0,,0.0,Neutral
2013-07-11,149.0,,0.0,Neutral
2013-07-14,148.0,,0.0,Neutral
2013-07-15,149.0,,0.0,Neutral
2013-07-16,147.0,,0.0,Neutral
2013-07-17,147.0,,0.0,Neutral
2013-07-18,149.0,,0.0,Neutral
2013-07-21,152.0,,0.0,Neutral
2013-07-22,149.0,,0.0,Neutral
2013-07-23,149.0,,0.0,Neutral
2013-07-24,149.0,,0.0,Neutral
2013-07-25,147.0,,0.0,Neutral
2013-07-28,147.0,,0.0,Neutral
2013-07-29,146.0,,0.0,Neutral
2013-07-30,147.0,,0.0,Neutral
2013-07-31,147.0,,0.0,Neutral
2013-08-01,146.0,,0.0,Neutral
2013-08-04,146.0,,0.0,Neutral
2013-08-05,144.0,,0.0,Neutral
2013-08-06,144.0,,0.0,Neutral
2013-08-07,143.0,,0.0,Neutral
2013-08-08,148.0,2013-08-08,-0.1956082880496978,Slightly Negative
2013-08-11,147.0,,0.0,Neutral
2013-08-12,140.0,,0.0,Neutral
2013-08-13,142.0,,0.0,Neutral
2013-08-14,144.0,2013-08-14,0.8811707496643066,Strongly Positive
2013-08-15,144.0,,0.0,Neutral
2013-08-18,144.0,,0.0,Neutral
2013-08-19,144.0,,0.0,Neutral
2013-08-20,146.0,2013-08-20,0.8227313160896301,Strongly Positive
2013-08-25,145.0,,0.0,Neutral
2013-08-26,144.0,,0.0,Neutral
2013-08-27,146.0,,0.0,Neutral
2013-08-29,143.0,,0.0,Neutral
2013-09-01,143.0,,0.0,Neutral
2013-09-02,142.0,,0.0,Neutral
2013-09-03,141.0,,0.0,Neutral
2013-09-04,140.0,,0.0,Neutral
2013-09-05,140.0,,0.0,Neutral
2013-09-08,140.0,,0.0,Neutral
2013-09-09,141.0,,0.0,Neutral
2013-09-10,141.0,,0.0,Neutral
2013-09-11,138.0,,0.0,Neutral
2013-09-12,140.0,,0.0,Neutral
2013-09-15,141.0,,0.0,Neutral
2013-09-16,142.0,,0.0,Neutral
2013-09-17,141.0,2013-09-17,0.7338411808013916,Strongly Positive
2013-09-19,141.0,,0.0,Neutral
2013-09-22,139.0,,0.0,Neutral
2013-09-23,138.0,,0.0,Neutral
2013-09-24,140.0,,0.0,Neutral
2013-09-25,140.0,,0.0,Neutral
2013-09-26,139.0,,0.0,Neutral
2013-09-29,138.0,,0.0,Neutral
2013-09-30,138.0,,0.0,Neutral
2013-10-01,139.0,,0.0,Neutral
2013-10-02,139.0,,0.0,Neutral
2013-10-03,135.0,,0.0,Neutral
2013-10-06,136.0,,0.0,Neutral
2013-10-07,138.0,,0.0,Neutral
2014-05-05,151.0,,0.0,Neutral
2014-05-06,166.0,,0.0,Neutral
2014-05-07,181.0,,0.0,Neutral
2014-05-08,190.0,,0.0,Neutral
2014-05-11,209.0,2014-05-11,-0.4524093270301819,Negative
2014-05-12,229.0,2014-05-12,-0.0126076210290193,Neutral
2014-05-13,251.0,,0.0,Neutral
2014-05-15,257.0,,0.0,Neutral
2014-05-18,250.0,,0.0,Neutral
2014-05-19,252.0,,0.0,Neutral
2014-05-20,249.0,,0.0,Neutral
2014-05-21,250.0,,0.0,Neutral
2014-05-22,251.0,,0.0,Neutral
2014-05-25,259.0,,0.0,Neutral
2014-05-26,262.0,,0.0,Neutral
2014-05-27,264.0,,0.0,Neutral
2014-05-28,261.0,,0.0,Neutral
2014-06-01,265.0,,0.0,Neutral
2014-06-02,266.0,,0.0,Neutral
2014-06-03,272.0,,0.0,Neutral
2014-06-04,274.0,,0.0,Neutral
2014-06-05,271.0,,0.0,Neutral
2014-06-08,270.0,,0.0,Neutral
2014-06-09,268.0,,0.0,Neutral
2014-06-10,266.0,,0.0,Neutral
2014-06-11,274.0,,0.0,Neutral
2014-06-12,278.0,,0.0,Neutral
2014-06-15,294.0,,0.0,Neutral
2014-06-16,301.0,,0.0,Neutral
2014-06-17,300.0,,0.0,Neutral
2014-06-18,294.0,,0.0,Neutral
2014-06-19,294.0,,0.0,Neutral
2014-06-23,287.0,,0.0,Neutral
2014-06-24,293.0,,0.0,Neutral
2014-06-25,293.0,,0.0,Neutral
2014-06-26,296.0,,0.0,Neutral
2014-06-29,293.0,,0.0,Neutral
2014-06-30,294.0,,0.0,Neutral
2014-07-01,288.0,,0.0,Neutral
2014-07-02,294.0,,0.0,Neutral
2014-07-03,295.0,,0.0,Neutral
2014-07-06,317.0,,0.0,Neutral
2014-07-07,327.0,,0.0,Neutral
2014-07-08,328.0,,0.0,Neutral
2014-07-09,330.0,,0.0,Neutral
2014-07-10,332.0,,0.0,Neutral
2014-07-13,337.0,,0.0,Neutral
2014-07-14,333.0,,0.0,Neutral
2014-07-15,336.0,,0.0,Neutral
2014-07-16,330.0,,0.0,Neutral
2014-07-17,340.0,,0.0,Neutral
2014-07-20,348.0,,0.0,Neutral
2014-07-21,350.0,,0.0,Neutral
2014-07-22,343.0,,0.0,Neutral
2014-07-23,346.0,,0.0,Neutral
2014-07-24,345.0,,0.0,Neutral
2014-07-27,348.0,,0.0,Neutral
2014-07-28,354.0,,0.0,Neutral
2014-07-30,345.0,,0.0,Neutral
2014-07-31,355.0,,0.0,Neutral
2014-08-03,347.0,,0.0,Neutral
2014-08-04,343.0,,0.0,Neutral
2014-08-05,350.0,,0.0,Neutral
2014-08-06,345.0,,0.0,Neutral
2014-08-07,351.0,,0.0,Neutral
2014-08-12,334.0,,0.0,Neutral
2014-08-13,340.0,2014-08-13,0.8608149886131287,Strongly Positive
2014-08-14,338.0,,0.0,Neutral
2014-08-18,330.0,,0.0,Neutral
