Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2013-09-08,140.0,,0.0,Neutral
2013-09-10,136.0,,0.0,Neutral
2013-09-17,132.0,,0.0,Neutral
2013-09-19,130.0,,0.0,Neutral
2013-09-30,124.0,,0.0,Neutral
2013-10-01,118.0,,0.0,Neutral
2013-10-03,112.0,,0.0,Neutral
2013-10-17,110.0,,0.0,Neutral
2013-12-12,106.0,,0.0,Neutral
2013-12-18,104.0,,0.0,Neutral
2013-12-26,106.0,,0.0,Neutral
2013-12-29,108.0,,0.0,Neutral
2014-01-02,106.0,,0.0,Neutral
2014-01-12,110.0,,0.0,Neutral
2014-01-13,108.0,,0.0,Neutral
2014-01-16,108.0,,0.0,Neutral
2014-01-22,108.0,,0.0,Neutral
2014-01-23,110.0,,0.0,Neutral
2014-01-26,106.0,,0.0,Neutral
2014-02-03,108.0,,0.0,Neutral
2014-02-06,126.0,,0.0,Neutral
2014-02-09,124.0,,0.0,Neutral
2014-02-18,126.0,,0.0,Neutral
2014-02-20,124.0,,0.0,Neutral
2014-02-23,124.0,,0.0,Neutral
2014-02-24,130.0,,0.0,Neutral
2014-02-25,132.0,,0.0,Neutral
2014-02-26,130.0,,0.0,Neutral
2014-03-05,136.0,,0.0,Neutral
2014-03-06,136.0,,0.0,Neutral
2014-03-09,140.0,,0.0,Neutral
2014-03-10,148.0,,0.0,Neutral
2014-03-11,159.0,,0.0,Neutral
2014-03-12,159.0,,0.0,Neutral
2014-03-13,158.0,,0.0,Neutral
2014-03-17,157.0,,0.0,Neutral
2014-03-19,151.0,,0.0,Neutral
2014-03-20,140.0,,0.0,Neutral
2014-03-24,136.0,,0.0,Neutral
2014-03-25,136.0,,0.0,Neutral
2014-03-31,134.0,,0.0,Neutral
2014-04-01,130.0,,0.0,Neutral
2014-04-03,128.0,,0.0,Neutral
2014-04-09,122.0,,0.0,Neutral
2014-04-13,124.0,,0.0,Neutral
2014-04-15,126.0,,0.0,Neutral
2014-04-16,130.0,,0.0,Neutral
2014-04-17,124.0,,0.0,Neutral
2014-04-21,122.0,,0.0,Neutral
2014-04-23,124.0,,0.0,Neutral
2014-04-28,126.0,,0.0,Neutral
2014-05-05,128.0,,0.0,Neutral
2014-05-08,126.0,,0.0,Neutral
2014-05-18,128.0,,0.0,Neutral
2014-05-19,126.0,,0.0,Neutral
2014-05-22,128.0,,0.0,Neutral
2014-05-25,132.0,,0.0,Neutral
2014-05-28,136.0,,0.0,Neutral
2014-06-02,134.0,,0.0,Neutral
2014-06-03,136.0,,0.0,Neutral
2014-06-05,140.0,,0.0,Neutral
2014-06-10,142.0,,0.0,Neutral
2014-06-18,140.0,,0.0,Neutral
2014-06-26,140.0,,0.0,Neutral
2014-06-29,138.0,,0.0,Neutral
2014-06-30,140.0,,0.0,Neutral
2014-07-02,146.0,,0.0,Neutral
2014-07-03,148.0,,0.0,Neutral
2014-07-06,148.0,,0.0,Neutral
2014-07-07,159.0,,0.0,Neutral
2014-07-08,160.0,,0.0,Neutral
2014-07-09,157.0,,0.0,Neutral
2014-07-10,155.0,,0.0,Neutral
2014-07-13,161.0,,0.0,Neutral
2014-07-14,165.0,,0.0,Neutral
2014-07-15,162.0,,0.0,Neutral
2014-07-16,160.0,,0.0,Neutral
2014-07-17,163.0,,0.0,Neutral
2014-07-20,169.0,,0.0,Neutral
2014-07-23,177.0,,0.0,Neutral
2014-07-24,180.0,,0.0,Neutral
2014-07-27,198.0,,0.0,Neutral
2014-07-28,217.0,,0.0,Neutral
2014-07-30,238.0,,0.0,Neutral
2014-07-31,261.0,,0.0,Neutral
2014-08-03,260.0,,0.0,Neutral
2014-08-04,255.0,,0.0,Neutral
2014-08-05,247.0,,0.0,Neutral
2014-08-06,243.0,,0.0,Neutral
2014-08-13,239.0,,0.0,Neutral
2014-09-01,235.0,,0.0,Neutral
2014-09-03,231.0,,0.0,Neutral
2014-10-09,223.0,,0.0,Neutral
2014-11-23,219.0,,0.0,Neutral
2014-12-02,215.0,,0.0,Neutral
2015-01-07,207.0,,0.0,Neutral
2015-01-11,203.0,,0.0,Neutral
2015-01-12,199.0,,0.0,Neutral
2015-01-14,196.0,,0.0,Neutral
2015-01-26,192.0,,0.0,Neutral
2015-01-27,201.0,,0.0,Neutral
2015-01-28,221.0,,0.0,Neutral
2015-01-29,242.0,,0.0,Neutral
2015-02-01,245.0,,0.0,Neutral
2015-02-02,236.0,,0.0,Neutral
2015-02-08,224.0,,0.0,Neutral
2015-02-09,216.0,,0.0,Neutral
2015-02-10,212.0,,0.0,Neutral
2015-02-11,220.0,,0.0,Neutral
2015-02-12,242.0,,0.0,Neutral
2015-02-15,266.0,,0.0,Neutral
2015-02-16,251.0,,0.0,Neutral
2015-02-18,245.0,,0.0,Neutral
2015-02-22,242.0,,0.0,Neutral
2015-02-23,242.0,,0.0,Neutral
2015-02-24,238.0,,0.0,Neutral
2015-02-25,230.0,,0.0,Neutral
2015-02-26,234.0,,0.0,Neutral
2015-03-01,238.0,,0.0,Neutral
2015-03-02,257.0,,0.0,Neutral
2015-03-03,253.0,,0.0,Neutral
2015-03-04,252.0,,0.0,Neutral
2015-03-09,245.0,,0.0,Neutral
2015-03-10,242.0,,0.0,Neutral
2015-03-11,238.0,,0.0,Neutral
2015-03-12,250.0,,0.0,Neutral
2015-03-15,246.0,,0.0,Neutral
2015-03-17,242.0,,0.0,Neutral
2015-03-22,234.0,,0.0,Neutral
2015-03-23,239.0,,0.0,Neutral
2015-03-25,231.0,,0.0,Neutral
2015-03-31,239.0,,0.0,Neutral
2015-04-01,235.0,,0.0,Neutral
2015-04-07,231.0,,0.0,Neutral
2015-04-08,235.0,,0.0,Neutral
2015-04-09,230.0,,0.0,Neutral
2015-04-12,232.0,,0.0,Neutral
2015-04-20,227.0,2015-04-20,-0.9267399311065674,Strongly Negative
2015-07-26,235.0,,0.0,Neutral
2015-07-27,222.0,,0.0,Neutral
2015-07-28,208.0,,0.0,Neutral
2015-07-29,209.0,,0.0,Neutral
2015-07-30,213.0,,0.0,Neutral
2015-08-03,209.0,,0.0,Neutral
2015-08-05,210.0,,0.0,Neutral
2015-08-06,210.0,,0.0,Neutral
2015-08-09,210.0,,0.0,Neutral
2015-08-10,206.0,,0.0,Neutral
2015-08-11,209.0,,0.0,Neutral
2015-08-13,205.0,,0.0,Neutral
2015-08-16,204.0,,0.0,Neutral
2015-08-19,204.0,,0.0,Neutral
2015-08-20,200.0,,0.0,Neutral
2015-08-24,204.0,,0.0,Neutral
2015-08-25,200.0,,0.0,Neutral
2015-08-27,196.0,,0.0,Neutral
2015-08-31,193.0,,0.0,Neutral
2015-09-01,190.0,,0.0,Neutral
2015-09-02,187.0,,0.0,Neutral
2015-09-03,183.0,,0.0,Neutral
2015-09-06,186.0,,0.0,Neutral
2015-09-07,189.0,,0.0,Neutral
2015-09-08,200.0,,0.0,Neutral
2015-09-09,205.0,,0.0,Neutral
2015-09-10,197.0,,0.0,Neutral
2015-09-15,191.0,,0.0,Neutral
2015-09-16,191.0,,0.0,Neutral
2015-09-17,209.0,,0.0,Neutral
2015-09-22,225.0,,0.0,Neutral
2015-09-23,228.0,,0.0,Neutral
2015-09-28,218.0,,0.0,Neutral
2015-09-29,239.0,,0.0,Neutral
2015-09-30,255.0,,0.0,Neutral
2015-10-01,246.0,,0.0,Neutral
2015-10-04,242.0,,0.0,Neutral
2015-10-05,249.0,,0.0,Neutral
2015-10-06,265.0,,0.0,Neutral
2015-10-07,260.0,,0.0,Neutral
2015-10-08,260.0,,0.0,Neutral
2015-10-11,285.0,2015-10-11,0.8841037154197693,Strongly Positive
2015-10-14,275.0,,0.0,Neutral
2015-10-15,280.0,,0.0,Neutral
2015-10-18,281.0,,0.0,Neutral
2015-10-19,285.0,,0.0,Neutral
2015-10-25,295.0,,0.0,Neutral
2015-10-27,285.0,,0.0,Neutral
2015-10-28,280.0,,0.0,Neutral
2015-10-29,275.0,,0.0,Neutral
2015-12-06,240.0,,0.0,Neutral
2015-12-07,244.0,,0.0,Neutral
2016-01-20,267.0,,0.0,Neutral
2016-01-21,293.0,,0.0,Neutral
2016-01-24,321.0,,0.0,Neutral
2016-01-25,325.0,,0.0,Neutral
2016-01-26,319.0,,0.0,Neutral
2016-01-27,301.0,,0.0,Neutral
2016-01-31,296.0,,0.0,Neutral
2016-02-01,325.0,,0.0,Neutral
2016-02-02,348.0,,0.0,Neutral
2016-02-03,350.0,,0.0,Neutral
2016-02-04,339.0,,0.0,Neutral
2016-02-07,335.0,,0.0,Neutral
2016-02-08,340.0,,0.0,Neutral
2016-02-11,330.0,,0.0,Neutral
2016-02-14,334.0,,0.0,Neutral
2016-02-15,336.0,,0.0,Neutral
2016-02-16,342.0,,0.0,Neutral
2016-02-17,342.0,2016-02-17,0.9197939038276672,Strongly Positive
2016-02-18,338.0,,0.0,Neutral
2016-02-23,338.0,,0.0,Neutral
2016-02-24,340.0,,0.0,Neutral
2016-02-25,341.0,,0.0,Neutral
2016-02-28,347.0,,0.0,Neutral
2016-02-29,342.0,,0.0,Neutral
2016-03-06,348.0,,0.0,Neutral
2016-03-10,350.0,,0.0,Neutral
2016-03-13,345.0,,0.0,Neutral
2016-03-14,334.0,,0.0,Neutral
2016-03-20,328.0,,0.0,Neutral
2016-03-21,334.0,,0.0,Neutral
2016-03-23,355.0,,0.0,Neutral
2016-03-24,365.0,,0.0,Neutral
2016-03-27,362.0,,0.0,Neutral
2016-03-28,355.0,,0.0,Neutral
2016-03-29,351.0,,0.0,Neutral
2016-03-30,345.0,,0.0,Neutral
2016-03-31,342.0,,0.0,Neutral
2016-04-03,336.0,,0.0,Neutral
2016-04-04,345.0,,0.0,Neutral
2016-04-05,340.0,,0.0,Neutral
2016-04-06,341.0,,0.0,Neutral
2016-04-10,347.0,,0.0,Neutral
2016-04-11,360.0,,0.0,Neutral
2016-04-12,367.0,,0.0,Neutral
2016-04-14,355.0,,0.0,Neutral
2016-04-17,346.0,,0.0,Neutral
2016-04-18,352.0,,0.0,Neutral
2016-04-19,359.0,,0.0,Neutral
2016-04-20,360.0,,0.0,Neutral
2016-04-21,365.0,,0.0,Neutral
2016-04-24,384.0,,0.0,Neutral
2016-04-25,409.0,,0.0,Neutral
2016-04-26,433.0,,0.0,Neutral
2016-04-27,443.0,,0.0,Neutral
2016-04-28,435.0,,0.0,Neutral
2016-05-02,426.0,,0.0,Neutral
2016-05-03,425.0,,0.0,Neutral
2016-05-04,430.0,,0.0,Neutral
2016-05-05,429.0,2016-05-05,0.8997562527656555,Strongly Positive
2016-05-08,431.0,,0.0,Neutral
2016-05-09,428.0,,0.0,Neutral
2016-05-10,420.0,,0.0,Neutral
2016-05-11,426.0,,0.0,Neutral
2016-05-12,426.0,,0.0,Neutral
2016-05-15,430.0,,0.0,Neutral
2016-05-16,439.0,,0.0,Neutral
2016-05-17,449.0,,0.0,Neutral
2016-05-18,456.0,,0.0,Neutral
2016-05-19,460.0,,0.0,Neutral
2016-05-22,438.0,,0.0,Neutral
2016-05-23,445.0,,0.0,Neutral
2016-05-24,462.0,,0.0,Neutral
2016-05-25,440.0,,0.0,Neutral
2016-05-29,433.0,,0.0,Neutral
2016-05-30,448.0,,0.0,Neutral
2016-05-31,445.0,,0.0,Neutral
2016-06-01,430.0,,0.0,Neutral
2016-06-02,437.0,,0.0,Neutral
2016-06-05,436.0,,0.0,Neutral
2016-06-06,440.0,,0.0,Neutral
2016-06-07,435.0,,0.0,Neutral
2016-06-08,435.0,,0.0,Neutral
2016-06-09,453.0,,0.0,Neutral
2016-06-12,498.0,,0.0,Neutral
2016-06-13,529.0,2016-06-13,0.896158754825592,Strongly Positive
2016-06-14,550.0,,0.0,Neutral
2016-06-15,550.0,,0.0,Neutral
2016-06-16,549.0,,0.0,Neutral
2016-06-19,540.0,,0.0,Neutral
