Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2016-04-05,316.0,2016-04-05,0.92145574092865,Strongly Positive
2016-04-18,347.0,,0.0,Neutral
2016-04-19,381.0,,0.0,Neutral
2016-04-20,419.0,,0.0,Neutral
2016-04-21,460.0,,0.0,Neutral
2016-04-24,506.0,,0.0,Neutral
2016-04-25,556.0,,0.0,Neutral
2016-04-26,611.0,,0.0,Neutral
2016-04-27,550.0,,0.0,Neutral
2016-04-28,525.0,,0.0,Neutral
2016-05-02,516.0,,0.0,Neutral
2016-05-03,504.0,,0.0,Neutral
2016-05-04,500.0,,0.0,Neutral
2016-05-05,499.0,,0.0,Neutral
2016-05-08,488.0,,0.0,Neutral
2016-05-09,461.0,,0.0,Neutral
2016-05-10,470.0,,0.0,Neutral
2016-05-11,456.0,,0.0,Neutral
2016-05-12,450.0,,0.0,Neutral
2016-05-15,445.0,,0.0,Neutral
2016-05-16,457.0,,0.0,Neutral
2016-05-17,470.0,,0.0,Neutral
2016-05-18,467.0,,0.0,Neutral
2016-05-19,494.0,,0.0,Neutral
2016-05-22,493.0,,0.0,Neutral
2016-05-23,542.0,,0.0,Neutral
2016-05-24,521.0,,0.0,Neutral
2016-05-25,476.0,,0.0,Neutral
2016-05-26,489.0,,0.0,Neutral
2016-05-29,490.0,,0.0,Neutral
2016-05-30,499.0,,0.0,Neutral
2016-05-31,495.0,,0.0,Neutral
2016-06-01,505.0,,0.0,Neutral
2016-06-02,500.0,,0.0,Neutral
2016-06-05,485.0,,0.0,Neutral
2016-06-06,492.0,,0.0,Neutral
2016-06-07,484.0,,0.0,Neutral
2016-06-08,485.0,,0.0,Neutral
2016-06-09,470.0,,0.0,Neutral
2016-06-12,490.0,,0.0,Neutral
2016-06-13,470.0,,0.0,Neutral
2016-06-14,480.0,,0.0,Neutral
2016-06-15,477.0,,0.0,Neutral
2016-06-16,469.0,,0.0,Neutral
2016-06-19,470.0,,0.0,Neutral
2016-06-20,460.0,,0.0,Neutral
2016-06-21,455.0,,0.0,Neutral
2016-06-22,462.0,,0.0,Neutral
2016-06-23,477.0,,0.0,Neutral
2016-06-26,466.0,,0.0,Neutral
2016-06-27,461.0,,0.0,Neutral
2016-06-28,460.0,,0.0,Neutral
2016-06-29,474.0,,0.0,Neutral
2016-06-30,483.0,,0.0,Neutral
2016-07-03,505.0,,0.0,Neutral
2016-07-04,525.0,,0.0,Neutral
2016-07-05,525.0,,0.0,Neutral
