Date_Stock,Close,Date_News,Sentiment_Score,Prediction
2011-03-29,303.0,,0.0,Neutral
2011-03-30,282.0,,0.0,Neutral
2011-03-31,267.0,,0.0,Neutral
2011-04-04,252.0,,0.0,Neutral
2011-04-05,231.0,,0.0,Neutral
2011-04-06,211.0,,0.0,Neutral
2011-04-07,201.0,,0.0,Neutral
2011-04-10,181.0,,0.0,Neutral
2011-04-11,163.0,,0.0,Neutral
2011-04-13,147.0,,0.0,Neutral
2011-04-17,133.0,,0.0,Neutral
2011-04-18,120.0,,0.0,Neutral
2011-04-19,108.0,,0.0,Neutral
2011-04-20,103.0,,0.0,Neutral
2011-04-21,105.0,,0.0,Neutral
2011-04-25,104.0,,0.0,Neutral
2011-04-26,104.0,,0.0,Neutral
2011-04-27,103.0,,0.0,Neutral
2011-04-28,102.0,,0.0,Neutral
2011-05-02,102.0,,0.0,Neutral
2011-05-03,103.0,,0.0,Neutral
2011-05-04,105.0,,0.0,Neutral
2011-05-05,100.0,,0.0,Neutral
2011-05-08,98.0,,0.0,Neutral
2011-05-10,99.0,,0.0,Neutral
2011-05-11,97.0,,0.0,Neutral
2011-05-12,97.0,,0.0,Neutral
2011-05-15,100.0,,0.0,Neutral
2011-05-16,99.0,,0.0,Neutral
2011-05-18,97.0,,0.0,Neutral
2011-05-19,100.0,,0.0,Neutral
2011-05-22,96.0,,0.0,Neutral
2011-05-23,98.0,,0.0,Neutral
2011-05-24,105.0,2011-05-24,0.9024524688720704,Strongly Positive
2011-05-25,109.0,,0.0,Neutral
2011-05-26,115.0,,0.0,Neutral
2011-05-30,104.0,,0.0,Neutral
2011-05-31,104.0,,0.0,Neutral
2011-06-01,105.0,,0.0,Neutral
2011-06-02,107.0,,0.0,Neutral
2011-06-05,106.0,,0.0,Neutral
2011-06-06,108.0,,0.0,Neutral
2011-06-07,102.0,,0.0,Neutral
2011-06-08,102.0,,0.0,Neutral
2011-06-09,104.0,,0.0,Neutral
2011-06-12,100.0,,0.0,Neutral
2011-06-13,98.0,,0.0,Neutral
2011-06-14,96.0,,0.0,Neutral
2011-06-15,95.0,,0.0,Neutral
2011-06-16,102.0,,0.0,Neutral
2011-06-21,102.0,,0.0,Neutral
2011-06-23,104.0,,0.0,Neutral
2011-06-26,106.0,,0.0,Neutral
2011-06-27,106.0,,0.0,Neutral
2011-06-29,108.0,,0.0,Neutral
2011-06-30,106.0,,0.0,Neutral
2011-07-03,100.0,,0.0,Neutral
2011-07-04,108.0,,0.0,Neutral
2011-07-05,104.0,,0.0,Neutral
2011-07-06,109.0,,0.0,Neutral
2011-07-07,107.0,,0.0,Neutral
2011-07-10,105.0,,0.0,Neutral
2011-07-11,105.0,,0.0,Neutral
2011-07-17,105.0,,0.0,Neutral
2011-07-21,104.0,,0.0,Neutral
2011-07-24,101.0,,0.0,Neutral
2011-07-25,98.0,,0.0,Neutral
2011-07-26,97.0,,0.0,Neutral
2011-07-27,96.0,,0.0,Neutral
2011-07-28,97.0,,0.0,Neutral
2011-07-31,97.0,,0.0,Neutral
2011-08-01,98.0,2011-08-01,0.8744202256202698,Strongly Positive
2011-08-02,99.0,,0.0,Neutral
2011-08-03,100.0,,0.0,Neutral
2011-08-04,105.0,,0.0,Neutral
2011-08-07,105.0,,0.0,Neutral
2011-08-08,106.0,,0.0,Neutral
2011-08-09,104.0,,0.0,Neutral
2011-08-10,104.0,,0.0,Neutral
2011-08-11,102.0,,0.0,Neutral
2011-08-15,100.0,,0.0,Neutral
2011-08-16,101.0,,0.0,Neutral
2011-08-17,102.0,,0.0,Neutral
2011-08-18,101.0,,0.0,Neutral
2011-08-22,100.0,,0.0,Neutral
2011-08-23,99.0,,0.0,Neutral
2011-08-24,99.0,,0.0,Neutral
2011-08-25,100.0,,0.0,Neutral
2011-08-28,100.0,,0.0,Neutral
2011-08-29,98.0,,0.0,Neutral
2011-08-30,99.0,,0.0,Neutral
2011-09-01,99.0,,0.0,Neutral
2011-09-04,99.0,,0.0,Neutral
2011-09-05,100.0,,0.0,Neutral
2011-09-06,99.0,,0.0,Neutral
2011-09-07,98.0,,0.0,Neutral
2011-09-08,100.0,,0.0,Neutral
2011-09-12,97.0,,0.0,Neutral
2011-09-13,96.0,,0.0,Neutral
2011-09-14,98.0,,0.0,Neutral
2011-09-15,99.0,,0.0,Neutral
2011-09-18,96.0,,0.0,Neutral
2011-09-20,96.0,,0.0,Neutral
2011-09-21,98.0,,0.0,Neutral
2011-09-22,97.0,,0.0,Neutral
2011-09-25,98.0,,0.0,Neutral
2011-10-10,97.0,,0.0,Neutral
2011-10-12,98.0,,0.0,Neutral
2011-10-13,97.0,,0.0,Neutral
2011-10-16,97.0,,0.0,Neutral
2011-10-17,97.0,,0.0,Neutral
2011-10-20,96.0,,0.0,Neutral
2011-10-23,96.0,,0.0,Neutral
2011-10-24,95.0,,0.0,Neutral
2011-10-25,94.0,,0.0,Neutral
2011-10-31,95.0,,0.0,Neutral
2011-11-03,98.0,,0.0,Neutral
2011-11-06,100.0,,0.0,Neutral
2011-11-08,100.0,,0.0,Neutral
2011-11-09,98.0,,0.0,Neutral
2011-11-10,97.0,,0.0,Neutral
2011-11-13,98.0,,0.0,Neutral
2011-11-14,98.0,,0.0,Neutral
2011-11-16,98.0,,0.0,Neutral
2011-11-17,97.0,,0.0,Neutral
2011-11-21,97.0,,0.0,Neutral
2011-11-22,98.0,,0.0,Neutral
2011-11-23,97.0,,0.0,Neutral
2011-11-24,97.0,,0.0,Neutral
2011-11-27,99.0,,0.0,Neutral
2011-12-01,101.0,,0.0,Neutral
2011-12-04,98.0,,0.0,Neutral
2011-12-05,98.0,,0.0,Neutral
