Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2006-06-13,800.0,281.0,276.0,281.0,260950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2006-06-14,281.0,336.0,295.0,336.0,99810.0,0.0,0.0,0.0,0.0,4.3874643874644335,0.8774928774928867,0.0,,0.0,Neutral
2006-06-15,336.0,352.0,352.0,352.0,1540.0,0.0,0.0,0.0,0.0,9.051290168099285,2.512252335614167,0.0,,0.0,Neutral
2006-06-18,352.0,369.0,369.0,369.0,300.0,0.0,0.0,0.0,0.0,13.958261475797883,4.80145416365091,0.0,,0.0,Neutral
2006-06-20,369.0,387.0,387.0,387.0,3640.0,345.0,0.0,0.0,0.0,19.079583594640894,7.657080049848908,0.0,,0.0,Neutral
2006-06-21,387.0,412.0,406.0,412.0,16180.0,371.2,0.0,0.0,0.0,24.86888629635962,11.09944129915105,0.0,,0.0,Neutral
2006-06-22,412.0,414.0,413.0,414.0,11060.0,386.8,0.0,0.0,0.0,29.28080281427185,14.73571360217521,0.0,,0.0,Neutral
2006-06-25,414.0,425.0,420.0,420.0,5450.0,400.4,0.0,0.0,0.0,32.88238068084968,18.365047017910104,0.0,,0.0,Neutral
2006-06-26,420.0,406.0,405.0,406.0,5200.0,407.8,0.0,0.0,0.0,34.212592619839654,21.534556138296015,0.0,,0.0,Neutral
2006-06-27,406.0,386.0,380.0,381.0,13280.0,406.6,375.8,0.0,0.0,32.8705923712439,23.801763384885593,43.42503118402257,,0.0,Neutral
2006-06-28,381.0,375.0,362.0,362.0,6360.0,396.6,383.9,0.0,0.0,29.928904514124724,25.02719161073342,28.90386364023558,,0.0,Neutral
2006-06-29,362.0,368.0,360.0,368.0,2800.0,387.4,387.1,0.0,0.0,27.761725657246586,25.574098420036055,24.43790316518809,,0.0,Neutral
2006-07-02,368.0,375.0,369.0,375.0,3400.0,378.4,389.4,0.0,0.0,26.305825120863346,25.720443760201515,21.695877744657153,,0.0,Neutral
2006-07-03,375.0,377.0,377.0,377.0,450.0,372.6,390.2,0.0,0.0,25.024924984143013,25.58134000498982,20.996295969633376,,0.0,Neutral
2006-07-04,377.0,397.0,383.0,391.0,9550.0,374.6,390.6,0.0,74.3362831812358,24.85299553247728,25.435671110487313,20.966640169564563,,0.0,Neutral
2006-07-05,391.0,398.0,390.0,398.0,4660.0,381.8,389.2,0.0,67.41573033177629,24.99347250872239,25.34723139013433,19.814697126684038,,0.0,Neutral
2006-07-06,398.0,396.0,394.0,396.0,2580.0,387.4,387.4,0.0,63.41463414092802,24.659162760666845,25.209617664240835,18.050546313677618,,0.0,Neutral
2006-07-09,396.0,400.0,396.0,400.0,755.0,392.4,385.4,0.0,60.26490065666418,24.43531138813711,25.05475640902009,14.863826335548055,,0.0,Neutral
2006-07-10,400.0,401.0,397.0,401.0,3150.0,397.2,384.9,0.0,55.22388059124527,24.06123625138997,24.85605237749407,14.16137155943742,,0.0,Neutral
2006-07-12,401.0,403.0,400.0,400.0,1230.0,399.0,386.8,381.3,44.545454539785126,23.4141832382532,24.567678549645898,14.838388651662155,,0.0,Neutral
2006-07-13,400.0,401.0,398.0,401.0,4620.0,399.6,390.7,387.3,44.03669724205034,22.720176652596138,24.19817817023595,12.543701385334511,,0.0,Neutral
2006-07-16,401.0,400.0,400.0,400.0,350.0,400.4,393.9,390.5,40.38461537917899,21.837747827336727,23.726092101656107,9.915756260730735,,0.0,Neutral
2006-07-17,400.0,398.0,395.0,395.0,2550.0,399.4,395.9,392.65,44.210526309274236,20.49866259014101,23.080606199353088,7.370361064576199,,0.0,Neutral
2006-07-18,395.0,395.0,395.0,395.0,1870.0,398.2,397.7,393.95,59.999999988,19.21591874230802,22.307668707944078,3.3349995835413315,,0.0,Neutral
2006-07-19,395.0,395.0,390.0,390.0,8850.0,396.2,397.6,394.1,74.99999998125,17.59307477329577,21.364749921014415,3.565264521898729,,0.0,Neutral
2006-07-20,390.0,390.0,390.0,390.0,5000.0,394.0,396.8,393.0,71.99999997984,16.121124942607537,20.31602492533304,4.289522117905299,,0.0,Neutral
2006-07-24,390.0,390.0,390.0,390.0,1970.0,392.0,396.2,391.8,67.44186044315846,14.784171372209585,19.209654214708348,4.802776974487312,,0.0,Neutral
2006-07-25,390.0,390.0,383.0,383.0,9550.0,389.6,394.5,389.95,56.249999983593746,13.009815482328406,17.96968646823236,6.132789830991287,,0.0,Neutral
2006-07-26,383.0,375.0,375.0,375.0,940.0,385.6,391.9,388.4,30.952380942063485,10.833213967665642,16.54239196811902,8.225299724359887,,0.0,Neutral
2006-07-27,375.0,368.0,361.0,364.0,11770.0,380.4,388.3,387.55,13.043478256899803,8.126951083326844,14.859303791160587,11.508933728002576,,0.0,Neutral
2006-07-30,364.0,361.0,361.0,361.0,14400.0,374.6,384.3,387.5,12.765957443005874,5.674728583251408,13.022388749578752,13.400248753910018,,0.0,Neutral
2006-07-31,361.0,367.0,367.0,367.0,2400.0,370.0,381.0,387.45,16.32653060758018,4.167434845776313,11.251397968818265,13.165611772087704,,0.0,Neutral
2006-08-01,367.0,371.0,370.0,371.0,11730.0,367.6,378.6,387.25,21.153846148150876,3.2581028879736778,9.652738952649349,12.500666648889904,,0.0,Neutral
2006-08-02,371.0,375.0,375.0,375.0,240.0,367.6,376.6,387.15,27.27272726578512,2.827622261342242,8.287715614387928,11.107554986484653,,0.0,Neutral
