Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-20,1001.0,984.0,965.0,984.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-03-24,1020.0,1039.0,1030.0,1039.0,27.0,0.0,0.0,0.0,0.0,4.387464387464547,0.8774928774929095,0.0,,0.0,Neutral
2011-03-25,1039.0,1059.0,1000.0,1059.0,333.0,0.0,0.0,0.0,0.0,9.370378487187736,2.576069999431875,0.0,,0.0,Neutral
2011-03-28,1059.0,1038.0,960.0,998.0,324.0,0.0,0.0,0.0,0.0,8.301489209339024,3.7211538414133054,0.0,,0.0,Neutral
2011-03-29,998.0,979.0,899.0,959.0,1637.0,1007.8,0.0,0.0,0.0,4.258325368183137,3.828588146767272,0.0,,0.0,Neutral
2011-03-30,959.0,989.0,951.0,989.0,97.0,1008.8,0.0,0.0,0.0,3.4352388787511927,3.7499182931640562,0.0,,0.0,Neutral
2011-03-31,989.0,1012.0,955.0,1012.0,1474.0,1003.4,0.0,0.0,0.0,4.585980359922701,3.917130706515785,0.0,,0.0,Neutral
2011-04-04,1012.0,1000.0,1000.0,1000.0,79.0,991.6,0.0,0.0,0.0,4.478031601753173,4.029310885563263,0.0,,0.0,Neutral
2011-04-05,1000.0,998.0,960.0,998.0,647.0,991.6,0.0,0.0,0.0,4.182880505161506,4.060024809482912,0.0,,0.0,Neutral
2011-04-06,998.0,1025.0,960.0,1019.0,1165.0,1003.6,1005.7,0.0,0.0,5.579182289824416,4.363856305551213,28.3785913047925,,0.0,Neutral
2011-04-07,1019.0,1039.0,980.0,1039.0,1478.0,1013.6,1011.2,0.0,0.0,8.205012095018219,5.1320874634446145,29.027955873988486,,0.0,Neutral
2011-04-10,1039.0,1097.0,1019.0,1097.0,1209.0,1030.6,1017.0,0.0,0.0,14.7955623743577,7.064782445627232,39.20884254008697,,0.0,Neutral
