Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-04-05,226.0,222.0,220.0,220.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-04-06,220.0,218.0,214.0,214.0,238.0,0.0,0.0,0.0,0.0,-0.4786324786324485,-0.09572649572648971,0.0,,0.0,Neutral
2011-04-07,214.0,210.0,210.0,210.0,112.0,0.0,0.0,0.0,0.0,-1.1672632527333064,-0.3100338471278531,0.0,,0.0,Neutral
2011-04-10,210.0,213.0,205.0,205.0,292.0,0.0,0.0,0.0,0.0,-2.0923470415276313,-0.6664964860078088,0.0,,0.0,Neutral
2011-04-11,205.0,203.0,203.0,203.0,195.0,210.4,0.0,0.0,0.0,-2.9528275365485115,-1.1237626961159495,0.0,,0.0,Neutral
2011-04-20,203.0,203.0,203.0,203.0,237.0,207.0,0.0,0.0,0.0,-3.593342710293655,-1.6176786989514906,0.0,,0.0,Neutral
2011-04-21,203.0,203.0,200.0,200.0,3087.0,204.2,0.0,0.0,0.0,-4.293537302711712,-2.152850419703535,0.0,,0.0,Neutral
2011-04-25,200.0,203.0,196.0,196.0,345.0,201.4,0.0,0.0,0.0,-5.112281928649367,-2.7447367214927016,0.0,,0.0,Neutral
2011-04-28,196.0,198.0,198.0,198.0,360.0,200.0,0.0,0.0,0.0,-5.535944733259782,-3.3029783238461174,0.0,,0.0,Neutral
2011-05-02,198.0,195.0,195.0,195.0,82.0,198.4,204.4,0.0,0.0,-6.044102831079812,-3.8512032252928563,8.099382692526639,,0.0,Neutral
2011-05-03,195.0,192.0,190.0,190.0,320.0,195.8,201.4,0.0,0.0,-6.772214129017669,-4.435405406037819,7.183313998427198,2011-05-03,0.9104682803153992,Strongly Positive
2011-05-04,190.0,196.0,190.0,196.0,805.0,195.0,199.6,0.0,0.0,-6.786862990604078,-4.905696922951071,5.796550698475788,,0.0,Neutral
