Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2015-12-10,0.0,419.0,381.0,419.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2015-12-17,419.0,460.0,427.0,460.0,100.0,0.0,0.0,0.0,0.0,3.2706552706552543,0.6541310541310509,0.0,,0.0,Neutral
2016-03-23,460.0,492.0,483.0,492.0,190.0,0.0,0.0,0.0,0.0,8.348568599280782,2.1930185631609973,0.0,,0.0,Neutral
2016-03-24,492.0,541.0,516.0,541.0,440.0,0.0,0.0,0.0,0.0,16.1406822487819,4.982551300285178,0.0,,0.0,Neutral
2016-03-27,541.0,568.0,568.0,568.0,30.0,496.0,0.0,0.0,0.0,24.21552135025678,8.829145310279499,0.0,,0.0,Neutral
2016-03-28,568.0,596.0,596.0,596.0,50.0,531.4,0.0,0.0,0.0,32.49962011807605,13.563240271838811,0.0,2016-03-28,0.9027025103569032,Strongly Positive
2016-03-31,518.0,528.0,528.0,528.0,10.0,545.0,0.0,0.0,0.0,33.19514342485104,17.48962090244126,0.0,2016-03-31,0.0647624358534812,Slightly Positive
2016-05-03,528.0,538.0,538.0,538.0,10.0,554.2,0.0,0.0,0.0,34.15949765751117,20.823596253455243,0.0,,0.0,Neutral
2016-05-10,538.0,548.0,548.0,548.0,10.0,555.6,0.0,0.0,0.0,35.32348461862654,23.723573926489504,0.0,,0.0,Neutral
2016-05-15,548.0,558.0,558.0,558.0,10.0,553.6,524.8,0.0,0.0,36.63061417940207,26.304981977072018,53.22029688004383,,0.0,Neutral
2016-05-18,558.0,585.0,585.0,585.0,10.0,551.4,541.4,0.0,0.0,39.391121793349896,28.922209940327594,41.05064622579727,,0.0,Neutral
2016-05-31,585.0,607.0,596.0,607.0,20.0,567.2,556.1,0.0,0.0,42.85999674110553,31.709767300483186,34.45270510263165,,0.0,Neutral
2016-06-09,607.0,619.0,619.0,619.0,10.0,583.4,568.8,0.0,0.0,46.04660820454825,34.577135481296196,31.477681687895284,,0.0,Neutral
2016-06-20,619.0,649.0,649.0,649.0,10.0,603.6,579.6,0.0,0.0,50.41165583881764,37.74403955280049,38.601093824456065,,0.0,Neutral
2016-06-26,649.0,661.0,661.0,661.0,10.0,624.2,588.9,0.0,82.01058200754458,54.21433810682004,41.038099263604394,45.99142432140071,,0.0,Neutral
2016-07-05,661.0,694.0,694.0,694.0,10.0,646.0,598.7,0.0,81.62162161853324,59.20829899363878,44.672139209611274,56.83514171121028,,0.0,Neutral
2016-07-14,694.0,707.0,707.0,707.0,10.0,666.0,616.6,0.0,80.62678062356474,63.483244999053454,48.434360367499714,60.183423336035595,,0.0,Neutral
2016-07-17,707.0,777.0,721.0,777.0,1125.0,697.6,640.5,0.0,81.72043010445138,71.69315147054294,53.08611858810836,71.83043304276504,,0.0,Neutral
