Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2014-10-14,100.0,307.0,307.0,307.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2014-10-27,307.0,337.0,313.0,337.0,320.0,0.0,0.0,0.0,0.0,2.39316239316247,0.47863247863249403,0.0,,0.0,Neutral
2014-11-02,337.0,353.0,353.0,353.0,20.0,0.0,0.0,0.0,0.0,5.517227944578451,1.4863515718216855,0.0,,0.0,Neutral
2014-11-03,353.0,367.0,360.0,367.0,30.0,0.0,0.0,0.0,0.0,9.018792374382087,2.992839732333766,0.0,,0.0,Neutral
2014-11-11,367.0,395.0,374.0,395.0,40.0,351.8,0.0,0.0,0.0,13.893023282354989,5.172876442338011,0.0,,0.0,Neutral
2014-11-17,395.0,405.0,405.0,405.0,10.0,371.4,0.0,0.0,0.0,18.35126090789089,7.808553335448587,0.0,,0.0,Neutral
2014-11-18,405.0,445.0,413.0,445.0,163.0,393.0,0.0,0.0,0.0,24.82593413692456,11.212029495743781,0.0,,0.0,Neutral
2014-11-19,445.0,489.0,453.0,489.0,51.0,420.2,0.0,0.0,0.0,33.1257386994219,15.594771336479408,0.0,,0.0,Neutral
2014-11-20,489.0,527.0,498.0,527.0,120.0,452.2,0.0,0.0,0.0,42.282272317339505,20.932271532651427,0.0,,0.0,Neutral
2014-11-23,527.0,579.0,537.0,579.0,51.0,489.0,420.4,0.0,0.0,53.12249355853038,27.370315937827222,88.14155281893628,,0.0,Neutral
2014-11-24,579.0,636.0,590.0,636.0,152.0,535.2,453.3,0.0,0.0,65.55716839355426,35.00768642897263,101.49991789816056,,0.0,Neutral
2014-11-25,636.0,699.0,648.0,699.0,3404.0,586.0,489.5,0.0,0.0,79.57798578972898,43.9217463011239,118.53667974278866,,0.0,Neutral
2014-11-30,699.0,730.0,638.0,659.0,8526.0,620.0,520.1,0.0,0.0,86.4652018603532,52.430437412969766,118.88037871930104,,0.0,Neutral
2014-12-01,659.0,654.0,618.0,623.0,3619.0,639.2,545.7,0.0,0.0,88.00401556969865,59.54515304431554,109.43699354220014,,0.0,Neutral
2014-12-02,623.0,620.0,593.0,596.0,1721.0,642.6,565.8,0.0,79.19191918967942,86.05289792807821,64.84670202106808,96.36020386491974,,0.0,Neutral
2014-12-03,596.0,600.0,585.0,585.0,1176.0,632.4,583.8,0.0,76.05042016583045,82.66609182221521,68.41057998129752,78.05952144926904,,0.0,Neutral
2014-12-04,585.0,607.0,589.0,590.0,938.0,610.6,598.3,0.0,75.4838709654693,79.46940792933435,70.62234557090488,61.019213731778386,,0.0,Neutral
2014-12-07,590.0,600.0,585.0,600.0,639.0,598.8,609.4,0.0,75.2711496723345,76.85697003115888,71.86927046295568,47.53291257410792,,0.0,Neutral
2014-12-08,600.0,610.0,580.0,581.0,672.0,590.4,614.8,0.0,70.5752212367521,72.41865578009651,71.97914752638385,39.52439471741203,,0.0,Neutral
2014-12-09,581.0,585.0,566.0,580.0,718.0,587.2,614.9,517.65,69.751693000053,68.0362881386078,71.19057564882866,39.42489343323876,,0.0,Neutral
2014-12-10,580.0,595.0,578.0,580.0,1625.0,586.2,609.3,531.3,66.74937965028661,63.8274669022436,69.71795389951164,40.06674986125594,,0.0,Neutral
2014-12-11,580.0,590.0,578.0,590.0,824.0,586.2,598.4,543.95,63.6856368539523,60.600299644097845,67.89442304842889,24.91407455859269,,0.0,Neutral
2014-12-14,590.0,624.0,598.0,615.0,1044.0,589.2,594.0,557.05,62.35955055934541,59.375592537070816,66.19065694615728,14.892205269125888,,0.0,Neutral
2014-12-15,615.0,620.0,600.0,620.0,913.0,597.0,593.7,569.7,56.634304204553786,58.13827964652762,64.58018148623134,14.259889355967939,,0.0,Neutral
2014-12-16,620.0,620.0,582.0,598.0,567.0,600.6,593.9,579.85,43.06569342845649,54.75134470782257,62.61441413054959,14.309670389868176,,0.0,Neutral
2014-12-17,598.0,620.0,595.0,600.0,1116.0,604.6,595.4,589.6,26.760563378522775,51.63336041444586,60.41820338732885,14.057026712644602,,0.0,Neutral
2014-12-18,600.0,600.0,581.0,600.0,154.0,606.6,596.4,597.35,32.947976875946395,48.60208086362991,58.05497888258907,13.98570698963782,,0.0,Neutral
2014-12-21,600.0,608.0,589.0,608.0,605.0,605.2,597.2,603.3,44.82758620256837,46.31145351340513,55.706273808752286,14.436065946095018,,0.0,Neutral
