Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2017-08-31,1626.0,1658.0,1658.0,1658.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2017-10-08,1658.0,1724.0,1691.0,1724.0,110.0,0.0,0.0,0.0,0.0,5.264957264957275,1.052991452991455,0.0,2017-10-08,0.8281341791152954,Strongly Positive
2017-10-29,1724.0,1758.0,1758.0,1758.0,10.0,0.0,0.0,0.0,0.0,12.042174982346069,3.250828158862378,0.0,,0.0,Neutral
2017-11-05,1758.0,1828.0,1793.0,1828.0,30.0,0.0,0.0,0.0,0.0,22.798773763977124,7.160417279885328,0.0,,0.0,Neutral
2017-11-06,1828.0,1977.0,1864.0,1977.0,40.0,1789.0,0.0,0.0,0.0,42.85253322236076,14.298840468380416,0.0,,0.0,Neutral
2017-11-08,1977.0,2056.0,2016.0,2056.0,20.0,1868.6,0.0,0.0,0.0,64.3778144706971,24.31463526884375,0.0,,0.0,Neutral
2017-11-19,1371.0,1398.0,1398.0,1398.0,10.0,1803.4,0.0,0.0,0.0,28.01867226388731,25.055442667852464,0.0,,0.0,Neutral
2017-12-06,1398.0,1453.0,1425.0,1453.0,20.0,1742.4,0.0,0.0,0.0,3.600328115943512,20.764419757470677,0.0,,0.0,Neutral
2017-12-10,1453.0,1511.0,1482.0,1511.0,20.0,1679.0,0.0,0.0,0.0,-10.94510195000612,14.422515415975317,0.0,,0.0,Neutral
2017-12-11,1511.0,1571.0,1541.0,1571.0,20.0,1597.8,1693.4,0.0,0.0,-17.430038874040974,8.05200455797206,218.50308922301306,,0.0,Neutral
2017-12-12,1571.0,1634.0,1602.0,1634.0,20.0,1513.4,1691.0,0.0,0.0,-17.286555964107265,2.9842924535561948,219.0662000400792,,0.0,Neutral
2017-12-13,1634.0,1732.0,1666.0,1732.0,30.0,1580.2,1691.8,0.0,0.0,-9.159478972403349,0.5555381683642859,219.2146588772445,,0.0,Neutral
2017-12-14,1732.0,1801.0,1766.0,1801.0,20.0,1649.8,1696.1,0.0,0.0,2.8165440720645165,1.007739349104332,221.0713560017318,,0.0,Neutral
2017-12-17,1801.0,1910.0,1837.0,1910.0,30.0,1729.6,1704.3,0.0,0.0,20.862527436567007,4.978696966596867,227.9220383279238,,0.0,Neutral
2017-12-18,1910.0,2005.0,2005.0,2005.0,10.0,1816.4,1707.1,0.0,60.43295249498132,42.341716369592405,12.451300847195975,231.78363953384536,,0.0,Neutral
2017-12-20,2005.0,2085.0,2045.0,2085.0,120.0,1906.6,1710.0,0.0,60.76326773950466,65.06938044681078,22.974916767118938,236.76195264911595,,0.0,Neutral
2017-12-21,2085.0,2211.0,2126.0,2211.0,35.0,2002.4,1791.3,0.0,62.80384397915249,92.1857055164628,36.81707451698772,256.4861053200001,,0.0,Neutral
2017-12-24,2211.0,2414.0,2321.0,2414.0,30.0,2125.0,1887.4,0.0,65.4048370131884,128.5738723885097,55.16843409129211,293.07230810463426,,0.0,Neutral
2017-12-26,2414.0,2655.0,2462.0,2655.0,60.0,2274.0,2001.8,0.0,67.00100300855667,174.8429618479363,79.10333964262097,347.9593846030498,,0.0,Neutral
2017-12-27,2655.0,2920.0,2708.0,2920.0,170.0,2457.0,2136.7,1915.05,69.81651376101954,230.24076171674142,109.33082405744506,417.02705747549084,,0.0,Neutral
2017-12-28,2920.0,3212.0,2978.0,3212.0,880.0,2682.4,2294.5,1992.75,99.99999999922822,294.3132173208851,146.32730271013307,496.62846609244315,,0.0,Neutral
2017-12-31,3212.0,3341.0,3086.0,3150.0,5336.0,2870.2,2436.3,2064.05,96.59527731941112,336.21256895010447,184.30435595812736,520.0598363009135,,0.0,Neutral
2018-01-01,3150.0,3160.0,3103.0,3150.0,2071.0,3017.4,2571.2,2133.65,96.48326715748681,365.20821402769707,220.48512757204128,511.85301709681335,,0.0,Neutral
2018-01-02,3150.0,3105.0,3040.0,3100.0,1540.0,3106.4,2690.2,2197.25,93.61095265184794,379.7750788146691,252.34311782056687,478.28113536333836,,0.0,Neutral
2018-01-03,3100.0,3098.0,3002.0,3020.0,955.0,3126.4,2791.7,2249.4,89.1525423721762,380.47817710856816,277.97012967816715,420.9806144916619,,0.0,Neutral
2018-01-04,3020.0,3020.0,2973.0,2982.0,520.0,3080.4,2881.4,2295.7,86.54970760163059,373.6617649216396,297.1084567268616,341.7845975334619,,0.0,Neutral
2018-01-07,2982.0,3050.0,2935.0,2985.0,360.0,3047.4,2958.8,2375.05,86.00973235936488,364.302333551007,310.5472320916907,247.82153076581224,,0.0,Neutral
2018-01-08,2985.0,3044.0,2998.0,3005.0,591.0,3018.4,3017.9,2452.65,85.20900321466692,354.41329377571356,319.3204444284953,157.45860126112623,,0.0,Neutral
2018-01-09,3005.0,3004.0,2971.0,2990.0,250.0,2996.4,3051.4,2526.6,83.38983050768309,341.4299914585954,323.7423538345153,94.86739282926152,,0.0,Neutral
2018-01-10,2990.0,2965.0,2951.0,2951.0,270.0,2982.6,3054.5,2595.6,80.19525801874286,324.25583731887446,323.8450505313872,90.50260892494435,2018-01-10,0.9160365462303162,Strongly Positive
2018-01-14,2951.0,2980.0,2852.0,2920.0,500.0,2970.2,3025.3,2659.9,76.47498132855067,304.63214575847996,320.00246957680577,80.60472828700213,,0.0,Neutral
2018-01-16,2920.0,3000.0,2900.0,3000.0,370.0,2973.2,3010.3,2723.3,74.09539473598903,292.1676336156238,314.4355023845694,67.75290071690499,,0.0,Neutral
2018-01-17,3000.0,3000.0,2930.0,2942.0,243.0,2960.6,2989.5,2780.35,63.89157792749808,274.44566388984595,306.43753468562477,49.594466537209,,0.0,Neutral
2018-01-21,2942.0,2950.0,2902.0,2905.0,260.0,2943.6,2970.0,2830.1,49.068322980513095,254.481776909367,296.0463831303732,38.38981346369125,,0.0,Neutral
2018-01-22,2905.0,2905.0,2875.0,2890.0,130.0,2931.4,2957.0,2874.35,19.507575757058518,234.7438964897965,283.7858858022579,41.46484454730975,,0.0,Neutral
2018-01-23,2890.0,2899.0,2845.0,2851.0,320.0,2917.6,2943.9,2912.65,20.396039603394968,213.4934899332693,269.7274066284602,52.03513770093038,,0.0,Neutral
2018-01-24,2851.0,2907.0,2830.0,2836.0,270.0,2884.8,2929.0,2943.9,19.807692307159016,193.21475556638052,254.42487641604427,59.72343668015197,,0.0,Neutral
