Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-20,40.0,41.0,41.0,41.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-03-24,40.0,40.0,40.0,40.0,2500.0,0.0,0.0,0.0,0.0,-0.07977207977207712,-0.015954415954415425,0.0,,0.0,Neutral
2011-03-27,40.0,40.0,40.0,40.0,5000.0,0.0,0.0,0.0,0.0,-0.14136248894082826,-0.041036030551697994,0.0,,0.0,Neutral
2011-03-28,40.0,41.0,40.0,41.0,6100.0,0.0,0.0,0.0,0.0,-0.10823403471189863,-0.05447563138373812,0.0,,0.0,Neutral
2011-03-29,41.0,40.0,40.0,40.0,17910.0,40.4,0.0,0.0,0.0,-0.1608173365586154,-0.07574397241871358,0.0,,0.0,Neutral
2011-03-30,40.0,40.0,40.0,40.0,2000.0,40.2,0.0,0.0,0.0,-0.20018240397061504,-0.10063165872909388,0.0,,0.0,Neutral
2011-03-31,40.0,41.0,41.0,41.0,100.0,40.4,0.0,0.0,0.0,-0.14897062027379349,-0.11029945103803382,0.0,,0.0,Neutral
2011-04-04,41.0,41.0,40.0,40.0,1419.0,40.4,0.0,0.0,0.0,-0.18692183680450114,-0.12562392819132728,0.0,,0.0,Neutral
2011-04-05,40.0,40.0,40.0,40.0,4100.0,40.2,0.0,0.0,0.0,-0.21452553252737516,-0.14340424905853688,0.0,,0.0,Neutral
2011-04-06,40.0,41.0,40.0,40.0,5700.0,40.2,40.3,0.0,0.0,-0.2337076242472591,-0.16146492409628133,0.483045891539647,,0.0,Neutral
2011-04-10,40.0,41.0,40.0,40.0,7000.0,40.2,40.2,0.0,0.0,-0.2460729938369468,-0.17838653804441443,0.4216370213557825,,0.0,Neutral
2011-04-11,40.0,42.0,40.0,40.0,4800.0,40.0,40.2,0.0,0.0,-0.2529567108221755,-0.19330057259996666,0.4216370213557825,,0.0,Neutral
2011-04-13,40.0,42.0,40.0,42.0,2400.0,40.4,40.4,0.0,0.0,-0.09592307927702137,-0.1738250739353776,0.6992058987800984,,0.0,Neutral
2011-04-19,42.0,42.0,42.0,42.0,3440.0,40.8,40.5,0.0,0.0,0.028202108734447506,-0.13341963740141258,0.8498365855987942,,0.0,Neutral
2011-04-20,42.0,41.0,40.0,41.0,2500.0,41.0,40.6,0.0,49.9999999125,0.045357716336205556,-0.09766416665388897,0.8432740427115636,,0.0,Neutral
2011-04-21,41.0,40.0,40.0,40.0,5800.0,41.0,40.6,0.0,49.9999999125,-0.021490257381351796,-0.08242938479938153,0.8432740427115636,,0.0,Neutral
2011-04-25,40.0,41.0,41.0,41.0,1000.0,41.2,40.6,0.0,55.555555469135804,0.006152957026614558,-0.06471291643418231,0.8432740427115636,,0.0,Neutral
2011-04-27,41.0,41.0,39.0,39.0,7920.0,40.6,40.5,0.0,39.999999943999995,-0.13180353261986255,-0.07813103967131836,0.971825315807548,,0.0,Neutral
2011-04-28,39.0,39.0,38.0,38.0,16740.0,39.8,40.3,0.0,39.999999943999995,-0.3181591466435165,-0.126136661065758,1.2516655570345732,,0.0,Neutral
2011-05-02,38.0,38.0,37.0,38.0,18600.0,39.2,40.1,40.2,39.999999943999995,-0.46053851208491636,-0.1930170312695897,1.4491376746189457,,0.0,Neutral
2011-05-03,38.0,40.0,38.0,40.0,2700.0,39.2,40.1,40.15,45.454545396694215,-0.4072968352987161,-0.23587299207541498,1.4491376746189457,,0.0,Neutral
2011-05-04,40.0,41.0,40.0,41.0,4500.0,39.2,40.2,40.2,54.54545447603306,-0.28116963171638787,-0.2449323200036096,1.4757295747452448,,0.0,Neutral
2011-05-05,41.0,41.0,40.0,40.0,8000.0,39.4,40.0,40.2,49.99999994166666,-0.2589198895169389,-0.24772983390627548,1.3333333333333364,,0.0,Neutral
2011-05-08,40.0,41.0,41.0,41.0,7100.0,40.0,39.9,40.2,53.84615378816568,-0.1587650215314227,-0.22993687143130492,1.1972189997378697,,0.0,Neutral
2011-05-09,41.0,41.0,40.0,41.0,11700.0,40.6,39.9,40.25,53.84615378816568,-0.07848681987290007,-0.19964686111962396,1.1972189997378697,,0.0,Neutral
2011-05-10,41.0,41.0,40.0,40.0,47770.0,40.6,39.9,40.25,49.99999995,-0.09446843601083543,-0.17861117609786625,1.1972189997378697,,0.0,Neutral
2011-05-11,40.0,41.0,40.0,41.0,5000.0,40.6,39.9,40.25,46.15384610414201,-0.02614100209028436,-0.1481171412963499,1.1972189997378697,,0.0,Neutral
2011-05-12,41.0,41.0,41.0,41.0,2000.0,40.8,40.1,40.3,46.15384610414201,0.027689790891223254,-0.11295575485883527,1.197218999737867,,0.0,Neutral
2011-05-15,41.0,41.0,40.0,41.0,12260.0,40.8,40.4,40.35,49.99999994166666,0.06954936042499327,-0.07645473180206958,0.9660917830792937,,0.0,Neutral
2011-05-16,41.0,44.0,42.0,44.0,450.0,41.4,41.0,40.55,64.28571422142858,0.3408689734736754,0.007010009253079423,1.1547005383792426,,0.0,Neutral
2011-05-18,44.0,43.0,43.0,43.0,1000.0,42.0,41.3,40.7,57.14285708571428,0.46978469340099593,0.09956494608266273,1.25166555703456,,0.0,Neutral
2011-05-23,43.0,44.0,43.0,43.0,1900.0,42.4,41.5,40.85,66.66666658888889,0.5654333663537372,0.19273863013687764,1.354006400772645,,0.0,Neutral
2011-05-24,43.0,42.0,42.0,42.0,1000.0,42.6,41.7,40.85,66.66666658888889,0.5541560204750766,0.26502210820451744,1.251665557034552,,0.0,Neutral
2011-05-25,42.0,41.0,40.0,40.0,16400.0,42.4,41.6,40.75,57.14285708571428,0.3794611652085962,0.2879099196053332,1.3498971154210888,,0.0,Neutral
2011-05-26,40.0,39.0,39.0,39.0,2900.0,41.4,41.4,40.65,46.15384610414201,0.15849555307436702,0.26202704629914,1.5776212754932195,,0.0,Neutral
2011-05-31,39.0,39.0,39.0,39.0,1000.0,40.6,41.3,40.6,41.66666661805556,-0.01643187014275327,0.20633526301076136,1.7029386365926307,,0.0,Neutral
