Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2012-02-27,0.0,254.0,254.0,254.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-27,0.7015006691217421,Strongly Positive
2012-02-29,254.0,249.0,245.0,245.0,2224.0,0.0,0.0,0.0,0.0,-0.7179487179487012,-0.14358974358974025,0.0,2012-02-29,0.4161792695522308,Positive
2012-03-06,245.0,241.0,225.0,225.0,50.0,0.0,0.0,0.0,0.0,-2.867703995909096,-0.6884125940536114,0.0,,0.0,Neutral
2012-03-13,225.0,221.0,209.0,209.0,40.0,0.0,0.0,0.0,0.0,-5.795658085525815,-1.7098616923480523,0.0,,0.0,Neutral
2012-03-14,209.0,205.0,189.0,189.0,60.0,224.4,0.0,0.0,0.0,-9.619033419720978,-3.2916960378226374,0.0,,0.0,Neutral
2012-03-15,189.0,186.0,171.0,171.0,60.0,207.8,0.0,0.0,0.0,-13.940834226629164,-5.421523675583943,0.0,,0.0,Neutral
2012-03-18,171.0,168.0,154.0,154.0,79.0,189.6,0.0,0.0,0.0,-18.524115950256686,-8.042042130518492,0.0,,0.0,Neutral
2012-03-19,154.0,151.0,139.0,139.0,82.0,172.4,0.0,0.0,0.0,-23.100486349677,-11.053730974350195,0.0,,0.0,Neutral
2012-03-20,139.0,137.0,126.0,130.0,62910.0,156.6,0.0,0.0,0.0,-27.14065704609257,-14.27111618869867,0.0,,0.0,Neutral
2012-03-21,130.0,131.0,126.0,131.0,19823.0,145.0,184.7,0.0,0.0,-29.916965631078085,-17.400286077174556,46.86398759530961,,0.0,Neutral
2012-03-25,131.0,131.0,129.0,131.0,7490.0,137.0,172.4,0.0,0.0,-31.75120209360432,-20.27046928046051,42.60203438021866,,0.0,Neutral
2012-03-26,131.0,133.0,130.0,132.0,15479.0,132.6,161.1,0.0,0.0,-32.74667280249406,-22.76570998486722,35.61975107530465,,0.0,Neutral
2012-03-27,132.0,134.0,131.0,134.0,12407.0,131.6,152.0,0.0,0.0,-32.9938743800858,-24.811342863910937,28.366647081857717,,0.0,Neutral
2012-03-28,134.0,139.0,133.0,137.0,13523.0,133.0,144.8,0.0,0.0,-32.57223602201569,-26.363521495531888,20.274779078122336,,0.0,Neutral
2012-03-29,137.0,138.0,135.0,135.0,10263.0,133.8,139.4,0.0,5.263157894182825,-32.030243165726944,-27.4968658295709,13.125039682479724,,0.0,Neutral
2012-04-01,135.0,138.0,134.0,136.0,10278.0,134.8,135.9,0.0,6.39999999928321,-31.160815792102113,-28.229655822077145,6.9992063042097765,,0.0,Neutral
2012-04-02,136.0,139.0,136.0,139.0,9248.0,136.2,134.4,0.0,10.185185183864888,-29.885215248184068,-28.56076770729853,3.3399933466335887,,0.0,Neutral
2012-04-03,139.0,145.0,139.0,144.0,2732.0,138.2,134.9,0.0,16.49484535844404,-28.14638046023478,-28.477890257885782,4.332051092342716,,0.0,Neutral
2012-04-04,144.0,142.0,140.0,142.0,2269.0,139.2,136.1,0.0,20.25316455337284,-26.622833199474115,-28.10687884620345,4.4833023542920865,,0.0,Neutral
2012-04-05,142.0,144.0,141.0,144.0,2037.0,141.0,137.4,161.05,28.57142856507936,-24.966232545607795,-27.47874958608432,4.718756898449801,,0.0,Neutral
2012-04-08,144.0,144.0,140.0,140.0,3641.0,141.8,138.3,155.35,35.99999998992,-23.702898898896507,-26.72357944864676,4.191260749066751,,0.0,Neutral
2012-04-09,140.0,142.0,140.0,141.0,2302.0,142.2,139.2,150.15,52.777777757253084,-22.36321699450565,-25.85150695781854,3.6147844564603804,,0.0,Neutral
2012-04-10,141.0,146.0,140.0,146.0,4696.0,142.6,140.4,146.2,74.9999999671875,-20.65989679027342,-24.813184924309517,3.6878177829172785,,0.0,Neutral
2012-04-11,146.0,150.0,140.0,146.0,11950.0,143.4,141.3,143.05,74.19354835359002,-19.089946239490075,-23.66853718734563,3.860051813123876,,0.0,Neutral
2012-04-12,146.0,160.0,148.0,160.0,12740.0,146.6,143.8,141.6,82.22222219664198,-16.52556963999325,-22.239943677875157,6.511528238439962,,0.0,Neutral
2012-04-15,160.0,176.0,163.0,176.0,6574.0,153.8,147.8,141.85,86.66666664644444,-13.051763818279284,-20.402307705955984,11.535452599125351,,0.0,Neutral
2012-04-16,176.0,191.0,179.0,191.0,8164.0,163.8,153.0,143.7,89.04109587333458,-8.984801834676858,-18.118806531700162,17.37175229439388,,0.0,Neutral
2012-04-17,191.0,210.0,181.0,181.0,9132.0,170.8,156.7,145.8,77.4999999864375,-6.4937655018296425,-15.793798325726058,19.096538371594445,,0.0,Neutral
