Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2011-03-25,126.0,124.0,124.0,124.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2011-06-08,124.0,122.0,122.0,122.0,10.0,0.0,0.0,0.0,0.0,-0.15954415954415424,-0.03190883190883085,0.0,,0.0,Neutral
2011-06-23,114.0,113.0,110.0,113.0,246.0,0.0,0.0,0.0,0.0,-1.0006736958303861,-0.22566180469314193,0.0,2011-06-23,0.9211758375167848,Strongly Positive
2011-06-30,113.0,115.0,115.0,115.0,10.0,0.0,0.0,0.0,0.0,-1.4887304698913368,-0.478275537732781,0.0,,0.0,Neutral
2011-07-19,115.0,110.0,110.0,110.0,10.0,116.8,0.0,0.0,0.0,-2.253005942789329,-0.8332216187440906,0.0,,0.0,Neutral
2011-07-20,110.0,108.0,108.0,108.0,20.0,113.6,0.0,0.0,0.0,-2.9856661458542675,-1.2637105241661262,0.0,,0.0,Neutral
2011-07-21,108.0,103.0,103.0,103.0,20.0,109.8,0.0,0.0,0.0,-3.9245233859096516,-1.7958730965148313,0.0,,0.0,Neutral
2011-07-24,103.0,101.0,101.0,101.0,1232.0,107.4,0.0,0.0,0.0,-4.7749155439483815,-2.3916815860015417,0.0,,0.0,Neutral
2011-07-27,101.0,101.0,101.0,101.0,198.0,104.6,0.0,0.0,0.0,-5.386762214275606,-2.9906977116563547,0.0,,0.0,Neutral
2011-08-01,101.0,101.0,101.0,101.0,34.0,102.8,109.8,0.0,0.0,-5.804741660095772,-3.5535065013442386,8.625543461139129,,0.0,Neutral
2011-08-02,101.0,101.0,99.0,99.0,62.0,101.0,107.3,0.0,0.0,-6.225611691321319,-4.087927539339655,7.616502551113014,,0.0,Neutral
2011-08-03,99.0,98.0,97.0,97.0,50.0,99.8,104.8,0.0,0.0,-6.643950186539968,-4.599132068779718,6.232531142677456,,0.0,Neutral
2011-08-04,97.0,96.0,95.0,95.0,94.0,98.6,103.0,0.0,0.0,-7.0555378943432885,-5.090413233892432,6.200358412579418,,0.0,Neutral
2011-08-10,95.0,94.0,94.0,94.0,10.0,97.2,100.9,0.0,0.0,-7.37737398570664,-5.547805384255274,5.152130088074676,,0.0,Neutral
2011-08-11,94.0,93.0,93.0,93.0,44.0,95.6,99.2,0.0,5.714285711999992,-7.625224211296654,-5.9632891496635505,4.589843860815598,,0.0,Neutral
2011-09-04,93.0,92.0,91.0,91.0,31.0,94.0,97.5,0.0,5.714285711999992,-7.892055878510519,-6.349042495432944,4.089281382128436,,0.0,Neutral
2011-09-14,91.0,90.0,88.0,88.0,1534.0,92.2,96.0,0.0,6.89655172080856,-8.250490308623824,-6.729332058071121,4.57043640026737,,0.0,Neutral
2011-11-13,88.0,90.0,89.0,90.0,91.0,91.2,94.9,0.0,6.89655172080856,-8.277748163457645,-7.039015279148426,4.55704582670251,,0.0,Neutral
2012-01-08,90.0,89.0,89.0,89.0,31.0,90.2,93.7,0.0,7.999999995519985,-8.284542799997439,-7.288120783318229,4.347413023856844,,0.0,Neutral
2017-06-06,94.0,103.0,95.0,103.0,200.0,92.2,93.9,101.85,43.24324322688093,-7.078646372215275,-7.246225901097638,4.74809903481852,,0.0,Neutral
2017-06-07,103.0,113.0,105.0,113.0,50.0,96.6,95.3,101.3,61.904761884126984,-5.255466591221065,-6.848074039122324,7.616502551113027,,0.0,Neutral
2017-06-08,113.0,124.0,115.0,124.0,60.0,103.8,98.0,101.4,72.54901958792772,-2.8896651492316323,-6.056392261144185,11.879019787470313,,0.0,Neutral
2017-06-11,124.0,136.0,126.0,136.0,100.0,113.0,102.1,102.55,77.77777776049382,-0.04592139668457662,-4.854298088252264,16.789216115643338,,0.0,Neutral
2017-06-12,136.0,149.0,138.0,149.0,70.0,125.0,107.6,104.25,81.57894735339335,3.2196433256435597,-3.2395098054730997,22.031290878606683,,0.0,Neutral
2017-06-13,149.0,163.0,151.0,163.0,50.0,137.0,114.6,106.9,86.3636363498967,6.8582522297394775,-1.2199573984305843,27.354463377421006,,0.0,Neutral
2017-06-14,163.0,178.0,162.0,175.0,9802.0,149.4,123.0,110.25,89.79591835451895,10.588122428336106,1.1416585669227537,31.832897030168866,,0.0,Neutral
2017-06-15,175.0,192.0,175.0,187.0,7449.0,162.0,132.9,114.45,92.59259258058985,14.346987997853844,3.782724453108972,34.97761188722486,,0.0,Neutral
2017-06-18,187.0,184.0,178.0,178.0,1000.0,170.4,141.7,118.3,86.20689654131985,16.41052098824119,6.308283760135415,34.04262034567844,,0.0,Neutral
2017-06-20,178.0,175.0,175.0,175.0,100.0,175.6,150.3,122.0,84.74576270180982,17.60091839110035,8.566810686328402,29.85539221722676,,0.0,Neutral
2017-06-21,175.0,172.0,172.0,172.0,85.0,177.4,157.2,125.55,84.03361343549184,18.093669423071475,10.472182433677018,25.341226840423044,,0.0,Neutral
2017-06-25,172.0,169.0,155.0,155.0,11897.0,173.4,161.4,128.35,75.1879699168975,16.917406904837208,11.761227327909056,20.150544519800047,,0.0,Neutral
2017-06-27,155.0,155.0,140.0,140.0,9258.0,164.0,163.0,130.5,67.12328766479641,14.606461548330742,12.330274171993393,17.28197519575427,,0.0,Neutral
2017-06-28,140.0,154.0,140.0,154.0,907.0,159.2,164.8,133.45,70.44025156612476,13.746245539121048,12.613468445418924,14.935416521365102,,0.0,Neutral
2017-07-02,154.0,151.0,148.0,148.0,250.0,153.8,164.7,136.15,64.90066224563836,12.437002277898387,12.578175211914818,15.055822055861872,,0.0,Neutral
2017-07-03,148.0,146.0,144.0,144.0,400.0,148.2,162.8,138.7,60.689655166554104,10.95042134927212,12.25262443938628,16.43032426811944,,0.0,Neutral
2017-07-04,144.0,145.0,141.0,141.0,3958.0,145.4,159.4,141.2,56.20437955630029,9.421613825712825,11.686422316651589,17.128274220649814,,0.0,Neutral
2017-07-05,141.0,139.0,135.0,135.0,1265.0,144.4,154.2,143.55,49.618320605384305,7.637828856249428,10.876703624571158,15.647506013561511,,0.0,Neutral
2017-07-06,135.0,133.0,128.0,128.0,6164.0,139.2,149.2,145.45,41.5999999953408,5.594831186655597,9.820329136988045,15.178932768808203,,0.0,Neutral
2017-07-09,128.0,132.0,124.0,132.0,18330.0,136.0,144.9,147.6,36.52173912598866,4.249521545957805,8.706167618781997,12.991022541226931,,0.0,Neutral
2017-07-10,132.0,145.0,134.0,143.0,6860.0,135.8,142.0,149.6,35.964912276285006,4.024569302722114,7.76984795557002,8.84433277428104,,0.0,Neutral
2017-07-11,143.0,148.0,144.0,146.0,650.0,136.8,141.1,151.25,30.476190472126987,4.0417768693867515,7.024233738333367,7.766738197095469,,0.0,Neutral
2017-07-12,146.0,148.0,135.0,148.0,2447.0,139.4,141.9,152.45,34.69387754606413,4.168742605441565,6.453135511755007,8.047774019358782,,0.0,Neutral
2017-07-13,148.0,146.0,143.0,143.0,3166.0,142.4,140.8,152.8,33.99999999524,3.8218497478726476,5.926878358978535,6.876691711054703,,0.0,Neutral
2017-07-16,143.0,145.0,141.0,141.0,317.0,144.2,140.1,152.4,34.343434338577694,3.346969591681898,5.410896605519208,6.4022565466317,,0.0,Neutral
2017-07-17,141.0,147.0,143.0,147.0,600.0,145.0,140.4,151.6,45.45454544731405,3.4154028642768424,5.011797857270736,6.669999167083042,,0.0,Neutral
2017-07-18,147.0,147.0,140.0,141.0,2039.0,144.0,140.4,149.9,50.63291138343215,2.951464227543198,4.599731131325228,6.669999167083042,,0.0,Neutral
2017-07-19,141.0,139.0,139.0,139.0,300.0,142.2,140.8,147.5,38.80597014114502,2.3948004611274882,4.15874499728568,6.4256430720114315,,0.0,Neutral
2017-07-20,139.0,144.0,137.0,144.0,2550.0,142.4,142.4,145.8,46.9696969597337,2.330237106116556,3.7930434190518554,4.623610902506553,,0.0,Neutral
2017-07-23,144.0,148.0,140.0,140.0,1420.0,142.2,143.2,144.05,46.9696969597337,1.9340095532604948,3.4212366458935835,3.0477678535099435,,0.0,Neutral
2017-07-24,140.0,140.0,136.0,136.0,2378.0,140.0,142.5,142.25,46.26865670674983,1.2824465468546578,2.993478626085799,3.807886552931912,,0.0,Neutral
2017-07-25,136.0,140.0,138.0,140.0,2372.0,139.8,141.9,141.5,53.84615383455622,1.076436253552572,2.6100701515791536,3.665151201974208,,0.0,Neutral
2017-07-26,140.0,144.0,140.0,142.0,4180.0,140.4,141.3,141.6,61.666666652277776,1.0623092573352722,2.3005179727303773,2.983286778035196,,0.0,Neutral
