Date_Stock,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,MACD_signal,Volatility,Date_News,Sentiment_Score,Prediction
2013-09-08,140.0,140.0,140.0,140.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Neutral
2013-09-10,140.0,138.0,136.0,136.0,250.0,0.0,0.0,0.0,0.0,-0.3190883190883085,-0.0638176638176617,0.0,,0.0,Neutral
2013-09-17,136.0,134.0,132.0,132.0,710.0,0.0,0.0,0.0,0.0,-0.8845382748516499,-0.22796178602445938,0.0,,0.0,Neutral
2013-09-19,132.0,130.0,130.0,130.0,2500.0,0.0,0.0,0.0,0.0,-1.4770185732434413,-0.4777731434682558,0.0,,0.0,Neutral
2013-09-30,130.0,128.0,124.0,124.0,950.0,132.4,0.0,0.0,0.0,-2.403012897359588,-0.8628210942465222,0.0,,0.0,Neutral
2013-10-01,124.0,122.0,118.0,118.0,750.0,128.0,0.0,0.0,0.0,-3.5797547422100138,-1.4062078238392206,0.0,,0.0,Neutral
2013-10-03,118.0,116.0,112.0,112.0,1000.0,123.2,0.0,0.0,0.0,-4.939541033848286,-2.112874465841034,0.0,,0.0,Neutral
2013-10-17,112.0,110.0,110.0,110.0,2070.0,118.8,0.0,0.0,0.0,-6.10815375768054,-2.911930324208935,0.0,,0.0,Neutral
2013-12-12,110.0,108.0,106.0,106.0,400.0,114.0,0.0,0.0,0.0,-7.273213256322009,-3.7841869106315498,0.0,,0.0,Neutral
2013-12-18,106.0,104.0,104.0,104.0,440.0,110.0,121.2,0.0,0.0,-8.262667698205519,-4.679883068146344,13.002563849743893,,0.0,Neutral
2013-12-26,104.0,106.0,106.0,106.0,500.0,107.6,117.8,0.0,0.0,-8.784175677479439,-5.5007415900129635,11.942454614618482,,0.0,Neutral
2013-12-29,106.0,108.0,108.0,108.0,260.0,106.8,115.0,0.0,0.0,-8.933115824460671,-6.187216436902506,10.381607668264959,,0.0,Neutral
2014-01-02,108.0,106.0,106.0,106.0,1800.0,106.0,112.4,0.0,0.0,-9.107549092614505,-6.771282968044906,8.783823515733658,,0.0,Neutral
2014-01-12,106.0,110.0,108.0,110.0,600.0,106.8,110.4,0.0,0.0,-8.821335281708073,-7.18129343077754,6.239658110292054,,0.0,Neutral
2014-01-13,110.0,112.0,108.0,108.0,4700.0,107.6,108.8,0.0,16.66666666180555,-8.656109814112341,-7.4762567074445005,4.022160834399575,,0.0,Neutral
2014-01-16,108.0,108.0,108.0,108.0,210.0,108.0,107.8,0.0,18.181818176033048,-8.428014535350869,-7.6666082730257745,2.3944379994757554,,0.0,Neutral
2014-01-22,108.0,108.0,108.0,108.0,200.0,108.0,107.4,0.0,19.999999993000003,-8.153261658425507,-7.763938950105721,1.8973665961010628,,0.0,Neutral
2014-01-23,108.0,110.0,110.0,110.0,100.0,108.8,107.4,0.0,24.999999991250007,-7.68554061059595,-7.748259282203767,1.8973665961010628,,0.0,Neutral
2014-01-26,110.0,108.0,106.0,106.0,2550.0,108.0,107.4,0.0,26.31578946398892,-7.550596306905007,-7.708726687144016,1.8973665961010628,,0.0,Neutral
2014-02-03,106.0,108.0,108.0,108.0,200.0,108.0,107.8,114.5,35.29411763252595,-7.199279871740842,-7.606837324063381,1.475729574745287,,0.0,Neutral
2014-02-06,118.0,126.0,120.0,126.0,970.0,111.6,109.8,113.8,65.21739128449906,-5.406091441093793,-7.166688147469464,5.84617633823834,,0.0,Neutral
2014-02-09,126.0,124.0,124.0,124.0,1160.0,114.8,111.4,113.2,65.21739128449906,-4.09910801034647,-6.553172120044866,7.306009702825327,,0.0,Neutral
