S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1/8/2026,294.3,303,294.3,300,0.1,"39,057.00","11,691,238.40"
2,1/7/2026,300,300,294,299.7,0.77,"29,448.00","8,748,832.20"
3,1/6/2026,297,297.4,292.6,297.4,1.5,"43,501.00","12,857,015.30"
4,1/5/2026,294.8,295,292.1,293,0.34,"17,448.00","5,129,810.80"
5,1/4/2026,290,295,288.3,292,-1.02,"43,097.00","12,521,869.30"
6,1/1/2026,295,296.5,290,295,-1.01,"89,799.00","26,242,678.00"
7,12/31/2025,294.4,298.5,292,298,1.22,"51,018.00","15,100,726.30"
8,12/29/2025,302.9,302.9,292,294.4,-0.88,"31,487.00","9,295,774.00"
9,12/28/2025,291,316.8,286,297,3.13,"49,373.00","14,481,034.80"
10,12/24/2025,286,290,285.2,288,0.38,"20,792.00","5,948,636.70"
11,12/23/2025,288,290,285.2,286.9,-0.66,"23,575.00","6,746,825.50"
12,12/22/2025,288,290,286,288.8,-0.35,"20,208.00","5,801,029.30"
13,12/21/2025,290,291,287.2,289.8,-0.75,"27,646.00","7,969,548.30"
14,12/18/2025,297,297,291,292,-0.68,"11,848.00","3,463,805.30"
15,12/17/2025,294.9,296,292,294,0.38,"26,518.00","7,791,190.30"
16,12/16/2025,292,292.9,288,292.9,1.21,"14,912.00","4,341,221.60"
17,12/15/2025,288,290,286.2,289.4,-0.21,"24,328.00","7,006,418.90"
18,12/14/2025,292,293,287.1,290,-0.68,"27,744.00","8,008,254.70"
19,12/11/2025,293,293,288,292,0.21,"26,009.00","7,529,284.40"
20,12/10/2025,297,297,290,291.4,-0.31,"24,514.00","7,124,583.70"
21,12/9/2025,298.9,298.9,292,292.3,-1.45,"37,931.00","11,132,498.70"
22,12/8/2025,302,302,295,296.6,-0.77,"24,934.00","7,391,367.60"
23,12/7/2025,304,304,295.5,298.9,0.23,"22,681.00","6,735,304.10"
24,12/3/2025,304,304,298.1,298.2,-0.93,"23,796.00","7,133,576.80"
25,12/2/2025,302.9,302.9,300,301,-0.95,"40,658.00","12,222,393.70"
26,12/1/2025,305,306,300.3,303.9,-1.01,"56,148.00","16,981,122.60"
27,11/30/2025,322.4,322.4,306,307,-3.63,"67,768.00","20,956,928.80"
28,11/27/2025,330,330,322.1,328.9,1.36,"192,110.00","62,835,151.20"
29,11/26/2025,325,325,321,324.5,1.41,"63,588.00","20,576,015.00"
30,11/25/2025,319,321,316.3,320,0.95,"48,790.00","15,555,151.10"
31,11/24/2025,317.9,318,312,317,0.32,"33,678.00","10,682,338.50"
32,11/23/2025,315,316,313.2,316,1.15,"61,239.00","19,272,047.00"
33,11/20/2025,312,313.9,312,312.4,-0.13,"23,008.00","7,195,946.30"
34,11/19/2025,315,315,312,312.8,-0.54,"22,061.00","6,893,003.70"
35,11/18/2025,314,316.9,311.6,314.5,0.26,"24,019.00","7,533,338.60"
36,11/17/2025,318.2,318.2,310.1,313.7,0.54,"24,424.00","7,619,221.40"
37,11/16/2025,313,314.5,310.1,312,0,"22,740.00","7,086,510.60"
38,11/13/2025,313,313.9,311.5,312,-0.32,"39,923.00","12,469,171.30"
39,11/12/2025,313,316.9,312,313,-0.25,"19,975.00","6,242,919.60"
40,11/11/2025,312,314,312,313.8,0.38,"29,052.00","9,089,277.50"
41,11/10/2025,315,315,312,312.6,-0.76,"60,370.00","18,863,894.30"
42,11/9/2025,318,318.8,312,315,-0.94,"121,484.00","38,117,064.40"
43,11/6/2025,317,320.8,316,318,0.95,"223,177.00","71,060,057.80"
44,11/5/2025,309.1,315,308,315,0.96,"41,787.00","12,968,375.10"
45,11/4/2025,322,322,309.1,312,-1.58,"56,192.00","17,517,405.30"
46,11/3/2025,320.3,320.3,312,317,0.63,"26,537.00","8,347,086.80"
47,11/2/2025,319.7,325.9,313,315,0.48,"34,431.00","10,855,529.00"
48,10/30/2025,316.6,319.9,310,313.5,0.48,"28,033.00","8,779,259.10"
49,10/29/2025,308.7,320,308.7,312,-0.95,"27,920.00","8,746,121.80"
50,10/28/2025,309,318,309,315,1.94,"20,072.00","6,307,339.60"
51,10/26/2025,310,310,305,309,-0.29,"18,308.00","5,623,206.80"
52,10/19/2025,307.9,311,305,309.9,0.32,"14,571.00","4,476,640.70"
53,10/16/2025,312,312,305.5,308.9,0.29,"18,464.00","5,661,314.40"
54,10/15/2025,308,308.5,306,308,-0.32,"24,390.00","7,493,603.40"
55,10/14/2025,310.5,313.9,307,309,-0.32,"26,968.00","8,314,724.90"
56,10/13/2025,307,311,306.2,310,0.75,"18,227.00","5,619,864.70"
57,10/12/2025,317,317,307,307.7,-2.93,"73,570.00","22,745,799.30"
58,10/9/2025,318,324,314,317,1.47,"44,571.00","14,183,868.30"
59,10/8/2025,315,315,310.5,312.4,-1.42,"43,145.00","13,452,253.40"
60,10/7/2025,320,322.9,315.8,316.9,-0.81,"35,362.00","11,215,883.70"
61,9/28/2025,317.3,321,315,319.5,0.69,"26,821.00","8,532,207.90"
62,9/25/2025,311,317.9,311,317.3,0.41,"29,186.00","9,236,251.30"
63,9/24/2025,321.5,321.5,312,316,-0.32,"28,083.00","8,841,447.30"
64,9/23/2025,317,321,312.2,317,0,"61,925.00","19,628,069.40"
65,9/21/2025,293,322,293,317.01,6.13,"67,958.00","21,036,109.00"
66,9/18/2025,310.9,310.9,293,298.7,-5.82,"3,170.00","948,638.00"
67,9/8/2025,320.3,321,317,317.16,-1.23,"69,424.00","22,091,514.00"
68,9/7/2025,327.8,327.8,320.6,321.11,-1.11,"49,379.00","15,897,110.90"
69,9/4/2025,324,325.4,322.2,324.71,0.19,"32,179.00","10,417,268.60"
70,9/3/2025,323.5,326.7,323.5,324.08,-0.44,"29,206.00","9,482,167.10"
71,9/2/2025,334,334,325,325.5,-0.6,"25,961.00","8,487,008.40"
72,9/1/2025,329.6,329.6,323.2,327.47,1.31,"37,584.00","12,228,556.10"
73,8/31/2025,331,331,322.5,323.22,-1.32,"42,198.00","13,713,519.10"
74,8/28/2025,327.1,332,326,327.55,-1.13,"66,102.00","21,736,108.50"
75,8/27/2025,332.8,332.8,326,331.31,1.54,"45,857.00","15,106,965.60"
76,8/26/2025,326,329,325.4,326.28,-0.06,"27,429.00","8,951,746.50"
77,8/25/2025,323,328,323,326.49,0.09,"53,184.00","17,307,499.80"
78,8/24/2025,330.9,330.9,326,326.2,-0.93,"50,565.00","16,540,565.60"
79,8/21/2025,333,334,328.6,329.26,-0.97,"56,884.00","18,775,560.30"
80,8/20/2025,336,338,332.1,332.5,-0.94,"31,830.00","10,611,929.60"
81,8/19/2025,338,339,335,335.67,-0.6,"42,199.00","14,206,187.00"
82,8/18/2025,337,338.8,334,337.68,0.9,"81,072.00","27,303,826.80"
83,8/17/2025,332.5,337,332,334.66,0.66,"80,302.00","26,881,288.10"
84,8/14/2025,331.1,333.9,330.3,332.45,0.6,"86,636.00","28,776,378.50"
85,8/13/2025,332,335,330,330.48,-0.15,"77,384.00","25,688,106.50"
86,8/12/2025,333,334.5,328,330.97,-1.04,"123,924.00","41,007,028.90"
87,8/11/2025,333.3,344.9,333,334.44,2.32,"377,771.00","127,070,981.70"
88,8/7/2025,334.3,334.3,325.1,326.85,-0.29,"41,801.00","13,696,872.30"
89,8/6/2025,331.8,331.8,322.5,327.8,0.74,"47,800.00","15,610,082.00"
90,8/5/2025,325.6,334,325,325.39,-0.77,"52,835.00","17,323,759.50"
91,8/4/2025,322,329,322,327.91,0.47,"73,743.00","24,069,357.30"
92,8/3/2025,328,329.9,323,326.37,-1.75,"89,591.00","29,224,450.40"
93,7/31/2025,334.8,336.6,327,332.18,0.03,"128,639.00","42,777,783.90"
94,7/30/2025,342,342,331.5,332.08,-0.98,"109,653.00","36,788,785.70"
95,7/29/2025,338.4,340.1,333.1,335.35,1.07,"187,129.00","63,071,404.20"
96,7/28/2025,330,333.5,324,331.79,-0.07,"118,015.00","38,745,121.40"
97,7/27/2025,329.9,339,329.9,332.03,-1.35,"129,779.00","43,423,538.00"
98,7/24/2025,338,341,335.1,336.59,-0.89,"72,244.00","24,367,907.80"
99,7/23/2025,340,342,334.2,339.6,0.01,"121,584.00","41,182,967.20"
100,7/22/2025,338,341.9,334,339.57,2.25,"142,308.00","48,286,338.80"
101,7/21/2025,331,335,325.4,332.11,0.57,"104,403.00","34,510,759.50"
102,7/20/2025,334.9,342,326,330.22,-0.42,"226,513.00","76,062,087.30"
103,7/17/2025,328,333.5,328,331.6,1.37,"187,049.00","62,017,332.40"
104,7/16/2025,329.9,330.1,324,327.13,1.06,"142,187.00","46,621,305.00"
105,7/15/2025,312.1,326,311.7,323.7,2.53,"106,227.00","33,639,078.00"
106,7/14/2025,329,329,314.2,315.71,-3.46,"115,004.00","36,558,787.30"
107,7/13/2025,320.9,333.5,320.9,327.02,3.91,"215,092.00","70,109,382.30"
108,7/10/2025,304.2,320,304.1,314.7,3.45,"258,347.00","81,470,959.80"
109,7/9/2025,301,307,295.1,304.2,2.4,"122,851.00","37,052,937.60"
110,7/8/2025,295.2,299,294,297.08,0.19,"76,334.00","22,577,732.40"
111,7/7/2025,297,303.5,296,296.51,-1.14,"58,749.00","17,604,399.30"
112,7/6/2025,300,306,297,299.94,-0.27,"72,632.00","21,844,890.70"
113,7/3/2025,303,305,297,300.74,0.03,"123,907.00","37,182,630.50"
114,7/2/2025,295,301.8,294,300.65,2.37,"124,408.00","37,171,581.20"
115,7/1/2025,281.6,296,281.6,293.7,2.23,"65,159.00","18,965,466.80"
116,6/30/2025,290,291,286,287.28,0.21,"25,817.00","7,430,581.20"
117,6/29/2025,285,287.4,280,286.67,1.71,"37,928.00","10,772,527.80"
118,6/26/2025,281.8,284,281.1,281.85,0.04,"30,005.00","8,456,034.10"
119,6/25/2025,286,286,281,281.73,0.09,"17,868.00","5,036,748.60"
120,6/24/2025,280.1,285.7,277,281.48,0.09,"24,677.00","6,983,497.50"
121,6/23/2025,278.5,282.4,278.5,281.24,0.06,"28,893.00","8,105,916.60"
122,6/22/2025,284,287,280.5,281.08,-1.09,"37,857.00","10,678,944.00"
123,6/19/2025,280,285,280,284.18,-0.47,"19,789.00","5,620,534.70"
124,6/18/2025,285,288,284,285.52,0.26,"17,243.00","4,924,385.60"
125,6/17/2025,286.2,287,283.1,284.77,-0.45,"19,099.00","5,428,592.10"
126,6/16/2025,289,289,284.5,286.05,0.63,"25,471.00","7,275,801.70"
127,6/15/2025,286.1,288,284,284.25,-0.68,"35,850.00","10,207,666.60"
128,6/12/2025,285,289.3,285,286.2,-0.66,"28,838.00","8,250,613.90"
129,6/11/2025,284.5,291,284.2,288.09,-0.08,"13,387.00","3,857,620.90"
