S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,1/8/2026,"1,280.00","1,302.00","1,272.30","1,302.00",1.67,"17,008.00","21,870,697.40"
2,1/7/2026,"1,319.00","1,329.90","1,280.40","1,280.60",-2.98,"26,625.00","34,557,010.70"
3,1/6/2026,"1,397.40","1,405.00","1,311.00","1,320.00",-3.65,"42,489.00","57,473,625.50"
4,1/5/2026,"1,320.10","1,377.00","1,320.00","1,370.00",3.01,"82,025.00","110,346,653.50"
5,1/4/2026,"1,265.20","1,333.10","1,260.00","1,330.00",4.23,"40,955.00","52,805,711.00"
6,1/1/2026,"1,267.00","1,300.00","1,263.00","1,276.00",0.71,"20,163.00","25,919,231.20"
7,12/31/2025,"1,263.00","1,285.00","1,231.00","1,267.00",1.21,"23,427.00","29,622,646.50"
8,12/29/2025,"1,255.00","1,273.00","1,237.00","1,251.90",-0.25,"14,045.00","17,536,063.10"
9,12/28/2025,"1,235.00","1,264.00","1,222.00","1,255.10",1.3,"9,898.00","12,367,228.10"
10,12/24/2025,"1,242.00","1,264.90","1,225.00","1,239.00",-0.24,"6,130.00","7,573,593.70"
11,12/23/2025,"1,201.00","1,244.00","1,201.00","1,242.00",1.47,"8,198.00","10,014,343.20"
12,12/22/2025,"1,230.00","1,238.50","1,200.20","1,224.00",0.41,"10,641.00","12,876,883.80"
13,12/21/2025,"1,243.00","1,243.00","1,205.60","1,219.00",-1.93,"9,665.00","11,769,655.30"
14,12/18/2025,"1,276.00","1,276.00","1,240.10","1,243.00",-2.65,"11,655.00","14,543,998.10"
15,12/17/2025,"1,244.00","1,390.00","1,244.00","1,276.90",0.62,"9,729.00","12,329,787.50"
16,12/16/2025,"1,261.00","1,290.00","1,257.00","1,269.00",0.92,"10,815.00","13,749,702.20"
17,12/15/2025,"1,200.00","1,275.00","1,200.00","1,257.40",4.09,"22,544.00","28,144,105.00"
18,12/14/2025,"1,220.00","1,244.00","1,200.00","1,208.00",-1.79,"16,281.00","19,749,311.50"
19,12/11/2025,"1,255.00","1,260.00","1,228.00","1,230.00",-1.99,"14,436.00","17,861,693.90"
20,12/10/2025,"1,256.00","1,280.00","1,250.00","1,255.00",-0.41,"10,754.00","13,509,532.50"
21,12/9/2025,"1,243.70","1,284.90","1,243.70","1,260.20",-0.69,"10,348.00","13,161,676.90"
22,12/8/2025,"1,260.00","1,281.00","1,246.10","1,269.00",-0.2,"21,032.00","26,644,138.80"
23,12/7/2025,"1,337.20","1,337.20","1,270.00","1,271.50",-3.01,"26,154.00","33,779,849.20"
24,12/3/2025,"1,200.50","1,330.00","1,200.50","1,311.00",7.02,"72,151.00","92,283,090.50"
25,12/2/2025,"1,220.00","1,225.00","1,201.00","1,225.00",0.82,"11,587.00","14,045,019.90"
26,12/1/2025,"1,218.00","1,239.90","1,209.00","1,215.00",-1.06,"10,546.00","12,843,013.70"
27,11/30/2025,"1,247.00","1,278.00","1,223.00","1,228.00",-1.52,"25,206.00","31,572,576.60"
28,11/27/2025,"1,160.00","1,264.00","1,160.00","1,247.00",5.77,"38,132.00","46,858,381.20"
29,11/26/2025,"1,199.90","1,199.90","1,170.00","1,179.00",-0.08,"7,681.00","9,017,568.80"
30,11/25/2025,"1,187.00","1,192.00","1,170.00","1,180.00",-1.02,"8,729.00","10,286,967.20"
31,11/24/2025,"1,200.00","1,217.00","1,191.10","1,192.20",-0.54,"10,067.00","12,071,007.70"
32,11/23/2025,"1,198.00","1,220.00","1,180.00","1,198.70",0.23,"7,858.00","9,490,796.20"
33,11/20/2025,"1,180.00","1,233.00","1,180.00","1,195.90",1.35,"22,132.00","26,733,019.50"
34,11/19/2025,"1,162.80","1,183.00","1,136.00","1,180.00",3.51,"11,941.00","13,802,819.80"
