Date,Headline,Link,Full Content
2025-12-09,IPO shares of SY Panel Nepal Limited Listed in NEPSE; What is the Opening Ranges?,https://www.sharesansar.com/newsdetail/ipo-shares-of-sy-panel-nepal-limited-listed-in-nepse-what-is-the-opening-ranges-2025-12-09,"1,30,81,371 units IPO shares of
SY Panel Nepal Limited (SYPNL)
have been listed in NEPSE. This includes the shares held by promoters and the quantity issued to the general public.
The opening range for the first transaction is Rs. 106.61 to Rs. 319.83. If the company signs an agreement with NEPSE, the IPO shares will be traded in the secondary market from Mangsir 24, 2082.
Out of a total of 1,30,81,371 unit shares, 40,76,156 units of IPO shares with a par value of Rs 100 were issued to the general public from 19th Kartik, 2082 to 23rd Kartik, 2082.
Note that the listed shares will be traded under the symbol 'SYPNL'."
2025-11-16,"SY Panel Nepal Limited IPO Allotment Concludes: Lucky 4,07,615 Applicants Allotted 10 Units Each via Lottery System",https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-ipo-allotment-concludes-lucky-407615-applicants-allotted-10-units-each-via-lottery-system-2025-11-16,"SY Panel Nepal Limited's IPO allotment was concluded today at the premises of the issue manager, Prabhu Capital Limited, Prabhu Group Building, Kamaladi, Kathmandu.
The company had issued 40,76,156 units as an Initial Public Offering (IPO) to the general public from (19th Kartik, 2082 to 23rd Kartik, 2082).
The issued capital of the company was Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, were issued to the public. Of the total issued capital, 2%, which amounted to 261,627 unit shares worth Rs. 2.61 Crores, were allotted to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 4,970,920 unit shares, was allocated to the general public. Of this general public issue, 10%, a total of 497,092 unit shares, had already been allotted to Nepalese citizens working abroad. Of the general public issue, 3%, i.e., 149,127 units, were set aside for the company's employees, and 5% of the total offered shares, i.e., 248,546 units, were set aside for mutual funds. The remaining 4,076,156 units were made available for the general public.
The issue received a total of 20,87,320 valid applications for 2,31,78,470 units. Meanwhile, 18,054 applications for 2,28,650 units were disqualified.
As per the allotment module, 4,07,615 applicants were allotted 10 units each via lottery, and 6 applicants received 1 unit each.
Allotment Module:
The IPO result can be accessed by
CDSC IPO Result,
MeroShare
, and
Prabhu Capital Limited.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers."
2025-11-09,IPO Issue of SY Panel Nepal Limited Closing Today; Oversubscribed 4.80 Times So Far,https://www.sharesansar.com/newsdetail/ipo-issue-of-sy-panel-nepal-limited-closing-today-oversubscribed-480-times-so-far-2025-11-09,"SY Panel Nepal Limited
is closing the issue of 40,76,156 units of IPO shares at a par value of Rs 100 from today, the 23rd Kartik, 2082. The issue was opened for the general public on 19th Kartik, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, were allotted to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, are for the general public. Of this general public issue, 10%, a total of 4,97,092 unit shares, were already allotted to the Nepalese citizens working abroad.
Of the general public issue, 3%, i.e., 1,49,127 units, have been set aside for the company's employees, and 5% of the total offered shares, i.e., 2,48,546 units, have been set aside for the mutual funds. The remaining 40,76,156 units for the general public will be closed from today.
Prabhu Capital Limited has been appointed as the issue manager for the IPO issuance. Applications could be placed for a minimum of 10 units and a maximum of 50,000 units.
According to CDSC, 16,83,262 applicants have applied for 1,96,05,940 units. Thus, the issue has been oversubscribed 4.80 times.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers."
2025-11-05,"IPO for General Public: SY Panel Nepal Limited Company Issue 40,76,156 Units IPO Shares from Today",https://www.sharesansar.com/newsdetail/ipo-for-general-public-sy-panel-nepal-limited-company-issue-4076156-units-ipo-shares-from-today-2025-11-05,"SY Panel Nepal Limited
has officially opened its Initial Public Offering (IPO) for the general public starting today, 19th Kartik, 2082. The company is issuing 40,76,156 unit shares at a par value of Rs. 100 per unit. The early closing date for the IPO is 23rd Kartik, 2082, but if the issue is not fully subscribed by then, the deadline will be extended to the 3rd of Mangsir, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, were allotted to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, are for the general public. Of this general public issue, 10%, a total of 4,97,092 unit shares, were already allotted to the Nepalese citizens working abroad.
Of the general public issue, 3%, i.e., 1,49,127 units, have been set aside for the company's employees, and 5% of the total offered shares, i.e., 2,48,546 units, have been set aside for the mutual funds. The remaining 40,76,156 units are for the general public and were opened from the 19th Kartik.
Prabhu Capital Limited has been appointed as the issue manager for the IPO issuance. Applications could be placed for a minimum of 10 units and a maximum of 50,000 units.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers.
Notice:"
2025-10-28,"IPO for General Public: SY Panel Nepal Limited to Issue 40,76,156 Units IPO Shares from Kartik 19",https://www.sharesansar.com/newsdetail/ipo-for-general-public-sy-panel-nepal-limited-to-issue-4076156-units-ipo-shares-from-kartik-19-2025-10-28,"SY Panel Nepal Limited
will open its Initial Public Offering (IPO) for the general public on the 19th Kartik, 2082. The company is issuing 40,76,156 unit shares at a par value of Rs. 100 per unit. The early closing date for the IPO is the 23rd Kartik, 2082, but if the issue is not fully subscribed by then, the deadline will be extended to the 3rd of Mangsir, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, were allotted to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, are for the general public. Of this general public issue, 10%, a total of 4,97,092 unit shares, were already allotted to the Nepalese citizens working abroad.
Of the general public issue, 3%, i.e., 1,49,127 units, have been set aside for the company's employees, and 5% of the total offered shares, i.e., 2,48,546 units, have been set aside for the mutual funds. The remaining 40,76,156 units are for the general public and will be opened on the 19th Kartik.
Prabhu Capital Limited has been appointed as the issue manager for the IPO issuance. Applications could be placed for a minimum of 10 units and a maximum of 50,000 units.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers.
Offer Letter"
2025-10-07,SY Panel Nepal Limited Closing IPO Shares to Project-Affected Locals of Chitwan From Today,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-closing-ipo-shares-to-project-affected-locals-of-chitwan-from-today-2025-10-07,"SY Panel Nepal Limited
is closing the issue of 2,61,627 units of Initial Public Offering (IPO) shares for project-affected locals of Chitwan District today, 21st Ashwin, 2082. The IPO had opened on 7th Ashwin, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, will be allocated to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, will be offered to the general public later.
Of this general public issue, 10%, a total of 4,97,092 unit shares, were allocated for Nepalese citizens working abroad.
For the project-affected locals and Nepalese citizens working abroad, the minimum application quantity to be applied is 10 units, while the maximum quantity is 50,000 units.
Prabhu Capital Limited has been appointed the issue manager for the public offering.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers."
2025-09-26,"SY Panel Nepal Limited Closing 4,97,092 Units IPO Shares to Foreign Nepalese Immigrants From Today",https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-closing-497092-units-ipo-shares-to-foreign-nepalese-immigrants-from-today-2025-09-26,"SY Panel Nepal Limited
is closing the issue of its IPO for foreign Nepalese Immigrants today, the 10th Ashwin, 2082. The issue opened on the 7th Ashwin, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, was allocated to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, will be offered to the general public later.
Of this general public issue, 10%, a total of 4,97,092 unit shares, have been set aside for Nepalese citizens working abroad, and the issue for this category will close from today.
According to CDSC, 48,735 applicants have applied for a total of 8,07,300 units. Thus, the issue has already been oversubscribed by 1.62 times as of 5 PM yesterday.
For the project-affected locals and Nepalese citizens working abroad, the minimum application quantity to be applied is 10 units, while the maximum quantity is 50,000 units.
Prabhu Capital Limited has been appointed the issue manager for the public offering.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers.
Notice:"
2025-09-24,ICRA Nepal Upgrades SY Panel Nepal’s Issuer Rating to BB+,https://www.sharesansar.com/newsdetail/icra-nepal-upgrades-sy-panel-nepals-issuer-rating-to-bb-2025-09-24,"ICRA Nepal Limited has upgraded the issuer rating of SY Panel Nepal Limited from [ICRANP-IR] BB to [ICRANP-IR] BB+, indicating a moderate risk of default in meeting financial obligations.
The rating reflects the general creditworthiness of the company and is not tied to any specific debt instrument. The “+” or “–” signs in ICRA ratings show relative positioning within a category, making BB+ one notch higher than BB."
2025-09-23,SY Panel Nepal Limited Opens IPO for Project-Affected Locals and Foreign Nepalese Immigrants From Today,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-opens-ipo-for-project-affected-locals-and-foreign-nepalese-immigrants-from-today-2025-09-23,"SY Panel Nepal Limited
is opening the issue of an Initial Public Offering (IPO) of 2,61,627 units IPO shares to the project-affected locals of Chitwan District and 4,97,092 units of IPO Shares to Foreign Nepalese Immigrants from today, 7th Ashwin, 2082.
The issued capital of the company is Rs. 1.30 Arba. Of this, 40%, i.e., 5,232,548 unit shares, will be issued to the public. Of the total issue capital, 2%, which amounts to 2,61,627 unit shares worth Rs. 2.61 Crores, will be allocated to project-affected locals of Chitwan district. The remaining 38% of the issued capital, i.e., 49,70,920 unit shares, will be offered to the general public later.
Of this general public issue, 10%, a total of 4,97,092 unit shares, have been set aside for Nepalese citizens working abroad, and the issue for this category will open on the date mentioned above.
For the project-affected locals and Nepalese citizens working abroad, the minimum application quantity to be applied is 10 units, while the maximum quantity is 50,000 units.
Prabhu Capital Limited has been appointed the issue manager for the public offering.
ICRA Nepal has reaffirmed SY Panel Nepal Limited’s (SYPNL) issuer rating at [ICRANP-IR] BB (pronounced ICRA NP Issuer Rating Double B), reflecting a moderate risk of default in meeting timely financial obligations.
SY Panel Nepal Limited (SYPNL), established in July 2017, produces expanded polystyrene (EPS) and polyurethane foam (PUFF) sandwich panels, UPVC windows, steel doors, and EPS materials, widely used in prefabricated home construction. It is a subsidiary of South Korea-based SY Co. Limited, which holds approximately 63% of the shares, with the remaining stake primarily owned by Korean nationals affiliated with SY Co. Limited. SYPNL’s manufacturing facility is located in Ratnanagar, Chitwan, and the company operates across Nepal through its network of 62 dealers."
2025-09-18,SY Panel Nepal Announces Revised Share Issuance Date for Locals of Chitwan District And Nepalese Employed Abroad,https://www.sharesansar.com/newsdetail/sy-panel-nepal-announces-revised-share-issuance-date-for-locals-of-chitwan-district-and-nepalese-employed-abroad-2025-09-18,"SY Panel Nepal Limited has announced a new date for the issuance and sale of shares allocated to residents of industry-affected areas and Nepali migrant workers abroad.
According to the company, the shares were initially scheduled to open for subscription from 2082/05/29. However, due to the adverse situation in the country, the opening date has been postponed. The share issuance will now officially open from 2082/06/07 for the targeted groups.
The company informed that this issuance aims to ensure participation of locals directly affected by the industry’s operations as well as Nepali citizens contributing from foreign employment. By prioritizing these groups, SY Panel Nepal seeks to promote inclusive growth and shared benefits from the company’s expansion."
